,time,open,high,low,close,volume
0,2012-01-03,2.57,2.61,2.55,2.55,32990
1,2012-01-04,2.61,2.61,2.53,2.55,56810
2,2012-01-05,2.51,2.51,2.42,2.42,586070
3,2012-01-06,2.42,2.42,2.3,2.3,279140
4,2012-01-09,2.3,2.38,2.2,2.24,513030
5,2012-01-10,2.22,2.34,2.22,2.34,510070
6,2012-01-11,2.42,2.42,2.3,2.3,288930
7,2012-01-12,2.3,2.4,2.3,2.32,470170
8,2012-01-13,2.38,2.42,2.36,2.42,191540
9,2012-01-16,2.51,2.55,2.49,2.55,258510
10,2012-01-17,2.55,2.61,2.49,2.51,352490
11,2012-01-18,2.53,2.53,2.44,2.46,176560
12,2012-01-19,2.49,2.59,2.49,2.59,203300
13,2012-01-20,2.63,2.67,2.57,2.65,250160
14,2012-01-30,2.61,2.63,2.53,2.61,256450
15,2012-01-31,2.57,2.71,2.57,2.57,394570
16,2012-02-01,2.59,2.69,2.55,2.69,731710
17,2012-02-02,2.79,2.81,2.75,2.81,286960
18,2012-02-03,2.93,2.93,2.75,2.75,798840
19,2012-02-06,2.75,2.75,2.65,2.71,250420
20,2012-02-07,2.75,2.79,2.65,2.75,371970
21,2012-02-08,2.79,2.87,2.75,2.83,353230
22,2012-02-09,2.83,2.89,2.75,2.77,305940
23,2012-02-10,2.77,2.79,2.65,2.67,362420
24,2012-02-13,2.67,2.77,2.65,2.69,338650
25,2012-02-14,2.75,2.75,2.69,2.75,128780
26,2012-02-15,2.75,2.75,2.65,2.65,176720
27,2012-02-16,2.67,2.69,2.61,2.69,163980
28,2012-02-17,2.69,2.75,2.67,2.73,294860
29,2012-02-20,2.77,2.85,2.77,2.85,403040
30,2012-02-21,2.97,2.97,2.79,2.83,318290
31,2012-02-22,2.83,2.97,2.81,2.97,608900
32,2012-02-23,3.03,3.11,2.97,3.11,861870
33,2012-02-24,3.17,3.25,3.11,3.13,618280
34,2012-02-27,3.13,3.27,3.07,3.27,390920
35,2012-02-28,3.31,3.31,3.11,3.11,532410
36,2012-02-29,3.03,3.13,2.99,3.05,371420
37,2012-03-01,3.09,3.09,2.95,3.03,255450
38,2012-03-02,3.09,3.17,3.03,3.17,618870
39,2012-03-05,3.31,3.31,3.31,3.31,59540
40,2012-03-06,3.48,3.48,3.37,3.48,2362330
41,2012-03-07,3.48,3.64,3.35,3.64,655970
42,2012-03-08,3.64,3.82,3.64,3.72,1190760
43,2012-03-09,3.82,3.9,3.72,3.86,580020
44,2012-03-12,3.84,3.84,3.68,3.68,316240
45,2012-03-13,3.58,3.66,3.5,3.54,558930
46,2012-03-14,3.6,3.6,3.37,3.37,682860
47,2012-03-15,3.35,3.54,3.23,3.54,670350
48,2012-03-16,3.66,3.68,3.37,3.37,736280
49,2012-03-19,3.37,3.5,3.33,3.39,324930
50,2012-03-20,3.39,3.5,3.39,3.5,445910
51,2012-03-21,3.58,3.66,3.56,3.56,893670
52,2012-03-22,3.56,3.7,3.56,3.64,634610
53,2012-03-23,3.72,3.82,3.66,3.8,507200
54,2012-03-26,3.8,3.86,3.7,3.74,464470
55,2012-03-27,3.62,3.7,3.56,3.56,821910
56,2012-03-28,3.48,3.54,3.39,3.48,490470
57,2012-03-29,3.48,3.6,3.31,3.31,612290
58,2012-03-30,3.39,3.48,3.39,3.48,944480
59,2012-04-03,3.6,3.64,3.5,3.64,428720
60,2012-04-04,3.56,3.64,3.48,3.48,386100
61,2012-04-05,3.41,3.6,3.41,3.54,280920
62,2012-04-06,3.56,3.7,3.56,3.7,1436520
63,2012-04-09,3.7,3.88,3.7,3.88,871560
64,2012-04-10,3.92,4.04,3.76,3.84,817250
65,2012-04-11,4.02,4.02,3.96,4.02,788060
66,2012-04-12,4.2,4.2,4.2,4.2,649620
67,2012-04-13,4.4,4.4,4.28,4.4,1643890
68,2012-04-16,4.61,4.61,4.61,4.61,341340
69,2012-04-17,4.83,4.83,4.83,4.83,68530
70,2012-04-18,5.05,5.05,5.01,5.05,1951980
71,2012-04-19,4.95,5.05,4.81,4.81,1725540
72,2012-04-20,4.59,4.93,4.59,4.61,1490110
73,2012-04-23,4.65,4.83,4.65,4.83,574990
74,2012-04-24,4.83,5.05,4.69,5.05,896900
75,2012-04-25,5.23,5.29,5.15,5.29,814180
76,2012-04-26,5.25,5.46,5.15,5.19,1068210
77,2012-04-27,5.19,5.44,5.15,5.31,753070
78,2012-05-02,5.31,5.39,5.05,5.05,1108180
79,2012-05-03,4.99,5.19,4.83,5.07,838330
80,2012-05-04,5.09,5.31,5.09,5.23,583430
81,2012-05-07,5.31,5.31,5.09,5.21,685140
82,2012-05-08,5.21,5.46,5.07,5.11,1045500
83,2012-05-09,5.11,5.35,5.11,5.35,1348170
84,2012-05-10,5.56,5.62,5.46,5.62,1354940
85,2012-05-11,5.62,5.64,5.41,5.41,450850
86,2012-05-14,5.23,5.39,5.15,5.15,754210
87,2012-05-15,5.05,5.11,4.91,4.91,1302860
88,2012-05-16,4.91,4.99,4.67,4.77,963150
89,2012-05-17,4.77,4.95,4.59,4.59,472560
90,2012-05-18,4.49,4.61,4.36,4.4,544520
91,2012-05-21,4.44,4.61,4.44,4.61,263260
92,2012-05-22,4.65,4.83,4.57,4.73,584950
93,2012-05-23,4.73,4.73,4.51,4.51,548260
94,2012-05-24,4.47,4.51,4.28,4.34,403050
95,2012-05-25,4.55,4.55,4.51,4.55,124210
96,2012-05-28,4.77,4.77,4.61,4.75,924450
97,2012-05-29,4.57,4.79,4.57,4.71,255920
98,2012-05-30,4.69,4.89,4.69,4.79,260080
99,2012-05-31,4.79,4.79,4.61,4.65,155170
100,2012-06-01,4.73,4.79,4.61,4.65,511690
101,2012-06-04,4.61,4.61,4.42,4.44,541510
102,2012-06-05,4.47,4.59,4.44,4.59,172470
103,2012-06-06,4.59,4.79,4.59,4.77,229720
104,2012-06-07,4.85,4.99,4.75,4.93,485120
105,2012-06-08,5.01,5.05,4.75,4.77,479210
106,2012-06-11,4.79,4.91,4.75,4.77,424300
107,2012-06-12,4.67,4.79,4.63,4.67,146850
108,2012-06-13,4.67,4.75,4.61,4.63,218100
109,2012-06-14,4.57,4.69,4.57,4.61,128960
110,2012-06-15,4.59,4.83,4.59,4.83,346720
111,2012-06-18,4.93,4.99,4.77,4.87,278310
112,2012-06-19,4.87,4.87,4.69,4.69,139720
113,2012-06-20,4.73,4.77,4.69,4.75,57970
114,2012-06-21,4.79,4.79,4.67,4.67,68100
115,2012-06-22,4.65,4.65,4.57,4.57,190040
116,2012-06-25,4.57,4.61,4.36,4.36,279440
117,2012-06-26,4.26,4.32,4.18,4.18,212100
118,2012-06-27,4.24,4.26,4.04,4.04,161670
119,2012-06-28,4.14,4.14,3.88,4.02,210950
120,2012-06-29,4.06,4.2,4.04,4.2,144730
121,2012-07-02,4.2,4.34,4.04,4.04,201610
122,2012-07-03,3.94,4.06,3.84,3.84,349690
123,2012-07-04,3.84,4.02,3.84,3.86,176550
124,2012-07-05,3.94,4.0,3.78,4.0,113260
125,2012-07-06,4.08,4.18,4.0,4.12,311430
126,2012-07-09,4.04,4.12,3.92,3.92,78150
127,2012-07-10,3.86,3.98,3.86,3.92,194120
128,2012-07-11,3.96,4.02,3.94,4.0,49150
129,2012-07-12,4.04,4.1,4.0,4.04,115780
130,2012-07-13,4.08,4.24,4.06,4.24,449770
131,2012-07-16,4.3,4.38,4.14,4.22,234540
132,2012-07-17,4.16,4.42,4.16,4.38,143370
133,2012-07-18,4.38,4.44,4.32,4.4,261730
134,2012-07-19,4.34,4.61,4.34,4.59,269580
135,2012-07-20,4.69,4.71,4.53,4.53,286130
136,2012-07-23,4.53,4.57,4.34,4.34,161660
137,2012-07-24,4.24,4.34,4.18,4.2,210400
138,2012-07-25,4.04,4.26,4.04,4.12,119830
139,2012-07-26,4.12,4.24,4.04,4.14,190630
140,2012-07-27,4.14,4.2,4.04,4.04,229990
141,2012-07-30,3.98,4.08,3.96,3.96,150230
142,2012-07-31,3.96,4.06,3.96,4.0,72940
143,2012-08-01,4.0,4.0,3.88,3.96,87420
144,2012-08-02,4.02,4.02,3.94,3.96,81240
145,2012-08-03,3.96,3.98,3.92,3.92,40850
146,2012-08-06,4.0,4.1,3.96,4.06,157280
147,2012-08-07,4.08,4.1,4.04,4.04,122570
148,2012-08-08,4.06,4.08,4.04,4.08,79360
149,2012-08-09,4.08,4.18,4.08,4.12,123400
150,2012-08-10,4.14,4.16,4.04,4.04,99950
151,2012-08-13,4.0,4.06,3.98,3.98,102480
152,2012-08-14,4.04,4.08,4.0,4.04,102640
153,2012-08-15,4.04,4.08,4.0,4.04,69420
154,2012-08-16,4.04,4.04,3.98,3.98,66690
155,2012-08-17,4.0,4.08,4.0,4.04,101600
156,2012-08-20,4.12,4.24,4.06,4.24,317520
157,2012-08-21,4.24,4.24,4.04,4.04,475730
158,2012-08-22,3.84,4.02,3.84,3.84,675720
159,2012-08-23,3.72,3.76,3.66,3.66,278340
160,2012-08-24,3.48,3.8,3.48,3.66,671320
161,2012-08-27,3.52,3.52,3.48,3.48,267330
162,2012-08-28,3.48,3.48,3.31,3.31,283670
163,2012-08-29,3.27,3.48,3.27,3.48,331200
164,2012-08-30,3.5,3.58,3.39,3.48,198690
165,2012-08-31,3.48,3.52,3.41,3.43,83330
166,2012-09-04,3.43,3.52,3.43,3.43,79110
167,2012-09-05,3.43,3.43,3.29,3.31,122220
168,2012-09-06,3.25,3.39,3.23,3.23,216350
169,2012-09-07,3.31,3.31,3.21,3.21,77280
170,2012-09-10,3.13,3.13,3.07,3.07,271310
171,2012-09-11,2.95,3.01,2.93,2.93,470920
172,2012-09-12,2.89,3.03,2.89,2.93,36910
173,2012-09-13,2.91,3.07,2.91,3.07,171440
174,2012-09-14,3.15,3.21,3.07,3.21,244700
175,2012-09-17,3.13,3.23,3.07,3.09,173860
176,2012-09-18,3.03,3.09,2.95,2.95,189330
177,2012-09-19,2.87,2.97,2.87,2.95,139490
178,2012-09-20,2.85,2.93,2.81,2.83,191530
179,2012-09-21,2.91,2.93,2.85,2.89,95250
180,2012-09-24,2.89,2.89,2.79,2.79,65240
181,2012-09-25,2.83,2.83,2.73,2.79,45640
182,2012-09-26,2.87,2.89,2.83,2.85,67710
183,2012-09-27,2.83,2.87,2.73,2.79,90180
184,2012-09-28,2.81,2.81,2.79,2.79,63460
185,2012-10-01,2.85,2.85,2.69,2.69,120890
186,2012-10-02,2.65,2.71,2.65,2.65,106580
187,2012-10-03,2.65,2.75,2.65,2.69,80180
188,2012-10-04,2.61,2.75,2.61,2.67,27230
189,2012-10-05,2.71,2.79,2.69,2.79,94340
190,2012-10-08,2.83,2.91,2.83,2.91,264300
191,2012-10-09,2.93,3.05,2.91,3.01,349720
192,2012-10-10,2.93,3.07,2.93,3.03,41190
193,2012-10-11,3.03,3.17,2.97,3.03,158650
194,2012-10-12,3.05,3.05,2.95,2.97,116960
195,2012-10-15,2.97,3.03,2.89,2.89,32010
196,2012-10-16,2.89,3.03,2.89,3.03,121960
197,2012-10-17,3.03,3.17,3.03,3.09,351490
198,2012-10-18,3.09,3.15,3.07,3.07,68320
199,2012-10-19,2.99,3.05,2.93,2.93,257300
200,2012-10-22,2.95,2.95,2.83,2.87,110700
201,2012-10-23,2.87,2.95,2.85,2.91,75970
202,2012-10-24,2.87,2.91,2.85,2.87,56250
203,2012-10-25,2.85,2.87,2.83,2.83,55960
204,2012-10-26,2.87,2.89,2.87,2.87,9140
205,2012-10-29,2.87,2.89,2.85,2.85,12550
206,2012-10-30,2.85,2.91,2.83,2.89,20440
207,2012-10-31,2.87,2.97,2.83,2.87,48150
208,2012-11-01,2.89,2.89,2.83,2.83,52480
209,2012-11-02,2.69,2.83,2.69,2.69,268280
210,2012-11-05,2.69,2.73,2.69,2.69,50220
211,2012-11-06,2.71,2.73,2.67,2.69,23780
212,2012-11-07,2.67,2.79,2.67,2.75,104920
213,2012-11-08,2.71,2.81,2.71,2.81,72330
214,2012-11-09,2.81,2.83,2.79,2.79,83660
215,2012-11-12,2.83,2.91,2.81,2.91,273160
216,2012-11-13,3.01,3.05,2.97,2.99,513000
217,2012-11-14,2.93,3.05,2.91,2.93,144420
218,2012-11-15,2.95,2.95,2.85,2.91,103030
219,2012-11-16,2.89,2.93,2.83,2.89,47690
220,2012-11-19,2.89,2.93,2.87,2.87,117050
221,2012-11-20,2.87,2.93,2.87,2.93,93530
222,2012-11-21,2.93,2.93,2.89,2.89,70000
223,2012-11-22,2.89,2.91,2.89,2.89,30250
224,2012-11-23,2.89,2.91,2.89,2.89,54620
225,2012-11-26,2.87,2.87,2.81,2.81,108820
226,2012-11-27,2.83,2.83,2.75,2.75,67930
227,2012-11-28,2.79,2.79,2.75,2.77,71170
228,2012-11-29,2.79,2.83,2.77,2.79,76810
229,2012-11-30,2.77,2.83,2.77,2.77,88800
230,2012-12-03,2.79,2.83,2.77,2.83,41680
231,2012-12-04,2.79,2.87,2.79,2.83,79340
232,2012-12-05,2.83,2.93,2.81,2.83,461370
233,2012-12-06,2.83,2.85,2.81,2.83,227510
234,2012-12-07,2.83,2.85,2.79,2.79,274730
235,2012-12-10,2.81,2.91,2.81,2.85,343810
236,2012-12-11,2.87,2.97,2.87,2.93,463740
237,2012-12-12,2.95,3.07,2.89,2.97,1105870
238,2012-12-13,3.01,3.05,2.95,2.95,586630
239,2012-12-14,2.93,3.03,2.93,2.99,553390
240,2012-12-17,2.99,3.03,2.97,2.99,333410
241,2012-12-18,2.97,2.99,2.93,2.95,372830
