,time,open,high,low,close,volume
0,2012-01-03,6.37,6.37,6.06,6.06,1600
1,2012-01-04,6.37,6.37,6.37,6.37,100
2,2012-01-05,5.93,5.93,5.93,5.93,1000
3,2012-01-06,5.55,6.06,5.55,6.06,4500
4,2012-01-09,5.93,6.06,5.93,6.06,7000
5,2012-01-10,6.12,6.25,6.06,6.06,6400
6,2012-01-11,6.06,6.37,6.06,6.37,13700
7,2012-01-12,6.37,6.5,6.37,6.37,10600
8,2012-01-13,6.44,6.57,6.44,6.44,9500
9,2012-01-16,6.69,6.69,6.69,6.69,1000
10,2012-01-17,6.69,6.69,6.25,6.25,1600
11,2012-01-18,6.44,6.44,6.44,6.44,100
12,2012-01-19,6.76,6.76,6.37,6.37,5100
13,2012-01-20,6.69,6.82,6.69,6.76,4000
14,2012-01-30,6.69,6.82,6.69,6.69,3400
15,2012-01-31,6.76,7.14,6.57,7.01,26200
16,2012-02-01,7.2,7.33,6.57,7.01,24900
17,2012-02-02,7.27,7.59,7.27,7.59,26500
18,2012-02-03,7.9,7.97,7.08,7.08,28900
19,2012-02-06,8.1,8.1,7.39,7.52,19100
20,2012-02-07,7.97,8.29,7.78,7.78,26300
21,2012-02-08,7.97,8.22,7.97,8.22,33000
22,2012-02-09,8.22,8.29,8.22,8.29,7000
23,2012-02-10,8.29,8.54,7.71,7.71,6700
24,2012-02-13,8.22,8.29,7.78,7.78,7800
25,2012-02-14,7.65,8.16,7.65,8.16,36200
26,2012-02-15,8.16,8.22,8.16,8.22,11500
27,2012-02-16,8.16,8.22,7.84,7.84,7700
28,2012-02-17,8.1,8.35,7.97,7.97,19700
29,2012-02-20,8.35,8.41,7.9,7.97,6700
30,2012-02-21,8.22,8.48,7.84,7.84,19000
31,2012-02-22,8.29,8.35,8.29,8.35,7500
32,2012-02-23,8.35,8.41,8.22,8.29,13400
33,2012-02-24,8.29,8.41,8.22,8.22,12500
34,2012-02-27,8.41,8.48,8.16,8.22,9000
35,2012-02-28,8.35,8.35,7.78,7.78,19000
36,2012-02-29,8.1,8.1,8.03,8.03,6000
37,2012-03-01,8.1,8.29,7.97,8.29,35200
38,2012-03-02,8.22,8.29,8.16,8.16,20000
39,2012-03-05,8.22,8.61,8.22,8.61,255200
