,time,open,high,low,close,volume
0,2018-03-07,24.89,25.35,22.21,22.31,8318900
1,2018-03-08,23.32,23.41,21.48,21.57,2866670
2,2018-03-09,21.57,22.31,21.2,21.85,1633750
3,2018-03-12,21.85,22.12,20.92,21.48,2169077
4,2018-03-13,21.2,21.48,20.83,21.29,1583110
5,2018-03-14,21.2,21.29,20.37,20.46,1334300
6,2018-03-15,20.46,20.83,20.09,20.19,1514047
7,2018-03-16,20.37,20.74,20.19,20.74,1088100
8,2018-03-19,20.74,21.02,20.56,20.65,491569
9,2018-03-20,20.65,20.65,20.28,20.28,798886
10,2018-03-21,20.56,20.56,20.28,20.37,549025
11,2018-03-22,20.46,20.56,19.82,19.82,860099
12,2018-03-23,19.91,19.91,18.8,19.26,882815
13,2018-03-26,18.9,19.08,17.51,17.61,1502781
14,2018-03-27,17.97,18.25,17.61,17.79,587760
15,2018-03-28,17.79,17.79,17.51,17.79,485660
16,2018-03-29,17.79,18.8,17.79,18.62,704583
17,2018-03-30,18.71,19.17,18.62,18.9,659950
18,2018-04-02,18.8,19.73,18.8,19.36,559016
19,2018-04-03,19.36,19.36,18.9,19.26,962730
20,2018-04-04,19.36,19.36,18.53,18.71,628301
21,2018-04-05,18.9,19.54,18.53,18.8,462819
22,2018-04-06,18.71,18.71,17.97,18.34,599902
23,2018-04-09,18.44,18.44,17.51,17.7,592846
24,2018-04-10,17.88,18.25,17.7,18.25,474200
25,2018-04-11,18.07,18.34,17.79,17.88,427023
26,2018-04-12,17.88,18.07,17.79,17.97,412170
27,2018-04-13,17.97,18.07,17.05,17.14,1265600
28,2018-04-16,17.05,17.05,16.59,16.68,595032
29,2018-04-17,16.68,16.87,16.5,16.68,644577
30,2018-04-18,16.59,16.96,16.22,16.41,410798
31,2018-04-19,16.5,16.5,15.21,15.58,1005600
32,2018-04-20,15.58,15.58,14.75,14.75,999906
33,2018-04-23,15.02,15.67,14.29,14.29,1014430
34,2018-04-24,14.75,15.02,14.29,14.93,741640
35,2018-04-26,15.21,15.21,14.29,14.38,1075626
36,2018-04-27,14.01,14.66,13.83,14.47,538380
37,2018-05-02,14.47,15.58,14.29,14.66,923410
38,2018-05-03,14.75,15.21,14.38,15.02,1016630
39,2018-05-04,14.93,16.41,14.93,16.41,892272
40,2018-05-07,16.59,18.16,16.59,18.16,1507397
