,time,open,high,low,close,volume
0,2012-01-03,1.62,1.62,1.62,1.62,2000
1,2012-01-04,1.71,1.71,1.65,1.65,400
2,2012-01-05,1.78,1.78,1.78,1.78,2000
3,2012-01-06,1.78,1.78,1.78,1.78,1000
4,2012-01-09,1.78,1.78,1.78,1.78,0
5,2012-01-10,1.84,1.84,1.84,1.84,100
6,2012-01-11,1.84,1.84,1.84,1.84,0
7,2012-01-12,1.71,1.71,1.71,1.71,100
8,2012-01-13,1.62,1.62,1.62,1.62,100
9,2012-01-16,1.65,1.65,1.65,1.65,1000
10,2012-01-17,1.68,1.68,1.68,1.68,5100
11,2012-01-18,1.78,1.78,1.78,1.78,5100
12,2012-01-19,1.84,1.84,1.84,1.84,5000
13,2012-01-20,1.71,1.71,1.71,1.71,100
14,2012-01-30,1.62,1.81,1.62,1.81,2200
15,2012-01-31,1.93,1.93,1.93,1.93,400
16,2012-02-01,1.96,1.96,1.96,1.96,200
17,2012-02-02,1.96,1.96,1.96,1.96,0
18,2012-02-03,1.84,1.84,1.84,1.84,300
19,2012-02-06,1.84,1.84,1.84,1.84,0
20,2012-02-07,1.84,1.9,1.84,1.9,200
21,2012-02-08,1.96,1.96,1.96,1.96,100
22,2012-02-09,1.84,1.84,1.84,1.84,300
23,2012-02-10,1.71,1.87,1.71,1.87,200
24,2012-02-13,1.68,1.68,1.68,1.68,300
25,2012-02-14,1.59,1.78,1.59,1.78,500
26,2012-02-15,1.74,1.74,1.74,1.74,18900
27,2012-02-16,1.74,1.78,1.74,1.78,9800
28,2012-02-17,1.78,1.78,1.78,1.78,2300
29,2012-02-20,1.9,1.9,1.9,1.9,500
30,2012-02-21,1.9,1.9,1.78,1.78,10100
31,2012-02-22,1.9,1.9,1.9,1.9,11100
32,2012-02-23,1.9,1.9,1.78,1.78,5500
33,2012-02-24,1.96,1.99,1.74,1.74,7300
34,2012-02-27,1.84,1.84,1.81,1.81,1500
35,2012-02-28,1.78,1.78,1.74,1.74,2000
36,2012-02-29,1.65,1.84,1.65,1.84,600
37,2012-03-01,1.81,1.84,1.81,1.84,2300
38,2012-03-02,1.9,1.9,1.78,1.9,3000
39,2012-03-05,1.99,2.02,1.99,2.02,15600
40,2012-03-06,2.08,2.11,2.08,2.08,7400
41,2012-03-07,2.14,2.14,2.02,2.02,6000
42,2012-03-08,1.99,1.99,1.96,1.96,5100
43,2012-03-09,1.87,1.87,1.87,1.87,4500
44,2012-03-12,1.96,1.96,1.87,1.87,13800
45,2012-03-13,1.99,1.99,1.99,1.99,16900
46,2012-03-14,2.11,2.11,2.02,2.11,115600
47,2012-03-15,2.2,2.2,2.11,2.2,45700
48,2012-03-16,2.14,2.17,2.14,2.17,16800
49,2012-03-19,2.14,2.14,2.11,2.11,3100
50,2012-03-20,2.02,2.11,2.02,2.11,17600
51,2012-03-21,2.05,2.14,2.05,2.14,15100
52,2012-03-22,2.02,2.05,2.02,2.05,8400
53,2012-03-23,2.08,2.08,2.02,2.02,9200
54,2012-03-26,2.05,2.11,2.05,2.11,33900
55,2012-03-27,2.11,2.11,2.05,2.05,9600
56,2012-03-28,2.14,2.14,2.11,2.11,10300
57,2012-03-29,2.11,2.11,2.08,2.08,34100
58,2012-03-30,2.08,2.11,2.08,2.11,2600
59,2012-04-03,2.08,2.14,2.08,2.14,4000
60,2012-04-04,2.08,2.08,2.05,2.05,4100
61,2012-04-05,1.99,2.08,1.99,2.08,3900
62,2012-04-06,2.11,2.11,2.11,2.11,100
63,2012-04-09,2.11,2.11,2.11,2.11,20700
64,2012-04-10,2.08,2.08,2.08,2.08,9600
65,2012-04-11,2.02,2.11,2.02,2.11,3800
66,2012-04-12,2.14,2.23,2.08,2.14,18300
67,2012-04-13,2.08,2.11,2.08,2.11,600
68,2012-04-16,2.14,2.17,2.14,2.14,10200
69,2012-04-17,2.17,2.27,2.17,2.23,18200
70,2012-04-18,2.23,2.3,2.23,2.3,16700
71,2012-04-19,2.2,2.27,2.2,2.23,1600
72,2012-04-20,2.2,2.3,2.2,2.3,4800
73,2012-04-23,2.39,2.39,2.36,2.39,2500
74,2012-04-24,2.27,2.33,2.27,2.33,7800
75,2012-04-25,2.2,2.33,2.2,2.33,2300
76,2012-04-26,2.27,2.39,2.27,2.36,1600
77,2012-04-27,2.3,2.36,2.3,2.36,1600
78,2012-05-02,2.36,2.42,2.36,2.42,1600
79,2012-05-03,2.36,2.39,2.36,2.39,8400
80,2012-05-04,2.42,2.51,2.42,2.48,38200
81,2012-05-07,2.51,2.63,2.51,2.63,24800
82,2012-05-08,2.63,2.69,2.6,2.6,16500
83,2012-05-09,2.54,2.69,2.54,2.63,26700
84,2012-05-10,2.66,2.69,2.57,2.63,7200
85,2012-05-11,2.57,2.6,2.51,2.51,10000
86,2012-05-14,2.45,2.51,2.36,2.51,22900
87,2012-05-15,2.36,2.45,2.33,2.36,17500
88,2012-05-16,2.3,2.36,2.3,2.36,16300
89,2012-05-17,2.33,2.33,2.27,2.27,11700
90,2012-05-18,2.27,2.3,2.2,2.3,2500
91,2012-05-21,2.3,2.42,2.23,2.42,2200
92,2012-05-22,2.39,2.51,2.33,2.51,20400
93,2012-05-23,2.42,2.51,2.42,2.51,7100
94,2012-05-24,2.42,2.42,2.36,2.36,8900
95,2012-05-25,2.42,2.45,2.42,2.45,1200
96,2012-05-28,2.45,2.45,2.3,2.3,14600
