,time,open,high,low,close,volume
0,2012-01-03,0.77,0.77,0.72,0.72,71500
1,2012-01-04,0.82,0.82,0.72,0.72,145700
2,2012-01-05,0.72,0.72,0.66,0.66,91800
3,2012-01-06,0.66,0.66,0.61,0.66,58400
4,2012-01-09,0.61,0.72,0.61,0.66,20900
5,2012-01-10,0.66,0.72,0.66,0.72,165100
6,2012-01-11,0.77,0.77,0.72,0.77,112000
7,2012-01-12,0.77,0.77,0.72,0.72,104800
8,2012-01-13,0.77,0.77,0.66,0.72,68500
9,2012-01-16,0.72,0.77,0.66,0.72,192900
10,2012-01-17,0.72,0.72,0.72,0.72,87600
11,2012-01-18,0.72,0.77,0.66,0.77,63000
12,2012-01-19,0.72,0.77,0.72,0.77,125000
13,2012-01-20,0.77,0.77,0.72,0.72,99400
14,2012-01-30,0.77,0.82,0.72,0.77,111700
15,2012-01-31,0.82,0.82,0.72,0.77,81700
16,2012-02-01,0.77,0.77,0.72,0.77,93800
17,2012-02-02,0.77,0.82,0.77,0.82,524500
18,2012-02-03,0.87,0.87,0.77,0.82,250400
19,2012-02-06,0.82,0.82,0.77,0.82,177200
20,2012-02-07,0.77,0.82,0.77,0.77,80700
21,2012-02-08,0.87,0.87,0.87,0.87,121600
22,2012-02-09,0.92,0.92,0.92,0.92,72400
23,2012-02-10,0.97,0.97,0.92,0.92,733200
24,2012-02-13,0.92,0.92,0.92,0.92,186900
25,2012-02-14,0.87,0.92,0.87,0.92,222700
26,2012-02-15,0.87,0.92,0.82,0.82,171200
27,2012-02-16,0.82,0.87,0.77,0.82,157000
28,2012-02-17,0.82,0.87,0.82,0.87,131100
29,2012-02-20,0.92,0.92,0.87,0.92,352100
30,2012-02-21,0.97,0.97,0.87,0.87,407800
31,2012-02-22,0.92,0.92,0.87,0.92,310200
32,2012-02-23,0.92,0.97,0.92,0.97,434300
33,2012-02-24,1.02,1.02,0.97,1.02,726000
34,2012-02-27,1.07,1.07,1.02,1.07,444000
35,2012-02-28,1.12,1.12,1.07,1.12,966600
36,2012-02-29,1.12,1.18,1.07,1.18,375900
37,2012-03-01,1.23,1.23,1.23,1.23,39000
38,2012-03-02,1.28,1.28,1.28,1.28,103000
39,2012-03-05,1.33,1.33,1.33,1.33,3200
40,2012-03-06,1.38,1.38,1.38,1.38,878800
41,2012-03-07,1.43,1.43,1.38,1.43,794300
42,2012-03-08,1.48,1.48,1.48,1.48,388600
43,2012-03-09,1.58,1.58,1.48,1.58,1334900
44,2012-03-12,1.69,1.69,1.48,1.48,795600
45,2012-03-13,1.38,1.53,1.38,1.48,778600
46,2012-03-14,1.48,1.48,1.48,1.48,786400
47,2012-03-15,1.58,1.58,1.48,1.58,464800
48,2012-03-16,1.69,1.69,1.69,1.69,273700
49,2012-03-19,1.79,1.79,1.69,1.79,900100
50,2012-03-20,1.89,1.89,1.89,1.89,225500
51,2012-03-21,1.99,1.99,1.99,1.99,22500
52,2012-03-22,2.1,2.1,2.1,2.1,221300
53,2012-03-23,2.2,2.2,2.2,2.2,88100
54,2012-03-26,2.35,2.35,2.35,2.35,37000
55,2012-03-27,2.5,2.5,2.35,2.35,1479200
56,2012-03-28,2.35,2.5,2.2,2.5,1638200
57,2012-03-29,2.66,2.66,2.35,2.5,1057500
58,2012-03-30,2.56,2.56,2.3,2.3,525000
59,2012-04-03,2.2,2.45,2.15,2.45,958500
60,2012-04-04,2.3,2.5,2.3,2.3,803300
61,2012-04-05,2.2,2.4,2.15,2.25,669100
62,2012-04-06,2.3,2.35,2.15,2.2,324900
63,2012-04-09,2.15,2.25,2.04,2.2,719000
64,2012-04-10,2.25,2.35,2.2,2.2,510500
65,2012-04-11,2.25,2.35,2.2,2.2,574800
66,2012-04-12,2.25,2.25,2.04,2.04,856500
67,2012-04-13,2.04,2.2,2.04,2.2,1003900
68,2012-04-16,2.3,2.35,2.25,2.35,608600
69,2012-04-17,2.4,2.45,2.3,2.3,469200
70,2012-04-18,2.35,2.35,2.25,2.3,521400
71,2012-04-19,2.3,2.3,2.15,2.2,1028400
72,2012-04-20,2.15,2.2,2.15,2.2,240700
73,2012-04-23,2.15,2.2,2.04,2.04,659900
74,2012-04-24,2.04,2.04,1.94,1.94,601100
75,2012-04-25,1.89,2.04,1.89,2.04,500500
76,2012-04-26,2.1,2.1,1.99,2.04,121900
77,2012-04-27,1.99,2.1,1.94,2.04,262000
78,2012-05-02,1.94,1.99,1.89,1.89,357800
79,2012-05-03,1.84,1.94,1.79,1.94,273400
80,2012-05-04,1.94,1.99,1.94,1.99,266900
81,2012-05-07,2.04,2.1,2.04,2.1,105800
82,2012-05-08,2.2,2.2,2.15,2.2,814700
83,2012-05-09,2.3,2.3,2.15,2.25,478300
84,2012-05-10,2.25,2.25,2.15,2.2,278600
85,2012-05-11,2.15,2.2,2.1,2.1,261200
86,2012-05-14,2.1,2.15,1.99,1.99,357200
87,2012-05-15,1.99,1.99,1.89,1.94,381200
88,2012-05-16,1.89,1.99,1.89,1.99,204500
89,2012-05-17,1.99,2.04,1.89,1.89,205700
90,2012-05-18,1.84,1.89,1.79,1.84,230800
91,2012-05-21,1.84,1.94,1.84,1.94,192800
92,2012-05-22,2.04,2.04,1.94,2.04,327900
93,2012-05-23,1.99,1.99,1.89,1.89,167300
94,2012-05-24,1.89,1.89,1.79,1.89,169900
95,2012-05-25,1.89,1.94,1.84,1.94,114800
96,2012-05-28,1.99,2.04,1.94,1.94,195800
97,2012-05-29,1.94,1.94,1.89,1.94,49500
98,2012-05-30,1.94,1.94,1.89,1.94,84000
99,2012-05-31,1.94,1.94,1.89,1.89,109400
100,2012-06-01,1.94,1.94,1.84,1.89,88100
101,2012-06-04,1.84,1.84,1.79,1.79,148600
102,2012-06-05,1.84,1.89,1.74,1.84,100300
103,2012-06-06,1.84,1.84,1.79,1.84,64300
104,2012-06-07,1.84,1.94,1.84,1.94,401700
105,2012-06-08,1.99,1.99,1.84,1.84,260400
106,2012-06-11,1.89,1.94,1.89,1.89,78000
107,2012-06-12,1.89,1.89,1.79,1.84,128900
108,2012-06-13,1.79,1.84,1.79,1.79,79900
109,2012-06-14,1.79,1.84,1.74,1.84,67300
110,2012-06-15,1.84,1.89,1.79,1.89,109900
111,2012-06-18,1.89,1.94,1.84,1.89,175900
112,2012-06-19,1.89,1.89,1.79,1.84,150400
113,2012-06-20,1.79,1.84,1.79,1.84,47500
114,2012-06-21,1.84,1.89,1.79,1.84,20800
115,2012-06-22,1.79,1.84,1.74,1.84,163800
116,2012-06-25,1.74,1.79,1.69,1.74,133700
117,2012-06-26,1.69,1.69,1.58,1.58,143100
118,2012-06-27,1.58,1.64,1.48,1.48,59500
119,2012-06-28,1.48,1.58,1.43,1.53,251800
120,2012-06-29,1.53,1.58,1.48,1.48,112900
121,2012-07-02,1.53,1.53,1.38,1.43,90500
122,2012-07-03,1.43,1.43,1.38,1.38,95500
123,2012-07-04,1.43,1.43,1.33,1.33,84700
124,2012-07-05,1.33,1.38,1.28,1.38,427100
125,2012-07-06,1.43,1.43,1.38,1.38,146100
126,2012-07-09,1.38,1.38,1.33,1.33,89300
127,2012-07-10,1.33,1.38,1.33,1.33,135700
128,2012-07-11,1.33,1.38,1.33,1.38,83600
129,2012-07-12,1.38,1.43,1.33,1.43,110100
130,2012-07-13,1.43,1.48,1.43,1.48,467400
131,2012-07-16,1.53,1.53,1.38,1.43,250900
132,2012-07-17,1.43,1.48,1.43,1.48,200900
133,2012-07-18,1.53,1.58,1.48,1.53,104600
134,2012-07-19,1.48,1.64,1.48,1.64,216900
135,2012-07-20,1.58,1.69,1.53,1.58,331500
136,2012-07-23,1.53,1.58,1.48,1.48,86600
137,2012-07-24,1.43,1.48,1.38,1.38,258300
138,2012-07-25,1.38,1.43,1.38,1.43,85600
139,2012-07-26,1.43,1.48,1.43,1.43,81400
140,2012-07-27,1.43,1.43,1.38,1.38,15700
141,2012-07-30,1.38,1.38,1.38,1.38,51500
142,2012-07-31,1.43,1.43,1.38,1.38,77300
143,2012-08-01,1.38,1.38,1.33,1.38,44400
144,2012-08-02,1.38,1.38,1.38,1.38,42300
145,2012-08-03,1.38,1.38,1.33,1.33,51800
146,2012-08-06,1.38,1.43,1.38,1.43,105900
147,2012-08-07,1.48,1.48,1.38,1.38,84000
148,2012-08-08,1.48,1.48,1.43,1.48,135600
149,2012-08-09,1.58,1.58,1.58,1.58,192700
150,2012-08-10,1.69,1.69,1.64,1.69,771700
151,2012-08-13,1.64,1.64,1.58,1.58,210300
152,2012-08-14,1.58,1.64,1.53,1.64,155400
153,2012-08-15,1.58,1.58,1.53,1.58,73300
154,2012-08-16,1.53,1.58,1.48,1.58,75500
155,2012-08-17,1.58,1.58,1.48,1.58,81000
156,2012-08-20,1.58,1.64,1.53,1.64,149000
157,2012-08-21,1.58,1.58,1.53,1.53,122100
158,2012-08-22,1.43,1.43,1.43,1.43,184700
159,2012-08-23,1.38,1.38,1.38,1.38,75900
160,2012-08-24,1.33,1.43,1.33,1.38,559300
161,2012-08-27,1.43,1.43,1.33,1.33,161600
162,2012-08-28,1.28,1.33,1.28,1.33,143700
163,2012-08-29,1.33,1.33,1.33,1.33,81900
164,2012-08-30,1.38,1.38,1.33,1.33,204100
165,2012-08-31,1.33,1.38,1.33,1.33,52000
166,2012-09-04,1.33,1.38,1.33,1.33,14200
167,2012-09-05,1.33,1.33,1.28,1.28,135800
168,2012-09-06,1.28,1.28,1.23,1.23,38700
169,2012-09-07,1.23,1.28,1.23,1.28,56200
170,2012-09-10,1.23,1.23,1.23,1.23,33400
171,2012-09-11,1.18,1.18,1.18,1.18,75400
172,2012-09-12,1.12,1.23,1.12,1.12,79500
173,2012-09-13,1.12,1.12,1.07,1.07,91900
174,2012-09-14,1.18,1.18,1.18,1.18,129400
175,2012-09-17,1.23,1.23,1.23,1.23,121900
176,2012-09-18,1.18,1.18,1.18,1.18,58400
177,2012-09-19,1.12,1.18,1.12,1.12,83400
178,2012-09-20,1.07,1.12,1.07,1.12,89000
179,2012-09-21,1.12,1.18,1.07,1.12,51100
180,2012-09-24,1.07,1.12,1.07,1.12,42300
181,2012-09-25,1.12,1.12,1.07,1.07,9400
182,2012-09-26,1.07,1.12,1.02,1.07,59900
183,2012-09-27,1.07,1.07,1.02,1.07,64000
184,2012-09-28,1.02,1.07,1.02,1.02,22900
185,2012-10-01,1.02,1.07,1.02,1.07,35800
186,2012-10-02,1.07,1.07,0.97,1.07,40700
187,2012-10-03,1.02,1.02,0.97,1.02,105500
188,2012-10-04,1.07,1.07,0.97,1.07,57100
189,2012-10-05,1.12,1.12,1.07,1.07,29600
190,2012-10-08,1.07,1.12,1.07,1.12,112700
191,2012-10-09,1.12,1.12,1.07,1.07,38400
192,2012-10-10,1.07,1.12,1.07,1.12,128700
193,2012-10-11,1.12,1.18,1.12,1.12,310200
194,2012-10-12,1.18,1.18,1.12,1.12,106400
195,2012-10-15,1.12,1.12,1.07,1.07,108800
196,2012-10-16,1.07,1.12,1.07,1.12,126600
197,2012-10-17,1.12,1.18,1.07,1.07,32800
198,2012-10-18,1.07,1.12,1.02,1.07,237000
199,2012-10-19,1.07,1.07,1.02,1.02,144600
200,2012-10-22,1.02,1.07,1.02,1.02,80700
201,2012-10-23,1.02,1.07,1.02,1.02,8800
202,2012-10-24,1.02,1.07,1.02,1.07,41100
203,2012-10-25,1.02,1.07,0.97,0.97,78800
204,2012-10-26,1.02,1.02,0.97,1.02,25900
205,2012-10-29,1.07,1.07,1.02,1.02,14400
206,2012-10-30,1.02,1.07,0.97,1.02,16400
207,2012-10-31,0.97,1.02,0.97,1.02,9500
208,2012-11-01,1.02,1.02,1.02,1.02,3700
209,2012-11-02,0.97,1.02,0.97,0.97,124100
210,2012-11-05,0.97,0.97,0.92,0.92,99300
211,2012-11-06,0.92,0.92,0.87,0.87,103500
212,2012-11-07,0.92,0.92,0.87,0.87,6600
213,2012-11-08,0.87,0.92,0.87,0.92,18600
214,2012-11-09,0.87,0.92,0.87,0.92,18400
215,2012-11-12,0.92,0.97,0.92,0.97,129900
216,2012-11-13,0.97,1.02,0.92,0.97,135500
217,2012-11-14,0.92,0.97,0.92,0.97,34400
218,2012-11-15,0.92,0.97,0.92,0.92,27400
219,2012-11-16,0.92,0.92,0.87,0.92,15300
220,2012-11-19,0.92,0.92,0.87,0.92,81400
221,2012-11-20,0.87,0.92,0.87,0.92,10200
222,2012-11-21,0.92,0.92,0.87,0.92,18400
223,2012-11-22,0.92,0.92,0.87,0.92,10100
224,2012-11-23,0.92,0.97,0.87,0.92,37100
225,2012-11-26,0.92,0.92,0.87,0.87,93100
226,2012-11-27,0.87,0.92,0.87,0.87,12200
227,2012-11-28,0.87,0.92,0.82,0.92,4000
228,2012-11-29,0.87,0.92,0.87,0.87,4100
229,2012-11-30,0.92,0.92,0.87,0.87,25700
230,2012-12-03,0.87,0.87,0.87,0.87,32000
231,2012-12-04,0.87,0.92,0.82,0.92,27500
232,2012-12-05,0.87,0.92,0.87,0.92,67500
233,2012-12-06,0.92,0.92,0.87,0.92,11800
234,2012-12-07,0.92,0.92,0.92,0.92,28400
235,2012-12-10,0.92,0.97,0.92,0.97,245900
236,2012-12-11,1.02,1.02,1.02,1.02,377200
237,2012-12-12,1.02,1.07,1.02,1.07,382000
238,2012-12-13,1.07,1.07,1.02,1.07,125900
239,2012-12-14,1.02,1.02,1.02,1.02,94300
240,2012-12-17,1.02,1.07,0.97,1.07,354000
241,2012-12-18,1.07,1.07,1.02,1.02,74700
242,2012-12-19,1.02,1.07,1.02,1.07,177300
243,2012-12-20,1.02,1.07,1.02,1.02,123500
244,2012-12-21,1.02,1.07,1.02,1.07,55400
245,2012-12-24,1.02,1.12,1.02,1.12,185000
246,2012-12-25,1.12,1.12,1.07,1.07,30000
247,2012-12-26,1.02,1.12,1.02,1.07,249500
248,2012-12-27,1.12,1.12,1.12,1.12,469900
249,2012-12-28,1.18,1.18,1.18,1.18,126400
250,2013-01-02,1.23,1.23,1.23,1.23,21600
251,2013-01-03,1.28,1.28,1.23,1.28,961400
252,2013-01-04,1.28,1.33,1.28,1.33,388400
253,2013-01-07,1.38,1.38,1.33,1.38,576000
254,2013-01-08,1.38,1.38,1.33,1.38,488100
255,2013-01-09,1.38,1.38,1.33,1.33,473100
256,2013-01-10,1.28,1.33,1.28,1.28,435500
257,2013-01-11,1.28,1.33,1.23,1.28,261100
258,2013-01-14,1.28,1.33,1.28,1.33,362800
259,2013-01-15,1.38,1.43,1.38,1.43,190700
260,2013-01-16,1.53,1.53,1.53,1.53,436600
261,2013-01-17,1.69,1.69,1.53,1.58,878400
262,2013-01-18,1.53,1.64,1.48,1.64,228200
263,2013-01-21,1.58,1.64,1.43,1.53,257100
264,2013-01-22,1.53,1.53,1.38,1.38,769800
265,2013-01-23,1.38,1.43,1.28,1.28,339200
266,2013-01-24,1.28,1.38,1.28,1.38,501800
267,2013-01-25,1.43,1.48,1.43,1.48,507400
268,2013-01-28,1.53,1.58,1.53,1.58,854300
269,2013-01-29,1.64,1.64,1.53,1.53,688200
270,2013-01-30,1.53,1.58,1.48,1.53,292600
271,2013-01-31,1.48,1.58,1.48,1.53,514700
272,2013-02-01,1.48,1.53,1.43,1.53,246700
273,2013-02-04,1.53,1.53,1.43,1.48,300900
274,2013-02-05,1.43,1.48,1.38,1.38,121000
275,2013-02-06,1.48,1.48,1.43,1.48,247800
276,2013-02-07,1.53,1.58,1.53,1.58,567100
277,2013-02-08,1.64,1.69,1.58,1.64,140200
278,2013-02-18,1.64,1.79,1.58,1.79,947800
279,2013-02-19,1.84,1.94,1.74,1.89,1139000
280,2013-02-20,1.89,1.94,1.84,1.89,464300
281,2013-02-21,1.89,1.89,1.74,1.74,884100
282,2013-02-22,1.74,1.84,1.58,1.74,749500
283,2013-02-25,1.69,1.79,1.69,1.74,342300
284,2013-02-26,1.69,1.74,1.58,1.58,437300
285,2013-02-27,1.58,1.64,1.48,1.58,286800
286,2013-02-28,1.58,1.69,1.58,1.58,240800
287,2013-03-01,1.53,1.64,1.48,1.64,274700
288,2013-03-04,1.53,1.58,1.48,1.48,433500
289,2013-03-05,1.43,1.48,1.38,1.38,610000
290,2013-03-06,1.38,1.48,1.38,1.48,469300
291,2013-03-07,1.48,1.48,1.43,1.48,131400
292,2013-03-08,1.43,1.53,1.43,1.48,244800
293,2013-03-11,1.48,1.58,1.43,1.58,280600
294,2013-03-12,1.58,1.58,1.48,1.58,239400
295,2013-03-13,1.58,1.58,1.48,1.53,144100
296,2013-03-14,1.48,1.53,1.48,1.53,141700
297,2013-03-15,1.53,1.58,1.48,1.53,153100
298,2013-03-18,1.48,1.53,1.48,1.48,51300
299,2013-03-19,1.48,1.53,1.43,1.53,139100
300,2013-03-20,1.48,1.53,1.48,1.48,94900
301,2013-03-21,1.48,1.48,1.43,1.48,289200
302,2013-03-22,1.48,1.48,1.43,1.48,107000
303,2013-03-25,1.43,1.48,1.43,1.48,143200
304,2013-03-26,1.43,1.48,1.43,1.43,43300
305,2013-03-27,1.43,1.43,1.38,1.38,155500
306,2013-03-28,1.38,1.38,1.38,1.38,167900
307,2013-03-29,1.33,1.43,1.33,1.43,73500
308,2013-04-01,1.38,1.48,1.38,1.48,105000
309,2013-04-02,1.48,1.53,1.38,1.43,119200
310,2013-04-03,1.43,1.48,1.38,1.48,199500
311,2013-04-04,1.43,1.43,1.38,1.38,107600
312,2013-04-05,1.38,1.43,1.38,1.43,30300
313,2013-04-08,1.43,1.43,1.38,1.43,149300
314,2013-04-09,1.43,1.48,1.38,1.43,120700
315,2013-04-10,1.43,1.48,1.38,1.38,117500
