,time,open,high,low,close,volume
0,2012-01-03,2.16,2.16,2.16,2.16,10
1,2012-01-04,2.17,2.17,2.17,2.17,500
2,2012-01-05,2.22,2.26,2.19,2.26,1590
3,2012-01-06,2.26,2.26,2.16,2.16,360
4,2012-01-09,2.26,2.26,2.26,2.26,20
5,2012-01-10,2.26,2.37,2.26,2.37,150
6,2012-01-11,2.37,2.48,2.37,2.48,13170
7,2012-01-12,2.48,2.59,2.48,2.59,6200
8,2012-01-13,2.58,2.7,2.51,2.59,2610
9,2012-01-16,2.59,2.59,2.5,2.5,6020
10,2012-01-17,2.51,2.51,2.51,2.51,5040
11,2012-01-18,2.63,2.63,2.62,2.63,680
12,2012-01-19,2.65,2.65,2.52,2.52,2830
13,2012-01-20,2.65,2.65,2.51,2.51,12960
14,2012-01-30,2.51,2.63,2.51,2.63,730
15,2012-01-31,2.65,2.75,2.65,2.75,210
16,2012-02-01,2.75,2.75,2.62,2.62,7390
17,2012-02-02,2.65,2.65,2.59,2.59,1120
18,2012-02-03,2.59,2.72,2.59,2.59,2150
19,2012-02-06,2.65,2.66,2.65,2.65,2440
20,2012-02-07,2.56,2.56,2.56,2.56,10
21,2012-02-08,2.68,2.68,2.59,2.59,410
22,2012-02-09,2.72,2.72,2.58,2.58,30
23,2012-02-10,2.65,2.65,2.63,2.63,3140
24,2012-02-13,2.76,2.76,2.65,2.65,360
25,2012-02-14,2.69,2.72,2.69,2.72,30
26,2012-02-15,2.79,2.84,2.79,2.79,1870
27,2012-02-16,2.8,2.8,2.79,2.79,350
28,2012-02-17,2.93,2.93,2.93,2.93,1280
29,2012-02-20,3.07,3.07,3.07,3.07,4110
30,2012-02-21,3.07,3.07,3.07,3.07,130
31,2012-02-22,3.07,3.07,3.07,3.07,10
32,2012-02-23,3.07,3.07,2.91,3.04,1050
33,2012-02-24,3.04,3.04,3.0,3.04,1760
34,2012-02-27,2.9,2.9,2.9,2.9,2140
35,2012-02-28,2.8,2.8,2.76,2.76,4700
36,2012-02-29,2.63,2.76,2.63,2.63,4590
37,2012-03-01,2.65,2.65,2.63,2.63,4100
38,2012-03-02,2.65,2.65,2.65,2.65,5030
39,2012-03-05,2.65,2.77,2.65,2.77,50570
40,2012-03-06,2.9,2.9,2.77,2.77,3710
41,2012-03-07,2.77,2.77,2.65,2.65,25390
42,2012-03-08,2.54,2.54,2.52,2.52,34610
43,2012-03-09,2.63,2.63,2.63,2.63,15350
44,2012-03-12,2.65,2.65,2.65,2.65,4590
45,2012-03-13,2.65,2.65,2.58,2.58,2150
46,2012-03-14,2.58,2.58,2.45,2.45,32310
47,2012-03-15,2.45,2.54,2.41,2.41,3660
48,2012-03-16,2.52,2.52,2.51,2.52,3230
49,2012-03-19,2.52,2.52,2.41,2.51,7900
50,2012-03-20,2.5,2.59,2.5,2.51,3360
51,2012-03-21,2.58,2.58,2.51,2.56,4960
52,2012-03-22,2.56,2.59,2.45,2.59,4090
53,2012-03-23,2.59,2.63,2.59,2.63,1250
54,2012-03-26,2.65,2.7,2.63,2.7,20620
55,2012-03-27,2.79,2.79,2.69,2.69,18490
56,2012-03-28,2.73,2.73,2.61,2.72,28060
57,2012-03-29,2.66,2.68,2.66,2.68,510
58,2012-03-30,2.69,2.69,2.69,2.69,10
59,2012-04-03,2.79,2.79,2.79,2.79,10
60,2012-04-04,2.65,2.86,2.65,2.86,29000
61,2012-04-05,2.84,2.86,2.8,2.8,3310
62,2012-04-06,2.68,2.8,2.68,2.8,1020
63,2012-04-09,2.79,2.79,2.79,2.79,1720
64,2012-04-10,2.73,2.79,2.65,2.72,13230
65,2012-04-11,2.66,2.72,2.66,2.72,38030
66,2012-04-12,2.72,2.73,2.68,2.7,65770
67,2012-04-13,2.8,2.83,2.77,2.83,11720
68,2012-04-16,2.97,2.97,2.97,2.97,18430
69,2012-04-17,3.11,3.11,3.11,3.11,36930
70,2012-04-18,3.26,3.26,3.26,3.26,123790
71,2012-04-19,3.42,3.42,3.35,3.42,119310
72,2012-04-20,3.3,3.48,3.3,3.47,198240
73,2012-04-23,3.35,3.37,3.3,3.3,89380
74,2012-04-24,3.3,3.3,3.15,3.3,123320
75,2012-04-25,3.3,3.46,3.22,3.46,52980
76,2012-04-26,3.57,3.57,3.29,3.29,85380
77,2012-04-27,3.35,3.35,3.14,3.28,94190
78,2012-05-02,3.28,3.28,3.12,3.12,27000
79,2012-05-03,2.98,3.12,2.97,2.97,41510
80,2012-05-04,2.97,3.11,2.97,3.11,9280
81,2012-05-07,3.26,3.26,3.01,3.26,60100
82,2012-05-08,3.39,3.42,3.39,3.42,172680
83,2012-05-09,3.47,3.58,3.44,3.58,115550
84,2012-05-10,3.75,3.75,3.58,3.65,184330
85,2012-05-11,3.79,3.79,3.55,3.65,87550
86,2012-05-14,3.48,3.62,3.47,3.47,175670
87,2012-05-15,3.33,3.47,3.3,3.47,24770
88,2012-05-16,3.35,3.61,3.3,3.3,37510
89,2012-05-17,3.22,3.44,3.22,3.23,1140
90,2012-05-18,3.25,3.36,3.12,3.12,33840
91,2012-05-21,3.05,3.28,3.01,3.28,22470
92,2012-05-22,3.28,3.4,3.19,3.35,7580
93,2012-05-23,3.23,3.4,3.18,3.26,22640
94,2012-05-24,3.15,3.24,3.09,3.09,67700
95,2012-05-25,3.24,3.24,3.08,3.11,119120
96,2012-05-28,3.11,3.12,2.98,2.99,226920
97,2012-05-29,2.99,3.14,2.84,3.14,123530
98,2012-05-30,3.27,3.27,3.21,3.21,3620
99,2012-05-31,3.11,3.11,3.06,3.06,29400
100,2012-06-01,3.06,3.06,2.92,2.92,81170
101,2012-06-04,2.84,2.89,2.78,2.78,50700
102,2012-06-05,2.78,2.86,2.65,2.84,54560
103,2012-06-06,2.84,2.86,2.71,2.74,78090
104,2012-06-07,2.84,2.87,2.72,2.83,26370
105,2012-06-08,2.83,2.89,2.78,2.83,37380
106,2012-06-11,2.83,2.83,2.75,2.75,10720
107,2012-06-12,2.75,2.8,2.63,2.75,31690
108,2012-06-13,2.75,2.75,2.62,2.63,23040
