,time,open,high,low,close,volume
0,2015-07-23,6.38,6.38,5.67,6.02,59400
1,2015-07-24,6.02,6.2,6.02,6.02,8700
2,2015-07-27,5.99,6.02,5.85,5.85,15000
3,2015-07-28,5.67,5.85,5.67,5.67,33400
4,2015-07-29,5.67,5.74,5.49,5.49,29300
5,2015-07-30,5.53,5.6,5.53,5.56,16000
6,2015-07-31,5.56,5.56,5.53,5.53,11200
7,2015-08-03,5.28,5.56,5.28,5.53,26600
8,2015-08-04,5.35,5.49,5.32,5.39,18600
9,2015-08-05,5.49,5.49,5.28,5.49,17200
10,2015-08-06,5.49,5.49,5.49,5.49,0
11,2015-08-07,5.28,5.28,5.28,5.28,500
12,2015-08-10,5.24,5.24,5.03,5.03,22600
13,2015-08-11,5.07,5.07,5.07,5.07,1900
14,2015-08-12,5.17,5.21,5.07,5.14,15600
15,2015-08-13,5.14,5.14,5.14,5.14,0
16,2015-08-14,5.14,5.14,5.14,5.14,0
17,2015-08-17,5.21,5.21,5.14,5.14,1300
18,2015-08-18,5.14,5.14,5.14,5.14,500
19,2015-08-19,5.07,5.14,5.07,5.14,1700
20,2015-08-20,5.07,5.1,5.07,5.1,5700
21,2015-08-21,5.07,5.1,5.07,5.1,2100
22,2015-08-24,5.03,5.03,5.03,5.03,1000
23,2015-08-25,5.03,5.03,5.03,5.03,0
24,2015-08-26,5.03,5.03,5.03,5.03,0
25,2015-08-27,5.03,5.03,5.03,5.03,0
26,2015-08-28,5.14,5.14,5.14,5.14,1000
27,2015-08-31,5.03,5.07,5.03,5.07,7900
28,2015-09-01,5.07,5.07,5.07,5.07,0
29,2015-09-03,5.07,5.07,5.07,5.07,0
30,2015-09-04,5.07,5.07,5.07,5.07,0
31,2015-09-07,5.0,5.21,5.0,5.21,700
32,2015-09-08,5.21,5.21,5.21,5.21,0
33,2015-09-09,5.17,5.17,5.17,5.17,100
34,2015-09-10,5.17,5.17,5.17,5.17,0
35,2015-09-11,5.17,5.17,5.17,5.17,0
36,2015-09-14,5.24,5.24,5.24,5.24,400
37,2015-09-15,5.24,5.24,5.24,5.24,0
38,2015-09-16,5.07,5.07,5.07,5.07,200
39,2015-09-17,5.24,5.24,5.24,5.24,100
40,2015-09-18,5.24,5.24,5.24,5.24,0
41,2015-09-21,5.0,5.0,5.0,5.0,100
42,2015-09-22,5.24,5.28,5.24,5.28,300
43,2015-09-23,5.24,5.24,5.24,5.24,500
44,2015-09-24,5.28,5.28,5.28,5.28,1100
45,2015-09-25,5.28,5.28,5.24,5.24,1900
46,2015-09-28,5.24,5.24,5.24,5.24,0
47,2015-09-29,5.17,5.32,5.17,5.32,2500
48,2015-09-30,5.32,5.32,5.32,5.32,0
49,2015-10-01,5.32,5.32,5.32,5.32,0
50,2015-10-02,5.07,5.07,5.07,5.07,3000
51,2015-10-05,5.07,5.07,5.07,5.07,1000
52,2015-10-06,5.07,5.07,5.07,5.07,0
53,2015-10-07,5.39,5.39,5.39,5.39,100
54,2015-10-08,5.07,5.07,5.07,5.07,100
55,2015-10-09,5.07,5.07,5.07,5.07,0
56,2015-10-12,5.32,5.32,5.32,5.32,100
57,2015-10-13,5.32,5.32,5.32,5.32,0
58,2015-10-14,5.32,5.32,5.32,5.32,0
59,2015-10-15,5.32,5.32,5.32,5.32,0
60,2015-10-16,5.32,5.39,5.32,5.39,2000
61,2015-10-19,5.39,5.39,5.39,5.39,0
62,2015-10-20,5.39,5.39,5.39,5.39,0
63,2015-10-21,5.39,5.39,5.39,5.39,0
64,2015-10-22,5.21,5.21,5.21,5.21,700
65,2015-10-23,5.21,5.21,5.21,5.21,0
66,2015-10-26,5.17,5.17,5.17,5.17,2700
67,2015-10-27,5.17,5.17,5.17,5.17,0
68,2015-10-28,5.32,5.32,5.32,5.32,300
69,2015-10-29,5.32,5.32,5.17,5.17,2200
70,2015-10-30,5.17,5.17,5.17,5.17,10000
71,2015-11-02,5.32,5.32,5.17,5.17,7000
72,2015-11-03,5.17,5.17,5.14,5.14,18000
73,2015-11-04,5.14,5.14,5.14,5.14,5000
74,2015-11-05,5.07,5.07,5.07,5.07,7000
75,2015-11-06,5.07,5.07,5.07,5.07,0
76,2015-11-09,5.07,5.07,5.07,5.07,0
77,2015-11-10,5.07,5.07,5.07,5.07,0
78,2015-11-11,5.14,5.14,5.14,5.14,700
79,2015-11-12,4.96,4.96,4.96,4.96,7000
80,2015-11-13,4.89,4.89,4.89,4.89,14000
81,2015-11-16,4.89,4.89,4.89,4.89,0
82,2015-11-17,4.89,4.89,4.89,4.89,0
83,2015-11-18,4.89,4.89,4.89,4.89,0
84,2015-11-19,4.89,4.89,4.89,4.89,0
85,2015-11-20,4.89,4.89,4.89,4.89,0
86,2015-11-23,4.89,4.89,4.89,4.89,0
87,2015-11-24,4.86,4.86,4.86,4.86,3900
88,2015-11-25,4.86,4.86,4.86,4.86,0
89,2015-11-26,5.14,5.14,5.14,5.14,100
90,2015-11-27,5.14,5.14,5.14,5.14,0
91,2015-11-30,4.64,5.14,4.64,5.0,4400
92,2015-12-01,4.5,4.5,4.5,4.5,100
93,2015-12-02,4.5,4.5,4.5,4.5,0
94,2015-12-03,4.68,4.68,4.68,4.68,100
95,2015-12-04,4.68,4.68,4.68,4.68,0
96,2015-12-07,4.89,4.89,4.89,4.89,100
97,2015-12-08,4.89,4.89,4.89,4.89,0
98,2015-12-09,4.89,4.89,4.89,4.89,0
99,2015-12-10,4.89,4.89,4.89,4.89,0
100,2015-12-11,4.89,4.89,4.89,4.89,0
101,2015-12-14,4.89,4.89,4.89,4.89,0
102,2015-12-15,4.89,4.89,4.89,4.89,0
103,2015-12-16,4.89,4.89,4.89,4.89,0
104,2015-12-17,4.89,4.89,4.89,4.89,0
105,2015-12-18,5.35,5.35,5.35,5.35,100
106,2015-12-21,4.82,4.82,4.82,4.82,100
107,2015-12-22,4.82,4.82,4.82,4.82,0
108,2015-12-23,5.28,5.28,5.28,5.28,100
109,2015-12-24,4.78,4.78,4.78,4.78,100
110,2015-12-25,5.03,5.03,5.03,5.03,200
111,2015-12-28,4.54,4.54,4.54,4.54,100
112,2015-12-29,4.78,4.78,4.78,4.78,200
113,2015-12-30,4.78,4.78,4.78,4.78,0
114,2015-12-31,4.89,5.07,4.89,5.07,200
115,2016-01-04,4.57,4.57,4.57,4.57,100
116,2016-01-05,4.57,4.57,4.57,4.57,0
117,2016-01-06,4.57,4.57,4.57,4.57,0
118,2016-01-07,4.57,4.57,4.57,4.57,0
119,2016-01-08,4.61,4.61,4.61,4.61,100
120,2016-01-11,4.61,4.61,4.61,4.61,0
121,2016-01-12,4.82,4.82,4.82,4.82,200
122,2016-01-13,4.61,4.61,4.61,4.61,600
123,2016-01-14,4.75,4.75,4.75,4.75,100
124,2016-01-15,4.75,4.75,4.75,4.75,200
125,2016-01-18,4.57,4.57,4.57,4.57,1700
126,2016-01-19,4.54,4.54,4.54,4.54,1000
127,2016-01-20,4.54,4.54,4.54,4.54,0
128,2016-01-21,4.61,4.61,4.61,4.61,200
129,2016-01-22,4.61,4.61,4.61,4.61,0
130,2016-01-25,5.0,5.0,4.64,4.64,1200
131,2016-01-26,4.5,4.5,4.5,4.5,7800
132,2016-01-27,4.78,4.78,4.78,4.78,100
133,2016-01-28,4.32,4.86,4.32,4.68,500
134,2016-01-29,4.68,4.68,4.68,4.68,0
135,2016-02-01,4.22,4.78,4.22,4.5,1500
136,2016-02-02,4.5,4.5,4.5,4.5,0
137,2016-02-03,4.5,4.5,4.5,4.5,0
138,2016-02-04,4.5,4.5,4.5,4.5,0
139,2016-02-05,4.5,4.5,4.5,4.5,0
140,2016-02-15,4.61,4.61,4.61,4.61,300
141,2016-02-16,4.61,4.61,4.61,4.61,300
142,2016-02-17,4.61,4.61,4.61,4.61,2200
143,2016-02-18,5.07,5.07,5.07,5.07,100
144,2016-02-19,4.57,4.57,4.57,4.57,100
145,2016-02-22,4.57,4.57,4.57,4.57,0
146,2016-02-23,4.57,4.57,4.57,4.57,0
147,2016-02-24,4.61,4.61,4.61,4.61,200
148,2016-02-25,4.61,4.61,4.61,4.61,0
149,2016-02-26,5.03,5.03,5.03,5.03,100
150,2016-02-29,5.03,5.03,5.03,5.03,0
151,2016-03-01,4.78,4.78,4.78,4.78,1900
152,2016-03-02,4.78,4.78,4.78,4.78,3100
153,2016-03-03,4.78,4.78,4.78,4.78,0
154,2016-03-04,4.78,4.78,4.78,4.78,0
155,2016-03-07,4.78,4.78,4.78,4.78,200
156,2016-03-08,4.61,4.61,4.61,4.61,10000
157,2016-03-09,4.96,4.96,4.96,4.96,100
158,2016-03-10,4.78,4.78,4.78,4.78,500
159,2016-03-11,4.78,4.78,4.78,4.78,0
160,2016-03-14,4.93,4.93,4.93,4.93,300
161,2016-03-15,4.78,4.78,4.78,4.78,100
162,2016-03-16,4.64,4.64,4.61,4.61,5000
163,2016-03-17,4.71,4.71,4.71,4.71,900
164,2016-03-18,4.71,4.71,4.71,4.71,0
165,2016-03-21,4.68,4.68,4.68,4.68,1900
166,2016-03-22,4.64,4.64,4.64,4.64,8400
167,2016-03-23,4.68,4.68,4.68,4.68,400
168,2016-03-24,4.68,4.68,4.64,4.64,800
169,2016-03-25,4.61,4.61,4.61,4.61,8200
170,2016-03-28,4.57,4.57,4.57,4.57,2200
171,2016-03-29,4.75,4.75,4.75,4.75,100
172,2016-03-30,4.75,4.86,4.75,4.86,8100
173,2016-03-31,4.89,4.89,4.89,4.89,1000
174,2016-04-01,4.93,4.93,4.89,4.89,2000
175,2016-04-04,4.89,4.89,4.89,4.89,0
176,2016-04-05,5.1,5.1,5.1,5.1,100
177,2016-04-06,5.1,5.1,5.1,5.1,0
178,2016-04-07,5.24,5.24,5.14,5.14,1100
179,2016-04-08,5.24,5.6,5.24,5.6,800
180,2016-04-11,5.14,5.14,5.07,5.14,4100
181,2016-04-12,5.14,5.39,5.14,5.39,2500
182,2016-04-13,5.28,5.28,5.28,5.28,100
183,2016-04-14,5.67,5.67,5.67,5.67,100
184,2016-04-15,5.1,5.1,5.1,5.1,100
185,2016-04-19,5.53,5.53,5.53,5.53,100
186,2016-04-20,5.0,5.0,5.0,5.0,100
187,2016-04-21,5.49,5.49,5.21,5.21,3400
188,2016-04-22,5.49,5.49,5.28,5.28,2000
189,2016-04-25,5.78,5.78,5.78,5.78,100
190,2016-04-26,5.78,5.78,5.78,5.78,0
191,2016-04-27,5.21,5.39,5.21,5.39,200
192,2016-04-28,5.49,5.49,5.49,5.49,1000
193,2016-04-29,6.04,6.04,6.04,6.04,0
194,2016-05-04,6.04,6.04,6.04,6.04,0
195,2016-05-05,5.34,5.34,5.34,5.34,100
196,2016-05-06,5.34,5.34,5.34,5.34,0
197,2016-05-09,5.45,5.45,5.45,5.45,1400
198,2016-05-10,5.45,5.45,5.45,5.45,0
199,2016-05-11,5.38,5.38,5.38,5.38,3000
200,2016-05-12,5.38,5.38,5.38,5.38,0
201,2016-05-13,5.65,5.65,5.65,5.65,900
202,2016-05-16,5.65,5.65,5.65,5.65,0
203,2016-05-17,5.65,5.65,5.65,5.65,0
204,2016-05-18,5.65,5.65,5.65,5.65,0
205,2016-05-19,5.65,5.65,5.65,5.65,0
206,2016-05-20,5.45,5.45,5.45,5.45,1500
207,2016-05-23,5.45,5.45,5.45,5.45,600
