,time,open,high,low,close,volume
0,2012-01-03,1.3,1.37,1.3,1.37,2800
1,2012-01-04,1.23,1.37,1.23,1.37,1400
2,2012-01-05,1.3,1.3,1.3,1.3,2800
3,2012-01-06,1.23,1.23,1.23,1.23,3000
4,2012-01-09,1.16,1.16,1.16,1.16,300
5,2012-01-10,1.16,1.23,1.16,1.23,1700
6,2012-01-11,1.3,1.3,1.3,1.3,4300
7,2012-01-12,1.37,1.37,1.3,1.3,15500
8,2012-01-13,1.37,1.37,1.37,1.37,5300
9,2012-01-16,1.44,1.44,1.37,1.44,3100
10,2012-01-17,1.5,1.5,1.37,1.37,2400
11,2012-01-18,1.44,1.44,1.37,1.37,5600
12,2012-01-19,1.44,1.44,1.44,1.44,1000
13,2012-01-20,1.5,1.5,1.44,1.5,3000
14,2012-01-30,1.57,1.57,1.57,1.57,300
15,2012-01-31,1.64,1.64,1.5,1.5,13700
16,2012-02-01,1.44,1.5,1.44,1.44,19800
17,2012-02-02,1.37,1.5,1.37,1.5,17600
18,2012-02-03,1.57,1.57,1.5,1.5,21200
19,2012-02-06,1.5,1.57,1.5,1.57,2200
20,2012-02-07,1.57,1.57,1.57,1.57,13700
21,2012-02-08,1.57,1.64,1.57,1.64,24400
22,2012-02-09,1.64,1.64,1.57,1.57,8800
23,2012-02-10,1.5,1.5,1.5,1.5,46500
24,2012-02-13,1.44,1.44,1.44,1.44,2300
25,2012-02-14,1.44,1.5,1.37,1.37,13100
26,2012-02-15,1.37,1.44,1.37,1.44,14000
27,2012-02-16,1.44,1.44,1.44,1.44,1100
28,2012-02-17,1.5,1.5,1.44,1.5,12400
29,2012-02-20,1.57,1.57,1.57,1.57,18400
30,2012-02-21,1.64,1.64,1.57,1.57,29200
31,2012-02-22,1.57,1.57,1.5,1.5,8200
32,2012-02-23,1.57,1.57,1.5,1.57,42400
33,2012-02-24,1.64,1.64,1.57,1.64,88800
34,2012-02-27,1.71,1.71,1.71,1.71,10800
35,2012-02-28,1.78,1.78,1.78,1.78,17700
36,2012-02-29,1.85,1.85,1.85,1.85,38400
