,time,open,high,low,close,volume
0,2012-01-03,3.34,3.37,3.25,3.28,132040
1,2012-01-04,3.25,3.31,3.23,3.23,79470
2,2012-01-05,3.23,3.23,3.17,3.17,56230
3,2012-01-06,3.17,3.17,3.11,3.14,29010
4,2012-01-09,3.14,3.17,3.14,3.14,173230
5,2012-01-10,3.2,3.28,3.11,3.28,276950
6,2012-01-11,3.28,3.28,3.2,3.2,86720
7,2012-01-12,3.23,3.28,3.17,3.2,145140
8,2012-01-13,3.23,3.23,3.2,3.2,103720
9,2012-01-16,3.2,3.28,3.2,3.23,238510
10,2012-01-17,3.2,3.23,3.2,3.2,138640
11,2012-01-18,3.25,3.25,3.14,3.2,115790
12,2012-01-19,3.2,3.31,3.2,3.31,206190
13,2012-01-20,3.23,3.34,3.23,3.31,349620
14,2012-01-30,3.31,3.34,3.25,3.34,120940
15,2012-01-31,3.37,3.45,3.34,3.37,425200
16,2012-02-01,3.37,3.4,3.31,3.37,180220
17,2012-02-02,3.42,3.51,3.4,3.48,361680
18,2012-02-03,3.51,3.54,3.34,3.34,343580
19,2012-02-06,3.34,3.37,3.28,3.34,216620
20,2012-02-07,3.34,3.4,3.31,3.34,150100
21,2012-02-08,3.37,3.48,3.37,3.48,1099660
22,2012-02-09,3.45,3.54,3.45,3.45,362320
23,2012-02-10,3.42,3.48,3.37,3.37,514310
24,2012-02-13,3.34,3.34,3.28,3.31,178140
25,2012-02-14,3.28,3.37,3.28,3.37,284970
26,2012-02-15,3.34,3.37,3.28,3.34,238720
27,2012-02-16,3.34,3.37,3.28,3.31,315840
28,2012-02-17,3.34,3.42,3.34,3.42,198500
29,2012-02-20,3.48,3.56,3.45,3.54,571410
30,2012-02-21,3.59,3.59,3.42,3.45,437120
31,2012-02-22,3.42,3.54,3.42,3.54,404690
32,2012-02-23,3.56,3.7,3.51,3.7,1232940
33,2012-02-24,3.79,3.87,3.76,3.84,1709710
34,2012-02-27,3.87,3.96,3.82,3.96,551840
35,2012-02-28,3.93,3.93,3.76,3.76,440490
