,time,open,high,low,close,volume
0,2012-01-03,2.06,2.15,2.06,2.09,2040
1,2012-01-04,2.06,2.06,2.06,2.06,890
2,2012-01-05,2.06,2.06,2.06,2.06,0
3,2012-01-06,2.12,2.12,2.12,2.12,1030
4,2012-01-09,2.21,2.21,2.21,2.21,2240
5,2012-01-10,2.21,2.21,2.21,2.21,500
6,2012-01-11,2.21,2.21,2.18,2.18,14760
7,2012-01-12,2.18,2.18,2.15,2.15,10210
8,2012-01-13,2.18,2.25,2.18,2.18,9010
9,2012-01-16,2.28,2.28,2.28,2.28,40
10,2012-01-17,2.18,2.37,2.18,2.37,3010
11,2012-01-18,2.31,2.31,2.31,2.31,10
12,2012-01-19,2.4,2.4,2.4,2.4,10
13,2012-01-20,2.5,2.5,2.47,2.47,9990
14,2012-01-30,2.53,2.53,2.5,2.53,3100
15,2012-01-31,2.59,2.59,2.53,2.53,2910
16,2012-02-01,2.59,2.59,2.59,2.59,60
17,2012-02-02,2.63,2.66,2.63,2.66,310
18,2012-02-03,2.69,2.69,2.66,2.66,1220
19,2012-02-06,2.53,2.53,2.53,2.53,10
20,2012-02-07,2.66,2.66,2.59,2.59,520
21,2012-02-08,2.59,2.59,2.53,2.53,1580
22,2012-02-09,2.53,2.53,2.5,2.5,4520
23,2012-02-10,2.53,2.53,2.47,2.47,17010
24,2012-02-13,2.44,2.44,2.44,2.44,20
25,2012-02-14,2.47,2.53,2.47,2.53,1100
26,2012-02-15,2.44,2.47,2.44,2.44,9510
27,2012-02-16,2.4,2.4,2.4,2.4,2520
28,2012-02-17,2.44,2.47,2.44,2.47,3170
29,2012-02-20,2.53,2.53,2.44,2.44,5150
30,2012-02-21,2.47,2.5,2.44,2.5,5210
31,2012-02-22,2.5,2.53,2.5,2.53,5900
32,2012-02-23,2.56,2.59,2.56,2.59,5060
33,2012-02-24,2.56,2.56,2.53,2.53,14840
34,2012-02-27,2.53,2.53,2.47,2.47,1800
35,2012-02-28,2.53,2.53,2.47,2.47,10290
36,2012-02-29,2.44,2.44,2.44,2.44,3300
37,2012-03-01,2.53,2.53,2.47,2.5,3210
38,2012-03-02,2.44,2.53,2.44,2.47,15610
39,2012-03-05,2.47,2.56,2.47,2.56,78670
40,2012-03-06,2.56,2.69,2.56,2.56,56290
41,2012-03-07,2.56,2.59,2.53,2.56,58310
42,2012-03-08,2.56,2.56,2.53,2.53,36490
43,2012-03-09,2.59,2.59,2.53,2.53,37720
44,2012-03-12,2.53,2.63,2.5,2.53,33660
45,2012-03-13,2.53,2.56,2.5,2.56,14700
46,2012-03-14,2.53,2.56,2.53,2.56,24780
47,2012-03-15,2.56,2.63,2.56,2.63,36970
48,2012-03-16,2.63,2.66,2.5,2.66,1550
49,2012-03-19,2.66,2.66,2.53,2.53,7870
50,2012-03-20,2.56,2.56,2.53,2.53,9360
51,2012-03-21,2.56,2.66,2.56,2.66,34690
52,2012-03-22,2.78,2.78,2.66,2.69,9390
53,2012-03-23,2.82,2.82,2.82,2.82,35000
54,2012-03-26,2.94,2.94,2.94,2.94,3910
55,2012-03-27,3.07,3.07,2.94,2.94,71580
56,2012-03-28,2.94,3.01,2.91,2.91,23660
57,2012-03-29,2.94,3.01,2.88,2.88,28950
58,2012-03-30,2.94,2.94,2.88,2.91,27050
59,2012-04-03,2.95,2.98,2.87,2.98,16900
60,2012-04-04,3.02,3.02,2.84,2.84,1470
61,2012-04-05,2.8,2.95,2.76,2.87,10750
62,2012-04-06,2.95,2.95,2.84,2.91,2120
63,2012-04-09,2.84,2.95,2.8,2.8,19180
64,2012-04-10,2.73,2.87,2.73,2.87,5230
65,2012-04-11,2.8,2.95,2.8,2.95,29780
66,2012-04-12,2.95,2.95,2.84,2.84,6150
67,2012-04-13,2.91,2.95,2.87,2.87,59020
68,2012-04-16,2.91,2.91,2.84,2.91,11400
69,2012-04-17,2.95,3.02,2.87,3.02,79920
70,2012-04-18,3.06,3.06,2.98,2.98,9570
71,2012-04-19,3.06,3.06,2.95,2.98,12640
72,2012-04-20,2.95,2.95,2.87,2.91,7010
73,2012-04-23,2.91,2.98,2.84,2.98,84940
74,2012-04-24,2.98,2.98,2.95,2.95,23000
75,2012-04-25,2.87,3.06,2.84,3.06,36670
76,2012-04-26,2.95,3.02,2.95,2.98,10820
77,2012-04-27,2.95,2.98,2.91,2.98,47000
78,2012-05-02,3.06,3.13,2.95,3.09,93960
79,2012-05-03,3.09,3.09,3.06,3.06,40270
80,2012-05-04,3.09,3.21,3.06,3.21,172750
81,2012-05-07,3.35,3.35,3.35,3.35,38140
82,2012-05-08,3.5,3.5,3.5,3.5,46860
83,2012-05-09,3.65,3.65,3.57,3.65,321850
84,2012-05-10,3.65,3.76,3.5,3.5,143470
85,2012-05-11,3.39,3.5,3.35,3.39,106540
86,2012-05-14,3.39,3.39,3.24,3.28,60420
87,2012-05-15,3.21,3.21,3.13,3.17,57530
88,2012-05-16,3.21,3.21,3.06,3.17,21090
89,2012-05-17,3.17,3.28,3.06,3.06,41220
90,2012-05-18,3.06,3.06,2.98,2.98,18810
91,2012-05-21,3.02,3.13,3.02,3.13,40920
92,2012-05-22,3.06,3.24,3.06,3.21,13720
93,2012-05-23,3.09,3.09,3.06,3.06,31610
94,2012-05-24,3.21,3.21,2.91,2.91,50720
95,2012-05-25,3.02,3.02,2.8,3.02,16660
96,2012-05-28,3.13,3.13,3.06,3.13,3050
97,2012-05-29,3.06,3.06,3.02,3.02,31810
98,2012-05-30,3.13,3.13,3.02,3.09,6020
99,2012-05-31,3.02,3.06,2.95,2.95,39880
100,2012-06-01,3.06,3.06,2.95,2.98,1080
101,2012-06-04,3.13,3.13,2.91,2.98,16210
102,2012-06-05,2.95,2.98,2.95,2.98,8390
103,2012-06-06,2.95,3.06,2.95,3.02,2050
104,2012-06-07,3.02,3.06,3.02,3.06,7790
105,2012-06-08,3.09,3.09,3.06,3.06,21650
106,2012-06-11,3.09,3.09,3.09,3.09,10
107,2012-06-12,3.06,3.13,2.98,3.06,8120
108,2012-06-13,3.06,3.06,3.02,3.02,2810
109,2012-06-14,2.98,3.06,2.98,3.06,7690
110,2012-06-15,3.06,3.09,3.06,3.09,7520
111,2012-06-18,3.13,3.13,3.02,3.09,8920
112,2012-06-19,3.02,3.02,2.98,2.98,8860
