,time,open,high,low,close,volume
0,2012-01-03,2.79,2.88,2.79,2.88,26200
1,2012-01-04,2.88,2.96,2.88,2.88,10000
2,2012-01-05,2.88,3.05,2.88,2.96,19800
3,2012-01-06,2.88,2.96,2.79,2.79,32500
4,2012-01-09,2.79,2.79,2.79,2.79,6400
5,2012-01-10,2.88,2.96,2.88,2.96,19000
6,2012-01-11,2.96,2.96,2.88,2.88,25700
7,2012-01-12,2.88,2.88,2.79,2.79,2500
8,2012-01-13,2.79,2.79,2.79,2.79,25800
9,2012-01-16,2.79,2.88,2.7,2.7,22900
10,2012-01-17,2.79,2.88,2.79,2.88,16200
11,2012-01-18,2.79,2.96,2.79,2.96,112900
12,2012-01-19,2.88,3.05,2.88,3.05,13000
13,2012-01-20,3.05,3.05,2.96,2.96,25400
14,2012-01-30,3.05,3.05,2.96,2.96,28100
15,2012-01-31,3.05,3.23,2.96,3.14,23800
16,2012-02-01,3.14,3.14,3.05,3.14,11300
17,2012-02-02,3.05,3.23,3.05,3.14,44200
18,2012-02-03,3.14,3.23,3.05,3.14,44800
19,2012-02-06,3.05,3.05,2.88,2.96,13400
20,2012-02-07,2.96,2.96,2.96,2.96,1100
21,2012-02-08,2.96,3.05,2.96,2.96,16200
22,2012-02-09,2.96,2.96,2.79,2.79,29700
23,2012-02-10,2.79,2.79,2.79,2.79,11600
24,2012-02-13,2.79,2.79,2.7,2.79,8200
25,2012-02-14,2.79,2.79,2.79,2.79,21200
26,2012-02-15,2.79,2.79,2.62,2.7,24100
27,2012-02-16,2.7,2.79,2.7,2.79,6800
28,2012-02-17,2.79,2.88,2.79,2.88,6000
29,2012-02-20,2.88,3.05,2.88,3.05,37100
30,2012-02-21,3.05,3.14,2.88,2.88,20900
31,2012-02-22,2.88,3.05,2.88,3.05,34100
32,2012-02-23,3.05,3.14,2.96,3.14,47500
33,2012-02-24,3.14,3.23,3.14,3.23,61000
34,2012-02-27,3.23,3.31,3.14,3.31,54200
35,2012-02-28,3.31,3.31,3.05,3.05,191500
36,2012-02-29,2.96,3.05,2.96,3.05,69700
37,2012-03-01,2.96,3.14,2.79,2.96,73100
38,2012-03-02,3.05,3.05,3.05,3.05,8800
39,2012-03-05,3.23,3.23,3.23,3.23,9500
40,2012-03-06,3.4,3.4,3.23,3.23,208200
41,2012-03-07,3.31,3.49,3.14,3.49,153800
42,2012-03-08,3.57,3.57,3.49,3.57,144400
43,2012-03-09,3.57,3.66,3.4,3.4,94800
44,2012-03-12,3.4,3.4,3.23,3.23,58300
45,2012-03-13,3.23,3.4,3.23,3.4,71900
46,2012-03-14,3.49,3.49,3.31,3.4,72300
47,2012-03-15,3.31,3.49,3.23,3.49,113700
48,2012-03-16,3.5,3.6,3.5,3.5,170000
49,2012-03-19,3.5,3.6,3.5,3.5,60500
50,2012-03-20,3.4,3.7,3.4,3.5,72400
