,time,open,high,low,close,volume
0,2017-02-22,4.75,4.75,4.75,4.75,1000
1,2017-02-23,4.75,4.75,4.75,4.75,0
2,2017-02-24,5.43,5.43,5.43,5.43,500
3,2017-02-27,6.11,6.24,4.61,4.61,1700
4,2017-02-28,6.11,6.11,5.6,5.6,700
5,2017-03-01,5.6,5.6,5.09,5.09,7300
6,2017-03-02,5.12,5.22,5.12,5.22,300
7,2017-03-03,4.41,4.41,4.41,4.41,100
8,2017-03-06,4.07,4.07,3.77,3.77,900
9,2017-03-07,3.83,3.83,3.83,3.83,200
10,2017-03-08,3.87,3.87,3.87,3.87,100
11,2017-03-09,3.87,3.87,3.87,3.87,0
12,2017-03-10,3.49,3.49,3.49,3.49,500
13,2017-03-13,3.49,3.49,3.49,3.49,0
14,2017-03-14,3.49,3.49,3.49,3.49,0
15,2017-03-15,4.0,4.0,3.6,3.6,800
16,2017-03-16,4.31,4.31,4.31,4.31,100
17,2017-03-17,4.95,4.95,4.95,4.95,100
18,2017-03-20,5.67,5.67,5.67,5.67,100
19,2017-03-21,6.51,6.51,6.51,6.51,1200
20,2017-03-22,7.43,7.46,6.55,6.55,10800
21,2017-03-23,6.65,8.45,6.65,6.79,500
22,2017-03-24,6.82,8.48,6.82,8.48,18600
23,2017-03-27,8.82,9.23,8.82,9.23,12600
24,2017-03-28,7.84,10.52,7.84,10.48,9000
25,2017-03-29,9.19,11.54,9.19,9.57,1008
26,2017-03-30,9.84,9.84,9.36,9.36,600
27,2017-03-31,8.35,8.82,8.35,8.82,6603
28,2017-04-03,9.64,9.74,8.99,8.99,1800
29,2017-04-04,8.52,8.82,8.52,8.82,200
30,2017-04-05,9.33,9.84,9.33,9.84,1800
31,2017-04-07,9.4,9.5,9.4,9.5,1000
32,2017-04-10,9.67,10.82,9.67,10.52,7200
33,2017-04-11,11.87,11.87,10.21,10.21,20430
34,2017-04-12,9.64,10.18,9.64,10.18,1042
35,2017-04-13,9.5,9.84,8.62,8.62,29343
36,2017-04-14,8.75,10.04,7.8,10.04,435530
