,time,open,high,low,close,volume
0,2012-01-03,5.72,5.72,5.57,5.72,2100
1,2012-01-04,5.57,5.65,5.5,5.65,3890
2,2012-01-05,5.65,5.65,5.65,5.65,100
3,2012-01-06,5.65,5.65,5.42,5.42,1160
4,2012-01-09,5.65,5.65,5.27,5.57,430
5,2012-01-10,5.57,5.57,5.57,5.57,10
6,2012-01-11,5.65,5.65,5.42,5.42,3100
7,2012-01-12,5.65,5.65,5.2,5.2,7100
8,2012-01-13,5.35,5.42,5.27,5.35,13910
9,2012-01-16,5.27,5.27,5.2,5.27,3320
10,2012-01-17,5.27,5.5,5.27,5.27,4830
11,2012-01-18,5.27,5.27,5.27,5.27,3870
12,2012-01-19,5.42,5.5,5.42,5.5,5030
13,2012-01-20,5.35,5.5,5.35,5.35,5410
14,2012-01-30,5.5,5.5,5.5,5.5,10
15,2012-01-31,5.5,5.65,5.5,5.5,4230
16,2012-02-01,5.5,5.5,5.27,5.27,1100
17,2012-02-02,5.42,5.5,5.42,5.42,2850
18,2012-02-03,5.27,5.5,5.27,5.27,27590
19,2012-02-06,5.27,5.35,5.27,5.27,2010
20,2012-02-07,5.35,5.35,5.2,5.35,2550
21,2012-02-08,5.35,5.35,5.27,5.27,6850
22,2012-02-09,5.27,5.35,5.12,5.27,7890
23,2012-02-10,5.27,5.27,5.12,5.12,9050
24,2012-02-13,5.27,5.35,5.05,5.2,4400
25,2012-02-14,5.12,5.42,5.12,5.42,8740
26,2012-02-15,5.5,5.5,5.35,5.35,12560
27,2012-02-16,5.5,5.5,5.27,5.27,10850
28,2012-02-17,5.27,5.35,5.12,5.35,23750
29,2012-02-20,5.35,5.35,5.2,5.27,12550
30,2012-02-21,5.27,5.35,5.27,5.27,910
31,2012-02-22,5.27,5.5,5.27,5.35,8520
32,2012-02-23,5.57,5.57,5.5,5.5,21700
33,2012-02-24,5.65,5.65,5.5,5.57,17060
34,2012-02-27,5.72,5.8,5.57,5.8,21190
35,2012-02-28,6.02,6.02,5.8,5.8,30820
36,2012-02-29,5.65,5.8,5.65,5.8,8140
37,2012-03-01,5.8,5.87,5.65,5.65,2920
38,2012-03-02,5.65,5.87,5.65,5.8,18080
39,2012-03-05,5.95,6.02,5.95,6.02,30600
40,2012-03-06,6.33,6.33,5.8,5.8,23830
