,time,open,high,low,close,volume
0,2015-10-07,5.72,5.72,4.42,4.46,72600
1,2015-10-08,4.56,4.56,4.56,4.56,300
2,2015-10-09,4.42,4.56,4.42,4.53,3700
3,2015-10-12,4.53,4.53,4.42,4.53,5300
4,2015-10-13,4.49,4.53,4.49,4.53,7700
5,2015-10-14,4.53,4.53,4.53,4.53,4100
6,2015-10-15,4.56,4.56,4.49,4.49,3700
7,2015-10-16,4.49,4.49,4.49,4.49,10800
8,2015-10-19,4.84,4.84,4.84,4.84,200
9,2015-10-20,4.84,4.84,4.84,4.84,0
10,2015-10-21,4.53,4.53,4.53,4.53,500
11,2015-10-22,4.49,4.49,4.46,4.46,5200
12,2015-10-23,4.49,4.63,4.49,4.63,1600
13,2015-10-26,4.63,4.63,4.63,4.63,0
14,2015-10-27,4.63,4.63,4.63,4.63,0
15,2015-10-28,4.49,4.53,4.46,4.53,4300
16,2015-10-29,4.53,4.53,4.53,4.53,100
17,2015-10-30,4.63,4.63,4.56,4.6,18900
18,2015-11-02,4.63,4.63,4.56,4.56,7200
19,2015-11-03,4.56,4.6,4.49,4.6,17900
20,2015-11-04,4.56,4.63,4.56,4.63,9000
21,2015-11-05,4.56,4.56,4.56,4.56,800
22,2015-11-06,4.56,4.56,4.53,4.53,1200
23,2015-11-09,4.53,4.53,4.53,4.53,6200
24,2015-11-10,4.56,4.56,4.56,4.56,800
25,2015-11-11,4.49,4.49,4.49,4.49,1600
26,2015-11-12,4.49,4.49,4.49,4.49,0
27,2015-11-13,4.49,4.49,4.49,4.49,0
28,2015-11-16,4.49,4.49,4.49,4.49,0
29,2015-11-17,4.49,4.49,4.49,4.49,0
30,2015-11-18,4.49,4.49,4.49,4.49,0
31,2015-11-19,4.53,4.53,4.53,4.53,2000
32,2015-11-20,4.56,4.56,4.56,4.56,200
33,2015-11-23,4.56,4.56,4.56,4.56,0
34,2015-11-24,4.56,4.56,4.56,4.56,0
35,2015-11-25,4.56,4.56,4.56,4.56,0
36,2015-11-26,4.53,4.53,4.53,4.53,700
37,2015-11-27,4.53,4.53,4.53,4.53,0
38,2015-11-30,4.53,4.53,4.49,4.49,2700
39,2015-12-01,4.49,4.49,4.49,4.49,0
40,2015-12-02,4.49,4.49,4.46,4.46,2000
41,2015-12-03,4.46,4.46,4.46,4.46,0
42,2015-12-04,4.46,4.46,4.46,4.46,0
43,2015-12-07,4.46,4.46,4.46,4.46,0
44,2015-12-08,4.46,4.46,4.46,4.46,0
45,2015-12-09,4.46,4.46,4.46,4.46,0
46,2015-12-10,4.46,4.46,4.46,4.46,0
47,2015-12-11,4.42,4.42,4.42,4.42,7800
48,2015-12-14,4.42,4.42,4.42,4.42,0
49,2015-12-15,4.7,4.7,4.7,4.7,100
50,2015-12-16,4.7,4.7,4.7,4.7,0
51,2015-12-17,4.25,4.39,4.25,4.39,2100
52,2015-12-18,4.39,4.39,4.39,4.39,0
53,2015-12-21,4.39,4.39,4.39,4.39,0
54,2015-12-22,4.39,4.39,4.39,4.39,0
55,2015-12-23,4.39,4.39,4.39,4.39,0
56,2015-12-24,4.35,4.35,4.35,4.35,100
57,2015-12-25,4.35,4.35,4.35,4.35,0
58,2015-12-28,4.35,4.35,4.35,4.35,0
59,2015-12-29,4.35,4.35,4.35,4.35,0
60,2015-12-30,4.32,4.32,4.32,4.32,300
61,2015-12-31,4.32,4.32,4.32,4.32,0
62,2016-01-04,4.32,4.32,4.32,4.32,0
63,2016-01-05,4.32,4.32,4.32,4.32,0
64,2016-01-06,4.32,4.32,4.32,4.32,0
65,2016-01-07,4.28,4.28,4.28,4.28,1000
66,2016-01-08,4.28,4.28,4.28,4.28,0
67,2016-01-11,4.28,4.28,4.28,4.28,0
68,2016-01-12,4.25,4.25,4.25,4.25,900
69,2016-01-13,4.25,4.25,4.25,4.25,0
70,2016-01-14,4.21,4.21,4.21,4.21,8300
71,2016-01-15,4.21,4.21,4.21,4.21,0
72,2016-01-18,4.18,4.18,4.18,4.18,8500
73,2016-01-19,4.18,4.18,4.18,4.18,0
74,2016-01-20,4.11,4.11,4.11,4.11,400
75,2016-01-21,4.11,4.11,4.11,4.11,0
76,2016-01-22,4.11,4.11,4.11,4.11,0
77,2016-01-25,4.11,4.11,4.11,4.11,0
78,2016-01-26,4.11,4.11,4.11,4.11,0
79,2016-01-27,4.49,4.49,4.49,4.49,100
80,2016-01-28,4.49,4.49,4.49,4.49,0
81,2016-01-29,4.49,4.49,4.49,4.49,0
82,2016-02-01,4.49,4.49,4.49,4.49,0
83,2016-02-02,4.49,4.49,4.49,4.49,0
84,2016-02-03,4.07,4.91,4.07,4.91,200
85,2016-02-04,4.42,4.42,4.42,4.42,100
86,2016-02-05,4.42,4.42,4.42,4.42,0
87,2016-02-15,4.42,4.42,4.42,4.42,0
88,2016-02-16,4.0,4.0,4.0,4.0,100
89,2016-02-17,4.07,4.07,4.07,4.07,200
90,2016-02-18,4.07,4.07,4.07,4.07,0
91,2016-02-19,4.07,4.07,4.07,4.07,0
92,2016-02-22,4.07,4.07,4.07,4.07,0
93,2016-02-23,4.07,4.07,4.07,4.07,0
94,2016-02-24,4.07,4.07,4.07,4.07,0
95,2016-02-25,4.04,4.04,4.04,4.04,200
96,2016-02-26,4.0,4.0,4.0,4.0,1000
97,2016-02-29,4.0,4.0,4.0,4.0,0
98,2016-03-01,4.0,4.0,4.0,4.0,0
99,2016-03-02,4.0,4.0,4.0,4.0,0
100,2016-03-03,4.0,4.0,4.0,4.0,0
101,2016-03-04,4.0,4.0,4.0,4.0,0
102,2016-03-07,4.0,4.0,4.0,4.0,0
103,2016-03-08,4.0,4.0,4.0,4.0,0
104,2016-03-09,4.0,4.0,4.0,4.0,0
105,2016-03-10,4.0,4.0,4.0,4.0,0
106,2016-03-11,4.21,4.21,4.21,4.21,1200
107,2016-03-14,3.86,4.07,3.86,4.07,200
108,2016-03-15,4.07,4.07,4.07,4.07,0
109,2016-03-16,4.07,4.07,4.07,4.07,0
110,2016-03-17,4.07,4.07,4.07,4.07,0
111,2016-03-18,4.32,4.32,4.32,4.32,100
112,2016-03-21,3.9,3.9,3.9,3.9,100
113,2016-03-22,3.9,3.9,3.9,3.9,0
114,2016-03-23,4.28,4.28,4.28,4.28,100
115,2016-03-24,3.86,3.86,3.86,3.86,100
116,2016-03-25,3.86,3.86,3.86,3.86,0
117,2016-03-28,3.86,3.86,3.86,3.86,0
118,2016-03-29,3.86,3.86,3.86,3.86,0
119,2016-03-30,3.86,3.86,3.86,3.86,0
120,2016-03-31,4.21,4.25,4.21,4.25,400
121,2016-04-01,4.46,4.46,4.46,4.46,100
122,2016-04-04,4.46,4.46,4.46,4.46,0
123,2016-04-05,4.04,4.21,4.04,4.21,200
124,2016-04-06,4.21,4.21,4.21,4.21,0
125,2016-04-07,4.21,4.21,4.21,4.21,0
126,2016-04-08,4.32,4.49,4.32,4.49,400
127,2016-04-11,4.07,4.56,4.07,4.56,12600
128,2016-04-12,4.56,4.7,4.56,4.56,9800
129,2016-04-13,4.56,4.56,4.49,4.49,9900
130,2016-04-14,4.42,4.49,4.42,4.46,1600
131,2016-04-15,4.46,4.46,4.46,4.46,0
132,2016-04-19,4.42,4.46,4.42,4.46,9100
133,2016-04-20,4.46,4.46,4.46,4.46,0
134,2016-04-21,4.46,4.46,4.46,4.46,0
135,2016-04-22,4.46,4.46,4.46,4.46,0
136,2016-04-25,4.56,4.56,4.56,4.56,1000
137,2016-04-26,4.56,4.56,4.56,4.56,0
138,2016-04-27,4.56,4.56,4.56,4.56,0
139,2016-04-28,4.46,4.46,4.46,4.46,1000
140,2016-04-29,4.46,4.46,4.46,4.46,0
141,2016-05-04,4.46,4.46,4.46,4.46,0
142,2016-05-05,4.46,4.46,4.46,4.46,0
143,2016-05-06,4.46,4.46,4.46,4.46,0
144,2016-05-09,4.46,4.46,4.46,4.46,0
145,2016-05-10,4.46,4.46,4.46,4.46,0
146,2016-05-11,4.46,4.46,4.46,4.46,0
147,2016-05-12,4.46,4.46,4.46,4.46,0
148,2016-05-13,4.46,4.46,4.46,4.46,0
149,2016-05-16,4.46,4.46,4.46,4.46,0
150,2016-05-17,4.46,4.46,4.46,4.46,0
151,2016-05-18,4.46,4.46,4.46,4.46,0
152,2016-05-19,4.46,4.46,4.46,4.46,0
153,2016-05-20,4.46,4.46,4.46,4.46,0
154,2016-05-23,4.49,4.49,4.42,4.42,2000
155,2016-05-24,4.42,4.42,4.42,4.42,0
156,2016-05-25,4.42,4.42,4.42,4.42,0
157,2016-05-26,4.42,4.42,4.42,4.42,0
158,2016-05-27,4.42,4.42,4.42,4.42,0
159,2016-05-30,4.49,4.49,4.49,4.49,800
160,2016-05-31,4.49,4.49,4.49,4.49,0
161,2016-06-01,4.49,4.49,4.49,4.49,0
162,2016-06-02,4.56,4.56,4.49,4.56,13900
163,2016-06-03,4.74,4.74,4.74,4.74,300
164,2016-06-06,4.84,4.84,4.84,4.84,100
165,2016-06-07,4.84,4.84,4.84,4.84,0
166,2016-06-08,4.84,4.84,4.81,4.81,700
167,2016-06-09,4.93,4.93,4.89,4.93,10900
168,2016-06-10,4.93,4.93,4.93,4.93,100
169,2016-06-13,4.93,4.93,4.93,4.93,0
170,2016-06-14,4.89,4.93,4.89,4.93,3200
171,2016-06-15,4.97,4.97,4.97,4.97,1000
172,2016-06-16,4.93,4.93,4.93,4.93,1100
173,2016-06-17,4.93,4.93,4.93,4.93,0
174,2016-06-20,4.93,4.93,4.93,4.93,2600
175,2016-06-21,4.97,4.97,4.97,4.97,500
176,2016-06-22,4.97,4.97,4.97,4.97,1000
177,2016-06-23,4.97,4.97,4.97,4.97,0
178,2016-06-24,4.97,4.97,4.97,4.97,0
179,2016-06-27,4.97,4.97,4.97,4.97,0
180,2016-06-28,5.05,5.44,5.05,5.44,13400
181,2016-06-29,5.32,5.95,5.12,5.44,11700
182,2016-06-30,5.44,5.56,5.32,5.52,3200
183,2016-07-01,5.36,5.52,5.32,5.52,7600
184,2016-07-04,5.52,5.52,5.52,5.52,100
185,2016-07-05,5.48,5.52,5.48,5.48,18900
186,2016-07-06,5.44,5.48,5.44,5.48,19200
187,2016-07-07,5.44,5.48,5.44,5.48,43600
188,2016-07-08,5.44,5.48,5.44,5.48,13600
189,2016-07-11,5.44,5.48,5.44,5.48,44900
190,2016-07-12,5.44,5.44,5.44,5.44,45200
191,2016-07-13,5.4,5.48,5.4,5.48,22100
192,2016-07-14,5.44,5.52,5.44,5.48,27600
193,2016-07-15,5.48,5.48,5.44,5.44,66700
194,2016-07-18,5.44,5.44,5.44,5.44,83000
195,2016-07-19,5.44,5.44,5.44,5.44,31700
196,2016-07-20,5.44,5.44,5.44,5.44,42200
197,2016-07-21,5.44,5.6,5.44,5.48,57100
198,2016-07-22,5.56,5.99,5.56,5.79,7600
199,2016-07-25,5.24,5.83,5.24,5.52,16100
200,2016-07-26,5.48,5.48,5.48,5.48,29700
201,2016-07-27,5.44,5.48,5.44,5.48,3100
202,2016-07-28,5.44,5.64,5.44,5.48,8400
