,time,open,high,low,close,volume
0,2015-09-22,8.8,8.8,6.79,7.2,33200
1,2015-09-23,7.2,7.9,7.2,7.9,3500
2,2015-09-24,7.16,8.02,7.16,8.02,600
3,2015-09-25,7.24,7.24,7.24,7.24,8300
4,2015-09-28,6.79,6.83,6.79,6.83,1500
5,2015-09-29,6.58,6.99,6.58,6.99,1600
6,2015-09-30,6.99,6.99,6.99,6.99,0
7,2015-10-01,6.99,6.99,6.99,6.99,0
8,2015-10-02,6.99,6.99,6.99,6.99,0
9,2015-10-05,6.46,6.46,6.46,6.46,700
10,2015-10-06,6.91,6.91,6.91,6.91,100
11,2015-10-07,6.58,6.58,6.58,6.58,2000
12,2015-10-08,6.58,6.58,6.58,6.58,0
13,2015-10-09,6.58,6.58,6.58,6.58,0
14,2015-10-12,6.58,6.58,6.58,6.58,200
15,2015-10-13,6.38,6.38,6.38,6.38,6600
16,2015-10-14,6.25,6.25,6.25,6.25,4100
17,2015-10-15,6.29,6.29,6.25,6.25,3400
18,2015-10-16,6.25,6.25,6.25,6.25,0
19,2015-10-19,6.25,6.25,5.96,5.96,9000
20,2015-10-20,6.21,6.21,5.76,5.76,7300
21,2015-10-21,6.01,6.01,6.01,6.01,1000
22,2015-10-22,6.25,6.25,6.25,6.25,600
23,2015-10-23,6.25,6.25,6.25,6.25,0
24,2015-10-26,6.01,6.01,5.96,6.01,12800
25,2015-10-27,6.01,6.01,6.01,6.01,0
26,2015-10-28,6.01,6.01,6.01,6.01,0
27,2015-10-29,6.01,6.01,6.01,6.01,0
28,2015-10-30,6.01,6.01,6.01,6.01,0
29,2015-11-02,6.01,6.01,6.01,6.01,0
30,2015-11-03,6.01,6.01,6.01,6.01,0
31,2015-11-04,5.96,5.96,5.88,5.88,1800
32,2015-11-05,5.88,5.88,5.88,5.88,2000
33,2015-11-06,5.96,5.96,5.96,5.96,1000
34,2015-11-09,6.01,6.05,5.88,5.88,4200
35,2015-11-10,5.88,5.88,5.88,5.88,2000
36,2015-11-11,5.88,5.88,5.88,5.88,3500
37,2015-11-12,5.88,5.88,5.88,5.88,0
38,2015-11-13,5.84,5.88,5.84,5.88,2700
39,2015-11-16,5.88,5.88,5.88,5.88,0
40,2015-11-17,5.92,5.92,5.92,5.92,500
41,2015-11-18,5.92,5.92,5.92,5.92,0
42,2015-11-19,5.92,5.92,5.92,5.92,0
43,2015-11-20,5.92,5.92,5.92,5.92,0
44,2015-11-23,5.88,5.88,5.88,5.88,300
45,2015-11-24,5.88,5.88,5.88,5.88,0
46,2015-11-25,5.84,5.84,5.84,5.84,300
47,2015-11-26,5.84,5.84,5.84,5.84,0
48,2015-11-27,5.84,5.84,5.84,5.84,0
49,2015-11-30,5.84,5.84,5.84,5.84,0
50,2015-12-01,5.84,5.84,5.84,5.84,0
51,2015-12-02,5.8,5.8,5.8,5.8,1500
52,2015-12-03,5.8,5.8,5.8,5.8,0
53,2015-12-04,5.8,5.8,5.8,5.8,0
54,2015-12-07,5.8,5.8,5.8,5.8,0
55,2015-12-08,5.8,5.8,5.8,5.8,500
56,2015-12-09,5.8,5.8,5.8,5.8,0
57,2015-12-10,5.8,5.8,5.8,5.8,0
58,2015-12-11,5.8,5.8,5.8,5.8,0
59,2015-12-14,5.8,5.8,5.8,5.8,0
60,2015-12-15,5.8,5.8,5.8,5.8,0
61,2015-12-16,5.8,5.8,5.8,5.8,0
62,2015-12-17,5.8,5.8,5.8,5.8,0
63,2015-12-18,5.8,5.8,5.8,5.8,0
64,2015-12-21,5.8,5.8,5.8,5.8,0
65,2015-12-22,5.8,5.8,5.8,5.8,0
66,2015-12-23,5.8,5.8,5.8,5.8,0
67,2015-12-24,5.8,5.8,5.8,5.8,0
68,2015-12-25,5.8,5.8,5.8,5.8,0
69,2015-12-28,5.8,5.8,5.8,5.8,0
70,2015-12-29,5.8,5.8,5.8,5.8,0
71,2015-12-30,5.76,5.76,5.76,5.76,300
72,2015-12-31,5.76,5.76,5.76,5.76,0
73,2016-01-04,5.76,5.76,5.76,5.76,0
74,2016-01-05,5.76,5.76,5.76,5.76,0
75,2016-01-06,5.76,5.76,5.76,5.76,0
76,2016-01-07,5.76,5.76,5.76,5.76,0
77,2016-01-08,5.76,5.76,5.76,5.76,0
78,2016-01-11,5.76,5.76,5.76,5.76,0
79,2016-01-12,5.76,5.76,5.76,5.76,0
80,2016-01-13,6.33,6.33,6.33,6.33,500
81,2016-01-14,6.33,6.33,6.33,6.33,0
82,2016-01-15,6.33,6.33,6.33,6.33,0
83,2016-01-18,6.33,6.33,6.33,6.33,0
84,2016-01-19,6.33,6.33,6.33,6.33,0
85,2016-01-20,6.33,6.33,6.33,6.33,0
86,2016-01-21,6.33,6.33,6.33,6.33,0
87,2016-01-22,6.33,6.33,6.33,6.33,0
88,2016-01-25,6.33,6.33,6.33,6.33,0
89,2016-01-26,6.17,6.17,5.96,5.96,8000
90,2016-01-27,5.76,5.76,5.76,5.76,1200
91,2016-01-28,5.76,5.76,5.76,5.76,500
92,2016-01-29,5.76,5.76,5.76,5.76,0
93,2016-02-01,6.01,6.01,6.01,6.01,1000
94,2016-02-02,6.01,6.01,6.01,6.01,0
95,2016-02-03,6.01,6.01,6.01,6.01,0
96,2016-02-04,6.01,6.01,6.01,6.01,0
97,2016-02-05,6.01,6.01,6.01,6.01,0
98,2016-02-15,6.01,6.01,6.01,6.01,0
99,2016-02-16,6.01,6.01,6.01,6.01,0
100,2016-02-17,6.01,6.01,6.01,6.01,0
101,2016-02-18,6.01,6.01,6.01,6.01,0
102,2016-02-19,5.76,5.76,5.76,5.76,400
103,2016-02-22,5.76,5.76,5.76,5.76,0
104,2016-02-23,5.76,5.76,5.76,5.76,0
105,2016-02-24,5.92,5.92,5.92,5.92,1000
106,2016-02-25,5.92,5.92,5.92,5.92,0
107,2016-02-26,5.92,5.92,5.92,5.92,0
108,2016-02-29,5.92,5.92,5.92,5.92,0
109,2016-03-01,5.92,5.92,5.92,5.92,0
110,2016-03-02,5.92,5.92,5.92,5.92,0
111,2016-03-03,5.92,5.92,5.92,5.92,0
112,2016-03-04,5.92,5.92,5.92,5.92,0
113,2016-03-07,5.92,5.92,5.92,5.92,0
114,2016-03-08,5.92,5.92,5.92,5.92,0
115,2016-03-09,5.92,5.92,5.92,5.92,700
116,2016-03-10,5.92,6.01,5.92,6.01,1800
117,2016-03-11,6.01,6.01,6.01,6.01,0
118,2016-03-14,6.01,6.01,6.01,6.01,0
119,2016-03-15,5.96,5.96,5.96,5.96,100
120,2016-03-16,5.96,5.96,5.96,5.96,0
121,2016-03-17,5.96,5.96,5.96,5.96,0
122,2016-03-18,5.88,5.88,5.88,5.88,1100
123,2016-03-21,5.92,5.92,5.92,5.92,300
124,2016-03-22,5.92,5.92,5.92,5.92,100
125,2016-03-23,5.92,5.92,5.92,5.92,0
126,2016-03-24,5.92,5.92,5.92,5.92,0
127,2016-03-25,5.96,5.96,5.96,5.96,200
128,2016-03-28,5.96,5.96,5.96,5.96,0
129,2016-03-29,5.96,5.96,5.96,5.96,900
130,2016-03-30,5.96,5.96,5.96,5.96,0
131,2016-03-31,5.96,5.96,5.96,5.96,2500
132,2016-04-01,5.96,5.96,5.96,5.96,1000
133,2016-04-04,5.96,5.96,5.96,5.96,0
134,2016-04-05,5.96,5.96,5.96,5.96,0
135,2016-04-06,5.96,5.96,5.96,5.96,0
136,2016-04-07,5.96,5.96,5.96,5.96,0
137,2016-04-08,5.96,5.96,5.96,5.96,0
138,2016-04-11,6.17,6.17,6.17,6.17,1800
139,2016-04-12,6.17,6.17,6.17,6.17,0
140,2016-04-13,6.38,6.38,6.21,6.21,2000
141,2016-04-14,6.21,6.21,6.21,6.21,0
142,2016-04-15,6.25,6.25,6.25,6.25,500
143,2016-04-19,6.25,6.25,6.25,6.25,0
144,2016-04-20,6.25,6.25,6.25,6.25,0
145,2016-04-21,6.25,6.25,6.25,6.25,0
146,2016-04-22,6.25,6.25,6.25,6.25,0
147,2016-04-25,5.96,5.96,5.96,5.96,400
148,2016-04-26,5.96,5.96,5.96,5.96,0
149,2016-04-27,6.5,6.54,6.5,6.54,1400
150,2016-04-28,6.58,6.58,6.58,6.58,1000
151,2016-04-29,6.58,6.58,6.58,6.58,0
152,2016-05-04,6.5,6.5,6.5,6.5,500
153,2016-05-05,6.58,6.58,6.58,6.58,100
154,2016-05-06,6.58,6.7,6.58,6.7,1300
155,2016-05-09,6.58,6.58,6.58,6.58,200
156,2016-05-10,6.58,6.58,6.58,6.58,0
157,2016-05-11,6.58,6.58,6.58,6.58,0
158,2016-05-12,6.58,6.58,6.58,6.58,0
159,2016-05-13,6.58,6.58,6.58,6.58,0
160,2016-05-16,6.58,6.58,6.58,6.58,0
161,2016-05-17,6.58,6.58,6.58,6.58,0
162,2016-05-18,6.58,6.58,6.58,6.58,0
163,2016-05-19,6.58,6.58,6.58,6.58,0
164,2016-05-20,5.92,5.92,5.92,5.92,100
165,2016-05-23,6.5,6.5,6.5,6.5,100
166,2016-05-24,6.91,6.91,6.66,6.91,800
167,2016-05-25,6.91,6.91,6.91,6.91,0
168,2016-05-26,6.91,6.91,6.91,6.91,800
169,2016-05-27,6.91,6.91,6.91,6.91,0
170,2016-05-30,6.91,6.91,6.91,6.91,1000
171,2016-05-31,6.79,6.91,6.7,6.91,2900
172,2016-06-01,7.03,7.03,7.03,7.03,1600
173,2016-06-02,7.2,7.2,7.2,7.2,3000
174,2016-06-03,7.24,7.32,7.24,7.32,1400
175,2016-06-06,7.4,7.4,7.4,7.4,900
176,2016-06-07,7.4,7.4,7.4,7.4,0
177,2016-06-08,7.4,7.4,7.4,7.4,0
178,2016-06-09,7.07,7.07,7.07,7.07,2500
179,2016-06-10,7.07,7.07,7.07,7.07,0
180,2016-06-13,7.4,7.4,7.28,7.32,4500
181,2016-06-14,7.36,7.36,7.36,7.36,200
182,2016-06-15,7.55,7.55,7.41,7.5,7100
183,2016-06-16,7.5,7.5,7.5,7.5,0
184,2016-06-17,7.5,7.5,7.5,7.5,0
185,2016-06-20,7.5,7.5,7.5,7.5,0
186,2016-06-21,7.5,7.5,7.5,7.5,0
187,2016-06-22,7.32,7.32,7.09,7.09,1100
188,2016-06-23,6.86,6.86,6.86,6.86,200
189,2016-06-24,6.77,6.77,6.77,6.77,500
190,2016-06-27,6.77,6.77,6.77,6.77,0
191,2016-06-28,6.86,6.86,6.86,6.86,200
192,2016-06-29,6.86,6.86,6.86,6.86,300
193,2016-06-30,6.86,6.86,6.86,6.86,0
194,2016-07-01,6.86,6.86,6.86,6.86,0
195,2016-07-04,6.86,6.86,6.86,6.86,0
196,2016-07-05,7.09,7.09,7.09,7.09,100
197,2016-07-06,6.95,7.0,6.86,7.0,1400
198,2016-07-07,7.09,7.13,7.09,7.13,7900
