,time,open,high,low,close,volume
0,2019-07-17,10.84,10.84,10.84,10.84,1000
1,2019-07-18,10.84,10.84,10.84,10.84,0
2,2019-07-19,10.84,10.84,10.84,10.84,0
3,2019-07-22,12.45,12.45,12.45,12.45,100
4,2019-07-23,14.3,14.3,14.3,14.3,100
5,2019-07-24,16.41,16.41,16.41,16.41,400
6,2019-07-25,18.82,18.82,18.82,18.82,200
7,2019-07-26,21.61,21.61,21.61,21.61,100
8,2019-07-29,24.83,24.83,24.83,24.83,100
9,2019-07-30,25.7,28.48,25.39,28.48,2200
10,2019-07-31,27.86,28.17,27.86,28.17,2500
11,2019-08-01,23.71,23.71,23.71,23.71,300
12,2019-08-02,20.25,20.25,20.25,20.25,100
13,2019-08-05,17.27,20.25,17.27,20.25,300
14,2019-08-06,18.58,18.58,18.58,18.58,200
15,2019-08-07,15.79,15.79,15.79,15.79,100
16,2019-08-08,15.79,15.79,15.79,15.79,0
17,2019-08-09,15.79,16.3,16.3,16.3,0
18,2019-08-12,13.42,13.42,13.42,13.42,100
19,2019-08-13,15.41,15.41,15.41,15.41,100
20,2019-08-14,15.41,15.41,15.41,15.41,0
21,2019-08-15,15.41,15.41,15.41,15.41,0
22,2019-08-16,15.41,15.41,15.41,15.41,0
23,2019-08-19,15.41,15.41,15.41,15.41,0
24,2019-08-20,15.41,15.41,15.41,15.41,0
25,2019-08-21,15.41,15.41,15.41,15.41,0
26,2019-08-22,15.41,15.41,15.41,15.41,0
27,2019-08-23,15.41,15.41,15.41,15.41,0
28,2019-08-26,15.41,15.41,15.41,15.41,0
29,2019-08-27,15.41,15.41,15.41,15.41,0
30,2019-08-28,15.41,15.41,15.41,15.41,0
31,2019-08-29,15.41,15.41,15.41,15.41,0
32,2019-08-30,15.41,15.41,15.41,15.41,0
33,2019-09-03,15.41,15.41,15.41,15.41,0
34,2019-09-04,15.41,15.41,15.41,15.41,0
35,2019-09-05,15.41,15.41,15.41,15.41,0
36,2019-09-06,15.41,15.41,15.41,15.41,0
37,2019-09-09,15.41,15.41,15.41,15.41,0
38,2019-09-10,15.41,15.41,15.41,15.41,0
39,2019-09-11,15.41,15.41,15.41,15.41,0
40,2019-09-12,15.41,15.41,15.41,15.41,0
41,2019-09-13,15.41,15.41,15.41,15.41,0
42,2019-09-16,15.41,15.41,15.41,15.41,0
43,2019-09-17,15.41,15.41,15.41,15.41,0
44,2019-09-18,15.41,15.41,15.41,15.41,0
45,2019-09-19,15.41,15.41,15.41,15.41,0
46,2019-09-20,15.41,15.41,15.41,15.41,0
47,2019-09-23,15.41,15.41,15.41,15.41,0
48,2019-09-24,15.41,15.41,15.41,15.41,0
49,2019-09-25,15.41,15.41,15.41,15.41,0
50,2019-09-26,15.41,15.41,15.41,15.41,0
51,2019-09-27,15.41,15.41,15.41,15.41,0
52,2019-09-30,15.41,15.41,15.41,15.41,0
53,2019-10-01,15.41,15.41,15.41,15.41,0
54,2019-10-02,15.41,15.41,15.41,15.41,0
55,2019-10-03,15.41,15.41,15.41,15.41,0
56,2019-10-04,17.71,17.71,17.71,17.71,30000
57,2019-10-07,18.54,20.33,18.54,20.33,1400
58,2019-10-08,22.31,22.31,22.31,22.31,100
59,2019-10-09,22.31,22.31,22.31,22.31,0
60,2019-10-10,22.37,22.37,22.37,22.37,100
61,2019-10-11,19.05,21.09,19.05,21.09,500
62,2019-10-14,22.69,22.69,21.09,21.09,1200
63,2019-10-15,18.28,23.01,18.28,23.01,400
64,2019-10-16,21.09,21.09,21.09,21.09,500
65,2019-10-17,18.73,21.09,18.73,21.09,600
66,2019-10-18,21.41,21.73,21.41,21.73,600
67,2019-10-21,22.37,22.37,22.37,22.37,300
68,2019-10-22,22.37,22.37,22.37,22.37,0
69,2019-10-23,19.24,19.24,19.24,19.24,100
70,2019-10-24,22.12,22.12,22.12,22.12,200
71,2019-10-25,23.33,23.33,23.33,23.33,700
72,2019-10-28,23.33,23.33,23.33,23.33,0
73,2019-10-29,23.33,23.33,23.33,23.33,0
74,2019-10-30,23.33,23.33,23.33,23.33,0
75,2019-10-31,23.33,23.33,23.33,23.33,0
76,2019-11-01,23.33,23.65,23.33,23.65,800
77,2019-11-04,23.4,23.65,23.65,23.65,0
78,2019-11-05,23.4,23.65,23.65,23.65,0
79,2019-11-06,19.94,19.94,19.94,19.94,200
80,2019-11-07,19.94,19.94,19.94,19.94,0
81,2019-11-08,19.94,19.94,19.94,19.94,0
82,2019-11-11,22.88,22.88,22.88,22.88,200
83,2019-11-12,19.5,19.5,19.5,19.5,200
84,2019-11-13,22.37,22.37,22.37,22.37,200
85,2019-11-14,19.05,19.05,19.05,19.05,200
86,2019-11-15,19.05,19.05,19.05,19.05,0
87,2019-11-18,19.05,19.05,19.05,19.05,0
88,2019-11-19,19.05,19.05,19.05,19.05,0
89,2019-11-20,19.05,19.05,19.05,19.05,0
90,2019-11-21,19.05,19.05,19.05,19.05,0
91,2019-11-22,19.05,19.05,19.05,19.05,0
92,2019-11-25,16.68,16.68,16.68,16.68,200
93,2019-11-26,15.47,15.47,15.47,15.47,100
94,2019-11-27,15.47,15.47,15.47,15.47,0
95,2019-11-28,15.47,15.47,15.47,15.47,0
96,2019-11-29,15.47,15.47,15.47,15.47,0
97,2019-12-02,15.47,15.47,15.47,15.47,0
98,2019-12-03,15.47,15.47,15.47,15.47,0
99,2019-12-04,15.47,15.47,15.47,15.47,0
100,2019-12-05,15.47,15.47,15.47,15.47,0
101,2019-12-06,15.47,15.47,15.47,15.47,0
102,2019-12-09,15.47,15.47,15.47,15.47,0
103,2019-12-10,15.47,15.47,15.47,15.47,0
104,2019-12-11,15.47,15.47,15.47,15.47,0
105,2019-12-12,15.47,15.47,15.47,15.47,0
106,2019-12-13,15.47,15.47,15.47,15.47,0
107,2019-12-16,15.47,15.47,15.47,15.47,0
108,2019-12-17,15.47,15.47,15.47,15.47,0
109,2019-12-18,15.47,15.47,15.47,15.47,0
110,2019-12-19,15.47,15.47,15.47,15.47,0
111,2019-12-20,15.47,15.47,15.47,15.47,0
112,2019-12-23,15.47,15.47,15.47,15.47,0
113,2019-12-24,15.47,15.47,15.47,15.47,0
114,2019-12-25,15.47,15.47,15.47,15.47,0
115,2019-12-26,15.47,15.47,15.47,15.47,0
116,2019-12-27,15.47,15.47,15.47,15.47,0
117,2019-12-30,15.47,15.47,15.47,15.47,0
118,2019-12-31,15.47,15.47,15.47,15.47,0
119,2020-01-02,15.47,15.47,15.47,15.47,0
120,2020-01-03,15.47,15.47,15.47,15.47,0
121,2020-01-06,15.47,15.47,15.47,15.47,0
122,2020-01-07,15.47,15.47,15.47,15.47,0
123,2020-01-08,15.47,15.47,15.47,15.47,0
124,2020-01-09,15.47,15.47,15.47,15.47,0
125,2020-01-10,15.47,15.47,15.47,15.47,0
126,2020-01-13,15.47,15.47,15.47,15.47,0
127,2020-01-14,15.47,15.47,15.47,15.47,0
128,2020-01-15,15.47,15.47,15.47,15.47,0
129,2020-01-16,15.47,15.47,15.47,15.47,0
130,2020-01-17,15.47,15.47,15.47,15.47,0
131,2020-01-20,15.47,15.47,15.47,15.47,0
132,2020-01-21,15.47,15.47,15.47,15.47,0
133,2020-01-22,15.47,15.47,15.47,15.47,0
134,2020-01-30,15.47,15.47,15.47,15.47,0
135,2020-01-31,15.47,15.47,15.47,15.47,0
136,2020-02-03,15.47,15.47,15.47,15.47,0
137,2020-02-04,15.47,15.47,15.47,15.47,0
138,2020-02-05,15.47,15.47,15.47,15.47,0
139,2020-02-06,15.47,15.47,15.47,15.47,0
140,2020-02-07,15.47,15.47,15.47,15.47,0
141,2020-02-10,15.47,15.47,15.47,15.47,0
142,2020-02-11,15.47,15.47,15.47,15.47,0
143,2020-02-12,15.47,15.47,15.47,15.47,0
144,2020-02-13,15.47,15.47,15.47,15.47,0
145,2020-02-14,15.47,15.47,15.47,15.47,0
146,2020-02-17,15.47,15.47,15.47,15.47,0
147,2020-02-18,15.47,15.47,15.47,15.47,0
148,2020-02-19,15.47,15.47,15.47,15.47,0
149,2020-02-20,15.47,15.47,15.47,15.47,0
150,2020-02-21,15.47,15.47,15.47,15.47,0
151,2020-02-24,15.47,15.47,15.47,15.47,0
152,2020-02-25,15.47,15.47,15.47,15.47,0
153,2020-02-26,15.47,15.47,15.47,15.47,0
154,2020-02-27,21.61,21.61,9.72,21.61,500
155,2020-02-28,15.34,15.34,15.34,15.34,200
156,2020-03-02,15.34,15.34,15.34,15.34,0
157,2020-03-03,15.34,15.34,15.34,15.34,0
158,2020-03-04,15.34,15.34,15.34,15.34,0
159,2020-03-05,15.34,15.34,15.34,15.34,0
160,2020-03-06,15.34,15.8,15.8,15.8,0
161,2020-03-09,15.34,15.8,15.8,15.8,0
162,2020-03-10,15.34,15.8,15.8,15.8,0
163,2020-03-11,15.34,15.8,15.8,15.8,0
164,2020-03-12,15.34,15.8,15.8,15.8,0
165,2020-03-13,15.34,15.8,15.8,15.8,0
166,2020-03-16,13.1,13.1,13.1,13.1,1000
167,2020-03-17,11.26,11.26,11.26,11.26,800
168,2020-03-18,11.26,11.26,11.26,11.26,0
169,2020-03-19,11.26,11.26,11.26,11.26,0
170,2020-03-20,11.26,11.26,11.26,11.26,0
171,2020-03-23,11.26,11.26,11.26,11.26,0
172,2020-03-24,12.91,12.91,12.91,12.91,200
173,2020-03-25,12.91,12.91,12.91,12.91,0
174,2020-03-26,14.82,14.82,14.82,14.82,200
175,2020-03-27,14.82,14.82,14.82,14.82,0
176,2020-03-30,14.82,14.82,14.82,14.82,0
177,2020-03-31,14.82,14.82,14.82,14.82,0
178,2020-04-01,14.82,14.82,14.82,14.82,0
179,2020-04-03,14.82,14.82,14.82,14.82,0
180,2020-04-06,14.82,14.82,14.82,14.82,0
181,2020-04-07,14.82,14.82,14.82,14.82,0
182,2020-04-08,14.82,14.82,14.82,14.82,0
183,2020-04-09,14.82,14.82,14.82,14.82,0
184,2020-04-10,14.82,14.82,14.82,14.82,0
185,2020-04-13,14.82,14.82,14.82,14.82,0
186,2020-04-14,14.82,14.82,14.82,14.82,0
187,2020-04-15,14.82,14.82,14.82,14.82,0
188,2020-04-16,14.82,14.82,14.82,14.82,0
189,2020-04-17,14.82,14.82,14.82,14.82,0
190,2020-04-20,14.82,14.82,14.82,14.82,0
191,2020-04-21,14.82,14.82,14.82,14.82,0
192,2020-04-22,14.82,14.82,14.82,14.82,0
193,2020-04-23,14.82,14.82,14.82,14.82,0
194,2020-04-24,14.82,14.82,14.82,14.82,0
