,time,open,high,low,close,volume
0,2012-01-03,1.42,1.42,1.42,1.42,0
1,2012-01-04,1.28,1.28,1.28,1.28,200
2,2012-01-05,1.28,1.28,1.28,1.28,0
3,2012-01-06,1.38,1.38,1.38,1.38,5200
4,2012-01-09,1.38,1.38,1.38,1.38,0
5,2012-01-10,1.47,1.47,1.47,1.47,100
6,2012-01-11,1.47,1.47,1.47,1.47,0
7,2012-01-12,1.47,1.47,1.47,1.47,0
8,2012-01-16,1.47,1.47,1.47,1.47,0
9,2012-01-17,1.47,1.47,1.47,1.47,0
10,2012-01-18,1.47,1.47,1.47,1.47,0
11,2012-01-19,1.61,1.61,1.61,1.61,100
12,2012-01-20,1.61,1.61,1.61,1.61,0
13,2012-01-30,1.47,1.47,1.47,1.47,100
14,2012-01-31,1.61,1.61,1.61,1.61,100
15,2012-02-01,1.76,1.76,1.76,1.76,100
16,2012-02-02,1.76,1.76,1.76,1.76,0
17,2012-02-03,1.9,1.9,1.9,1.9,100
18,2012-02-06,2.09,2.09,2.09,2.09,100
19,2012-02-07,2.28,2.28,2.28,2.28,100
20,2012-02-08,2.47,2.47,2.47,2.47,100
21,2012-02-09,2.71,2.71,2.71,2.71,100
22,2012-02-10,2.71,2.71,2.71,2.71,0
23,2012-02-13,2.71,2.71,2.71,2.71,0
24,2012-02-14,2.71,2.71,2.71,2.71,0
25,2012-02-15,2.61,2.61,2.61,2.61,200
26,2012-02-16,2.61,2.61,2.61,2.61,0
27,2012-02-17,2.61,2.61,2.61,2.61,100
28,2012-02-20,2.75,2.85,2.75,2.85,1300
29,2012-02-21,2.8,2.8,2.8,2.8,1900
30,2012-02-22,2.8,2.8,2.8,2.8,2100
31,2012-02-23,2.94,2.94,2.94,2.94,100
32,2012-02-24,2.94,2.94,2.94,2.94,0
33,2012-02-27,3.09,3.09,3.09,3.09,500
34,2012-02-28,3.09,3.09,3.09,3.09,0
35,2012-02-29,3.09,3.09,3.09,3.09,0
36,2012-03-01,3.23,3.23,3.23,3.23,500
37,2012-03-02,3.23,3.23,3.23,3.23,0
38,2012-03-05,3.32,3.32,3.32,3.32,1000
39,2012-03-06,3.32,3.32,3.32,3.32,0
40,2012-03-07,3.32,3.32,3.32,3.32,0
41,2012-03-08,3.32,3.32,3.32,3.32,0
42,2012-03-09,3.32,3.32,3.32,3.32,0
43,2012-03-12,3.32,3.32,3.32,3.32,0
44,2012-03-13,3.32,3.32,3.32,3.32,0
45,2012-03-14,3.32,3.32,3.32,3.32,0
46,2012-03-15,3.32,3.32,3.32,3.32,0
47,2012-03-16,3.32,3.32,3.32,3.32,0
48,2012-03-19,3.66,3.66,3.66,3.66,100
