,time,open,high,low,close,volume
0,2012-01-03,2.56,2.56,2.39,2.39,105400
1,2012-01-04,2.44,2.46,2.3,2.3,143700
2,2012-01-05,2.25,2.28,2.18,2.18,150800
3,2012-01-06,2.11,2.16,2.06,2.13,151100
4,2012-01-09,2.09,2.16,2.04,2.13,153700
5,2012-01-10,2.13,2.23,2.13,2.23,166300
6,2012-01-11,2.28,2.32,2.2,2.2,153900
7,2012-01-12,2.23,2.28,2.16,2.23,152200
8,2012-01-13,2.18,2.3,2.18,2.3,165400
9,2012-01-16,2.28,2.39,2.28,2.39,151300
10,2012-01-17,2.42,2.44,2.3,2.32,131000
11,2012-01-18,2.3,2.39,2.3,2.37,87900
12,2012-01-19,2.35,2.49,2.35,2.49,144000
13,2012-01-20,2.44,2.49,2.37,2.37,119000
14,2012-01-30,2.42,2.46,2.3,2.35,91700
15,2012-01-31,2.37,2.49,2.37,2.44,119200
16,2012-02-01,2.42,2.44,2.32,2.35,81700
17,2012-02-02,2.35,2.49,2.35,2.49,143800
18,2012-02-03,2.42,2.54,2.35,2.39,142300
19,2012-02-06,2.39,2.44,2.3,2.37,83300
20,2012-02-07,2.35,2.46,2.35,2.44,153300
21,2012-02-08,2.42,2.56,2.42,2.46,165200
22,2012-02-09,2.49,2.51,2.42,2.44,124100
23,2012-02-10,2.42,2.44,2.28,2.28,106300
24,2012-02-13,2.37,2.37,2.2,2.23,94800
25,2012-02-14,2.3,2.39,2.3,2.39,121100
26,2012-02-15,2.35,2.37,2.28,2.32,89200
27,2012-02-16,2.32,2.46,2.32,2.46,153500
28,2012-02-17,2.56,2.58,2.56,2.58,211200
29,2012-02-20,2.75,2.75,2.75,2.75,144800
30,2012-02-21,2.94,2.94,2.87,2.92,311000
31,2012-02-22,2.92,3.06,2.8,3.03,222300
32,2012-02-23,2.99,3.01,2.87,2.92,294500
33,2012-02-24,2.89,3.01,2.87,2.96,319000
34,2012-02-27,2.92,2.99,2.8,2.94,260800
35,2012-02-28,2.89,3.08,2.84,3.08,404300
36,2012-02-29,3.13,3.2,3.13,3.2,408600
37,2012-03-01,3.27,3.27,3.15,3.18,278000
38,2012-03-02,3.18,3.25,3.15,3.25,281300
39,2012-03-05,3.25,3.39,3.25,3.39,513700
