,time,open,high,low,close,volume
0,2022-06-17,9.07,9.07,9.07,9.07,1500
1,2022-06-20,10.43,10.43,10.43,10.43,5700
2,2022-06-21,11.96,11.96,11.96,11.96,19600
3,2022-06-22,13.73,13.73,13.73,13.73,11200
4,2022-06-23,15.73,15.73,15.26,15.32,193900
5,2022-06-24,15.32,16.14,15.32,15.79,168500
6,2022-06-27,15.79,16.14,15.5,15.73,146900
7,2022-06-28,15.73,15.73,15.32,15.61,78900
8,2022-06-29,15.61,15.61,15.44,15.44,104100
9,2022-06-30,15.44,15.97,15.44,15.67,127200
10,2022-07-01,15.67,15.85,15.56,15.79,118200
11,2022-07-04,15.79,15.97,15.73,15.91,111000
12,2022-07-05,15.91,16.2,15.5,15.73,139600
13,2022-07-06,15.73,15.79,15.61,15.73,40000
14,2022-07-07,15.73,15.79,15.61,15.79,92800
15,2022-07-08,15.79,15.85,15.73,15.79,49900
16,2022-07-11,15.79,15.91,15.79,15.91,44200
17,2022-07-12,15.91,16.2,15.67,16.2,302800
18,2022-07-13,16.2,16.2,15.85,16.03,170500
19,2022-07-14,16.03,16.2,16.03,16.2,69600
20,2022-07-15,16.2,16.5,16.03,16.26,104400
21,2022-07-18,16.26,16.26,15.97,16.09,84500
22,2022-07-19,16.09,16.2,16.09,16.14,62900
23,2022-07-20,15.91,16.26,15.85,16.03,100900
24,2022-07-21,16.03,16.26,15.85,16.14,70300
25,2022-07-22,16.14,16.2,16.03,16.14,90300
26,2022-07-25,16.14,16.26,16.03,16.26,149700
27,2022-07-26,16.26,16.26,16.09,16.2,95500
28,2022-07-27,16.2,16.2,15.91,16.2,54700
29,2022-07-28,16.2,16.62,15.97,16.62,112500
30,2022-07-29,16.62,16.73,16.56,16.56,49900
31,2022-08-01,16.56,16.79,16.14,16.79,71100
32,2022-08-02,16.79,16.85,16.5,16.67,48200
33,2022-08-03,16.67,16.97,16.56,16.97,56100
34,2022-08-04,16.97,17.09,16.79,16.91,39100
35,2022-08-05,16.91,17.03,16.62,16.67,44000
36,2022-08-08,16.67,16.67,16.26,16.44,70300
37,2022-08-09,16.44,16.5,16.26,16.5,51900
38,2022-08-10,16.5,16.73,16.2,16.73,45900
39,2022-08-11,16.73,16.79,16.56,16.56,43600
40,2022-08-12,16.56,16.91,16.56,16.62,60300
41,2022-08-15,16.62,16.62,16.44,16.5,33300
42,2022-08-16,16.5,16.85,16.26,16.79,57900
43,2022-08-17,16.79,17.03,16.67,17.03,37500
