,time,open,high,low,close,volume
0,2020-12-24,17.69,17.69,13.54,13.54,307200
1,2020-12-25,13.61,13.61,13.4,13.54,41900
2,2020-12-28,13.61,13.61,13.47,13.61,6430
3,2020-12-29,13.61,13.88,13.54,13.61,196500
4,2020-12-30,13.61,14.22,13.61,14.02,53400
5,2020-12-31,14.08,14.7,13.61,13.61,81630
6,2021-01-04,13.61,13.61,12.93,13.2,125200
7,2021-01-05,13.27,13.27,13.06,13.2,53400
8,2021-01-06,13.27,13.54,13.0,13.06,35100
9,2021-01-07,13.0,13.0,12.52,12.79,48500
10,2021-01-08,12.86,12.93,12.79,12.86,33200
11,2021-01-11,12.93,13.0,12.72,12.86,21200
12,2021-01-12,12.79,12.79,12.38,12.52,39900
13,2021-01-13,12.45,12.59,12.45,12.52,21900
14,2021-01-14,12.45,12.93,12.45,12.79,46500
15,2021-01-15,12.72,12.72,12.59,12.72,16000
16,2021-01-18,12.72,12.79,12.66,12.72,15900
17,2021-01-19,12.72,12.86,12.18,12.38,41300
18,2021-01-20,12.38,12.38,11.91,12.25,21400
19,2021-01-21,12.45,12.45,12.11,12.32,10700
20,2021-01-22,12.45,12.86,12.25,12.32,6200
21,2021-01-25,12.25,12.25,12.18,12.25,16900
22,2021-01-26,12.18,12.18,11.91,11.91,11700
23,2021-01-27,11.84,11.91,11.57,11.7,11100
24,2021-01-28,11.5,11.5,10.55,10.55,30000
25,2021-01-29,10.55,11.57,10.55,11.5,11000
26,2021-02-01,11.57,11.57,11.43,11.43,1900
27,2021-02-02,11.23,11.36,10.61,10.68,5800
28,2021-02-03,10.61,11.36,10.61,11.23,10000
29,2021-02-04,11.02,11.23,11.02,11.23,3600
30,2021-02-05,11.23,11.23,11.23,11.23,3800
31,2021-02-08,11.16,11.23,10.75,11.16,17100
32,2021-02-09,11.23,11.5,11.23,11.5,2500
33,2021-02-17,11.5,11.5,10.89,11.43,7000
34,2021-02-18,11.43,11.57,11.43,11.5,4200
35,2021-02-19,11.5,11.5,11.36,11.5,7200
36,2021-02-22,11.5,11.57,11.43,11.43,14600
37,2021-02-23,11.5,11.5,11.36,11.5,4000
38,2021-02-24,11.5,11.5,11.3,11.3,7800
39,2021-02-25,11.43,11.43,11.23,11.23,5900
40,2021-02-26,10.95,11.23,10.95,11.23,2700
41,2021-03-01,11.23,11.43,11.23,11.43,4700
42,2021-03-02,11.43,11.43,11.3,11.36,2500
43,2021-03-03,11.36,11.43,11.3,11.3,10000
44,2021-03-04,11.3,11.43,11.3,11.36,7000
45,2021-03-05,11.43,11.43,11.3,11.3,4300
