,time,open,high,low,close,volume
0,2012-01-03,3.1,3.2,3.1,3.1,82800
1,2012-01-04,3.2,3.2,3.1,3.1,105600
2,2012-01-05,3.1,3.1,3.1,3.1,96300
3,2012-01-06,3.0,3.0,2.9,3.0,107400
4,2012-01-09,3.1,3.2,3.0,3.1,94500
5,2012-01-10,3.2,3.3,3.0,3.3,65900
6,2012-01-11,3.4,3.5,3.3,3.3,79100
7,2012-01-12,3.3,3.4,3.2,3.3,73700
8,2012-01-13,3.3,3.4,3.3,3.3,40600
9,2012-01-16,3.5,3.5,3.4,3.5,101600
10,2012-01-17,3.4,3.4,3.3,3.4,90100
11,2012-01-18,3.2,3.5,3.2,3.4,40100
12,2012-01-19,3.3,3.6,3.3,3.5,89900
13,2012-01-20,3.5,3.5,3.4,3.4,54000
14,2012-01-30,3.5,3.6,3.3,3.4,55000
15,2012-01-31,3.6,3.7,3.5,3.7,198800
16,2012-02-01,3.6,3.7,3.5,3.6,76500
17,2012-02-02,3.7,3.8,3.6,3.8,118300
18,2012-02-03,3.9,3.9,3.6,3.6,110600
19,2012-02-06,3.7,3.7,3.5,3.6,134500
20,2012-02-07,3.5,3.6,3.4,3.6,79200
21,2012-02-08,3.6,3.7,3.6,3.6,51600
22,2012-02-09,3.6,3.7,3.5,3.5,109700
23,2012-02-10,3.5,3.5,3.4,3.4,127100
24,2012-02-13,3.3,3.4,3.2,3.4,166800
25,2012-02-14,3.4,3.5,3.3,3.4,50500
26,2012-02-15,3.5,3.5,3.4,3.4,91900
27,2012-02-16,3.2,3.4,3.2,3.3,33600
28,2012-02-17,3.5,3.6,3.4,3.6,40600
29,2012-02-20,3.6,3.7,3.6,3.7,248300
30,2012-02-21,3.8,3.9,3.6,3.6,150400
31,2012-02-22,3.5,3.9,3.5,3.9,148900
32,2012-02-23,3.9,4.0,3.7,4.0,365400
33,2012-02-24,4.0,4.1,3.8,4.0,480300
34,2012-02-27,4.1,4.3,4.1,4.3,160600
35,2012-02-28,4.5,4.6,4.2,4.3,317500
36,2012-02-29,4.3,4.5,4.1,4.5,206000
37,2012-03-01,4.4,4.6,4.2,4.6,436600
38,2012-03-02,4.5,4.7,4.4,4.7,525600
39,2012-03-05,5.0,5.0,5.0,5.0,113800
40,2012-03-06,5.3,5.3,5.1,5.3,1486400
41,2012-03-07,5.5,5.6,5.1,5.6,571200
42,2012-03-08,5.4,5.6,5.1,5.1,671000
43,2012-03-09,5.1,5.4,5.0,5.3,408900
44,2012-03-12,5.0,5.0,4.8,4.8,435500
45,2012-03-13,4.8,5.0,4.7,4.9,184600
46,2012-03-14,5.0,5.1,4.7,4.7,252000
47,2012-03-15,4.7,5.1,4.6,5.1,447100
48,2012-03-16,5.2,5.2,5.2,5.2,114800
49,2012-03-19,5.5,5.5,5.5,5.5,233800
50,2012-03-20,5.8,5.8,5.8,5.8,144100
51,2012-03-21,6.2,6.2,6.2,6.2,215200
52,2012-03-22,6.6,6.6,6.3,6.6,2080500
53,2012-03-23,6.9,7.0,6.7,7.0,1093200
54,2012-03-26,7.3,7.4,6.8,7.0,803400
55,2012-03-27,7.0,7.2,6.7,6.7,459400
56,2012-03-28,6.3,6.6,6.3,6.5,1118800
57,2012-03-29,6.3,6.5,6.2,6.2,452300
58,2012-03-30,6.4,6.4,5.8,5.8,574000
59,2012-04-03,5.8,6.2,5.8,6.2,426400
60,2012-04-04,6.4,6.5,6.0,6.1,285700
61,2012-04-05,5.8,6.5,5.8,6.5,635800
62,2012-04-06,6.7,6.8,6.4,6.5,872600
63,2012-04-09,6.5,6.8,6.5,6.7,399100
64,2012-04-10,6.8,7.0,6.5,6.5,619900
65,2012-04-11,6.5,6.8,6.5,6.6,502400
66,2012-04-12,6.9,6.9,6.4,6.5,682000
67,2012-04-13,6.5,6.9,6.3,6.5,759500
68,2012-04-16,6.3,6.8,6.3,6.7,386200
69,2012-04-17,6.7,6.8,6.4,6.4,346500
70,2012-04-18,6.4,6.5,6.2,6.3,505900
71,2012-04-19,6.0,6.2,5.8,6.0,278200
72,2012-04-20,5.8,6.2,5.8,5.8,285600
73,2012-04-23,6.0,6.1,5.9,6.0,194000
74,2012-04-24,6.0,6.2,5.8,6.2,433100
75,2012-04-25,6.2,6.5,6.1,6.5,624500
76,2012-04-26,6.6,6.7,6.3,6.3,543500
77,2012-04-27,6.2,6.7,6.2,6.7,606200
78,2012-05-02,7.1,7.1,6.6,6.7,753800
79,2012-05-03,6.6,6.7,6.3,6.6,483600
80,2012-05-04,6.6,7.0,6.6,6.9,517600
81,2012-05-07,7.0,7.3,7.0,7.3,1151400
82,2012-05-08,7.8,7.8,7.0,7.0,528000
83,2012-05-09,7.0,7.0,6.8,6.9,302000
84,2012-05-10,7.0,7.1,6.8,6.8,450700
85,2012-05-11,6.8,6.9,6.5,6.6,491300
86,2012-05-14,6.6,6.6,6.1,6.2,429400
87,2012-05-15,6.0,6.3,5.9,6.0,397200
88,2012-05-16,6.2,6.2,5.8,6.1,152300
89,2012-05-17,6.2,6.2,5.8,5.9,203600
90,2012-05-18,5.8,5.8,5.4,5.4,475200
91,2012-05-21,5.4,5.7,5.2,5.7,124300
92,2012-05-22,5.9,5.9,5.5,5.8,150400
93,2012-05-23,5.6,5.6,5.4,5.4,178400
94,2012-05-24,5.5,5.5,5.1,5.4,251700
95,2012-05-25,5.5,5.6,5.4,5.6,171300
96,2012-05-28,5.8,5.8,5.6,5.6,183300
97,2012-05-29,5.6,5.6,5.4,5.5,112800
98,2012-05-30,5.6,5.8,5.6,5.7,258600
99,2012-05-31,5.7,5.7,5.4,5.4,134700
100,2012-06-01,5.5,5.6,5.3,5.5,166900
101,2012-06-04,5.4,5.4,5.2,5.2,367300
102,2012-06-05,5.2,5.4,5.1,5.3,172000
103,2012-06-06,5.3,5.5,5.3,5.3,209900
104,2012-06-07,5.4,5.6,5.4,5.6,345700
105,2012-06-08,5.8,5.8,5.6,5.6,233100
