,time,open,high,low,close,volume
0,2015-07-21,6.33,6.33,6.24,6.24,1800
1,2015-07-22,6.05,6.05,6.05,6.05,3000
2,2015-07-23,6.05,6.29,6.05,6.29,1300
3,2015-07-24,5.82,6.05,5.82,6.05,500
4,2015-07-27,6.05,6.05,6.05,6.05,0
5,2015-07-28,6.05,6.05,6.05,6.05,0
6,2015-07-29,6.29,6.29,6.29,6.29,100
7,2015-07-30,6.29,6.29,6.29,6.29,0
8,2015-07-31,6.29,6.29,6.29,6.29,0
9,2015-08-03,6.01,6.01,5.68,5.68,1200
10,2015-08-04,5.63,6.15,5.63,6.15,600
11,2015-08-05,5.82,5.82,5.82,5.82,100
12,2015-08-06,5.82,5.82,5.82,5.82,0
13,2015-08-07,5.36,5.36,5.36,5.36,100
14,2015-08-10,5.36,5.36,5.36,5.36,0
15,2015-08-11,5.36,5.36,5.36,5.36,0
16,2015-08-12,5.36,5.36,5.36,5.36,0
17,2015-08-13,5.36,5.36,5.36,5.36,0
18,2015-08-14,5.87,5.87,5.87,5.87,100
19,2015-08-17,5.87,5.87,5.87,5.87,0
20,2015-08-18,5.87,5.87,5.87,5.87,0
21,2015-08-19,5.87,5.87,5.87,5.87,0
22,2015-08-20,5.87,5.87,5.87,5.87,0
23,2015-08-21,5.87,5.87,5.87,5.87,0
24,2015-08-24,5.87,5.87,5.87,5.87,0
25,2015-08-25,5.87,5.87,5.87,5.87,0
26,2015-08-26,5.87,5.87,5.87,5.87,0
27,2015-08-27,5.87,5.87,5.87,5.87,0
28,2015-08-28,5.87,5.87,5.87,5.87,0
29,2015-08-31,5.31,5.31,5.31,5.31,1000
30,2015-09-01,5.31,5.31,5.31,5.31,0
31,2015-09-03,5.17,5.17,5.17,5.17,5000
32,2015-09-04,5.17,5.17,5.17,5.17,0
33,2015-09-07,5.17,5.17,5.17,5.17,0
34,2015-09-08,5.12,5.12,5.12,5.12,1000
35,2015-09-09,5.12,5.12,5.12,5.12,0
36,2015-09-10,5.12,5.12,5.12,5.12,0
37,2015-09-11,5.12,5.12,5.12,5.12,0
38,2015-09-14,4.61,5.59,4.61,5.59,200
39,2015-09-15,5.59,5.59,5.59,5.59,0
40,2015-09-16,5.59,5.59,5.59,5.59,0
41,2015-09-17,5.12,5.12,5.12,5.12,10000
42,2015-09-18,5.12,5.12,5.12,5.12,1650
43,2015-09-21,5.22,5.22,5.22,5.22,100
44,2015-09-22,5.22,5.22,5.22,5.22,0
45,2015-09-23,5.22,5.22,5.22,5.22,0
46,2015-09-24,5.22,5.22,5.22,5.22,0
47,2015-09-25,5.22,5.22,5.22,5.22,0
48,2015-09-28,5.22,5.22,5.22,5.22,0
49,2015-09-29,4.7,4.7,4.7,4.7,100
50,2015-09-30,4.7,4.7,4.7,4.7,0
51,2015-10-01,4.7,4.7,4.7,4.7,0
52,2015-10-02,4.7,4.7,4.7,4.7,0
53,2015-10-05,4.7,4.7,4.7,4.7,0
54,2015-10-06,4.7,4.7,4.7,4.7,0
55,2015-10-07,4.7,4.7,4.7,4.7,0
