,time,open,high,low,close,volume
0,2012-01-03,1.2,1.2,1.2,1.2,27560
1,2012-01-04,1.23,1.23,1.23,1.23,103670
2,2012-01-05,1.23,1.27,1.2,1.23,59400
3,2012-01-06,1.2,1.2,1.17,1.17,117020
4,2012-01-09,1.17,1.2,1.14,1.2,78940
5,2012-01-10,1.23,1.23,1.2,1.23,166840
6,2012-01-11,1.27,1.27,1.2,1.23,62530
7,2012-01-12,1.2,1.23,1.17,1.17,47800
8,2012-01-13,1.2,1.2,1.14,1.14,80560
9,2012-01-16,1.17,1.17,1.17,1.17,104990
10,2012-01-17,1.2,1.2,1.17,1.2,65730
11,2012-01-18,1.2,1.23,1.2,1.2,38420
12,2012-01-19,1.23,1.23,1.23,1.23,32140
13,2012-01-20,1.3,1.3,1.27,1.3,70790
14,2012-01-30,1.3,1.36,1.3,1.36,121270
15,2012-01-31,1.42,1.42,1.42,1.42,116920
16,2012-02-01,1.45,1.45,1.36,1.42,135010
17,2012-02-02,1.45,1.48,1.39,1.48,137750
18,2012-02-03,1.51,1.54,1.42,1.42,250470
19,2012-02-06,1.42,1.48,1.36,1.48,223530
20,2012-02-07,1.54,1.54,1.48,1.54,114880
21,2012-02-08,1.54,1.6,1.54,1.6,95180
22,2012-02-09,1.64,1.64,1.54,1.54,165280
23,2012-02-10,1.54,1.54,1.48,1.48,183680
24,2012-02-13,1.45,1.48,1.42,1.42,123100
25,2012-02-14,1.39,1.42,1.36,1.36,161780
26,2012-02-15,1.39,1.42,1.39,1.42,166020
27,2012-02-16,1.42,1.45,1.39,1.39,15890
28,2012-02-17,1.39,1.45,1.39,1.45,102190
29,2012-02-20,1.51,1.51,1.51,1.51,62870
30,2012-02-21,1.57,1.57,1.51,1.51,352890
31,2012-02-22,1.57,1.57,1.57,1.57,154450
32,2012-02-23,1.64,1.64,1.64,1.64,7700
33,2012-02-24,1.7,1.7,1.64,1.64,359300
34,2012-02-27,1.64,1.7,1.64,1.7,89300
35,2012-02-28,1.76,1.76,1.7,1.76,396230
36,2012-02-29,1.76,1.82,1.76,1.82,275280
37,2012-03-01,1.88,1.88,1.88,1.88,9910
38,2012-03-02,1.98,1.98,1.98,1.98,40710
39,2012-03-05,2.07,2.07,2.07,2.07,4670
40,2012-03-06,2.16,2.16,2.07,2.16,712750
41,2012-03-07,2.25,2.25,2.22,2.25,152340
42,2012-03-08,2.31,2.35,2.22,2.22,735330
43,2012-03-09,2.19,2.31,2.19,2.31,607750
44,2012-03-12,2.35,2.35,2.22,2.22,517420
45,2012-03-13,2.22,2.31,2.16,2.19,100220
46,2012-03-14,2.13,2.22,2.1,2.1,344910
47,2012-03-15,2.01,2.19,2.01,2.19,151430
48,2012-03-16,2.28,2.28,2.28,2.28,26720
49,2012-03-19,2.38,2.38,2.38,2.38,97950
50,2012-03-20,2.47,2.47,2.47,2.47,424890
51,2012-03-21,2.59,2.59,2.59,2.59,187120
52,2012-03-22,2.72,2.72,2.59,2.72,456460
53,2012-03-23,2.84,2.84,2.72,2.84,688890
54,2012-03-26,2.93,2.96,2.72,2.96,210840
55,2012-03-27,2.9,3.09,2.9,3.09,149280
56,2012-03-28,3.24,3.24,3.12,3.24,242160
