,time,open,high,low,close,volume
0,2012-01-03,3.07,3.07,2.98,3.07,6100
1,2012-01-04,3.07,3.07,3.04,3.04,5100
2,2012-01-05,3.01,3.04,2.92,3.04,7800
3,2012-01-06,3.04,3.04,2.95,2.98,4600
4,2012-01-09,3.04,3.04,2.98,3.01,5200
5,2012-01-10,3.04,3.04,2.89,3.04,17700
6,2012-01-11,3.04,3.07,3.04,3.04,4400
7,2012-01-12,3.01,3.04,3.01,3.04,5600
8,2012-01-13,3.04,3.04,2.92,3.01,5800
9,2012-01-16,3.01,3.04,3.01,3.01,5800
10,2012-01-17,3.04,3.07,3.01,3.01,4500
11,2012-01-18,3.04,3.07,3.04,3.04,4700
12,2012-01-19,3.07,3.07,3.01,3.04,6600
13,2012-01-20,3.07,3.07,3.04,3.07,4700
14,2012-01-30,3.11,3.11,3.01,3.07,4800
15,2012-01-31,3.11,3.11,3.07,3.07,6000
16,2012-02-01,3.04,3.07,2.98,3.04,8100
17,2012-02-02,3.07,3.07,2.98,3.07,30000
18,2012-02-03,3.07,3.11,3.01,3.04,51100
19,2012-02-06,3.07,3.07,2.98,3.07,14700
20,2012-02-07,2.98,3.04,2.98,3.04,18900
21,2012-02-08,3.04,3.04,3.01,3.01,3400
22,2012-02-09,3.07,3.07,2.95,3.04,4600
23,2012-02-10,3.04,3.04,2.95,3.01,14100
24,2012-02-13,2.98,2.98,2.92,2.98,3700
25,2012-02-14,3.01,3.01,2.98,3.01,7200
26,2012-02-15,3.04,3.04,3.01,3.01,4800
27,2012-02-16,3.01,3.01,2.98,3.01,5800
28,2012-02-17,3.01,3.01,2.95,2.98,5500
29,2012-02-20,3.04,3.04,2.92,2.98,10600
30,2012-02-21,3.04,3.04,2.92,2.95,10600
31,2012-02-22,2.98,3.01,2.95,2.98,18700
32,2012-02-23,2.95,2.98,2.95,2.98,22700
33,2012-02-24,2.98,3.01,2.92,2.98,30400
34,2012-02-27,3.01,3.01,2.95,2.98,12300
35,2012-02-28,3.07,3.07,3.07,3.07,100
36,2012-02-29,3.07,3.07,3.07,3.07,0
