,time,open,high,low,close,volume
0,2012-01-03,1.14,1.14,1.14,1.14,33120
1,2012-01-04,1.18,1.18,1.18,1.18,457630
2,2012-01-05,1.22,1.22,1.18,1.22,621160
3,2012-01-06,1.22,1.25,1.18,1.18,282320
4,2012-01-09,1.14,1.22,1.14,1.18,231330
5,2012-01-10,1.18,1.22,1.14,1.22,110650
6,2012-01-11,1.22,1.25,1.22,1.22,125480
7,2012-01-12,1.22,1.22,1.18,1.18,181250
8,2012-01-13,1.18,1.22,1.18,1.22,390280
9,2012-01-16,1.22,1.25,1.22,1.22,177380
10,2012-01-17,1.22,1.22,1.18,1.22,218120
11,2012-01-18,1.22,1.22,1.18,1.18,210850
12,2012-01-19,1.18,1.22,1.18,1.22,119390
13,2012-01-20,1.22,1.25,1.22,1.25,41790
14,2012-01-30,1.29,1.29,1.25,1.25,95460
15,2012-01-31,1.29,1.29,1.29,1.29,589530
16,2012-02-01,1.32,1.32,1.25,1.32,460140
17,2012-02-02,1.36,1.36,1.36,1.36,302640
18,2012-02-03,1.39,1.39,1.36,1.39,828870
19,2012-02-06,1.39,1.43,1.36,1.36,550060
20,2012-02-07,1.36,1.39,1.32,1.36,342370
21,2012-02-08,1.36,1.39,1.32,1.36,549910
22,2012-02-09,1.36,1.36,1.32,1.32,711320
23,2012-02-10,1.32,1.32,1.29,1.29,397260
24,2012-02-13,1.29,1.29,1.25,1.25,319350
25,2012-02-14,1.25,1.29,1.25,1.29,125870
26,2012-02-15,1.25,1.29,1.25,1.25,292780
27,2012-02-16,1.25,1.29,1.22,1.29,161770
28,2012-02-17,1.29,1.32,1.25,1.32,141540
29,2012-02-20,1.32,1.36,1.32,1.36,549450
30,2012-02-21,1.39,1.39,1.32,1.32,559660
31,2012-02-22,1.32,1.36,1.32,1.36,414020
32,2012-02-23,1.39,1.39,1.36,1.39,705600
33,2012-02-24,1.39,1.43,1.39,1.43,592370
34,2012-02-27,1.47,1.5,1.47,1.5,874110
35,2012-02-28,1.57,1.57,1.43,1.43,1241970
36,2012-02-29,1.43,1.5,1.39,1.47,651440
37,2012-03-01,1.47,1.5,1.43,1.47,305240
38,2012-03-02,1.47,1.54,1.47,1.54,1044350
39,2012-03-05,1.61,1.61,1.61,1.61,411120
40,2012-03-06,1.68,1.68,1.57,1.61,1862770
41,2012-03-07,1.61,1.68,1.54,1.68,817290
42,2012-03-08,1.61,1.64,1.61,1.61,416850
43,2012-03-09,1.54,1.61,1.54,1.54,939620
44,2012-03-12,1.5,1.5,1.47,1.47,508130
45,2012-03-13,1.43,1.5,1.43,1.43,353160
46,2012-03-14,1.5,1.5,1.43,1.47,308670
47,2012-03-15,1.43,1.54,1.43,1.54,539730
48,2012-03-16,1.57,1.61,1.54,1.61,2083250
49,2012-03-19,1.61,1.64,1.57,1.61,491520
50,2012-03-20,1.61,1.64,1.57,1.61,375030
51,2012-03-21,1.64,1.68,1.57,1.64,1449770
52,2012-03-22,1.61,1.68,1.61,1.64,657730
53,2012-03-23,1.64,1.72,1.64,1.72,2119390
54,2012-03-26,1.79,1.79,1.75,1.79,1534600
55,2012-03-27,1.86,1.86,1.79,1.82,2802310
56,2012-03-28,1.75,1.86,1.75,1.75,1624010
57,2012-03-29,1.75,1.79,1.68,1.68,1341180
58,2012-03-30,1.68,1.72,1.61,1.61,720220
59,2012-04-03,1.61,1.68,1.61,1.68,549640
