,time,open,high,low,close,volume
0,2012-01-03,3.5,3.7,3.5,3.7,24400
1,2012-01-04,3.8,3.8,3.8,3.8,6400
2,2012-01-05,3.8,3.9,3.8,3.8,7100
3,2012-01-06,3.7,3.8,3.7,3.8,6700
4,2012-01-09,3.8,3.8,3.6,3.8,5500
5,2012-01-10,3.6,3.8,3.6,3.7,50400
6,2012-01-11,3.8,3.8,3.6,3.6,51300
7,2012-01-12,3.5,3.5,3.5,3.5,4400
8,2012-01-13,3.5,3.6,3.5,3.6,6500
9,2012-01-16,3.7,3.8,3.7,3.8,19600
10,2012-01-17,3.8,3.9,3.8,3.8,9900
11,2012-01-18,3.9,4.0,3.9,4.0,43100
12,2012-01-19,4.2,4.2,4.2,4.2,14700
13,2012-01-20,4.4,4.4,4.4,4.4,43500
14,2012-01-30,4.6,4.6,4.4,4.5,28800
15,2012-01-31,4.7,4.8,4.5,4.7,35900
16,2012-02-01,4.5,4.6,4.4,4.5,44500
17,2012-02-02,4.4,4.7,4.1,4.7,72300
18,2012-02-03,4.8,4.8,4.3,4.4,75700
19,2012-02-06,4.3,4.3,4.1,4.1,15100
20,2012-02-07,4.3,4.3,4.1,4.2,33700
21,2012-02-08,4.3,4.4,4.3,4.4,140100
22,2012-02-09,4.6,4.6,4.3,4.4,71800
23,2012-02-10,4.3,4.3,4.1,4.3,34300
24,2012-02-13,4.0,4.1,4.0,4.0,34700
25,2012-02-14,4.1,4.2,3.9,4.0,40500
26,2012-02-15,4.1,4.1,3.8,3.9,72300
27,2012-02-16,3.7,3.8,3.7,3.8,3800
28,2012-02-17,3.9,4.0,3.8,4.0,42200
29,2012-02-20,4.1,4.1,4.1,4.1,24900
30,2012-02-21,4.2,4.3,4.1,4.2,69100
31,2012-02-22,4.2,4.4,4.2,4.4,108000
32,2012-02-23,4.6,4.7,4.5,4.7,180100
33,2012-02-24,5.0,5.0,4.8,4.9,166400
34,2012-02-27,5.0,5.3,5.0,5.3,177600
35,2012-02-28,5.5,5.5,5.0,5.1,176500
36,2012-02-29,5.2,5.2,5.0,5.1,107400
37,2012-03-01,5.1,5.1,4.9,4.9,62200
38,2012-03-02,5.0,5.0,4.7,4.9,296900
39,2012-03-05,5.1,5.1,5.1,5.1,96900
40,2012-03-06,5.4,5.4,4.9,5.0,254600
41,2012-03-07,5.1,5.2,5.0,5.1,92800
42,2012-03-08,5.1,5.1,4.8,4.8,91300
43,2012-03-09,4.8,4.9,4.6,4.7,87200
44,2012-03-12,4.7,4.7,4.4,4.4,38200
45,2012-03-13,4.5,4.7,4.4,4.5,35800
46,2012-03-14,4.6,4.7,4.4,4.4,28900
47,2012-03-15,4.4,4.9,4.3,4.8,105000
48,2012-03-16,5.0,5.0,4.7,4.8,115700
49,2012-03-19,4.7,4.9,4.6,4.7,64900
50,2012-03-20,4.8,4.8,4.4,4.6,81900
51,2012-03-21,4.7,4.9,4.7,4.9,162700
52,2012-03-22,5.0,5.2,4.9,5.1,212500
53,2012-03-23,5.1,5.4,5.1,5.4,275700
54,2012-03-26,5.7,5.7,5.7,5.7,239500
55,2012-03-27,6.0,6.0,5.9,6.0,636800
56,2012-03-28,6.0,6.2,5.6,6.1,283600
57,2012-03-29,6.2,6.5,5.8,6.2,334500
58,2012-03-30,5.7,5.7,5.6,5.6,145000
59,2012-04-03,5.6,5.8,5.3,5.6,235500
60,2012-04-04,5.6,5.7,5.4,5.4,94500
61,2012-04-05,5.1,5.5,5.1,5.4,200000
62,2012-04-06,5.5,5.7,5.5,5.7,347700
63,2012-04-09,5.9,6.0,5.8,6.0,228500
64,2012-04-10,6.0,6.4,6.0,6.4,620400
65,2012-04-11,6.8,6.8,6.7,6.8,92100
66,2012-04-12,7.2,7.2,7.2,7.2,41800
67,2012-04-13,7.7,7.7,7.4,7.7,983600
68,2012-04-16,7.6,8.2,7.2,7.7,539100
69,2012-04-17,7.4,7.8,7.3,7.4,418000
