,time,open,high,low,close,volume
0,2012-01-03,3.58,3.75,3.58,3.75,3920
1,2012-01-04,3.58,3.66,3.58,3.58,47140
2,2012-01-05,3.66,3.66,3.5,3.5,36330
3,2012-01-06,3.5,3.5,3.41,3.41,25510
4,2012-01-09,3.58,3.58,3.41,3.5,12130
5,2012-01-10,3.58,3.66,3.5,3.66,12660
6,2012-01-11,3.83,3.83,3.5,3.5,3800
7,2012-01-12,3.41,3.58,3.41,3.5,5250
8,2012-01-13,3.66,3.66,3.58,3.58,9410
9,2012-01-16,3.66,3.75,3.66,3.75,25810
10,2012-01-17,3.83,3.83,3.66,3.66,1860
11,2012-01-18,3.66,3.75,3.66,3.75,520
12,2012-01-19,3.58,3.83,3.58,3.83,24010
13,2012-01-20,3.83,4.0,3.83,4.0,67450
14,2012-01-30,4.0,4.16,4.0,4.16,15170
15,2012-01-31,4.16,4.33,4.16,4.16,56050
16,2012-02-01,4.08,4.16,4.08,4.16,44960
17,2012-02-02,4.16,4.33,4.16,4.33,77740
18,2012-02-03,4.41,4.5,4.16,4.16,62390
19,2012-02-06,4.16,4.16,4.08,4.16,23700
20,2012-02-07,4.16,4.16,4.0,4.16,11840
21,2012-02-08,4.08,4.25,4.08,4.16,106260
22,2012-02-09,4.08,4.16,4.08,4.16,53250
23,2012-02-10,4.08,4.08,4.0,4.0,13570
24,2012-02-13,3.91,3.91,3.83,3.83,52570
25,2012-02-14,3.66,4.0,3.66,3.83,33370
26,2012-02-15,3.91,3.91,3.66,3.66,59020
27,2012-02-16,3.75,3.75,3.58,3.66,38400
28,2012-02-17,3.75,3.75,3.66,3.75,101340
29,2012-02-20,3.91,3.91,3.75,3.91,212570
30,2012-02-21,4.08,4.08,3.91,4.0,104210
31,2012-02-22,4.0,4.16,3.91,4.16,154470
32,2012-02-23,4.16,4.33,4.08,4.33,173310
33,2012-02-24,4.25,4.41,4.16,4.16,266800
34,2012-02-27,4.16,4.33,4.16,4.33,147050
35,2012-02-28,4.5,4.5,4.33,4.33,475460
36,2012-02-29,4.33,4.5,4.33,4.41,139570
37,2012-03-01,4.5,4.5,4.41,4.5,118160
38,2012-03-02,4.5,4.66,4.5,4.66,291790
39,2012-03-05,4.83,4.83,4.83,4.83,61860
40,2012-03-06,5.0,5.0,4.66,4.66,388310
41,2012-03-07,4.75,4.75,4.5,4.66,122350
42,2012-03-08,4.5,4.66,4.5,4.5,175210
43,2012-03-09,4.41,4.58,4.33,4.33,197440
44,2012-03-12,4.33,4.33,4.16,4.33,192660
45,2012-03-13,4.25,4.41,4.25,4.33,90450
46,2012-03-14,4.41,4.41,4.16,4.33,38120
47,2012-03-15,4.25,4.5,4.16,4.5,117690
48,2012-03-16,4.58,4.58,4.41,4.41,121090
49,2012-03-19,4.33,4.41,4.33,4.41,166930
50,2012-03-20,4.41,4.5,4.33,4.41,104570
51,2012-03-21,4.5,4.58,4.41,4.58,494230
52,2012-03-22,4.58,4.75,4.5,4.75,459650
53,2012-03-23,4.91,4.91,4.91,4.91,113470
54,2012-03-26,5.08,5.08,5.08,5.08,230530
55,2012-03-27,5.33,5.33,5.25,5.33,1144760
56,2012-03-28,5.58,5.58,5.25,5.58,1022190
57,2012-03-29,5.58,5.83,5.41,5.41,681270
58,2012-03-30,5.25,5.41,5.16,5.16,245020
59,2012-04-03,5.16,5.33,5.08,5.25,323470
60,2012-04-04,5.16,5.16,5.0,5.0,438470
61,2012-04-05,4.83,5.16,4.75,5.0,432950
62,2012-04-06,5.0,5.25,5.0,5.25,181930
63,2012-04-09,5.33,5.5,5.33,5.5,376190
64,2012-04-10,5.5,5.66,5.33,5.5,293450
65,2012-04-11,5.58,5.75,5.41,5.66,360500
66,2012-04-12,5.66,5.83,5.58,5.66,560850
67,2012-04-13,5.5,5.66,5.41,5.41,500310
68,2012-04-16,5.5,5.66,5.41,5.66,223000
69,2012-04-17,5.83,5.91,5.83,5.91,534930
70,2012-04-18,5.91,5.91,5.66,5.66,344490
71,2012-04-19,5.58,5.58,5.41,5.41,351830
72,2012-04-20,5.41,5.66,5.33,5.66,120020
73,2012-04-23,5.66,5.75,5.5,5.58,159590
74,2012-04-24,5.58,5.75,5.41,5.75,151590
75,2012-04-25,5.83,5.83,5.66,5.75,424900
76,2012-04-26,5.75,6.0,5.66,6.0,619080
77,2012-04-27,6.25,6.25,6.25,6.25,83170
78,2012-05-02,6.5,6.5,6.5,6.5,36640
79,2012-05-03,6.74,6.74,6.41,6.74,1687080
80,2012-05-04,6.41,7.08,6.41,6.99,737250
81,2012-05-07,7.24,7.33,7.24,7.33,309580
82,2012-05-08,7.66,7.66,7.41,7.66,580640
83,2012-05-09,7.41,7.58,7.33,7.33,859680
84,2012-05-10,7.33,7.33,6.99,7.16,706400
85,2012-05-11,7.16,7.16,6.83,6.83,430800
86,2012-05-14,6.66,6.74,6.5,6.5,506630
87,2012-05-15,6.33,6.5,6.25,6.25,400990
88,2012-05-16,6.08,6.25,6.0,6.25,311430
89,2012-05-17,6.08,6.5,6.0,6.0,140540
90,2012-05-18,6.16,6.25,6.0,6.25,441180
91,2012-05-21,6.5,6.5,6.41,6.5,112160
92,2012-05-22,6.66,6.74,6.5,6.66,328270
93,2012-05-23,6.66,6.66,6.33,6.33,205010
94,2012-05-24,6.16,6.33,6.08,6.08,227860
95,2012-05-25,6.25,6.33,6.25,6.33,120230
96,2012-05-28,6.41,6.58,6.25,6.41,125440
97,2012-05-29,6.25,6.33,6.16,6.33,45870
98,2012-05-30,6.16,6.41,6.16,6.16,81390
