,time,open,high,low,close,volume
0,2012-01-03,11.54,12.53,11.54,12.53,7020
1,2012-01-04,11.99,12.62,11.99,11.99,1380
2,2012-01-05,11.45,11.99,11.45,11.99,11020
3,2012-01-06,11.45,12.17,11.45,12.17,9160
4,2012-01-09,11.63,12.17,11.63,12.17,5190
5,2012-01-10,11.63,12.17,11.63,12.17,24830
6,2012-01-11,11.63,12.17,11.63,12.17,6630
7,2012-01-12,11.63,12.08,11.63,12.08,13210
8,2012-01-13,11.54,11.99,11.54,11.99,5940
9,2012-01-16,11.45,11.45,11.45,11.45,3340
10,2012-01-17,10.91,11.45,10.91,11.45,19830
11,2012-01-18,11.45,11.63,11.45,11.63,5510
12,2012-01-19,11.45,11.45,11.45,11.45,530
13,2012-01-20,11.45,11.45,11.36,11.45,18000
14,2012-01-30,11.27,11.99,11.27,11.99,13260
15,2012-01-31,11.63,12.35,11.54,12.35,61200
16,2012-02-01,12.35,12.71,12.26,12.71,3260
17,2012-02-02,13.35,13.35,12.71,12.71,17180
18,2012-02-03,13.35,13.35,12.62,13.08,1670
19,2012-02-06,12.44,12.71,12.44,12.44,1620
20,2012-02-07,11.9,12.35,11.9,11.9,16620
21,2012-02-08,12.17,12.44,11.63,12.44,28870
22,2012-02-09,12.35,12.35,11.9,11.9,6230
23,2012-02-10,11.45,12.44,11.45,12.44,76970
24,2012-02-13,12.8,12.8,11.99,12.8,690
25,2012-02-14,12.62,12.99,12.44,12.99,27070
26,2012-02-15,12.8,12.8,12.44,12.8,5250
27,2012-02-16,12.17,12.8,12.17,12.8,5100
28,2012-02-17,12.8,12.8,12.8,12.8,1760
29,2012-02-20,12.8,13.08,12.44,13.08,19560
30,2012-02-21,12.53,13.08,12.53,13.08,33700
31,2012-02-22,12.62,13.53,12.62,13.53,14540
32,2012-02-23,14.07,14.16,13.62,14.16,62950
33,2012-02-24,14.79,14.79,13.98,14.43,45870
34,2012-02-27,14.43,14.88,14.34,14.43,23430
35,2012-02-28,14.34,14.43,13.71,14.16,13420
36,2012-02-29,13.53,13.98,13.53,13.98,10680
37,2012-03-01,13.98,14.16,13.35,13.35,40460
38,2012-03-02,13.35,13.35,12.71,12.71,110280
