,time,open,high,low,close,volume
0,2017-04-03,3.83,3.87,3.83,3.87,400
1,2017-04-04,3.87,3.87,3.87,3.87,200
2,2017-04-05,3.83,3.83,3.83,3.83,200
3,2017-04-07,3.83,3.83,3.83,3.83,200
4,2017-04-10,3.87,3.87,3.87,3.87,100
5,2017-04-11,3.83,3.83,3.83,3.83,100
6,2017-04-12,4.03,4.03,4.03,4.03,100
7,2017-04-13,4.03,4.03,4.03,4.03,100
8,2017-04-14,4.03,4.03,4.03,4.03,0
9,2017-04-17,4.03,4.03,4.03,4.03,0
10,2017-04-18,4.03,4.03,4.03,4.03,0
11,2017-04-19,4.03,4.03,4.03,4.03,300
12,2017-04-20,4.03,4.03,4.03,4.03,0
13,2017-04-21,4.23,4.23,4.23,4.23,100
14,2017-04-24,3.87,3.87,3.87,3.87,200
15,2017-04-25,4.03,4.03,4.03,4.03,100
16,2017-04-26,4.03,4.03,4.03,4.03,100
17,2017-04-27,4.03,4.03,4.03,4.03,0
18,2017-04-28,3.83,3.83,3.83,3.83,200
19,2017-05-03,3.83,3.83,3.83,3.83,0
20,2017-05-04,3.83,3.83,3.83,3.83,0
21,2017-05-05,3.83,3.83,3.83,3.83,0
22,2017-05-08,3.83,3.83,3.83,3.83,0
23,2017-05-09,3.83,3.83,3.83,3.83,0
24,2017-05-10,3.83,3.83,3.83,3.83,0
25,2017-05-11,3.83,3.83,3.83,3.83,0
26,2017-05-12,3.83,3.83,3.83,3.83,0
27,2017-05-15,3.83,3.83,3.83,3.83,0
28,2017-05-16,3.83,3.83,3.83,3.83,0
29,2017-05-17,3.83,3.83,3.83,3.83,0
30,2017-05-18,3.83,3.83,3.83,3.83,0
31,2017-05-19,3.83,3.83,3.83,3.83,0
32,2017-05-22,3.83,3.83,3.83,3.83,0
33,2017-05-23,3.83,3.83,3.83,3.83,0
34,2017-05-24,3.83,3.83,3.83,3.83,0
35,2017-05-25,3.83,3.83,3.83,3.83,0
36,2017-05-26,3.83,3.83,3.83,3.83,0
37,2017-05-29,3.83,3.83,3.83,3.83,0
38,2017-05-30,3.83,3.83,3.83,3.83,0
39,2017-05-31,3.83,3.83,3.83,3.83,0
40,2017-06-01,3.83,3.83,3.83,3.83,0
41,2017-06-02,3.83,3.83,3.83,3.83,0
42,2017-06-05,3.83,3.83,3.83,3.83,0
43,2017-06-06,3.83,3.83,3.83,3.83,0
44,2017-06-07,3.83,3.83,3.83,3.83,0
45,2017-06-08,3.83,3.83,3.83,3.83,0
46,2017-06-09,3.83,3.83,3.83,3.83,0
47,2017-06-12,3.83,3.83,3.83,3.83,100
48,2017-06-13,3.83,3.83,3.83,3.83,0
49,2017-06-14,3.83,3.83,3.83,3.83,0
50,2017-06-15,3.83,3.83,3.83,3.83,0
51,2017-06-16,3.83,3.83,3.83,3.83,0
52,2017-06-19,3.83,3.83,3.83,3.83,0
53,2017-06-20,3.83,3.83,3.83,3.83,100
54,2017-06-21,3.83,3.83,3.83,3.83,0
55,2017-06-22,3.83,3.83,3.83,3.83,0
56,2017-06-23,4.35,4.35,4.35,4.35,100
57,2017-06-26,3.83,3.83,3.83,3.83,200
58,2017-06-27,3.83,3.83,3.83,3.83,0
59,2017-06-28,3.83,3.83,3.83,3.83,35
60,2017-06-29,3.83,3.83,3.83,3.83,0
61,2017-06-30,3.83,3.83,3.83,3.83,0
62,2017-07-03,3.83,3.83,3.83,3.83,35
63,2017-07-04,3.83,3.83,3.83,3.83,0
64,2017-07-05,3.83,3.83,3.83,3.83,0
65,2017-07-06,3.83,3.83,3.83,3.83,0
66,2017-07-07,3.83,3.83,3.83,3.83,0
67,2017-07-10,3.83,3.83,3.83,3.83,0
68,2017-07-11,3.83,3.83,3.83,3.83,0
69,2017-07-12,3.83,3.83,3.83,3.83,0
70,2017-07-13,3.83,3.83,3.83,3.83,0
71,2017-07-14,3.83,3.83,3.83,3.83,100
72,2017-07-17,3.83,3.83,3.83,3.83,0
73,2017-07-18,3.83,3.83,3.83,3.83,0
