,time,open,high,low,close,volume
0,2012-01-03,5.73,5.73,5.73,5.73,100
1,2012-01-04,5.88,5.88,5.81,5.81,1200
2,2012-01-05,5.81,5.81,5.81,5.81,100
3,2012-01-06,5.88,5.88,5.81,5.81,1100
4,2012-01-09,5.81,5.81,5.81,5.81,0
5,2012-01-10,6.11,6.11,6.11,6.11,200
6,2012-01-11,6.11,6.11,6.11,6.11,0
7,2012-01-12,6.11,6.11,6.11,6.11,0
8,2012-01-13,6.19,6.19,6.11,6.11,2200
9,2012-01-16,6.11,6.11,6.11,6.11,0
10,2012-01-17,5.88,5.88,5.88,5.88,4800
11,2012-01-18,6.27,6.27,5.65,5.65,2200
12,2012-01-19,5.5,5.5,5.34,5.34,11600
13,2012-01-20,5.42,5.42,5.42,5.42,35000
14,2012-01-30,5.65,5.65,5.65,5.65,1000
15,2012-01-31,5.96,5.96,5.81,5.81,1200
16,2012-02-01,6.11,6.11,5.81,5.81,200
17,2012-02-02,5.88,6.35,5.81,6.04,11000
18,2012-02-03,5.88,5.88,5.65,5.65,13200
19,2012-02-06,5.57,5.57,5.57,5.57,1200
20,2012-02-07,5.34,5.42,5.26,5.26,10200
21,2012-02-08,5.11,5.57,5.11,5.5,6500
22,2012-02-09,5.42,5.57,5.26,5.57,5300
23,2012-02-10,5.65,5.65,5.34,5.34,34400
24,2012-02-13,5.26,5.42,5.26,5.42,10000
25,2012-02-14,5.34,5.42,5.34,5.42,6900
26,2012-02-15,5.65,5.65,5.34,5.42,6600
27,2012-02-16,5.42,5.42,5.42,5.42,2400
28,2012-02-17,5.42,5.42,5.42,5.42,10000
29,2012-02-20,5.73,5.73,5.42,5.57,114100
30,2012-02-21,5.42,5.42,5.42,5.42,44500
31,2012-02-22,5.5,5.5,5.42,5.42,81000
32,2012-02-23,5.57,5.73,5.57,5.73,49800
33,2012-02-24,5.88,6.11,5.73,5.88,29000
34,2012-02-27,6.04,6.27,6.04,6.27,56000
35,2012-02-28,6.66,6.66,6.42,6.66,290900
36,2012-02-29,6.42,7.04,6.35,6.66,52200
37,2012-03-01,6.66,6.66,6.19,6.5,53400
38,2012-03-02,6.58,6.89,6.5,6.89,84700
39,2012-03-05,7.04,7.2,6.97,7.2,210500
40,2012-03-06,7.51,7.51,6.97,7.04,129500
41,2012-03-07,7.2,7.2,6.76,7.2,51700
42,2012-03-08,6.85,6.94,6.5,6.5,36300
43,2012-03-09,6.33,6.5,6.16,6.42,47300
44,2012-03-12,6.24,6.24,6.07,6.16,18900
45,2012-03-13,6.16,6.24,6.16,6.24,12900
46,2012-03-14,6.16,6.16,5.98,6.07,17900
47,2012-03-15,6.07,6.24,5.81,6.16,62500
