,time,open,high,low,close,volume
0,2012-01-03,1.69,1.69,1.69,1.69,0
1,2012-01-04,1.69,1.69,1.69,1.69,0
2,2012-01-05,1.69,1.69,1.69,1.69,0
3,2012-01-06,1.57,1.57,1.57,1.57,500
4,2012-01-09,1.57,1.57,1.57,1.57,0
5,2012-01-10,1.57,1.57,1.57,1.57,0
6,2012-01-11,1.57,1.57,1.57,1.57,0
7,2012-01-12,1.57,1.57,1.57,1.57,0
8,2012-01-13,1.57,1.57,1.57,1.57,0
9,2012-01-16,1.57,1.57,1.57,1.57,0
10,2012-01-17,1.57,1.57,1.57,1.57,0
11,2012-01-18,1.57,1.57,1.57,1.57,0
12,2012-01-19,1.57,1.57,1.57,1.57,0
13,2012-01-20,1.57,1.57,1.57,1.57,0
14,2012-01-30,1.67,1.67,1.67,1.67,100
15,2012-01-31,1.67,1.67,1.67,1.67,0
16,2012-02-01,1.7,1.7,1.7,1.7,100
17,2012-02-02,1.7,1.7,1.7,1.7,0
18,2012-02-03,1.76,1.76,1.76,1.76,300
19,2012-02-06,1.74,1.76,1.74,1.76,6300
20,2012-02-07,1.76,1.76,1.76,1.76,0
21,2012-02-08,1.78,1.87,1.73,1.76,23800
22,2012-02-09,1.87,1.87,1.7,1.71,10900
23,2012-02-10,1.76,1.76,1.64,1.72,8900
24,2012-02-13,1.73,1.73,1.72,1.72,1600
25,2012-02-14,1.85,1.85,1.73,1.73,3100
26,2012-02-15,1.73,1.73,1.73,1.73,0
27,2012-02-16,1.78,1.78,1.71,1.76,3900
28,2012-02-17,1.8,1.8,1.78,1.78,1600
29,2012-02-20,1.85,1.85,1.84,1.84,600
30,2012-02-21,1.81,1.81,1.79,1.79,1200
31,2012-02-22,1.92,1.92,1.92,1.92,100
32,2012-02-23,2.01,2.01,2.01,2.01,100
33,2012-02-24,2.04,2.04,1.87,1.87,18200
34,2012-02-27,1.99,1.99,1.87,1.87,1600
35,2012-02-28,1.81,1.91,1.81,1.87,1000
36,2012-02-29,2.0,2.0,1.88,1.88,1000
37,2012-03-01,1.95,2.01,1.95,2.01,4400
38,2012-03-02,2.05,2.05,1.98,1.98,300
39,2012-03-05,2.11,2.13,2.07,2.13,4600
40,2012-03-06,2.14,2.2,2.08,2.2,2700
41,2012-03-07,2.24,2.24,2.06,2.06,1600
42,2012-03-08,2.15,2.15,1.97,1.97,1500
43,2012-03-09,2.04,2.04,1.88,1.93,4000
44,2012-03-12,2.01,2.01,2.0,2.01,1900
45,2012-03-13,1.87,2.13,1.87,2.13,7600
46,2012-03-14,2.05,2.05,1.95,1.95,8100
47,2012-03-15,2.11,2.11,1.99,1.99,400
48,2012-03-16,2.1,2.1,2.01,2.01,3000
49,2012-03-19,2.17,2.17,1.99,2.11,1300
50,2012-03-20,2.18,2.18,2.18,2.18,100
51,2012-03-21,2.18,2.18,2.18,2.18,0
52,2012-03-22,2.06,2.06,2.02,2.02,38700
53,2012-03-23,2.15,2.15,2.08,2.08,1100
54,2012-03-26,2.15,2.15,1.99,2.01,21800
55,2012-03-27,2.01,2.01,1.99,1.99,12700
56,2012-03-28,1.88,2.04,1.88,2.04,2500
57,2012-03-29,2.05,2.11,2.0,2.07,10800
58,2012-03-30,1.95,2.05,1.95,2.05,7100
59,2012-04-03,2.02,2.05,2.02,2.05,23200
60,2012-04-04,2.02,2.02,2.0,2.0,9500
61,2012-04-05,2.01,2.08,2.01,2.08,54300
62,2012-04-06,2.08,2.2,2.06,2.2,18400
63,2012-04-09,2.34,2.34,2.21,2.21,1200
64,2012-04-10,2.22,2.28,2.22,2.28,1400
