,time,open,high,low,close,volume
0,2016-08-15,12.08,12.08,12.08,12.08,900
1,2016-08-16,12.08,12.08,12.08,12.08,0
2,2016-08-17,12.08,12.08,12.08,12.08,0
3,2016-08-18,12.08,12.08,12.08,12.08,0
4,2016-08-19,12.08,12.08,12.08,12.08,0
5,2016-08-22,12.08,12.08,12.08,12.08,0
6,2016-08-23,12.08,12.08,12.08,12.08,0
7,2016-08-24,12.08,12.08,12.08,12.08,0
8,2016-08-25,12.08,12.08,12.08,12.08,0
9,2016-08-26,12.08,12.08,12.08,12.08,0
10,2016-08-29,12.08,12.08,12.08,12.08,0
11,2016-08-30,12.08,12.08,12.08,12.08,0
12,2016-08-31,12.08,12.08,12.08,12.08,0
13,2016-09-01,12.08,12.08,12.08,12.08,0
14,2016-09-05,12.08,12.08,12.08,12.08,0
15,2016-09-06,12.08,12.08,12.08,12.08,0
16,2016-09-07,12.08,12.08,12.08,12.08,0
17,2016-09-08,12.08,12.08,12.08,12.08,0
18,2016-09-09,12.08,12.08,12.08,12.08,0
19,2016-09-12,12.08,12.08,12.08,12.08,0
20,2016-09-13,12.08,12.08,12.08,12.08,0
21,2016-09-14,12.08,12.08,12.08,12.08,0
22,2016-09-15,12.08,12.08,12.08,12.08,0
23,2016-09-16,12.08,12.08,12.08,12.08,0
24,2016-09-19,12.08,12.08,12.08,12.08,0
25,2016-09-20,12.08,12.08,12.08,12.08,0
26,2016-09-21,12.08,12.08,12.08,12.08,0
27,2016-09-22,12.08,12.08,12.08,12.08,0
28,2016-09-23,7.25,7.25,7.25,7.25,100
29,2016-09-26,7.25,7.25,7.25,7.25,1800
30,2016-09-27,7.25,7.25,7.25,7.25,0
31,2016-09-28,8.32,8.32,8.32,8.32,100
32,2016-09-29,7.12,7.18,7.12,7.18,1800
33,2016-09-30,7.25,7.72,7.25,7.72,3000
34,2016-10-03,7.72,7.72,7.72,7.72,0
35,2016-10-04,7.72,7.72,7.72,7.72,0
36,2016-10-05,8.53,8.53,8.53,8.53,500
37,2016-10-06,8.53,8.53,8.53,8.53,0
38,2016-10-07,7.38,7.38,7.38,7.38,100
39,2016-10-10,8.46,8.46,8.46,8.46,800
40,2016-10-11,7.38,7.38,7.38,7.38,100
41,2016-10-12,7.38,7.38,7.38,7.38,0
42,2016-10-13,7.38,7.38,7.38,7.38,0
43,2016-10-14,7.38,7.38,7.38,7.38,0
44,2016-10-17,8.46,8.46,8.46,8.46,300
45,2016-10-18,8.73,8.73,8.73,8.73,200
46,2016-10-19,8.73,8.73,8.73,8.73,0
47,2016-10-20,7.45,7.45,7.45,7.45,100
48,2016-10-21,7.45,7.45,7.45,7.45,0
49,2016-10-24,7.45,7.45,7.45,7.45,0
50,2016-10-25,7.45,7.45,7.45,7.45,0
51,2016-10-26,7.45,7.45,7.45,7.45,0
52,2016-10-27,8.53,8.53,8.53,8.53,100
53,2016-10-28,8.53,8.53,8.53,8.53,0
54,2016-10-31,8.53,8.53,8.53,8.53,0
55,2016-11-01,8.53,8.53,8.53,8.53,0
56,2016-11-02,9.33,9.33,9.33,9.33,800
57,2016-11-03,9.33,9.33,9.33,9.33,0
58,2016-11-04,9.6,9.6,9.33,9.33,1400
59,2016-11-07,9.33,9.33,9.33,9.33,0
60,2016-11-08,8.12,8.12,8.06,8.06,800
61,2016-11-09,8.06,8.06,8.06,8.06,0
62,2016-11-10,8.06,8.06,8.06,8.06,0
63,2016-11-11,8.06,8.06,8.06,8.06,0
64,2016-11-14,8.06,8.06,8.06,8.06,0
65,2016-11-15,8.06,8.06,8.06,8.06,0
66,2016-11-16,8.06,8.06,8.06,8.06,0
67,2016-11-17,8.12,8.12,8.12,8.12,100
68,2016-11-18,8.12,8.12,8.12,8.12,0
69,2016-11-21,8.12,8.12,8.12,8.12,0
70,2016-11-22,8.12,8.12,8.12,8.12,0
71,2016-11-23,8.12,8.12,8.12,8.12,0
72,2016-11-24,8.12,8.12,8.12,8.12,0
73,2016-11-25,8.12,8.12,8.12,8.12,0
74,2016-11-28,8.12,8.12,8.12,8.12,0
75,2016-11-29,8.12,8.12,8.12,8.12,0
76,2016-11-30,8.12,8.12,8.12,8.12,0
77,2016-12-01,8.12,8.12,8.12,8.12,0
78,2016-12-02,8.12,8.12,8.12,8.12,0
79,2016-12-05,8.12,8.12,8.12,8.12,0
80,2016-12-06,8.12,8.12,8.12,8.12,0
81,2016-12-07,8.12,8.12,8.12,8.12,0
82,2016-12-08,8.12,8.12,8.12,8.12,0
83,2016-12-09,8.12,8.12,8.12,8.12,0
84,2016-12-12,8.12,8.12,8.12,8.12,0
85,2016-12-13,8.12,8.12,8.12,8.12,0
86,2016-12-14,8.12,8.12,8.12,8.12,0
87,2016-12-15,8.12,8.12,8.12,8.12,0
88,2016-12-16,8.12,8.12,8.12,8.12,0
89,2016-12-19,8.12,8.12,8.12,8.12,0
90,2016-12-20,8.12,8.12,8.12,8.12,0
91,2016-12-21,8.12,8.12,8.12,8.12,0
92,2016-12-22,8.12,8.12,8.12,8.12,0
93,2016-12-23,8.12,8.12,8.12,8.12,0
94,2016-12-26,8.12,8.12,8.12,8.12,0
95,2016-12-27,8.12,8.12,8.12,8.12,0
96,2016-12-28,8.12,8.12,8.12,8.12,0
97,2016-12-29,8.12,8.12,8.12,8.12,0
98,2016-12-30,8.12,8.12,8.12,8.12,0
99,2017-01-03,8.12,8.12,8.12,8.12,0
100,2017-01-04,8.12,8.12,8.12,8.12,0
101,2017-01-05,8.12,8.12,8.12,8.12,0
102,2017-01-06,8.12,8.12,8.12,8.12,0
103,2017-01-09,8.12,8.12,8.12,8.12,0
104,2017-01-10,8.12,8.12,8.12,8.12,0
105,2017-01-11,8.12,8.12,8.12,8.12,0
106,2017-01-12,8.12,8.12,8.12,8.12,0
107,2017-01-13,8.12,8.12,8.12,8.12,0
108,2017-01-16,8.12,8.12,8.12,8.12,0
109,2017-01-17,8.12,8.12,8.12,8.12,0
110,2017-01-18,8.12,8.12,8.12,8.12,0
111,2017-01-19,8.12,8.12,8.12,8.12,0
112,2017-01-20,8.12,8.12,8.12,8.12,0
113,2017-01-23,8.12,8.12,8.12,8.12,0
114,2017-01-24,8.12,8.12,8.12,8.12,0
115,2017-01-25,8.12,8.12,8.12,8.12,0
116,2017-02-02,8.12,8.12,8.12,8.12,0
117,2017-02-03,8.12,8.12,8.12,8.12,0
118,2017-02-06,8.12,8.12,8.12,8.12,0
119,2017-02-07,8.12,8.12,8.12,8.12,0
120,2017-02-08,8.12,8.12,8.12,8.12,0
121,2017-02-09,9.06,9.26,9.06,9.26,500
122,2017-02-10,9.26,9.26,9.26,9.26,0
123,2017-02-13,9.26,9.26,9.26,9.26,0
124,2017-02-14,9.2,9.2,9.2,9.2,2300
125,2017-02-15,9.2,9.2,9.2,9.2,0
126,2017-02-16,9.2,9.2,9.2,9.2,0
127,2017-02-17,9.2,9.2,9.2,9.2,0
128,2017-02-20,9.2,9.2,9.2,9.2,0
129,2017-02-21,9.2,9.2,9.2,9.2,500
130,2017-02-22,9.2,9.2,9.2,9.2,0
131,2017-02-23,9.2,9.2,9.2,9.2,0
132,2017-02-24,9.2,9.2,9.2,9.2,0
133,2017-02-27,9.2,9.2,9.2,9.2,0
134,2017-02-28,9.2,9.2,9.2,9.2,0
135,2017-03-01,9.2,9.2,9.2,9.2,0
136,2017-03-02,9.2,9.2,9.2,9.2,0
137,2017-03-03,9.2,9.2,9.2,9.2,0
138,2017-03-06,9.2,9.2,9.2,9.2,0
139,2017-03-07,9.2,9.2,9.2,9.2,0
140,2017-03-08,9.2,9.2,9.2,9.2,0
141,2017-03-09,9.2,9.2,9.2,9.2,0
142,2017-03-10,9.2,9.2,9.2,9.2,0
143,2017-03-13,9.2,9.2,9.2,9.2,600
144,2017-03-14,9.2,9.2,9.2,9.2,0
145,2017-03-15,9.2,9.2,9.2,9.2,0
146,2017-03-16,9.2,9.2,9.2,9.2,0
147,2017-03-17,9.2,9.2,9.2,9.2,0
148,2017-03-20,9.2,9.2,9.2,9.2,0
149,2017-03-21,9.2,9.2,9.2,9.2,0
150,2017-03-22,9.2,9.2,9.2,9.2,0
151,2017-03-23,9.2,9.2,9.2,9.2,0
152,2017-03-24,9.2,9.2,9.2,9.2,0
153,2017-03-27,9.2,9.2,9.2,9.2,0
154,2017-03-28,9.2,9.2,9.2,9.2,0
155,2017-03-29,9.2,9.2,9.2,9.2,0
156,2017-03-30,9.2,9.2,9.2,9.2,0
157,2017-03-31,9.2,9.2,9.2,9.2,0
158,2017-04-03,9.2,9.2,9.2,9.2,0
159,2017-04-04,9.2,9.2,9.2,9.2,0
160,2017-04-05,9.2,9.2,9.2,9.2,0
161,2017-04-07,9.2,9.2,9.2,9.2,0
162,2017-04-10,9.2,9.2,9.2,9.2,0
163,2017-04-11,9.2,9.2,9.2,9.2,0
164,2017-04-12,9.2,9.2,9.2,9.2,0
165,2017-04-13,9.2,9.2,9.2,9.2,0
166,2017-04-14,9.2,9.2,9.2,9.2,0
167,2017-04-17,9.2,9.2,9.2,9.2,0
168,2017-04-18,9.2,9.2,9.2,9.2,0
169,2017-04-19,9.2,9.2,9.2,9.2,0
170,2017-04-20,9.2,9.2,9.2,9.2,0
171,2017-04-21,9.2,9.2,9.2,9.2,0
172,2017-04-24,9.2,9.2,9.2,9.2,0
173,2017-04-25,9.2,9.2,9.2,9.2,0
174,2017-04-26,9.2,9.2,9.2,9.2,0
