,time,open,high,low,close,volume
0,2012-01-03,4.03,4.03,4.03,4.03,2900
1,2012-01-04,4.31,4.31,4.31,4.31,1800
2,2012-01-05,4.37,4.37,4.34,4.34,1500
3,2012-01-06,4.37,4.37,4.37,4.37,200
4,2012-01-09,4.37,4.37,4.37,4.37,500
5,2012-01-10,4.34,4.34,4.18,4.21,47200
6,2012-01-11,4.21,4.21,4.18,4.18,8500
7,2012-01-12,4.18,4.18,4.12,4.12,1300
8,2012-01-13,4.15,4.37,4.15,4.37,20500
9,2012-01-16,4.46,4.46,4.46,4.46,1000
10,2012-01-17,4.77,4.77,4.55,4.55,3800
11,2012-01-18,4.99,4.99,4.8,4.83,1400
12,2012-01-19,4.9,4.9,4.9,4.9,1000
13,2012-01-20,4.9,4.96,4.9,4.96,1600
14,2012-01-30,4.96,5.08,4.96,5.08,2300
15,2012-01-31,5.05,5.08,5.05,5.05,2500
16,2012-02-01,4.96,5.02,4.96,5.02,300
17,2012-02-02,5.11,5.14,5.11,5.14,600
18,2012-02-03,5.11,5.11,4.93,4.93,3700
19,2012-02-06,5.11,5.11,4.9,4.9,300
20,2012-02-07,5.11,5.11,4.86,4.86,300
21,2012-02-08,5.11,5.11,5.08,5.08,2800
22,2012-02-09,4.96,4.96,4.96,4.96,1100
23,2012-02-10,5.08,5.08,4.71,4.71,700
24,2012-02-13,5.05,5.05,4.74,4.74,600
25,2012-02-14,4.99,5.02,4.8,4.8,2000
26,2012-02-15,4.59,5.02,4.59,4.93,600
27,2012-02-16,4.49,4.49,4.49,4.49,300
28,2012-02-17,4.8,4.8,4.8,4.8,300
29,2012-02-20,5.11,5.11,5.11,5.11,17400
30,2012-02-21,5.42,5.42,5.14,5.14,4600
31,2012-02-22,5.36,5.42,5.36,5.42,1200
32,2012-02-23,5.11,5.52,5.11,5.27,1900
33,2012-02-24,5.76,5.76,5.33,5.33,6300
34,2012-02-27,5.05,5.36,5.05,5.36,2500
35,2012-02-28,5.45,5.45,5.11,5.17,6200
36,2012-02-29,5.11,5.27,4.96,5.27,1600
37,2012-03-01,5.14,5.14,5.14,5.14,5200
38,2012-03-02,5.14,5.39,4.96,5.39,8200
39,2012-03-05,5.52,5.58,5.52,5.55,124700
40,2012-03-06,5.58,5.58,5.24,5.42,23700
41,2012-03-07,5.05,5.42,5.05,5.42,3300
42,2012-03-08,5.17,5.17,5.11,5.11,4700
43,2012-03-09,5.33,5.33,5.24,5.24,1900
44,2012-03-12,5.11,5.14,4.96,5.02,9300
45,2012-03-13,5.08,5.17,4.96,5.17,5100
46,2012-03-14,5.27,5.27,4.96,5.17,4400
47,2012-03-15,5.28,5.28,5.05,5.25,12100
48,2012-03-16,5.31,5.31,4.95,5.15,12300
49,2012-03-19,5.38,5.38,5.18,5.28,10500
50,2012-03-20,5.45,5.45,5.28,5.31,9800
51,2012-03-21,5.38,5.38,5.28,5.28,23400
52,2012-03-22,5.25,5.31,5.18,5.31,9600
53,2012-03-23,5.28,5.35,5.28,5.35,16100
54,2012-03-26,5.28,5.51,5.28,5.35,26500
55,2012-03-27,5.45,5.61,5.31,5.38,9100
56,2012-03-28,5.51,5.51,5.22,5.38,1500
57,2012-03-29,5.51,5.51,5.28,5.41,13300
58,2012-03-30,5.55,5.55,5.28,5.38,5900
59,2012-04-03,5.51,5.55,5.41,5.45,10300
60,2012-04-04,5.48,5.48,5.35,5.35,1800
61,2012-04-05,5.45,5.45,5.31,5.38,4300
62,2012-04-06,5.35,5.45,5.25,5.28,14700
63,2012-04-09,5.45,5.45,5.28,5.38,1500
64,2012-04-10,5.38,5.38,5.31,5.31,7100
65,2012-04-11,5.41,5.68,5.41,5.68,25800
66,2012-04-12,5.78,6.07,5.78,6.07,33300
67,2012-04-13,6.47,6.47,5.94,6.24,3400
68,2012-04-16,6.24,6.4,5.94,6.4,5300
69,2012-04-17,6.07,6.44,6.07,6.27,12400
70,2012-04-18,6.27,6.34,6.24,6.24,6100
71,2012-04-19,5.97,6.54,5.84,6.54,10300
72,2012-04-20,6.24,6.27,5.94,6.24,2000
73,2012-04-23,6.01,6.17,6.01,6.01,1300
74,2012-04-24,5.97,6.07,5.94,5.97,3800
75,2012-04-25,6.14,6.21,6.14,6.21,2600
76,2012-04-26,6.11,6.11,5.97,6.07,400
77,2012-04-27,6.27,6.27,6.01,6.01,1600
78,2012-05-02,6.07,6.11,5.94,6.01,3500
79,2012-05-03,6.3,6.3,5.97,6.11,1600
80,2012-05-04,6.37,6.44,6.21,6.3,11400
