,time,open,high,low,close,volume
0,2012-01-03,3.13,3.15,3.1,3.1,259370
1,2012-01-04,3.24,3.24,3.15,3.18,502250
2,2012-01-05,3.24,3.26,3.18,3.18,407690
3,2012-01-06,3.18,3.18,3.13,3.13,250620
4,2012-01-09,3.13,3.26,3.13,3.24,536720
5,2012-01-10,3.24,3.35,3.24,3.32,800980
6,2012-01-11,3.32,3.35,3.24,3.24,521590
7,2012-01-12,3.24,3.24,3.18,3.21,142730
8,2012-01-13,3.21,3.24,3.21,3.21,210580
9,2012-01-16,3.21,3.32,3.21,3.26,518830
10,2012-01-17,3.26,3.32,3.26,3.26,559120
11,2012-01-18,3.26,3.32,3.26,3.29,326470
12,2012-01-19,3.29,3.4,3.29,3.4,321940
13,2012-01-20,3.43,3.43,3.35,3.35,320080
14,2012-01-30,3.4,3.51,3.35,3.51,700660
15,2012-01-31,3.59,3.65,3.51,3.54,1197880
16,2012-02-01,3.56,3.56,3.48,3.56,1028410
17,2012-02-02,3.59,3.73,3.59,3.73,1057270
18,2012-02-03,3.73,3.89,3.67,3.7,2862990
19,2012-02-06,3.67,3.7,3.59,3.67,620360
20,2012-02-07,3.7,3.7,3.62,3.7,847290
21,2012-02-08,3.87,3.87,3.84,3.87,1893980
22,2012-02-09,3.98,4.0,3.87,3.89,1443280
23,2012-02-10,3.89,3.92,3.78,3.78,1387060
24,2012-02-13,3.81,3.84,3.73,3.84,807430
25,2012-02-14,3.81,3.92,3.81,3.87,944010
26,2012-02-15,3.87,3.89,3.81,3.81,1043090
27,2012-02-16,3.81,3.94,3.78,3.84,894510
28,2012-02-17,3.9,3.9,3.81,3.9,389760
29,2012-02-20,4.0,4.09,4.0,4.09,1518530
30,2012-02-21,4.28,4.28,4.06,4.12,1014820
31,2012-02-22,4.03,4.28,4.03,4.28,1161010
32,2012-02-23,4.28,4.37,4.21,4.34,2026730
33,2012-02-24,4.31,4.34,4.21,4.21,1922660
34,2012-02-27,4.21,4.28,4.15,4.25,1021940
35,2012-02-28,4.21,4.25,4.06,4.06,1289470
36,2012-02-29,4.03,4.09,3.94,4.03,1400860
37,2012-03-01,4.03,4.15,3.97,4.15,820460
38,2012-03-02,4.18,4.25,4.12,4.25,1360030
39,2012-03-05,4.37,4.43,4.34,4.43,1736980
40,2012-03-06,4.62,4.62,4.25,4.28,2159400
41,2012-03-07,4.25,4.34,4.18,4.34,1307610
42,2012-03-08,4.21,4.34,4.12,4.12,1326540
43,2012-03-09,4.12,4.21,4.0,4.12,1026680
44,2012-03-12,4.06,4.09,4.0,4.0,852580
45,2012-03-13,4.03,4.12,4.0,4.06,914650
46,2012-03-14,4.12,4.12,4.03,4.06,755220
47,2012-03-15,4.03,4.25,4.0,4.25,1605850
48,2012-03-16,4.34,4.37,4.12,4.12,1847780
49,2012-03-19,4.09,4.15,4.06,4.12,439300
50,2012-03-20,4.06,4.18,4.06,4.15,699660
51,2012-03-21,4.21,4.34,4.21,4.21,1667880
52,2012-03-22,4.18,4.28,4.18,4.25,717000
53,2012-03-23,4.25,4.34,4.25,4.31,1022360
54,2012-03-26,4.37,4.49,4.31,4.49,3356950
55,2012-03-27,4.49,4.62,4.37,4.37,2310280
56,2012-03-28,4.4,4.46,4.28,4.4,1194800
57,2012-03-29,4.46,4.49,4.25,4.31,1672540
58,2012-03-30,4.31,4.34,4.21,4.31,1547330
59,2012-04-03,4.34,4.49,4.31,4.49,3205270
60,2012-04-04,4.56,4.62,4.49,4.56,2547650
61,2012-04-05,4.52,4.71,4.49,4.65,1763500
62,2012-04-06,4.65,4.83,4.59,4.74,2419480
63,2012-04-09,4.9,4.96,4.83,4.96,2177130
64,2012-04-10,5.17,5.21,4.96,5.05,5605760
65,2012-04-11,5.21,5.3,4.96,5.3,2958720
66,2012-04-12,5.21,5.39,5.11,5.21,2203500
67,2012-04-13,5.17,5.27,5.08,5.21,2532110
68,2012-04-16,5.21,5.45,5.11,5.36,2336390
69,2012-04-17,5.58,5.61,5.45,5.61,3617790
70,2012-04-18,5.61,5.76,5.52,5.52,2446640
71,2012-04-19,5.42,5.48,5.27,5.27,2230760
72,2012-04-20,5.21,5.33,5.11,5.17,2202390
73,2012-04-23,5.27,5.33,5.21,5.21,930520
74,2012-04-24,5.21,5.36,5.14,5.36,1244850
75,2012-04-25,5.45,5.55,5.39,5.55,1265280
76,2012-04-26,5.55,5.55,5.36,5.42,1317530
77,2012-04-27,5.39,5.52,5.36,5.48,1107510
78,2012-05-02,5.55,5.55,5.3,5.33,1072550
79,2012-05-03,5.3,5.36,5.21,5.27,923130
80,2012-05-04,5.39,5.52,5.33,5.52,1994020
81,2012-05-07,5.7,5.76,5.61,5.76,2121700
82,2012-05-08,5.76,5.79,5.64,5.64,2111300
83,2012-05-09,5.61,5.67,5.55,5.64,1004080
84,2012-05-10,5.67,5.7,5.48,5.52,1600910
85,2012-05-11,5.58,5.61,5.48,5.48,1498980
86,2012-05-14,5.45,5.48,5.24,5.27,1676420
87,2012-05-15,5.17,5.36,5.11,5.11,1424980
88,2012-05-16,5.17,5.21,5.02,5.11,960320
89,2012-05-17,5.17,5.27,5.14,5.14,850250
90,2012-05-18,5.05,5.08,4.9,4.99,1385060
91,2012-05-21,5.02,5.24,4.99,5.24,735160
92,2012-05-22,5.24,5.36,5.14,5.27,726070
93,2012-05-23,5.17,5.21,5.02,5.02,860090
94,2012-05-24,5.05,5.05,4.93,5.02,800320
95,2012-05-25,5.11,5.27,5.11,5.27,1035710
96,2012-05-28,5.45,5.45,5.24,5.33,857130
97,2012-05-29,5.21,5.33,5.21,5.27,538790
98,2012-05-30,5.33,5.33,5.24,5.24,504330
99,2012-05-31,5.21,5.24,5.08,5.08,486660
100,2012-06-01,5.17,5.17,5.02,5.02,586140
101,2012-06-04,4.99,4.99,4.8,4.8,1860210
102,2012-06-05,4.8,4.93,4.8,4.9,575910
103,2012-06-06,4.93,5.02,4.87,4.99,624710
104,2012-06-07,5.02,5.17,4.96,4.96,1562730
105,2012-06-08,5.08,5.08,4.96,5.02,1834300
106,2012-06-11,5.02,5.05,4.99,4.99,1065300
107,2012-06-12,4.96,4.99,4.93,4.96,1002240
108,2012-06-13,4.96,4.96,4.87,4.96,1460680
109,2012-06-14,4.87,4.87,4.74,4.74,2700610
110,2012-06-15,4.74,4.83,4.65,4.65,5462960
111,2012-06-18,4.8,4.87,4.74,4.87,2010590
112,2012-06-19,4.8,4.83,4.77,4.8,533180
113,2012-06-20,4.83,4.9,4.77,4.87,468470
114,2012-06-21,4.83,4.9,4.8,4.87,1048410
115,2012-06-22,4.87,4.93,4.77,4.87,1592700
116,2012-06-25,4.87,4.87,4.8,4.87,1389820
117,2012-06-26,4.83,4.87,4.8,4.87,1450690
118,2012-06-27,4.83,4.9,4.83,4.9,827850
119,2012-06-28,4.83,4.93,4.83,4.9,947260
120,2012-06-29,4.9,4.93,4.9,4.9,184290
121,2012-07-02,4.93,4.96,4.9,4.9,1036000
122,2012-07-03,4.9,4.93,4.83,4.9,2081590
123,2012-07-04,4.93,4.93,4.9,4.9,625250
124,2012-07-05,4.9,4.93,4.87,4.9,420360
125,2012-07-06,4.93,5.11,4.93,5.02,569320
126,2012-07-09,5.02,5.02,4.9,4.9,278330
127,2012-07-10,4.9,4.96,4.87,4.9,380920
128,2012-07-11,4.9,4.96,4.9,4.93,108780
129,2012-07-12,4.96,4.96,4.9,4.93,205260
130,2012-07-13,4.96,5.11,4.93,5.05,661470
131,2012-07-16,5.05,5.08,4.99,5.02,212210
132,2012-07-17,4.99,5.27,4.99,5.27,926250
133,2012-07-18,5.33,5.52,5.27,5.39,1855420
134,2012-07-19,5.39,5.48,5.3,5.48,998910
135,2012-07-20,5.48,5.52,5.3,5.3,508850
136,2012-07-23,5.33,5.39,5.24,5.27,438600
137,2012-07-24,5.21,5.24,5.17,5.17,559420
138,2012-07-25,5.14,5.21,5.11,5.11,277410
139,2012-07-26,5.11,5.21,5.11,5.21,119450
140,2012-07-27,5.24,5.24,5.11,5.11,210740
141,2012-07-30,5.14,5.14,5.08,5.14,205440
142,2012-07-31,5.17,5.21,5.14,5.14,88210
143,2012-08-01,5.11,5.14,5.05,5.11,159430
144,2012-08-02,5.11,5.14,5.08,5.11,99550
145,2012-08-03,5.11,5.17,5.08,5.08,158450
146,2012-08-06,5.17,5.33,5.14,5.24,530480
147,2012-08-07,5.24,5.24,5.17,5.17,224120
148,2012-08-08,5.21,5.24,5.14,5.21,117650
149,2012-08-09,5.24,5.33,5.24,5.27,427980
150,2012-08-10,5.27,5.27,5.17,5.24,158880
151,2012-08-13,5.24,5.24,5.17,5.21,130040
152,2012-08-14,5.17,5.27,5.17,5.21,234220
153,2012-08-15,5.21,5.27,5.21,5.21,145330
154,2012-08-16,5.21,5.27,5.21,5.21,222390
155,2012-08-17,5.24,5.27,5.21,5.27,420240
156,2012-08-20,5.27,5.39,5.27,5.33,915010
157,2012-08-21,5.27,5.27,5.08,5.08,1669480
158,2012-08-22,4.99,5.11,4.93,4.96,757390
159,2012-08-23,4.9,4.9,4.71,4.71,556320
160,2012-08-24,4.49,4.93,4.49,4.9,1265480
161,2012-08-27,4.9,4.9,4.68,4.68,590490
162,2012-08-28,4.68,4.8,4.59,4.8,551060
163,2012-08-29,4.87,4.96,4.87,4.93,329290
164,2012-08-30,4.93,4.99,4.87,4.9,264800
165,2012-08-31,4.9,4.9,4.83,4.87,194220
166,2012-09-04,4.87,4.93,4.87,4.9,252860
167,2012-09-05,4.9,4.9,4.8,4.83,301270
168,2012-09-06,4.77,4.83,4.74,4.74,395850
169,2012-09-07,4.77,4.77,4.71,4.74,255000
170,2012-09-10,4.74,4.74,4.56,4.56,484510
171,2012-09-11,4.56,4.56,4.49,4.52,326270
172,2012-09-12,4.52,4.62,4.49,4.52,253700
173,2012-09-13,4.52,4.74,4.52,4.74,492420
174,2012-09-14,4.8,4.87,4.74,4.77,516720
175,2012-09-17,4.77,4.83,4.74,4.77,230700
176,2012-09-18,4.71,4.74,4.56,4.56,411520
177,2012-09-19,4.52,4.65,4.49,4.62,278940
178,2012-09-20,4.56,4.56,4.49,4.52,263600
179,2012-09-21,4.62,4.62,4.56,4.62,168280
180,2012-09-24,4.62,4.62,4.52,4.56,131180
181,2012-09-25,4.56,4.62,4.52,4.56,113380
182,2012-09-26,4.59,4.62,4.56,4.59,86910
183,2012-09-27,4.62,4.62,4.56,4.56,74990
184,2012-09-28,4.52,4.56,4.52,4.56,101430
185,2012-10-01,4.56,4.56,4.46,4.46,254810
186,2012-10-02,4.52,4.52,4.46,4.49,189640
187,2012-10-03,4.52,4.62,4.49,4.56,211440
188,2012-10-04,4.52,4.56,4.49,4.52,127210
189,2012-10-05,4.49,4.62,4.49,4.59,334970
190,2012-10-08,4.56,4.74,4.56,4.74,337450
191,2012-10-09,4.74,4.77,4.68,4.68,231830
192,2012-10-10,4.71,4.74,4.62,4.71,189720
193,2012-10-11,4.74,4.8,4.68,4.68,520390
194,2012-10-12,4.68,4.71,4.65,4.68,116870
195,2012-10-15,4.71,4.71,4.59,4.62,131700
196,2012-10-16,4.62,4.83,4.62,4.83,508530
197,2012-10-17,4.87,4.87,4.74,4.74,276930
198,2012-10-18,4.68,4.77,4.68,4.74,128010
199,2012-10-19,4.71,4.74,4.56,4.65,330060
200,2012-10-22,4.65,4.65,4.56,4.59,176510
201,2012-10-23,4.62,4.65,4.59,4.62,71070
202,2012-10-24,4.62,4.62,4.59,4.62,67450
203,2012-10-25,4.59,4.62,4.56,4.59,97040
204,2012-10-26,4.59,4.65,4.59,4.59,112360
205,2012-10-29,4.62,4.62,4.56,4.59,71630
206,2012-10-30,4.59,4.62,4.59,4.59,45870
207,2012-10-31,4.59,4.62,4.52,4.56,180840
208,2012-11-01,4.52,4.59,4.52,4.59,84250
209,2012-11-02,4.37,4.46,4.37,4.37,755020
210,2012-11-05,4.37,4.43,4.28,4.34,147710
211,2012-11-06,4.34,4.37,4.28,4.34,196720
212,2012-11-07,4.37,4.46,4.34,4.4,195080
213,2012-11-08,4.4,4.43,4.34,4.34,120920
