,time,open,high,low,close,volume
0,2012-01-03,2.75,2.75,2.75,2.75,1100
1,2012-01-04,2.93,2.93,2.93,2.93,100
2,2012-01-05,2.93,2.93,2.93,2.93,200
3,2012-01-06,3.03,3.03,3.03,3.03,2000
4,2012-01-09,3.03,3.03,3.03,3.03,100
5,2012-01-10,3.03,3.03,3.03,3.03,5500
6,2012-01-11,2.87,2.87,2.87,2.87,500
7,2012-01-12,2.83,2.83,2.73,2.73,1000
8,2012-01-13,2.93,2.93,2.93,2.93,3700
9,2012-01-16,2.85,3.13,2.85,3.13,3000
10,2012-01-17,2.89,2.89,2.89,2.89,1300
11,2012-01-18,2.77,2.77,2.77,2.77,1200
12,2012-01-19,2.95,2.95,2.89,2.91,3300
13,2012-01-20,3.03,3.03,3.03,3.03,4100
14,2012-01-30,3.24,3.24,3.24,3.24,500
15,2012-01-31,3.46,3.46,3.46,3.46,8000
16,2012-02-01,3.68,3.68,3.64,3.64,6900
17,2012-02-02,3.92,3.92,3.92,3.92,1000
18,2012-02-03,4.19,4.19,3.68,3.68,11600
19,2012-02-06,3.5,3.54,3.5,3.5,4700
20,2012-02-07,3.54,3.78,3.54,3.78,1800
21,2012-02-08,4.02,4.02,3.64,4.02,3800
22,2012-02-09,3.76,3.94,3.76,3.84,17100
23,2012-02-10,3.66,4.04,3.66,3.84,7000
24,2012-02-13,4.08,4.13,3.86,3.86,9700
25,2012-02-14,4.33,4.33,3.86,3.86,1800
26,2012-02-15,3.74,4.08,3.74,3.76,1400
27,2012-02-16,3.64,3.64,3.56,3.64,1500
28,2012-02-17,3.84,3.84,3.84,3.84,1200
29,2012-02-20,4.11,4.11,4.08,4.11,14800
30,2012-02-21,3.96,3.96,3.96,3.96,100
31,2012-02-22,4.15,4.21,4.15,4.21,3400
32,2012-02-23,4.25,4.45,4.25,4.45,900
33,2012-02-24,4.0,4.49,4.0,4.49,1900
34,2012-02-27,4.35,4.35,4.06,4.08,4300
35,2012-02-28,4.11,4.11,3.84,3.92,5200
36,2012-02-29,3.8,4.04,3.68,4.04,3200
37,2012-03-01,3.88,3.94,3.72,3.94,6300
38,2012-03-02,3.86,4.11,3.6,4.06,13600
39,2012-03-05,3.94,4.08,3.56,4.08,24300
40,2012-03-06,3.72,4.02,3.5,3.86,16600
41,2012-03-07,3.86,3.86,3.86,3.86,2600
42,2012-03-08,3.72,4.08,3.7,4.08,1200
43,2012-03-09,4.08,4.23,3.84,3.9,18200
44,2012-03-12,3.96,3.96,3.9,3.9,200
45,2012-03-13,4.06,4.19,4.06,4.19,5800
46,2012-03-14,3.9,3.9,3.88,3.9,2100
47,2012-03-15,4.04,4.15,4.04,4.15,12700
48,2012-03-16,4.33,4.33,4.04,4.11,2800
49,2012-03-19,4.06,4.33,4.06,4.33,3700
50,2012-03-20,4.29,4.29,4.29,4.29,2000
51,2012-03-21,4.33,4.33,4.33,4.33,600
52,2012-03-22,4.33,4.33,4.33,4.33,3900
53,2012-03-23,4.35,4.61,4.35,4.61,10700
54,2012-03-26,4.53,4.83,4.53,4.83,14500
55,2012-03-27,4.67,4.67,4.65,4.65,2500
56,2012-03-28,4.55,4.65,4.45,4.45,14000
57,2012-03-29,4.25,4.65,4.25,4.65,300
58,2012-03-30,4.65,4.65,4.35,4.35,1000
