,time,open,high,low,close,volume
0,2012-01-03,2.35,2.35,2.35,2.35,0
1,2012-01-04,2.35,2.35,2.35,2.35,0
2,2012-01-05,2.35,2.35,2.35,2.35,1300
3,2012-01-06,2.35,2.35,2.35,2.35,0
4,2012-01-09,2.5,2.5,2.5,2.5,500
5,2012-01-10,2.67,2.67,2.67,2.67,100
6,2012-01-11,2.67,2.67,2.67,2.67,0
7,2012-01-12,2.67,2.67,2.67,2.67,0
8,2012-01-13,2.67,2.67,2.67,2.67,0
9,2012-01-16,2.67,2.67,2.67,2.67,0
10,2012-01-17,2.67,2.67,2.67,2.67,0
11,2012-01-18,2.67,2.67,2.67,2.67,0
12,2012-01-19,2.67,2.67,2.67,2.67,0
13,2012-01-20,2.68,2.68,2.68,2.68,600
14,2012-01-30,2.68,2.68,2.68,2.68,500
15,2012-01-31,2.7,2.7,2.7,2.7,500
16,2012-02-01,2.77,2.77,2.77,2.77,2000
17,2012-02-02,2.94,2.95,2.94,2.95,6100
18,2012-02-03,3.1,3.15,3.1,3.15,1500
19,2012-02-06,3.27,3.34,3.27,3.34,6400
20,2012-02-07,3.34,3.34,3.34,3.34,0
21,2012-02-08,3.39,3.39,3.39,3.39,400
22,2012-02-09,3.39,3.39,3.39,3.39,0
23,2012-02-10,3.39,3.39,3.39,3.39,0
24,2012-02-13,3.2,3.2,3.19,3.19,1200
25,2012-02-14,3.35,3.35,3.35,3.35,1000
26,2012-02-15,3.35,3.35,3.35,3.35,0
27,2012-02-16,3.35,3.35,3.35,3.35,0
28,2012-02-17,3.35,3.35,3.35,3.35,0
29,2012-02-20,3.35,3.35,3.35,3.35,0
30,2012-02-21,3.35,3.35,3.35,3.35,100
31,2012-02-22,3.35,3.35,3.35,3.35,0
32,2012-02-23,3.35,3.35,3.35,3.35,100
33,2012-02-24,3.12,3.12,3.12,3.12,200
34,2012-02-27,3.34,3.34,3.32,3.32,200
35,2012-02-28,3.32,3.32,3.32,3.32,0
36,2012-02-29,3.32,3.32,3.32,3.32,0
37,2012-03-01,3.32,3.32,3.32,3.32,0
38,2012-03-02,3.34,3.34,3.12,3.27,4900
39,2012-03-05,3.34,3.35,3.34,3.35,1100
40,2012-03-06,3.35,3.35,3.35,3.35,0
41,2012-03-07,3.35,3.35,3.35,3.35,1300
42,2012-03-08,3.35,3.35,3.35,3.35,1000
43,2012-03-09,3.35,3.35,3.35,3.35,800
44,2012-03-12,3.41,3.41,3.41,3.41,400
45,2012-03-13,3.41,3.41,3.41,3.41,0
46,2012-03-14,3.44,3.44,3.44,3.44,100
47,2012-03-15,3.44,3.44,3.44,3.44,0
48,2012-03-16,3.47,3.47,3.47,3.47,500
49,2012-03-19,3.71,3.71,3.71,3.71,600
50,2012-03-20,3.71,3.71,3.71,3.71,0
51,2012-03-21,3.71,3.71,3.71,3.71,0
52,2012-03-22,3.71,3.71,3.71,3.71,0
53,2012-03-23,3.46,3.96,3.46,3.96,1100
54,2012-03-26,3.96,3.96,3.96,3.96,0
55,2012-03-27,3.77,3.94,3.77,3.94,36300
56,2012-03-28,4.21,4.21,4.21,4.21,100
57,2012-03-29,4.21,4.48,4.21,4.48,1000
58,2012-03-30,4.78,4.78,4.78,4.78,600
59,2012-04-03,5.1,5.1,5.1,5.1,200
60,2012-04-04,5.17,5.28,5.17,5.28,1000
61,2012-04-05,5.28,5.28,5.28,5.28,0
62,2012-04-06,5.28,5.28,5.28,5.28,1000
63,2012-04-09,4.91,5.28,4.91,5.28,5000
64,2012-04-10,5.65,5.65,5.03,5.03,200
