,time,open,high,low,close,volume
0,2012-01-03,1.82,1.86,1.77,1.77,158440
1,2012-01-04,1.77,1.82,1.77,1.77,205660
2,2012-01-05,1.77,1.77,1.73,1.77,54800
3,2012-01-06,1.77,1.77,1.69,1.73,463600
4,2012-01-09,1.73,1.77,1.69,1.77,152250
5,2012-01-10,1.77,1.86,1.77,1.86,374840
6,2012-01-11,1.86,1.9,1.82,1.82,152240
7,2012-01-12,1.82,1.82,1.77,1.82,168320
8,2012-01-13,1.77,1.82,1.77,1.82,218270
9,2012-01-16,1.82,1.9,1.82,1.9,228660
10,2012-01-17,1.86,1.86,1.82,1.82,181730
11,2012-01-18,1.77,1.9,1.77,1.86,83220
12,2012-01-19,1.9,1.94,1.86,1.94,366290
13,2012-01-20,1.98,1.98,1.9,1.98,330000
14,2012-01-30,2.02,2.06,1.98,2.06,236040
15,2012-01-31,2.06,2.15,2.06,2.1,673750
16,2012-02-01,2.06,2.1,2.02,2.1,363470
17,2012-02-02,2.1,2.19,2.1,2.19,546580
18,2012-02-03,2.15,2.19,2.1,2.1,1188810
19,2012-02-06,2.02,2.06,2.02,2.02,510480
20,2012-02-07,1.98,2.02,1.94,2.02,503330
21,2012-02-08,2.02,2.1,1.98,2.06,488450
22,2012-02-09,2.06,2.06,2.02,2.06,670680
23,2012-02-10,2.02,2.06,1.98,1.98,312710
24,2012-02-13,1.98,1.98,1.9,1.9,220500
25,2012-02-14,1.86,1.98,1.86,1.94,254010
26,2012-02-15,1.94,1.94,1.86,1.86,436200
27,2012-02-16,1.86,1.9,1.82,1.82,115390
28,2012-02-17,1.86,1.9,1.86,1.9,450630
29,2012-02-20,1.98,1.98,1.94,1.98,642820
30,2012-02-21,2.02,2.02,1.94,1.94,552570
31,2012-02-22,1.94,2.02,1.9,2.02,430900
32,2012-02-23,2.06,2.1,2.02,2.1,1311000
33,2012-02-24,2.19,2.19,2.19,2.19,635320
34,2012-02-27,2.23,2.27,2.23,2.27,1845110
35,2012-02-28,2.35,2.35,2.19,2.19,3189650
36,2012-02-29,2.19,2.27,2.19,2.27,1772500
37,2012-03-01,2.31,2.35,2.27,2.35,1089620
38,2012-03-02,2.35,2.39,2.31,2.39,1335690
39,2012-03-05,2.48,2.48,2.44,2.48,888180
40,2012-03-06,2.6,2.6,2.39,2.39,2893000
41,2012-03-07,2.39,2.48,2.35,2.48,1902610
42,2012-03-08,2.48,2.6,2.48,2.56,3748100
43,2012-03-09,2.56,2.68,2.48,2.56,1185740
44,2012-03-12,2.56,2.56,2.44,2.44,1389450
45,2012-03-13,2.44,2.48,2.35,2.39,1855780
46,2012-03-14,2.44,2.44,2.31,2.31,2947130
47,2012-03-15,2.27,2.39,2.23,2.39,2466890
48,2012-03-16,2.44,2.48,2.35,2.39,2391380
49,2012-03-19,2.39,2.44,2.31,2.35,1187720
50,2012-03-20,2.31,2.39,2.27,2.31,3836250
51,2012-03-21,2.39,2.39,2.39,2.39,566110
52,2012-03-22,2.48,2.48,2.48,2.48,561120
53,2012-03-23,2.6,2.6,2.56,2.6,4034130
54,2012-03-26,2.68,2.72,2.56,2.72,5054360
55,2012-03-27,2.72,2.85,2.6,2.6,2968250
56,2012-03-28,2.56,2.64,2.48,2.64,1849970
57,2012-03-29,2.64,2.64,2.52,2.52,2224630
58,2012-03-30,2.52,2.52,2.39,2.44,2526580
59,2012-04-03,2.48,2.52,2.44,2.52,1590370
60,2012-04-04,2.6,2.64,2.56,2.6,2986790
61,2012-04-05,2.56,2.72,2.56,2.68,1588840
62,2012-04-06,2.68,2.77,2.64,2.64,2719080
63,2012-04-09,2.68,2.77,2.64,2.77,3519670
64,2012-04-10,2.85,2.89,2.81,2.89,4111590
65,2012-04-11,3.01,3.01,2.93,3.01,3948780
66,2012-04-12,3.1,3.14,3.05,3.14,2242200
67,2012-04-13,3.18,3.26,3.1,3.26,4814980
68,2012-04-16,3.34,3.38,3.3,3.38,1267960
