,time,open,high,low,close,volume
0,2012-01-03,3.45,3.49,3.45,3.49,3560
1,2012-01-04,3.49,3.66,3.49,3.66,2000
2,2012-01-05,3.66,3.7,3.53,3.7,1380
3,2012-01-06,3.62,3.7,3.62,3.66,16860
4,2012-01-09,3.7,3.74,3.57,3.74,23030
5,2012-01-10,3.78,3.9,3.78,3.9,4390
6,2012-01-11,4.03,4.07,3.74,3.74,27330
7,2012-01-12,3.74,3.78,3.74,3.74,45050
8,2012-01-13,3.74,3.78,3.74,3.78,5010
9,2012-01-16,3.82,3.82,3.7,3.74,5400
10,2012-01-17,3.66,3.74,3.66,3.74,23680
11,2012-01-18,3.74,3.9,3.74,3.9,8880
12,2012-01-19,3.9,3.9,3.78,3.82,14520
13,2012-01-20,3.9,3.99,3.86,3.99,23240
14,2012-01-30,3.94,4.15,3.9,4.15,2620
15,2012-01-31,4.11,4.27,4.11,4.15,13390
16,2012-02-01,4.11,4.19,4.11,4.19,17320
17,2012-02-02,4.19,4.31,4.19,4.31,6120
18,2012-02-03,4.4,4.52,4.15,4.15,10960
19,2012-02-06,4.03,4.15,4.03,4.15,1470
20,2012-02-07,4.03,4.15,4.03,4.03,5410
21,2012-02-08,4.07,4.19,4.03,4.19,17360
22,2012-02-09,4.27,4.31,4.15,4.27,28200
23,2012-02-10,4.27,4.27,4.07,4.07,47040
24,2012-02-13,3.99,3.99,3.94,3.94,1590
25,2012-02-14,3.86,4.11,3.86,4.11,26440
26,2012-02-15,4.31,4.31,4.23,4.23,33790
27,2012-02-16,4.27,4.44,4.27,4.44,16710
28,2012-02-17,4.6,4.64,4.35,4.6,470
29,2012-02-20,4.68,4.81,4.6,4.81,24390
30,2012-02-21,4.93,4.93,4.89,4.89,300
31,2012-02-22,4.89,4.93,4.68,4.89,5710
32,2012-02-23,5.01,5.09,4.68,5.09,96100
33,2012-02-24,5.34,5.34,5.34,5.34,17930
34,2012-02-27,5.59,5.59,5.34,5.59,21740
35,2012-02-28,5.83,5.83,5.75,5.83,89860
36,2012-02-29,6.12,6.12,6.12,6.12,29720
37,2012-03-01,6.41,6.41,6.41,6.41,47020
38,2012-03-02,6.7,6.7,6.7,6.7,18260
39,2012-03-05,7.03,7.03,7.03,7.03,490
40,2012-03-06,7.35,7.35,7.35,7.35,50920
41,2012-03-07,7.68,7.68,7.68,7.68,66900
42,2012-03-08,8.05,8.05,8.05,8.05,69430
43,2012-03-09,8.42,8.42,7.68,8.01,197830
44,2012-03-12,7.64,7.68,7.64,7.64,31750
45,2012-03-13,7.27,7.27,7.27,7.27,24260
46,2012-03-14,6.94,6.94,6.94,6.94,7390
47,2012-03-15,6.61,6.98,6.61,6.94,56890
48,2012-03-16,7.23,7.23,6.66,6.66,7110
49,2012-03-19,6.49,6.78,6.49,6.78,18500
50,2012-03-20,6.78,6.98,6.74,6.98,2790
51,2012-03-21,7.19,7.31,6.98,7.31,17560
52,2012-03-22,6.98,7.23,6.98,7.23,38120
53,2012-03-23,7.56,7.56,7.03,7.23,18180
54,2012-03-26,7.52,7.52,7.15,7.15,30790
55,2012-03-27,7.11,7.15,6.94,6.98,15580
56,2012-03-28,6.74,6.94,6.74,6.78,5560
57,2012-03-29,6.61,7.07,6.57,6.57,13790
58,2012-03-30,6.57,6.57,6.57,6.57,1700
59,2012-04-03,6.86,6.9,6.86,6.9,530
60,2012-04-04,6.61,6.86,6.61,6.86,2920
61,2012-04-05,6.57,7.11,6.53,6.98,4280
62,2012-04-06,7.19,7.19,6.74,6.98,3540
63,2012-04-09,7.03,7.19,7.03,7.19,5900
64,2012-04-10,7.35,7.35,7.23,7.23,160
65,2012-04-11,7.48,7.48,6.94,7.4,15650
66,2012-04-12,7.6,7.6,7.52,7.52,4560
67,2012-04-13,7.6,7.6,7.52,7.52,7100
68,2012-04-16,7.23,7.56,7.19,7.52,7970
69,2012-04-17,7.56,7.89,7.4,7.89,56800
70,2012-04-18,8.22,8.22,7.64,8.05,11960
71,2012-04-19,7.89,7.89,7.68,7.68,11360
72,2012-04-20,7.68,7.77,7.31,7.77,25450
73,2012-04-23,7.72,7.72,7.4,7.4,9160
74,2012-04-24,7.03,7.56,7.03,7.48,12730
75,2012-04-25,7.44,7.64,7.4,7.48,26100
76,2012-04-26,7.52,7.52,7.23,7.48,35990
77,2012-04-27,7.48,7.77,7.44,7.77,28070
78,2012-05-02,8.09,8.09,7.56,7.72,8780
79,2012-05-03,7.72,7.81,7.72,7.81,19500
80,2012-05-04,7.81,7.97,7.77,7.97,26620
81,2012-05-07,8.09,8.09,7.72,8.01,36760
82,2012-05-08,7.77,8.05,7.72,8.01,7830
83,2012-05-09,8.01,8.01,7.72,7.97,16160
84,2012-05-10,7.81,8.05,7.77,7.97,26090
85,2012-05-11,8.01,8.01,7.72,7.93,29370
86,2012-05-14,7.64,7.64,7.6,7.6,3920
87,2012-05-15,7.23,7.27,7.23,7.23,11120
88,2012-05-16,6.9,6.98,6.9,6.98,3110
89,2012-05-17,6.78,6.98,6.78,6.78,7710
90,2012-05-18,6.61,6.74,6.57,6.74,6100
91,2012-05-21,7.03,7.07,7.03,7.07,600
92,2012-05-22,7.07,7.35,7.07,7.35,1010
93,2012-05-23,7.35,7.35,7.35,7.35,100
94,2012-05-24,7.19,7.31,7.03,7.03,73230
95,2012-05-25,6.74,7.23,6.7,7.19,12070
96,2012-05-28,7.27,7.27,7.27,7.27,800
97,2012-05-29,7.19,7.19,6.94,6.94,10280
98,2012-05-30,6.98,6.98,6.7,6.7,1050
99,2012-05-31,6.98,6.98,6.98,6.98,1000
100,2012-06-01,6.66,6.9,6.66,6.9,3180
101,2012-06-04,6.78,6.78,6.57,6.57,6240
102,2012-06-05,6.37,6.57,6.37,6.57,570
103,2012-06-06,6.57,6.66,6.37,6.37,4280
104,2012-06-07,6.61,6.66,6.45,6.45,6380
105,2012-06-08,6.41,6.74,6.37,6.7,3060
106,2012-06-11,6.7,6.7,6.7,6.7,0
107,2012-06-12,6.94,6.94,6.94,6.94,1010
108,2012-06-13,6.94,6.94,6.94,6.94,110
109,2012-06-14,6.94,6.94,6.94,6.94,1500
110,2012-06-15,6.9,6.94,6.61,6.61,2130
111,2012-06-18,6.9,6.9,6.9,6.9,10
