,time,open,high,low,close,volume
0,2020-07-03,10.0,10.0,10.0,10.0,0
1,2020-07-06,10.0,10.0,10.0,10.0,0
2,2020-07-07,10.0,10.0,10.0,10.0,0
3,2020-07-08,10.0,10.0,10.0,10.0,0
4,2020-07-09,10.0,10.0,10.0,10.0,0
5,2020-07-10,10.0,10.0,10.0,10.0,0
6,2020-07-13,10.0,10.0,10.0,10.0,0
7,2020-07-14,10.0,10.0,10.0,10.0,0
8,2020-07-15,10.0,10.0,10.0,10.0,0
9,2020-07-16,10.0,10.0,10.0,10.0,0
10,2020-07-17,10.0,10.0,10.0,10.0,0
11,2020-07-20,10.0,10.0,10.0,10.0,0
12,2020-07-21,10.0,10.0,10.0,10.0,0
13,2020-07-22,10.0,10.0,10.0,10.0,0
14,2020-07-23,10.0,10.0,10.0,10.0,0
15,2020-07-24,10.0,10.0,10.0,10.0,0
16,2020-07-27,10.0,10.0,10.0,10.0,0
17,2020-07-28,10.0,10.0,10.0,10.0,0
18,2020-07-29,10.0,10.0,10.0,10.0,0
19,2020-07-30,10.0,10.0,10.0,10.0,0
20,2020-07-31,10.0,10.0,10.0,10.0,0
21,2020-08-03,10.0,10.0,10.0,10.0,0
22,2020-08-04,10.0,10.0,10.0,10.0,0
23,2020-08-05,10.0,10.0,10.0,10.0,0
24,2020-08-06,10.0,10.0,10.0,10.0,0
25,2020-08-07,10.0,10.0,10.0,10.0,0
26,2020-08-10,10.0,10.0,10.0,10.0,0
27,2020-08-11,10.0,10.0,10.0,10.0,0
28,2020-08-12,10.0,10.0,10.0,10.0,0
29,2020-08-13,10.0,10.0,10.0,10.0,0
30,2020-08-14,10.0,10.0,10.0,10.0,0
31,2020-08-17,10.0,10.0,10.0,10.0,0
32,2020-08-18,10.0,10.0,10.0,10.0,0
33,2020-08-19,10.0,10.0,10.0,10.0,0
34,2020-08-20,10.0,10.0,10.0,10.0,0
35,2020-08-21,10.0,10.0,10.0,10.0,0
36,2020-08-24,10.0,10.0,10.0,10.0,0
37,2020-08-25,10.0,10.0,10.0,10.0,0
38,2020-08-26,10.0,10.0,10.0,10.0,0
39,2020-08-27,10.0,10.0,10.0,10.0,0
40,2020-08-28,10.0,10.0,10.0,10.0,0
41,2020-08-31,10.0,10.0,10.0,10.0,0
42,2020-09-01,10.0,10.0,10.0,10.0,0
43,2020-09-03,10.0,10.0,10.0,10.0,0
44,2020-09-04,10.0,10.0,10.0,10.0,0
45,2020-09-07,10.0,10.0,10.0,10.0,0
46,2020-09-08,10.0,10.0,10.0,10.0,0
47,2020-09-09,10.0,10.0,10.0,10.0,0
48,2020-09-10,10.0,10.0,10.0,10.0,0
49,2020-09-11,10.0,10.0,10.0,10.0,0
50,2020-09-14,10.0,10.0,10.0,10.0,0
51,2020-09-15,10.0,10.0,10.0,10.0,0
52,2020-09-16,10.0,10.0,10.0,10.0,0
53,2020-09-17,10.0,10.0,10.0,10.0,0
54,2020-09-18,10.0,10.0,10.0,10.0,0
55,2020-09-21,10.0,10.0,10.0,10.0,0
56,2020-09-22,10.0,10.0,10.0,10.0,0
57,2020-09-23,10.0,10.0,10.0,10.0,0
58,2020-09-24,10.0,10.0,10.0,10.0,0
59,2020-09-25,10.0,10.0,10.0,10.0,0
60,2020-09-28,10.0,10.0,10.0,10.0,0
61,2020-09-29,10.0,10.0,10.0,10.0,0
62,2020-09-30,10.0,10.0,10.0,10.0,0
63,2020-10-01,10.0,10.0,10.0,10.0,0
64,2020-10-02,10.0,10.0,10.0,10.0,0
65,2020-10-05,10.0,10.0,10.0,10.0,0
66,2020-10-06,10.0,10.0,10.0,10.0,0
67,2020-10-07,10.0,10.0,10.0,10.0,0
68,2020-10-08,10.0,10.0,10.0,10.0,0
69,2020-10-09,10.0,10.0,10.0,10.0,0
70,2020-10-12,10.0,10.0,10.0,10.0,0
71,2020-10-13,10.0,10.0,10.0,10.0,0
72,2020-10-14,10.0,10.0,10.0,10.0,0
73,2020-10-15,10.0,10.0,10.0,10.0,0
74,2020-10-16,10.0,10.0,10.0,10.0,0
75,2020-10-19,10.0,10.0,10.0,10.0,0
76,2020-10-20,10.0,10.0,10.0,10.0,0
77,2020-10-21,10.0,10.0,10.0,10.0,0
78,2020-10-22,10.0,10.0,10.0,10.0,0
79,2020-10-23,10.0,10.0,10.0,10.0,0
80,2020-10-26,10.0,10.0,10.0,10.0,0
81,2020-10-27,10.0,10.0,10.0,10.0,0
82,2020-10-28,10.0,10.0,10.0,10.0,0
83,2020-10-29,10.0,10.0,10.0,10.0,0
84,2020-10-30,10.0,10.0,10.0,10.0,0
85,2020-11-02,10.0,10.0,10.0,10.0,0
86,2020-11-03,10.0,10.0,10.0,10.0,0
87,2020-11-04,10.0,10.0,10.0,10.0,0
88,2020-11-05,10.0,10.0,10.0,10.0,0
89,2020-11-06,10.0,10.0,10.0,10.0,0
90,2020-11-09,10.0,10.0,10.0,10.0,0
91,2020-11-10,10.0,10.0,10.0,10.0,0
92,2020-11-11,10.0,10.0,10.0,10.0,0
93,2020-11-12,10.0,10.0,10.0,10.0,0
94,2020-11-13,10.0,10.0,10.0,10.0,0
95,2020-11-16,10.0,10.0,10.0,10.0,0
96,2020-11-17,10.0,10.0,10.0,10.0,0
97,2020-11-18,10.0,10.0,10.0,10.0,0
98,2020-11-19,10.0,10.0,10.0,10.0,0
99,2020-11-20,10.0,10.0,10.0,10.0,0
100,2020-11-23,10.0,10.0,10.0,10.0,0
101,2020-11-24,10.0,10.0,10.0,10.0,0
102,2020-11-25,10.0,10.0,10.0,10.0,0
103,2020-11-26,10.0,10.0,10.0,10.0,0
104,2020-11-27,10.0,10.0,10.0,10.0,0
105,2020-11-30,10.0,10.0,10.0,10.0,0
106,2020-12-01,10.0,10.0,10.0,10.0,0
107,2020-12-02,10.0,10.0,10.0,10.0,0
108,2020-12-03,10.0,10.0,10.0,10.0,0
109,2020-12-04,10.0,10.0,10.0,10.0,0
110,2020-12-07,10.0,10.0,10.0,10.0,0
111,2020-12-08,10.0,10.0,10.0,10.0,0
112,2020-12-09,10.0,10.0,10.0,10.0,0
113,2020-12-10,10.0,10.0,10.0,10.0,0
114,2020-12-11,10.0,10.0,10.0,10.0,0
115,2020-12-14,10.0,10.0,10.0,10.0,0
116,2020-12-15,10.0,10.0,10.0,10.0,0
117,2020-12-16,10.0,10.0,10.0,10.0,0
118,2020-12-17,10.0,10.0,10.0,10.0,0
119,2020-12-18,10.0,10.0,10.0,10.0,0
120,2020-12-21,10.0,10.0,10.0,10.0,0
121,2020-12-22,10.0,10.0,10.0,10.0,0
122,2020-12-23,10.0,10.0,10.0,10.0,0
123,2020-12-24,10.0,10.0,10.0,10.0,0
124,2020-12-25,10.0,10.0,10.0,10.0,0
125,2020-12-28,10.0,10.0,10.0,10.0,0
126,2020-12-29,10.0,10.0,10.0,10.0,0
127,2020-12-30,10.0,10.0,10.0,10.0,0
128,2020-12-31,10.0,10.0,10.0,10.0,0
129,2021-01-04,10.0,10.0,10.0,10.0,0
130,2021-01-05,10.0,10.0,10.0,10.0,0
131,2021-01-06,10.0,10.0,10.0,10.0,0
132,2021-01-07,10.0,10.0,10.0,10.0,0
133,2021-01-08,10.0,10.0,10.0,10.0,0
134,2021-01-11,10.0,10.0,10.0,10.0,0
135,2021-01-12,10.0,10.0,10.0,10.0,0
136,2021-01-13,10.0,10.0,10.0,10.0,0
137,2021-01-14,10.0,10.0,10.0,10.0,0
138,2021-01-15,10.0,10.0,10.0,10.0,0
139,2021-01-18,10.0,10.0,10.0,10.0,0
140,2021-01-19,10.0,10.0,10.0,10.0,0
141,2021-01-20,10.0,10.0,10.0,10.0,0
142,2021-01-21,10.0,10.0,10.0,10.0,0
143,2021-01-22,10.0,10.0,10.0,10.0,0
144,2021-01-25,10.0,10.0,10.0,10.0,0
145,2021-01-26,10.0,10.0,10.0,10.0,0
146,2021-01-27,10.0,10.0,10.0,10.0,0
147,2021-01-28,10.0,10.0,10.0,10.0,0
148,2021-01-29,10.0,10.0,10.0,10.0,0
149,2021-02-01,10.0,10.0,10.0,10.0,0
150,2021-02-02,10.0,10.0,10.0,10.0,0
151,2021-02-03,10.0,10.0,10.0,10.0,0
152,2021-02-04,10.0,10.0,10.0,10.0,0
153,2021-02-05,10.0,10.0,10.0,10.0,0
154,2021-02-08,10.0,10.0,10.0,10.0,0
155,2021-02-09,10.0,10.0,10.0,10.0,0
156,2021-02-17,10.0,10.0,10.0,10.0,0
157,2021-02-18,10.0,10.0,10.0,10.0,0
158,2021-02-19,10.0,10.0,10.0,10.0,0
159,2021-02-22,10.0,10.0,10.0,10.0,0
160,2021-02-23,10.0,10.0,10.0,10.0,0
161,2021-02-24,10.0,10.0,10.0,10.0,0
162,2021-02-25,10.0,10.0,10.0,10.0,0
163,2021-02-26,10.0,10.0,10.0,10.0,0
164,2021-03-01,10.0,10.0,10.0,10.0,0
165,2021-03-02,10.0,10.0,10.0,10.0,0
166,2021-03-03,10.0,10.0,10.0,10.0,0
167,2021-03-04,10.0,10.0,10.0,10.0,0
168,2021-03-05,10.0,10.0,10.0,10.0,0
169,2021-03-08,10.0,10.0,10.0,10.0,0
170,2021-03-09,10.0,10.0,10.0,10.0,0
171,2021-03-10,10.0,10.0,10.0,10.0,0
172,2021-03-11,10.0,10.0,10.0,10.0,0
173,2021-03-12,10.0,10.0,10.0,10.0,0
174,2021-03-15,10.0,10.0,10.0,10.0,0
175,2021-03-16,10.0,10.0,10.0,10.0,0
176,2021-03-17,10.0,10.0,10.0,10.0,0
177,2021-03-18,10.0,10.0,10.0,10.0,0
178,2021-03-19,10.0,10.0,10.0,10.0,0
179,2021-03-22,10.0,10.0,10.0,10.0,0
180,2021-03-23,10.0,10.0,10.0,10.0,0
181,2021-03-24,10.0,10.0,10.0,10.0,0
182,2021-03-25,10.0,10.0,10.0,10.0,0
183,2021-03-26,10.0,10.0,10.0,10.0,0
184,2021-03-29,10.0,10.0,10.0,10.0,0
185,2021-03-30,10.0,10.0,10.0,10.0,0
186,2021-03-31,10.0,10.0,10.0,10.0,0
187,2021-04-01,10.0,10.0,10.0,10.0,0
188,2021-04-02,10.0,10.0,10.0,10.0,0
189,2021-04-05,10.0,10.0,10.0,10.0,0
190,2021-04-06,10.0,10.0,10.0,10.0,0
191,2021-04-07,10.0,10.0,10.0,10.0,0
192,2021-04-08,10.0,10.0,10.0,10.0,0
193,2021-04-09,10.0,10.0,10.0,10.0,0
194,2021-04-12,10.0,10.0,10.0,10.0,0
195,2021-04-13,10.0,10.0,10.0,10.0,0
196,2021-04-14,10.0,10.0,10.0,10.0,0
197,2021-04-15,10.0,10.0,10.0,10.0,0
198,2021-04-16,10.0,10.0,10.0,10.0,0
199,2021-04-19,10.0,10.0,10.0,10.0,0
200,2021-04-20,10.0,10.0,10.0,10.0,0
201,2021-04-22,10.0,10.0,10.0,10.0,0
202,2021-04-23,10.0,10.0,10.0,10.0,0
203,2021-04-26,10.0,10.0,10.0,10.0,0
204,2021-04-27,10.0,10.0,10.0,10.0,0
205,2021-04-28,10.0,10.0,10.0,10.0,0
206,2021-04-29,10.0,10.0,10.0,10.0,0
207,2021-05-04,10.0,10.0,10.0,10.0,0
208,2021-05-05,10.0,10.0,10.0,10.0,0
209,2021-05-06,10.0,10.0,10.0,10.0,0
210,2021-05-07,10.0,10.0,10.0,10.0,0
211,2021-05-10,10.0,10.0,10.0,10.0,0
212,2021-05-11,10.0,10.0,10.0,10.0,0
213,2021-05-12,10.0,10.0,10.0,10.0,0
214,2021-05-13,10.0,10.0,10.0,10.0,0
215,2021-05-14,10.0,10.0,10.0,10.0,0
216,2021-05-17,10.0,10.0,10.0,10.0,0
217,2021-05-18,10.0,10.0,10.0,10.0,0
218,2021-05-19,10.0,10.0,10.0,10.0,0
219,2021-05-20,10.0,10.0,10.0,10.0,0
220,2021-05-21,10.0,10.0,10.0,10.0,0
221,2021-05-24,10.0,10.0,10.0,10.0,0
222,2021-05-25,10.0,10.0,10.0,10.0,0
223,2021-05-26,10.0,10.0,10.0,10.0,0
224,2021-05-27,10.0,10.0,10.0,10.0,0
225,2021-05-28,10.0,10.0,10.0,10.0,0
226,2021-05-31,10.0,10.0,10.0,10.0,0
227,2021-06-01,10.0,10.0,10.0,10.0,0
228,2021-06-02,10.0,10.0,10.0,10.0,0
229,2021-06-03,10.0,10.0,10.0,10.0,0
230,2021-06-04,10.0,10.0,10.0,10.0,0
231,2021-06-07,10.0,10.0,10.0,10.0,0
232,2021-06-08,10.0,10.0,10.0,10.0,0
233,2021-06-09,10.0,10.0,10.0,10.0,0
234,2021-06-10,10.0,10.0,10.0,10.0,0
235,2021-06-11,10.0,10.0,10.0,10.0,0
236,2021-06-14,10.0,10.0,10.0,10.0,0
237,2021-06-15,10.0,10.0,10.0,10.0,0
238,2021-06-16,10.0,10.0,10.0,10.0,0
239,2021-06-17,10.0,10.0,10.0,10.0,0
240,2021-06-18,10.0,10.0,10.0,10.0,0
241,2021-06-21,10.0,10.0,10.0,10.0,0
