,time,open,high,low,close,volume
0,2012-01-03,2.7,2.7,2.7,2.7,500
1,2012-01-04,2.7,2.7,2.7,2.7,0
2,2012-01-05,2.6,2.6,2.6,2.6,100
3,2012-01-06,2.7,2.7,2.7,2.7,100
4,2012-01-09,2.8,2.8,2.8,2.8,200
5,2012-01-10,2.8,2.8,2.8,2.8,0
6,2012-01-11,2.7,2.7,2.7,2.7,1700
7,2012-01-12,2.7,2.7,2.7,2.7,0
8,2012-01-13,2.7,2.7,2.7,2.7,0
9,2012-01-16,2.8,2.8,2.8,2.8,100
10,2012-01-17,2.9,2.9,2.9,2.9,100
11,2012-01-18,3.1,3.1,3.1,3.1,100
12,2012-01-19,2.9,3.1,2.9,2.9,2000
13,2012-01-20,2.9,2.9,2.9,2.9,0
14,2012-01-30,2.8,3.0,2.8,3.0,600
15,2012-01-31,2.9,2.9,2.8,2.8,700
16,2012-02-01,2.9,2.9,2.9,2.9,100
17,2012-02-02,3.1,3.1,3.1,3.1,100
18,2012-02-03,3.3,3.3,3.3,3.3,1100
19,2012-02-06,3.3,3.3,3.3,3.3,0
20,2012-02-07,3.3,3.3,3.3,3.3,0
21,2012-02-08,3.5,3.5,3.5,3.5,100
22,2012-02-09,3.5,3.5,3.5,3.5,0
23,2012-02-10,3.5,3.5,3.5,3.5,0
24,2012-02-13,3.5,3.5,3.5,3.5,0
25,2012-02-14,3.5,3.5,3.5,3.5,0
26,2012-02-15,3.5,3.5,3.5,3.5,0
27,2012-02-16,3.5,3.5,3.5,3.5,0
28,2012-02-17,3.3,3.3,3.3,3.3,200
29,2012-02-20,3.5,3.5,3.2,3.2,300
30,2012-02-21,3.5,3.5,3.5,3.5,100
31,2012-02-22,3.5,3.5,3.5,3.5,0
32,2012-02-23,3.5,3.5,3.3,3.3,7500
33,2012-02-24,3.2,3.3,3.1,3.3,5500
34,2012-02-27,3.5,3.5,3.4,3.4,2000
35,2012-02-28,3.5,3.6,3.2,3.2,1700
36,2012-02-29,3.5,3.5,3.5,3.5,100
37,2012-03-01,3.7,3.7,3.7,3.7,100
38,2012-03-02,3.9,3.9,3.9,3.9,200
39,2012-03-05,4.1,4.1,4.1,4.1,9800
40,2012-03-06,4.3,4.3,4.2,4.2,200
41,2012-03-07,4.0,4.0,4.0,4.0,100
42,2012-03-08,4.0,4.0,4.0,4.0,0
43,2012-03-09,4.2,4.2,4.2,4.2,100
44,2012-03-12,4.0,4.0,4.0,4.0,52100
45,2012-03-13,4.2,4.2,4.0,4.1,6100
46,2012-03-14,4.3,4.3,4.3,4.3,300
47,2012-03-15,4.0,4.5,4.0,4.5,1200
48,2012-03-16,4.7,4.7,4.1,4.5,5500
49,2012-03-19,4.6,4.6,4.3,4.3,8200
50,2012-03-20,4.6,4.6,4.6,4.6,100
51,2012-03-21,4.3,4.3,4.3,4.3,1400
52,2012-03-22,4.6,4.6,4.0,4.0,16900
53,2012-03-23,4.3,4.3,4.1,4.1,2500
54,2012-03-26,3.9,4.3,3.9,4.3,7600
55,2012-03-27,4.6,4.6,4.0,4.3,11500
56,2012-03-28,4.3,4.3,4.0,4.2,1200
57,2012-03-29,4.0,4.0,4.0,4.0,5100
58,2012-03-30,3.8,4.0,3.8,4.0,7100
59,2012-04-03,4.2,4.2,4.2,4.2,100
60,2012-04-04,4.0,4.0,4.0,4.0,100
61,2012-04-05,4.0,4.0,4.0,4.0,0
62,2012-04-06,3.8,3.8,3.8,3.8,6400
63,2012-04-09,3.6,3.7,3.6,3.7,6500
64,2012-04-10,3.9,3.9,3.5,3.5,12800
65,2012-04-11,3.4,3.4,3.3,3.3,9300
66,2012-04-12,3.3,3.5,3.2,3.2,14500
67,2012-04-13,3.5,3.5,3.2,3.2,9500
68,2012-04-16,3.1,3.4,3.1,3.4,6300
69,2012-04-17,3.4,3.6,3.4,3.6,3100
70,2012-04-18,3.8,3.8,3.6,3.8,3800
71,2012-04-19,3.9,3.9,3.7,3.7,800
72,2012-04-20,3.6,3.6,3.5,3.6,4300
73,2012-04-23,3.5,3.6,3.5,3.6,1100
74,2012-04-24,3.4,3.6,3.4,3.6,1600
75,2012-04-25,3.5,3.6,3.4,3.6,1700
76,2012-04-26,3.6,3.6,3.4,3.4,8700
77,2012-04-27,3.5,3.6,3.5,3.6,7600
78,2012-05-02,3.7,3.7,3.6,3.6,1600
79,2012-05-03,3.6,3.6,3.6,3.6,500
80,2012-05-04,3.8,3.8,3.8,3.8,12200
81,2012-05-07,3.9,4.0,3.9,4.0,20700
82,2012-05-08,4.2,4.2,4.2,4.2,12900
83,2012-05-09,4.0,4.4,4.0,4.4,12600
84,2012-05-10,4.7,4.7,4.6,4.7,57200
85,2012-05-11,4.6,4.9,4.4,4.6,23400
86,2012-05-14,4.6,4.6,4.3,4.3,10600
87,2012-05-15,4.3,4.3,4.0,4.0,4000
88,2012-05-16,3.8,4.2,3.8,4.2,15700
89,2012-05-17,3.7,4.1,3.7,4.1,1300
90,2012-05-18,4.1,4.1,4.1,4.1,100
91,2012-05-21,4.0,4.3,4.0,4.3,1000
92,2012-05-22,4.0,4.3,4.0,4.3,400
93,2012-05-23,4.0,4.4,4.0,4.4,2100
94,2012-05-24,4.5,4.5,4.5,4.5,100
95,2012-05-25,4.4,4.4,4.4,4.4,900
96,2012-05-28,4.4,4.4,4.4,4.4,0
97,2012-05-29,4.4,4.4,4.4,4.4,0
98,2012-05-30,4.4,4.4,4.4,4.4,0
99,2012-05-31,4.4,4.4,4.4,4.4,0
100,2012-06-01,4.4,4.4,4.4,4.4,0
101,2012-06-04,4.4,4.4,4.4,4.4,0
102,2012-06-05,4.4,4.4,4.4,4.4,0
103,2012-06-06,4.1,4.3,4.1,4.3,400
104,2012-06-07,4.2,4.2,4.2,4.2,100
105,2012-06-08,4.2,4.2,4.0,4.0,1300
106,2012-06-11,3.8,3.8,3.8,3.8,8100
107,2012-06-12,3.6,3.8,3.6,3.8,6600
108,2012-06-13,3.8,3.8,3.8,3.8,0
109,2012-06-14,4.0,4.0,4.0,4.0,100
110,2012-06-15,3.8,3.8,3.8,3.8,300
111,2012-06-18,3.6,3.8,3.6,3.8,5100
112,2012-06-19,3.8,3.8,3.8,3.8,0
113,2012-06-20,3.8,3.8,3.8,3.8,0
114,2012-06-21,3.6,3.6,3.6,3.6,2700
115,2012-06-22,3.8,3.8,3.8,3.8,100
116,2012-06-25,4.0,4.0,4.0,4.0,100
117,2012-06-26,4.2,4.2,4.2,4.2,100
118,2012-06-27,4.2,4.2,4.2,4.2,0
119,2012-06-28,4.4,4.4,4.4,4.4,100
120,2012-06-29,4.4,4.4,4.4,4.4,0
121,2012-07-02,4.4,4.4,4.4,4.4,0
122,2012-07-03,4.4,4.4,4.4,4.4,0
123,2012-07-04,4.4,4.4,4.4,4.4,0
124,2012-07-05,4.4,4.4,4.4,4.4,0
125,2012-07-06,4.4,4.4,4.4,4.4,0
126,2012-07-09,4.4,4.4,4.4,4.4,0
127,2012-07-10,4.4,4.4,4.4,4.4,0
128,2012-07-11,4.4,4.4,4.4,4.4,0
129,2012-07-12,4.4,4.4,4.4,4.4,0
130,2012-07-13,4.4,4.4,4.4,4.4,0
131,2012-07-16,4.4,4.4,4.4,4.4,0
132,2012-07-17,4.4,4.4,4.4,4.4,0
133,2012-07-18,4.4,4.4,4.4,4.4,0
134,2012-07-19,4.1,4.1,4.1,4.1,100
135,2012-07-20,4.1,4.1,4.1,4.1,0
136,2012-07-23,3.9,3.9,3.9,3.9,100
137,2012-07-24,3.7,4.1,3.7,4.1,15000
138,2012-07-25,4.1,4.1,4.1,4.1,0
139,2012-07-26,3.9,3.9,3.9,3.9,13500
140,2012-07-27,3.9,3.9,3.9,3.9,0
141,2012-07-30,3.9,3.9,3.9,3.9,0
142,2012-07-31,3.9,3.9,3.9,3.9,0
143,2012-08-01,3.7,3.7,3.7,3.7,400
144,2012-08-02,3.7,3.7,3.7,3.7,0
145,2012-08-03,3.7,3.7,3.7,3.7,0
146,2012-08-06,3.7,3.7,3.7,3.7,0
147,2012-08-07,3.5,3.5,3.5,3.5,2000
148,2012-08-08,3.3,3.3,3.3,3.3,6100
149,2012-08-09,3.3,3.3,3.3,3.3,0
150,2012-08-10,3.1,3.1,3.1,3.1,100
151,2012-08-13,3.3,3.3,2.9,2.9,6100
152,2012-08-14,3.1,3.1,2.9,2.9,2000
153,2012-08-15,3.1,3.1,3.1,3.1,4000
154,2012-08-16,3.0,3.0,3.0,3.0,2500
155,2012-08-17,3.0,3.0,3.0,3.0,7000
156,2012-08-20,3.2,3.2,3.0,3.0,3900
157,2012-08-21,3.0,3.0,3.0,3.0,1000
158,2012-08-22,3.0,3.0,3.0,3.0,0
159,2012-08-23,2.9,3.2,2.8,3.2,7500
160,2012-08-24,2.7,2.7,2.7,2.7,10000
161,2012-08-27,2.7,2.7,2.7,2.7,0
162,2012-08-28,2.8,2.8,2.8,2.8,5000
163,2012-08-29,2.9,2.9,2.9,2.9,100
164,2012-08-30,2.9,2.9,2.9,2.9,0
165,2012-08-31,2.9,2.9,2.9,2.9,0
166,2012-09-04,3.1,3.1,3.1,3.1,100
167,2012-09-05,3.0,3.0,3.0,3.0,2000
168,2012-09-06,2.9,3.1,2.9,3.1,1100
169,2012-09-07,3.1,3.1,3.1,3.1,0
170,2012-09-10,2.9,3.3,2.9,3.3,23600
171,2012-09-11,3.1,3.5,3.1,3.5,200
172,2012-09-12,3.3,3.3,3.3,3.3,100
173,2012-09-13,3.1,3.1,3.1,3.1,100
174,2012-09-14,3.2,3.2,3.2,3.2,100
175,2012-09-17,3.4,3.4,3.4,3.4,100
176,2012-09-18,3.4,3.4,3.4,3.4,0
177,2012-09-19,3.4,3.4,3.4,3.4,0
178,2012-09-20,3.4,3.4,3.4,3.4,0
179,2012-09-21,3.4,3.4,3.4,3.4,0
180,2012-09-24,3.4,3.4,3.4,3.4,0
181,2012-09-25,3.4,3.4,3.4,3.4,0
182,2012-09-26,3.5,3.5,3.5,3.5,100
183,2012-09-27,3.6,3.6,3.6,3.6,100
184,2012-09-28,3.6,3.6,3.6,3.6,0
185,2012-10-01,3.6,3.6,3.6,3.6,0
186,2012-10-02,3.6,3.6,3.6,3.6,0
187,2012-10-03,3.6,3.6,3.6,3.6,0
188,2012-10-04,3.6,3.6,3.6,3.6,0
189,2012-10-05,3.6,3.6,3.6,3.6,0
190,2012-10-08,3.6,3.6,3.6,3.6,0
191,2012-10-09,3.6,3.6,3.6,3.6,0
192,2012-10-10,3.4,3.4,3.4,3.4,300
193,2012-10-11,3.4,3.4,3.4,3.4,0
194,2012-10-12,3.6,3.6,3.6,3.6,100
195,2012-10-15,3.6,3.6,3.6,3.6,0
196,2012-10-16,3.6,3.6,3.6,3.6,0
197,2012-10-17,3.6,3.6,3.6,3.6,0
198,2012-10-18,3.6,3.6,3.6,3.6,0
199,2012-10-19,3.6,3.6,3.6,3.6,0
200,2012-10-22,3.6,3.6,3.6,3.6,0
201,2012-10-23,3.6,3.6,3.6,3.6,0
202,2012-10-24,3.6,3.6,3.6,3.6,0
203,2012-10-25,3.6,3.6,3.6,3.6,0
204,2012-10-26,3.6,3.6,3.6,3.6,0
205,2012-10-29,3.6,3.6,3.6,3.6,0
206,2012-10-30,3.6,3.6,3.6,3.6,0
207,2012-10-31,3.6,3.6,3.6,3.6,0
208,2012-11-01,3.6,3.6,3.6,3.6,0
209,2012-11-02,3.6,3.6,3.6,3.6,0
210,2012-11-05,3.6,3.6,3.6,3.6,0
211,2012-11-06,3.6,3.6,3.6,3.6,0
212,2012-11-07,3.6,3.6,3.6,3.6,0
213,2012-11-08,3.6,3.6,3.6,3.6,0
214,2012-11-09,3.6,3.6,3.6,3.6,0
215,2012-11-12,3.6,3.6,3.6,3.6,0
216,2012-11-13,3.6,3.6,3.6,3.6,0
217,2012-11-14,3.6,3.6,3.6,3.6,0
218,2012-11-15,3.6,3.6,3.6,3.6,0
219,2012-11-16,3.6,3.6,3.6,3.6,0
220,2012-11-19,3.6,3.6,3.6,3.6,0
221,2012-11-20,3.6,3.6,3.6,3.6,0
222,2012-11-21,3.6,3.6,3.6,3.6,0
223,2012-11-22,3.6,3.6,3.6,3.6,0
224,2012-11-23,3.6,3.6,3.6,3.6,0
225,2012-11-26,3.6,3.6,3.6,3.6,0
226,2012-11-27,3.6,3.6,3.6,3.6,0
227,2012-11-28,3.6,3.6,3.6,3.6,0
228,2012-11-29,3.6,3.6,3.6,3.6,0
229,2012-11-30,3.6,3.6,3.6,3.6,0
230,2012-12-03,3.6,3.6,3.6,3.6,0
231,2012-12-04,3.6,3.6,3.6,3.6,0
232,2012-12-05,3.6,3.6,3.6,3.6,0
233,2012-12-06,3.6,3.6,3.6,3.6,0
234,2012-12-07,3.6,3.6,3.6,3.6,0
235,2012-12-10,3.6,3.6,3.6,3.6,0
236,2012-12-11,3.6,3.6,3.6,3.6,0
237,2012-12-12,3.6,3.6,3.6,3.6,0
238,2012-12-13,3.6,3.6,3.6,3.6,0
239,2012-12-14,3.6,3.6,3.6,3.6,0
240,2012-12-17,3.6,3.6,3.6,3.6,0
241,2012-12-18,3.6,3.6,3.6,3.6,0
242,2012-12-19,3.6,3.6,3.6,3.6,0
243,2012-12-20,3.6,3.6,3.6,3.6,0
244,2012-12-21,3.6,3.6,3.6,3.6,0
245,2012-12-24,3.6,3.6,3.6,3.6,0
246,2012-12-25,3.6,3.6,3.6,3.6,0
247,2012-12-26,3.6,3.6,3.6,3.6,0
248,2012-12-27,3.6,3.6,3.6,3.6,0
249,2012-12-28,3.6,3.6,3.6,3.6,0
250,2013-01-02,3.6,3.6,3.6,3.6,0
251,2013-01-03,3.6,3.6,3.6,3.6,0
252,2013-01-04,3.6,3.6,3.6,3.6,0
253,2013-01-07,3.6,3.6,3.6,3.6,0
254,2013-01-08,3.6,3.6,3.6,3.6,0
255,2013-01-09,3.6,3.6,3.6,3.6,0
256,2013-01-10,3.6,3.6,3.6,3.6,0
257,2013-01-11,3.6,3.6,3.6,3.6,0
258,2013-01-14,3.6,3.6,3.6,3.6,0
