,time,open,high,low,close,volume
0,2012-01-03,7.72,7.72,7.72,7.72,560
1,2012-01-04,8.09,8.09,8.03,8.03,180
2,2012-01-05,8.03,8.03,8.03,8.03,0
3,2012-01-06,8.4,8.4,8.4,8.4,10
4,2012-01-09,8.4,8.4,8.4,8.4,0
5,2012-01-10,8.76,8.76,8.76,8.76,10
6,2012-01-11,9.19,9.19,9.19,9.19,10
7,2012-01-12,9.19,9.19,9.19,9.19,0
8,2012-01-13,9.19,9.19,9.19,9.19,0
9,2012-01-16,9.19,9.19,9.19,9.19,0
10,2012-01-17,9.19,9.19,9.19,9.19,0
11,2012-01-18,9.62,9.62,8.83,8.83,1010
12,2012-01-19,8.4,8.4,8.4,8.4,1000
13,2012-01-20,8.03,8.03,8.03,8.03,200
14,2012-01-30,8.4,8.4,8.4,8.4,10
15,2012-01-31,8.4,8.4,8.4,8.4,0
16,2012-02-01,8.03,8.76,8.03,8.76,510
17,2012-02-02,8.58,8.58,8.58,8.58,10
18,2012-02-03,8.15,8.15,8.15,8.15,1100
19,2012-02-06,8.03,8.03,8.03,8.03,4620
20,2012-02-07,8.03,8.03,8.03,8.03,0
21,2012-02-08,8.27,8.27,8.27,8.27,20
22,2012-02-09,8.27,8.27,8.27,8.27,0
23,2012-02-10,8.27,8.27,8.27,8.27,2000
24,2012-02-13,8.27,8.27,8.27,8.27,0
25,2012-02-14,7.91,7.91,7.91,7.91,270
26,2012-02-15,7.54,7.54,7.54,7.54,230
27,2012-02-16,7.54,7.54,7.54,7.54,0
28,2012-02-17,7.91,7.91,7.91,7.91,10
29,2012-02-20,7.91,7.91,7.91,7.91,0
30,2012-02-21,7.91,7.91,7.91,7.91,0
31,2012-02-22,7.91,7.91,7.91,7.91,0
32,2012-02-23,7.54,7.54,7.54,7.54,20
33,2012-02-24,7.54,7.54,7.17,7.17,3850
34,2012-02-27,7.35,7.48,6.99,7.48,70
35,2012-02-28,7.11,7.78,7.11,7.78,420
36,2012-02-29,7.78,7.78,7.78,7.78,0
37,2012-03-01,7.78,7.78,7.78,7.78,0
38,2012-03-02,7.42,8.15,7.42,8.15,1000
39,2012-03-05,7.84,8.27,7.84,8.27,820
40,2012-03-06,7.97,8.27,7.97,8.27,6510
41,2012-03-07,7.91,7.91,7.91,7.91,520
42,2012-03-08,7.54,7.54,7.54,7.54,1010
43,2012-03-09,7.54,7.54,7.17,7.17,3590
44,2012-03-12,6.99,6.99,6.86,6.86,20990
45,2012-03-13,7.11,7.11,7.11,7.11,410
46,2012-03-14,6.86,6.93,6.8,6.8,2510
47,2012-03-15,6.74,6.93,6.74,6.93,2580
48,2012-03-16,6.93,7.23,6.93,7.23,10770
49,2012-03-19,7.29,7.29,7.29,7.29,500
50,2012-03-20,7.29,7.29,7.29,7.29,0
51,2012-03-21,6.99,7.35,6.99,7.35,20
52,2012-03-22,7.42,7.42,7.42,7.42,430
53,2012-03-23,7.29,7.29,7.29,7.29,100
54,2012-03-26,7.29,7.29,7.29,7.29,50
55,2012-03-27,7.23,7.35,7.23,7.35,300
56,2012-03-28,7.35,7.35,7.35,7.35,1070
57,2012-03-29,7.35,7.35,7.35,7.35,2600
58,2012-03-30,7.05,7.05,7.05,7.05,50
59,2012-04-03,7.35,7.35,7.35,7.35,10
60,2012-04-04,7.17,7.17,7.17,7.17,70
61,2012-04-05,7.35,7.35,7.35,7.35,10
62,2012-04-06,7.35,7.72,7.35,7.72,19620
63,2012-04-09,7.97,8.09,7.97,8.09,4950
64,2012-04-10,8.27,8.27,7.78,7.78,21940
65,2012-04-11,7.78,7.78,7.48,7.54,53000
66,2012-04-12,7.35,7.78,7.35,7.35,56620
67,2012-04-13,7.72,7.72,7.35,7.35,55290
68,2012-04-16,7.48,7.72,7.48,7.48,112330
69,2012-04-17,7.48,7.6,7.35,7.54,149480
70,2012-04-18,7.89,7.89,7.47,7.68,5340
71,2012-04-19,7.61,7.61,7.33,7.33,42720
72,2012-04-20,7.33,7.4,7.26,7.33,17650
73,2012-04-23,7.33,7.68,7.26,7.33,55690
74,2012-04-24,7.33,7.61,7.33,7.47,20340
75,2012-04-25,7.47,7.61,7.47,7.47,19950
76,2012-04-26,7.47,7.54,7.33,7.33,21770
77,2012-04-27,7.4,7.47,7.33,7.47,8350
78,2012-05-02,7.47,7.47,7.12,7.19,34070
79,2012-05-03,7.12,7.26,7.12,7.26,11470
80,2012-05-04,7.4,7.61,7.4,7.61,15270
81,2012-05-07,7.96,7.96,7.96,7.96,11320
