,time,open,high,low,close,volume
0,2012-01-03,3.12,3.12,3.12,3.12,100
1,2012-01-04,3.2,3.2,3.2,3.2,1000
2,2012-01-05,3.01,3.12,3.01,3.12,1200
3,2012-01-06,3.12,3.12,3.12,3.12,0
4,2012-01-09,2.93,3.09,2.93,3.09,200
5,2012-01-10,3.01,3.01,3.01,3.01,100
6,2012-01-11,3.16,3.16,2.93,2.93,1100
7,2012-01-12,3.12,3.12,2.77,2.77,20600
8,2012-01-13,2.81,2.81,2.77,2.77,5600
9,2012-01-16,2.81,2.85,2.62,2.85,8900
10,2012-01-17,2.62,2.69,2.54,2.69,14200
11,2012-01-18,2.77,2.77,2.66,2.77,13300
12,2012-01-19,2.66,2.85,2.54,2.85,17800
13,2012-01-20,2.85,2.85,2.85,2.85,100
14,2012-01-30,3.05,3.05,3.01,3.01,1100
15,2012-01-31,3.16,3.16,3.01,3.01,9300
16,2012-02-01,2.97,2.97,2.93,2.93,2600
17,2012-02-02,3.01,3.12,3.01,3.12,8300
18,2012-02-03,3.24,3.24,2.93,2.97,17800
19,2012-02-06,3.2,3.2,2.97,3.05,8100
20,2012-02-07,3.12,3.12,2.93,3.09,39300
21,2012-02-08,3.12,3.16,3.01,3.12,22100
22,2012-02-09,3.12,3.24,3.12,3.24,28300
23,2012-02-10,3.4,3.4,3.16,3.2,9500
24,2012-02-13,3.36,3.36,3.12,3.28,34700
25,2012-02-14,3.36,3.36,3.16,3.2,11300
26,2012-02-15,3.24,3.24,3.16,3.2,13200
27,2012-02-16,3.2,3.28,3.2,3.28,5900
28,2012-02-17,3.32,3.4,3.28,3.4,26300
29,2012-02-20,3.44,3.51,3.44,3.51,44800
30,2012-02-21,3.67,3.67,3.51,3.51,28700
31,2012-02-22,3.55,3.75,3.55,3.67,30900
32,2012-02-23,3.83,3.87,3.71,3.87,39200
33,2012-02-24,4.06,4.06,3.83,3.83,33900
34,2012-02-27,4.14,4.22,3.91,4.22,10700
35,2012-02-28,4.3,4.3,3.87,4.02,41900
36,2012-02-29,4.15,4.15,3.85,3.98,8600
37,2012-03-01,3.89,3.98,3.85,3.89,12100
38,2012-03-02,3.98,3.98,3.85,3.89,9300
39,2012-03-05,4.07,4.15,4.07,4.15,65500
40,2012-03-06,4.15,4.24,3.98,4.11,17500
41,2012-03-07,3.98,4.02,3.89,4.02,14000
42,2012-03-08,4.07,4.07,3.81,3.81,9400
43,2012-03-09,3.94,3.94,3.68,3.68,11300
44,2012-03-12,3.98,3.98,3.68,3.72,11000
45,2012-03-13,3.76,3.89,3.72,3.89,6500
46,2012-03-14,3.89,3.89,3.81,3.85,5200
47,2012-03-15,3.85,4.07,3.76,4.07,18800
48,2012-03-16,4.2,4.2,3.94,3.94,4100
49,2012-03-19,4.07,4.07,3.89,3.89,3100
50,2012-03-20,4.2,4.2,4.11,4.11,300
51,2012-03-21,4.07,4.24,4.07,4.15,21200
52,2012-03-22,4.33,4.33,4.02,4.15,11400
53,2012-03-23,4.28,4.37,4.11,4.33,44600
54,2012-03-26,4.41,4.41,4.24,4.33,18200
55,2012-03-27,4.24,4.28,4.11,4.11,8400
56,2012-03-28,4.24,4.24,4.11,4.24,11000
57,2012-03-29,4.37,4.37,4.11,4.24,9900
58,2012-03-30,4.11,4.24,4.07,4.2,1700
59,2012-04-03,4.2,4.33,4.02,4.24,11100
60,2012-04-04,4.24,4.24,4.07,4.11,24300
61,2012-04-05,4.11,4.2,4.11,4.15,1600
62,2012-04-06,4.28,4.28,4.02,4.11,8800
63,2012-04-09,4.2,4.2,4.07,4.07,5300
64,2012-04-10,4.07,4.15,4.02,4.02,10500
65,2012-04-11,4.11,4.24,4.11,4.24,45200
66,2012-04-12,4.33,4.45,4.2,4.33,88400
67,2012-04-13,4.45,4.63,4.33,4.33,18000
68,2012-04-16,4.58,4.58,4.33,4.45,9700
69,2012-04-17,4.58,4.58,4.37,4.58,33000
70,2012-04-18,4.71,4.71,4.37,4.71,23200
71,2012-04-19,4.41,4.54,4.33,4.54,28000
72,2012-04-20,4.58,4.58,4.24,4.54,3700
73,2012-04-23,4.63,4.63,4.37,4.54,3700
74,2012-04-24,4.5,4.5,4.33,4.5,4600
75,2012-04-25,4.63,4.63,4.45,4.58,25900
76,2012-04-26,4.67,4.67,4.41,4.5,12400
77,2012-04-27,4.63,4.63,4.45,4.54,20500
78,2012-05-02,4.67,4.67,4.45,4.63,15700
79,2012-05-03,4.71,4.71,4.45,4.63,40000
80,2012-05-04,4.63,4.89,4.58,4.89,33900
81,2012-05-07,4.97,5.1,4.93,5.1,123500
82,2012-05-08,5.36,5.45,4.76,5.32,60900
83,2012-05-09,5.45,5.45,5.32,5.36,43700
84,2012-05-10,5.49,5.54,5.32,5.36,59400
85,2012-05-11,5.02,5.19,5.02,5.02,91100
86,2012-05-14,5.1,5.1,4.67,4.67,10900
87,2012-05-15,4.76,4.76,4.37,4.37,87200
88,2012-05-16,4.71,4.71,4.37,4.5,16400
89,2012-05-17,4.67,4.67,4.41,4.41,47300
