,time,open,high,low,close,volume
0,2012-01-03,1.9,1.9,1.9,1.9,700
1,2012-01-04,1.79,1.79,1.79,1.79,200
2,2012-01-05,1.67,1.67,1.67,1.67,4900
3,2012-01-06,1.55,1.55,1.55,1.55,2000
4,2012-01-09,1.55,1.63,1.55,1.63,4100
5,2012-01-10,1.55,1.55,1.55,1.55,1200
6,2012-01-11,1.48,1.55,1.48,1.48,1800
7,2012-01-12,1.48,1.48,1.48,1.48,0
8,2012-01-13,1.59,1.59,1.59,1.59,3000
9,2012-01-16,1.67,1.67,1.59,1.59,1700
10,2012-01-17,1.59,1.59,1.59,1.59,0
11,2012-01-18,1.79,1.79,1.79,1.79,500
12,2012-01-19,1.79,1.79,1.79,1.79,0
13,2012-01-20,1.9,1.9,1.9,1.9,100
14,2012-01-30,2.02,2.02,2.02,2.02,100
15,2012-01-31,2.1,2.1,2.1,2.1,100
16,2012-02-01,2.13,2.13,2.13,2.13,100
17,2012-02-02,2.17,2.17,2.17,2.17,100
18,2012-02-03,2.25,2.25,2.21,2.25,1000
19,2012-02-06,2.29,2.29,2.29,2.29,100
20,2012-02-07,2.21,2.25,2.21,2.25,2400
21,2012-02-08,2.33,2.33,2.33,2.33,100
22,2012-02-09,2.33,2.33,2.33,2.33,1200
23,2012-02-10,2.33,2.33,2.33,2.33,0
24,2012-02-13,2.33,2.33,2.33,2.33,0
25,2012-02-14,2.33,2.33,2.33,2.33,0
26,2012-02-15,2.33,2.33,2.33,2.33,0
27,2012-02-16,2.33,2.33,2.33,2.33,0
28,2012-02-17,2.17,2.17,2.17,2.17,300
29,2012-02-20,2.29,2.29,2.29,2.29,100
30,2012-02-21,2.29,2.29,2.29,2.29,500
31,2012-02-22,2.17,2.25,2.13,2.13,13900
32,2012-02-23,2.29,2.29,2.06,2.25,24500
33,2012-02-24,2.17,2.17,2.1,2.1,19100
34,2012-02-27,2.1,2.21,2.1,2.17,6000
35,2012-02-28,2.17,2.17,2.1,2.1,1300
36,2012-02-29,2.06,2.06,2.06,2.06,500
37,2012-03-01,2.17,2.17,2.17,2.17,3000
38,2012-03-02,2.13,2.25,2.13,2.25,700
39,2012-03-05,2.25,2.29,2.25,2.29,20300
40,2012-03-06,2.45,2.45,2.25,2.29,22300
41,2012-03-07,2.25,2.25,2.21,2.25,9100
42,2012-03-08,2.17,2.21,2.17,2.17,9300
43,2012-03-09,2.13,2.21,2.13,2.21,17700
44,2012-03-12,2.17,2.17,2.06,2.06,14800
45,2012-03-13,2.13,2.13,2.1,2.13,9100
46,2012-03-14,2.1,2.13,2.02,2.1,16200
47,2012-03-15,2.06,2.06,2.06,2.06,12400
48,2012-03-16,2.06,2.1,2.06,2.1,12800
49,2012-03-19,2.1,2.1,1.94,2.02,13300
50,2012-03-20,1.98,2.02,1.94,1.94,25100
51,2012-03-21,1.94,2.1,1.86,2.02,23700
52,2012-03-22,2.02,2.02,2.02,2.02,12500
53,2012-03-23,2.02,2.06,1.94,2.02,7200
54,2012-03-26,2.02,2.13,2.02,2.13,33800
55,2012-03-27,2.13,2.21,2.13,2.13,24100
56,2012-03-28,2.13,2.13,2.1,2.13,15900
