,time,open,high,low,close,volume
0,2017-07-12,25.51,25.51,25.51,25.51,200
1,2017-07-13,29.33,29.33,29.33,29.33,100
2,2017-07-14,33.71,33.71,33.71,33.71,4470
3,2017-07-17,38.76,38.76,35.04,38.76,134340
4,2017-07-18,38.55,38.69,36.79,37.32,59890
5,2017-07-19,37.32,37.32,33.64,34.69,37590
6,2017-07-20,35.04,35.04,31.92,32.24,27920
7,2017-07-21,32.59,32.59,31.19,31.19,38810
8,2017-07-24,31.19,31.54,31.01,31.01,17320
9,2017-07-25,30.14,30.56,27.33,28.03,60040
10,2017-07-26,28.38,31.54,28.38,31.36,32800
11,2017-07-27,30.21,31.54,30.21,30.49,18022
12,2017-07-28,30.7,30.7,29.96,29.96,19000
13,2017-07-31,31.54,31.54,30.21,30.21,54530
14,2017-08-01,30.49,31.05,30.24,30.42,35900
15,2017-08-02,29.82,31.01,29.82,30.98,18500
16,2017-08-03,30.84,31.54,30.7,31.5,25090
17,2017-08-04,31.54,31.71,31.5,31.57,48960
18,2017-08-07,31.61,31.82,31.61,31.75,27600
19,2017-08-08,31.75,33.64,31.75,32.06,53166
20,2017-08-09,32.59,33.29,32.59,33.15,27910
21,2017-08-10,33.29,33.47,32.94,33.11,30410
22,2017-08-11,33.29,33.29,32.1,32.13,16900
23,2017-08-14,32.1,32.1,31.54,31.54,9410
24,2017-08-15,31.54,31.54,31.19,31.19,15060
25,2017-08-16,31.89,31.89,31.64,31.64,17600
26,2017-08-17,31.75,31.78,31.54,31.64,25400
27,2017-08-18,31.54,31.68,31.47,31.64,8900
28,2017-08-21,31.54,31.57,31.33,31.4,21600
29,2017-08-22,31.43,31.64,31.43,31.57,3200
30,2017-08-23,31.5,32.06,31.5,31.54,16810
31,2017-08-24,31.61,31.71,31.57,31.64,17200
32,2017-08-25,32.06,32.06,31.71,31.96,30240
33,2017-08-28,32.24,32.24,31.85,31.92,27500
34,2017-08-29,31.89,31.89,31.61,31.71,32020
35,2017-08-30,31.75,31.75,31.47,31.47,18200
36,2017-08-31,31.57,31.57,31.5,31.54,19910
37,2017-09-01,31.36,31.36,31.08,31.15,6400
38,2017-09-05,31.54,31.54,31.47,31.5,4000
39,2017-09-06,31.43,31.43,31.29,31.29,1050
40,2017-09-07,31.36,31.36,31.29,31.36,3700
41,2017-09-08,31.26,31.26,31.19,31.19,9370
42,2017-09-11,31.54,31.54,31.19,31.19,21900
43,2017-09-12,31.47,31.54,31.47,31.5,11500
44,2017-09-13,31.85,31.89,31.54,31.64,14270
45,2017-09-14,31.71,31.71,31.19,31.54,16100
46,2017-09-15,31.19,31.71,30.84,31.61,28630
47,2017-09-18,31.96,31.96,31.64,31.89,37500
48,2017-09-19,31.71,31.78,31.71,31.75,11610
49,2017-09-20,31.71,31.78,31.71,31.78,31160
50,2017-09-21,31.78,31.78,31.71,31.75,20520
51,2017-09-22,31.75,31.75,31.75,31.75,15670
52,2017-09-25,31.75,32.27,31.75,31.89,59930
53,2017-09-26,31.92,31.92,31.71,31.71,50000
54,2017-09-27,31.75,31.75,31.71,31.75,740
55,2017-09-28,31.71,31.82,31.71,31.82,80570
56,2017-09-29,31.75,31.89,31.71,31.89,22601
57,2017-10-02,31.82,35.04,31.82,32.76,44370
58,2017-10-03,32.73,32.76,32.59,32.73,11700
59,2017-10-04,32.62,32.62,32.55,32.55,10140
60,2017-10-05,32.45,32.45,31.99,31.99,11070
61,2017-10-06,31.99,32.06,31.64,31.92,7740
62,2017-10-09,31.75,31.82,31.64,31.82,2020
63,2017-10-10,31.64,32.24,31.64,32.24,6950
64,2017-10-11,32.06,32.76,32.06,32.76,217529
65,2017-10-12,32.76,34.69,32.76,33.99,83581
66,2017-10-13,34.34,34.34,32.94,34.17,45810
67,2017-10-16,34.13,36.09,34.13,35.57,71160
68,2017-10-17,36.44,37.14,35.57,35.57,27640
69,2017-10-18,35.04,35.74,35.04,35.04,28611
70,2017-10-19,35.04,35.78,35.04,35.57,21330
71,2017-10-20,35.57,36.06,35.57,35.6,69440
72,2017-10-23,35.74,36.44,35.74,36.09,34250
73,2017-10-24,36.27,36.3,35.99,36.16,10220
74,2017-10-25,36.27,36.62,36.09,36.55,21580
75,2017-10-26,36.62,37.5,36.62,36.93,47890
76,2017-10-27,37.14,37.32,36.97,37.32,32210
77,2017-10-30,37.25,37.46,37.21,37.25,33600
78,2017-10-31,37.32,37.36,37.25,37.32,25040
79,2017-11-01,37.28,37.36,37.28,37.32,24160
80,2017-11-02,37.32,37.39,36.51,37.25,18890
81,2017-11-03,37.5,37.5,36.9,37.21,25500
82,2017-11-06,37.5,39.07,37.5,38.55,39920
83,2017-11-07,39.25,39.6,37.5,39.49,51469
84,2017-11-08,39.25,42.05,39.25,41.7,68740
85,2017-11-09,42.05,42.93,41.0,41.0,41859
86,2017-11-10,41.84,42.05,41.7,42.02,51540
87,2017-11-13,42.4,43.1,42.02,43.1,28760
88,2017-11-14,42.54,42.93,42.54,42.75,18540
89,2017-11-15,42.75,42.75,42.58,42.58,19310
90,2017-11-16,42.68,42.72,42.4,42.65,18818
91,2017-11-17,42.61,42.61,41.7,42.61,55006
92,2017-11-20,42.05,42.75,42.05,42.75,41932
93,2017-11-21,42.09,43.07,42.09,42.75,15130
94,2017-11-22,42.12,42.75,42.12,42.72,27150
95,2017-11-23,42.75,42.82,42.4,42.51,31360
96,2017-11-24,42.4,42.4,42.05,42.05,23530
97,2017-11-27,42.02,42.4,42.02,42.05,7850
98,2017-11-28,42.16,42.16,42.05,42.05,2710
99,2017-11-29,42.37,42.4,41.53,42.05,10970
100,2017-11-30,42.05,42.05,41.35,41.7,1450
101,2017-12-01,41.35,41.7,39.6,40.3,41690
102,2017-12-04,40.65,41.53,40.65,40.65,17060
103,2017-12-05,40.82,41.0,40.3,41.0,59920
104,2017-12-06,40.65,40.68,40.3,40.68,49330
105,2017-12-07,40.65,40.68,40.51,40.65,44610
106,2017-12-08,40.65,40.65,40.44,40.44,1700
107,2017-12-11,40.44,41.17,40.44,40.65,3251
108,2017-12-12,40.72,40.72,40.3,40.3,44750
109,2017-12-13,40.3,40.65,40.3,40.3,52748
110,2017-12-14,40.47,40.47,40.3,40.33,37033
111,2017-12-15,40.51,40.51,40.3,40.3,45220
112,2017-12-18,40.65,40.65,40.23,40.23,52918
113,2017-12-19,40.3,40.3,40.12,40.12,6963
114,2017-12-20,40.26,40.26,39.6,39.81,9970
115,2017-12-21,39.95,39.95,39.6,39.77,2690
116,2017-12-22,39.7,40.26,39.6,40.26,8800
117,2017-12-25,39.91,40.02,39.91,40.02,33393
118,2017-12-26,40.65,42.51,40.65,41.7,93586
119,2017-12-27,42.79,42.79,41.7,41.7,195640
120,2017-12-28,41.88,42.4,41.7,42.4,98933
121,2017-12-29,42.4,43.1,42.4,42.75,36460
122,2018-01-02,42.58,43.1,42.37,42.4,26420
123,2018-01-03,42.33,42.75,42.33,42.75,24918
124,2018-01-04,42.4,42.89,42.37,42.89,39520
125,2018-01-05,43.1,43.1,42.65,43.03,16751
126,2018-01-08,42.96,43.0,42.79,42.93,24379
127,2018-01-09,42.93,43.8,42.75,43.8,39216
128,2018-01-10,43.56,44.5,43.56,44.5,21401
129,2018-01-11,44.5,44.5,44.33,44.33,3610
130,2018-01-12,44.5,44.5,43.1,43.77,10359
131,2018-01-15,43.42,43.63,42.75,43.45,16168
132,2018-01-16,43.1,43.42,43.1,43.28,15920
133,2018-01-17,43.21,43.35,42.96,43.31,26020
134,2018-01-18,43.21,43.28,43.1,43.28,24912
135,2018-01-19,43.42,43.98,43.42,43.77,29800
136,2018-01-22,43.73,43.98,43.73,43.84,19090
137,2018-01-23,43.87,44.33,43.87,44.33,11449
138,2018-01-24,44.33,47.31,44.33,46.75,32950
139,2018-01-25,46.61,47.31,46.61,47.31,21210
140,2018-01-26,46.96,48.53,46.96,48.36,27120
141,2018-01-29,48.53,54.84,48.53,54.32,79603
142,2018-01-30,53.26,54.81,53.26,54.32,11920
143,2018-01-31,54.32,57.47,54.32,56.77,42930
144,2018-02-01,56.77,56.77,52.56,52.74,23329
145,2018-02-02,52.56,54.14,52.56,53.93,24764
146,2018-02-05,53.61,53.97,51.86,51.86,20593
147,2018-02-06,44.71,50.46,44.71,50.46,70741
148,2018-02-07,49.94,53.82,49.94,52.56,7040
149,2018-02-08,51.51,51.62,50.99,51.51,14170
150,2018-02-09,51.16,51.16,49.76,51.16,6440
151,2018-02-12,52.21,53.26,51.58,53.26,5000
152,2018-02-13,52.56,54.32,52.56,54.28,7910
153,2018-02-21,54.28,54.84,53.97,54.84,14240
154,2018-02-22,54.67,54.84,54.67,55.37,12130
155,2018-02-23,56.42,56.42,55.72,56.17,12900
156,2018-02-26,56.21,56.24,55.05,55.09,16370
157,2018-02-27,55.86,55.86,54.0,55.68,8320
158,2018-02-28,55.37,55.89,55.37,55.89,14950
159,2018-03-01,55.02,55.72,55.02,55.72,300
160,2018-03-02,55.16,56.24,55.02,56.07,40830
161,2018-03-05,56.07,56.59,56.0,56.59,20310
162,2018-03-06,56.42,57.99,56.42,57.99,40570
163,2018-03-07,57.12,58.35,57.08,58.35,5458
164,2018-03-08,57.75,57.82,57.12,57.47,9970
165,2018-03-09,57.47,57.47,57.12,57.43,4400
166,2018-03-12,56.8,57.47,56.42,57.12,20495
167,2018-03-13,57.12,57.22,56.24,56.24,35920
168,2018-03-14,56.77,56.77,55.72,55.72,3574
169,2018-03-15,55.37,56.38,55.37,56.14,3490
170,2018-03-16,55.79,56.77,55.79,56.73,45464
171,2018-03-19,56.38,56.42,56.17,56.42,10787
172,2018-03-20,56.77,57.12,56.77,56.87,9140
173,2018-03-21,56.8,57.12,56.8,56.8,7816
174,2018-03-22,56.77,56.84,56.77,56.8,13780
175,2018-03-23,56.77,57.12,56.77,57.05,31194
176,2018-03-26,57.12,58.17,57.12,58.14,20440
177,2018-03-27,58.52,62.38,58.52,62.38,54075
178,2018-03-28,61.5,62.2,61.5,62.02,2720
179,2018-03-29,61.32,62.38,60.97,62.06,8030
180,2018-03-30,62.38,62.38,61.32,61.67,7937
181,2018-04-02,62.13,64.65,62.13,64.48,24527
182,2018-04-03,63.78,67.28,63.78,67.28,39500
183,2018-04-04,70.05,70.05,67.63,68.68,12420
