,time,open,high,low,close,volume
0,2012-01-03,3.1,3.2,3.0,3.0,51200
1,2012-01-04,3.0,3.1,2.9,3.0,42300
2,2012-01-05,3.0,3.0,2.8,2.8,126100
3,2012-01-06,2.8,2.8,2.7,2.7,176400
4,2012-01-09,2.7,2.8,2.6,2.7,90300
5,2012-01-10,2.7,2.8,2.7,2.8,84300
6,2012-01-11,2.9,2.9,2.8,2.8,95100
7,2012-01-12,2.7,2.9,2.7,2.9,74800
8,2012-01-13,2.8,2.9,2.8,2.9,65000
9,2012-01-16,2.9,3.1,2.9,3.1,135700
10,2012-01-17,3.1,3.1,2.9,3.0,41400
11,2012-01-18,3.0,3.1,2.9,3.0,84300
12,2012-01-19,3.1,3.2,3.1,3.2,150900
13,2012-01-20,3.4,3.4,3.3,3.4,197800
14,2012-01-30,3.4,3.6,3.2,3.4,84600
15,2012-01-31,3.5,3.6,3.5,3.6,225600
16,2012-02-01,3.5,3.5,3.4,3.5,255100
17,2012-02-02,3.4,3.6,3.4,3.6,106900
18,2012-02-03,3.8,3.8,3.5,3.6,453200
19,2012-02-06,3.6,3.6,3.5,3.5,260500
20,2012-02-07,3.5,3.6,3.5,3.6,136900
21,2012-02-08,3.6,3.7,3.6,3.7,216100
22,2012-02-09,3.8,3.9,3.8,3.9,640800
23,2012-02-10,3.9,3.9,3.7,3.7,206100
24,2012-02-13,3.6,3.6,3.5,3.5,100500
25,2012-02-14,3.5,3.6,3.4,3.6,153500
26,2012-02-15,3.5,3.5,3.3,3.4,168700
27,2012-02-16,3.3,3.5,3.3,3.4,63600
28,2012-02-17,3.6,3.6,3.4,3.6,130900
29,2012-02-20,3.8,3.8,3.8,3.8,226700
30,2012-02-21,3.8,4.0,3.7,3.7,408400
31,2012-02-22,3.8,4.1,3.8,4.1,430500
32,2012-02-23,4.1,4.1,4.0,4.1,409100
33,2012-02-24,4.3,4.3,4.2,4.3,968500
34,2012-02-27,4.2,4.6,4.2,4.6,389900
35,2012-02-28,4.9,4.9,4.5,4.7,1140600
36,2012-02-29,4.6,4.8,4.5,4.7,551600
37,2012-03-01,4.6,4.7,4.4,4.5,529500
38,2012-03-02,4.5,4.8,4.5,4.8,474300
39,2012-03-05,4.9,5.0,4.9,5.0,81700
40,2012-03-06,5.0,5.3,4.8,5.0,1274400
41,2012-03-07,5.2,5.2,4.9,5.1,611600
42,2012-03-08,4.8,5.0,4.7,4.7,487700
43,2012-03-09,4.6,4.8,4.5,4.7,430400
44,2012-03-12,4.4,4.5,4.3,4.3,374300
45,2012-03-13,4.4,4.6,4.2,4.6,264800
46,2012-03-14,4.6,4.6,4.4,4.4,153600
47,2012-03-15,4.4,4.8,4.3,4.8,479800
48,2012-03-16,5.0,5.0,4.9,4.9,720900
49,2012-03-19,5.0,5.1,4.7,4.7,274600
50,2012-03-20,4.9,4.9,4.6,4.8,218400
51,2012-03-21,4.9,5.0,4.7,4.9,876900
52,2012-03-22,5.1,5.2,4.8,5.1,736700
53,2012-03-23,5.3,5.4,5.2,5.4,536700
54,2012-03-26,5.6,5.7,5.5,5.7,1145000
55,2012-03-27,6.0,6.0,5.4,5.4,1104200
56,2012-03-28,5.1,5.4,5.1,5.2,958400
57,2012-03-29,5.4,5.5,5.1,5.1,731600
58,2012-03-30,4.8,5.2,4.8,4.8,480100
59,2012-04-03,4.7,5.1,4.6,5.1,400900
60,2012-04-04,5.2,5.3,4.8,5.0,308200
61,2012-04-05,4.7,5.2,4.7,5.1,404700
62,2012-04-06,5.2,5.3,4.9,4.9,191500
63,2012-04-09,4.9,5.2,4.9,5.2,503100
64,2012-04-10,5.3,5.3,5.0,5.1,442500
65,2012-04-11,5.2,5.5,5.2,5.5,972600
66,2012-04-12,5.8,5.8,5.6,5.8,1526100
67,2012-04-13,6.0,6.0,5.5,5.6,686600
68,2012-04-16,5.6,5.9,5.5,5.8,662500
69,2012-04-17,5.9,5.9,5.5,5.5,593200
70,2012-04-18,5.5,5.9,5.4,5.9,1500600
71,2012-04-19,5.8,6.1,5.5,5.7,469100
72,2012-04-20,5.7,5.9,5.6,5.7,279700
73,2012-04-23,5.8,5.8,5.5,5.5,246400
74,2012-04-24,5.5,5.6,5.3,5.6,654100
75,2012-04-25,5.5,5.8,5.5,5.6,460700
76,2012-04-26,5.6,5.6,5.4,5.4,360500
77,2012-04-27,5.3,5.7,5.3,5.7,523800
78,2012-05-02,5.7,6.0,5.6,5.8,737800
79,2012-05-03,5.8,5.9,5.6,5.8,327500
80,2012-05-04,5.8,6.2,5.7,6.2,1436700
81,2012-05-07,6.3,6.6,6.3,6.6,689200
82,2012-05-08,6.9,6.9,6.3,6.3,847500
83,2012-05-09,6.2,6.5,6.1,6.3,490700
84,2012-05-10,6.4,6.7,6.4,6.7,1286600
85,2012-05-11,6.8,6.9,6.3,6.3,759800
86,2012-05-14,6.2,6.4,6.0,6.0,468000
87,2012-05-15,5.9,6.0,5.6,5.6,594800
88,2012-05-16,5.7,5.8,5.5,5.8,455000
89,2012-05-17,5.8,5.9,5.5,5.6,213500
90,2012-05-18,5.4,5.6,5.3,5.3,491300
91,2012-05-21,5.5,5.6,5.4,5.6,237700
92,2012-05-22,5.9,5.9,5.4,5.4,302800
93,2012-05-23,5.4,5.4,5.2,5.2,318300
94,2012-05-24,5.2,5.3,4.9,5.2,380300
95,2012-05-25,5.4,5.4,5.3,5.4,179000
96,2012-05-28,5.6,5.7,5.5,5.6,436100
97,2012-05-29,5.3,5.4,5.2,5.3,236900
98,2012-05-30,5.3,5.5,5.3,5.4,147300
99,2012-05-31,5.4,5.4,5.2,5.2,168500
100,2012-06-01,5.3,5.4,5.1,5.3,146400
101,2012-06-04,5.2,5.2,5.0,5.0,301100
102,2012-06-05,5.1,5.3,4.9,5.3,178700
103,2012-06-06,5.3,5.5,5.1,5.2,129600
104,2012-06-07,5.5,5.6,5.3,5.6,496100
105,2012-06-08,5.7,5.8,5.4,5.5,383000
106,2012-06-11,5.5,5.7,5.5,5.6,118600
107,2012-06-12,5.5,5.5,5.3,5.3,201600
108,2012-06-13,5.3,5.3,5.2,5.3,162700
109,2012-06-14,5.2,5.3,5.1,5.3,168600
110,2012-06-15,5.4,5.5,5.3,5.5,236900
111,2012-06-18,5.7,5.7,5.4,5.5,253200
112,2012-06-19,5.6,5.6,5.3,5.3,56600
113,2012-06-20,5.4,5.4,5.3,5.3,71800
114,2012-06-21,5.3,5.3,5.2,5.2,281500
115,2012-06-22,5.3,5.3,5.1,5.2,159400
116,2012-06-25,5.1,5.3,5.0,5.0,249100
117,2012-06-26,4.9,5.0,4.7,4.8,316200
118,2012-06-27,4.8,4.9,4.6,4.7,144700
119,2012-06-28,4.8,4.9,4.5,4.9,123200
120,2012-06-29,4.8,5.0,4.7,4.8,131800
121,2012-07-02,4.9,4.9,4.6,4.6,149200
122,2012-07-03,4.5,4.5,4.3,4.5,160500
123,2012-07-04,4.5,4.5,4.2,4.4,126000
124,2012-07-05,4.3,4.7,4.2,4.6,298000
125,2012-07-06,4.6,4.8,4.5,4.5,134800
126,2012-07-09,4.4,4.4,4.2,4.2,136100
127,2012-07-10,4.2,4.2,4.0,4.1,155800
128,2012-07-11,4.2,4.3,4.1,4.3,86500
129,2012-07-12,4.3,4.5,4.3,4.4,92100
130,2012-07-13,4.5,4.7,4.3,4.6,406100
131,2012-07-16,4.6,4.7,4.3,4.3,196300
132,2012-07-17,4.4,4.6,4.3,4.6,155800
133,2012-07-18,4.7,4.7,4.4,4.5,139400
134,2012-07-19,4.6,4.8,4.5,4.8,234400
135,2012-07-20,5.0,5.0,4.6,4.6,208800
136,2012-07-23,4.6,4.7,4.4,4.7,216500
137,2012-07-24,4.4,4.5,4.3,4.3,95300
138,2012-07-25,4.5,4.6,4.3,4.4,54000
139,2012-07-26,4.5,4.6,4.5,4.5,103100
140,2012-07-27,4.5,4.5,4.4,4.4,30200
141,2012-07-30,4.3,4.4,4.3,4.4,68000
142,2012-07-31,4.3,4.4,4.2,4.3,52200
143,2012-08-01,4.3,4.3,4.1,4.2,87100
144,2012-08-02,4.4,4.4,4.2,4.3,135900
145,2012-08-03,4.2,4.4,4.2,4.3,44300
146,2012-08-06,4.4,4.6,4.3,4.4,215200
147,2012-08-07,4.4,4.5,4.3,4.3,68900
148,2012-08-08,4.4,4.4,4.3,4.4,61400
149,2012-08-09,4.5,4.5,4.4,4.5,51500
150,2012-08-10,4.4,4.4,4.2,4.2,105100
151,2012-08-13,4.3,4.4,4.2,4.4,69100
152,2012-08-14,4.3,4.4,4.2,4.4,50300
153,2012-08-15,4.3,4.3,4.3,4.3,40900
154,2012-08-16,4.3,4.4,4.2,4.3,47700
155,2012-08-17,4.2,4.3,4.2,4.3,57500
156,2012-08-20,4.3,4.4,4.2,4.3,74800
157,2012-08-21,4.2,4.2,4.0,4.0,148300
158,2012-08-22,3.8,4.0,3.8,3.8,272000
159,2012-08-23,3.6,3.8,3.6,3.6,85000
160,2012-08-24,3.4,3.8,3.4,3.7,272500
161,2012-08-27,3.6,3.6,3.5,3.5,118000
162,2012-08-28,3.4,3.5,3.3,3.5,81800
163,2012-08-29,3.5,3.7,3.5,3.7,121900
164,2012-08-30,3.7,3.8,3.6,3.7,55500
165,2012-08-31,3.6,3.7,3.5,3.5,48700
166,2012-09-04,3.5,3.7,3.5,3.5,65700
167,2012-09-05,3.6,3.6,3.4,3.4,142500
168,2012-09-06,3.3,3.4,3.2,3.2,141300
169,2012-09-07,3.2,3.2,3.0,3.1,81800
170,2012-09-10,3.2,3.2,3.0,3.0,111100
171,2012-09-11,3.0,3.0,2.8,2.9,95800
172,2012-09-12,2.9,2.9,2.8,2.9,61000
173,2012-09-13,2.9,3.0,2.7,3.0,155400
174,2012-09-14,3.1,3.2,3.1,3.2,157700
175,2012-09-17,3.2,3.3,3.1,3.1,130400
176,2012-09-18,3.0,3.1,2.9,2.9,88300
177,2012-09-19,2.9,2.9,2.8,2.9,72100
178,2012-09-20,2.8,2.9,2.7,2.9,79400
179,2012-09-21,2.9,3.1,2.9,3.1,77300
180,2012-09-24,2.9,3.0,2.8,3.0,67900
181,2012-09-25,2.9,3.0,2.8,2.9,72800
182,2012-09-26,2.9,3.0,2.8,2.9,74800
183,2012-09-27,2.9,2.9,2.8,2.8,31600
184,2012-09-28,2.8,2.8,2.7,2.8,46500
185,2012-10-01,2.7,2.7,2.6,2.6,147200
186,2012-10-02,2.5,2.6,2.5,2.6,46100
187,2012-10-03,2.6,2.7,2.6,2.7,61000
188,2012-10-04,2.6,2.7,2.6,2.7,9500
189,2012-10-05,2.7,2.8,2.6,2.8,94200
190,2012-10-08,2.8,2.9,2.8,2.9,116500
191,2012-10-09,3.0,3.0,2.8,2.8,113500
192,2012-10-10,2.8,2.9,2.8,2.9,89200
193,2012-10-11,3.0,3.1,3.0,3.1,375300
194,2012-10-12,3.1,3.1,3.0,3.1,71700
195,2012-10-15,3.0,3.1,2.9,2.9,57200
196,2012-10-16,3.0,3.1,2.9,3.1,126800
197,2012-10-17,3.2,3.2,3.0,3.0,134700
198,2012-10-18,3.0,3.0,3.0,3.0,37300
199,2012-10-19,3.0,3.1,2.8,2.9,103500
200,2012-10-22,3.0,3.0,2.7,2.8,116800
201,2012-10-23,2.8,2.9,2.8,2.9,27500
202,2012-10-24,2.8,2.9,2.8,2.8,54400
203,2012-10-25,2.7,2.8,2.7,2.7,139800
204,2012-10-26,2.6,2.7,2.6,2.7,159400
205,2012-10-29,2.7,2.7,2.6,2.7,55800
206,2012-10-30,2.6,2.7,2.6,2.7,19300
207,2012-10-31,2.7,2.7,2.6,2.6,70600
208,2012-11-01,2.7,2.7,2.7,2.7,142800
209,2012-11-02,2.8,2.8,2.6,2.6,197900
210,2012-11-05,2.5,2.6,2.5,2.6,17200
211,2012-11-06,2.6,2.6,2.5,2.6,38800
212,2012-11-07,2.6,2.7,2.6,2.7,23500
213,2012-11-08,2.7,2.7,2.6,2.6,76000
214,2012-11-09,2.6,2.7,2.5,2.7,50100
215,2012-11-12,2.7,2.8,2.7,2.8,80500
216,2012-11-13,2.7,2.8,2.7,2.7,39200
217,2012-11-14,2.7,2.7,2.6,2.7,63300
218,2012-11-15,2.8,2.8,2.6,2.6,75100
219,2012-11-16,2.6,2.7,2.6,2.6,28500
220,2012-11-19,2.6,2.7,2.6,2.7,27600
221,2012-11-20,2.7,2.7,2.6,2.7,58500
222,2012-11-21,2.7,2.7,2.6,2.7,71800
223,2012-11-22,2.6,2.7,2.6,2.7,3200
224,2012-11-23,2.7,2.7,2.6,2.7,17200
225,2012-11-26,2.6,2.7,2.6,2.7,57500
226,2012-11-27,2.6,2.7,2.6,2.6,28300
227,2012-11-28,2.5,2.6,2.5,2.6,121800
228,2012-11-29,2.4,2.6,2.4,2.6,25900
229,2012-11-30,2.6,2.6,2.5,2.6,92800
230,2012-12-03,2.5,2.6,2.5,2.6,20500
231,2012-12-04,2.5,2.6,2.5,2.6,39800
232,2012-12-05,2.5,2.7,2.5,2.6,74200
233,2012-12-06,2.6,2.7,2.6,2.7,57600
234,2012-12-07,2.7,2.8,2.6,2.7,147000
235,2012-12-10,2.7,2.8,2.6,2.8,352300
236,2012-12-11,2.9,2.9,2.9,2.9,290200
237,2012-12-12,3.0,3.1,2.9,3.1,442800
238,2012-12-13,3.2,3.2,2.9,3.1,447600
239,2012-12-14,3.0,3.0,2.8,2.9,135500
240,2012-12-17,2.9,3.1,2.8,3.1,367800
241,2012-12-18,3.0,3.1,2.9,2.9,262500
242,2012-12-19,2.9,3.1,2.9,3.1,536000
243,2012-12-20,3.1,3.2,3.0,3.0,264800
244,2012-12-21,3.0,3.0,2.9,2.9,88300
245,2012-12-24,3.0,3.1,2.9,3.1,94400
246,2012-12-25,3.1,3.1,3.0,3.0,162800
247,2012-12-26,2.9,3.1,2.9,3.1,140700
248,2012-12-27,3.1,3.3,3.0,3.1,429800
249,2012-12-28,3.1,3.3,3.1,3.3,366000
250,2013-01-02,3.3,3.4,3.3,3.4,368300
251,2013-01-03,3.6,3.6,3.4,3.5,1139100
252,2013-01-04,3.5,3.7,3.4,3.6,351000
253,2013-01-07,3.7,3.7,3.4,3.4,382100
254,2013-01-08,3.4,3.4,3.2,3.3,548500
255,2013-01-09,3.4,3.6,3.3,3.4,629900
256,2013-01-10,3.3,3.4,3.2,3.4,237700
257,2013-01-11,3.4,3.5,3.3,3.3,291900
258,2013-01-14,3.2,3.4,3.2,3.4,112600
259,2013-01-15,3.4,3.6,3.4,3.6,791100
260,2013-01-16,3.7,3.9,3.7,3.9,985600
261,2013-01-17,4.1,4.2,3.8,3.9,617800
262,2013-01-18,3.9,3.9,3.6,3.8,431100
263,2013-01-21,3.8,3.9,3.6,3.6,331700
264,2013-01-22,3.6,3.7,3.3,3.4,430700
265,2013-01-23,3.5,3.5,3.2,3.3,171600
266,2013-01-24,3.5,3.6,3.4,3.6,224800
267,2013-01-25,3.6,3.7,3.5,3.5,186000
268,2013-01-28,3.6,3.7,3.5,3.6,108500
269,2013-01-29,3.5,3.6,3.5,3.6,227200
270,2013-01-30,3.6,3.6,3.5,3.5,162300
