,time,open,high,low,close,volume
0,2012-01-03,1.38,1.38,1.38,1.38,0
1,2012-01-04,1.38,1.39,1.38,1.39,1100
2,2012-01-05,1.39,1.4,1.39,1.4,400
3,2012-01-06,1.41,1.41,1.41,1.41,400
4,2012-01-09,1.41,1.41,1.41,1.41,0
5,2012-01-10,1.43,1.44,1.43,1.44,700
6,2012-01-11,1.44,1.44,1.44,1.44,100
7,2012-01-12,1.46,1.46,1.46,1.46,700
8,2012-01-13,1.46,1.46,1.46,1.46,0
9,2012-01-16,1.49,1.49,1.49,1.49,300
10,2012-01-17,1.49,1.49,1.49,1.49,500
11,2012-01-18,1.49,1.49,1.49,1.49,0
12,2012-01-19,1.51,1.51,1.51,1.51,100
13,2012-01-20,1.51,1.51,1.51,1.51,0
14,2012-01-30,1.61,1.61,1.61,1.61,500
15,2012-01-31,1.61,1.61,1.61,1.61,0
16,2012-02-01,1.61,1.61,1.61,1.61,0
17,2012-02-02,1.64,1.64,1.64,1.64,200
18,2012-02-03,1.64,1.64,1.64,1.64,0
19,2012-02-06,1.64,1.64,1.64,1.64,0
20,2012-02-07,1.64,1.64,1.64,1.64,0
21,2012-02-08,1.54,1.54,1.54,1.54,200
22,2012-02-09,1.54,1.54,1.54,1.54,0
23,2012-02-10,1.54,1.54,1.54,1.54,0
24,2012-02-13,1.66,1.66,1.66,1.66,0
25,2012-02-14,1.66,1.66,1.66,1.66,0
26,2012-02-15,1.47,1.47,1.47,1.47,600
27,2012-02-16,1.51,1.51,1.51,1.51,2000
28,2012-02-17,1.51,1.51,1.51,1.51,0
29,2012-02-20,1.54,1.54,1.54,1.54,1100
30,2012-02-21,1.54,1.54,1.54,1.54,0
31,2012-02-22,1.55,1.57,1.55,1.57,500
32,2012-02-23,1.55,1.55,1.55,1.55,4500
33,2012-02-24,1.55,1.55,1.55,1.55,0
34,2012-02-27,1.55,1.55,1.55,1.55,0
35,2012-02-28,1.47,1.47,1.47,1.47,300
36,2012-02-29,1.47,1.47,1.47,1.47,0
37,2012-03-01,1.47,1.47,1.47,1.47,0
38,2012-03-02,1.5,1.54,1.5,1.54,2200
39,2012-03-05,1.54,1.54,1.54,1.54,100
40,2012-03-06,1.57,1.57,1.57,1.57,100
41,2012-03-07,1.57,1.57,1.57,1.57,0
42,2012-03-08,1.57,1.57,1.57,1.57,500
43,2012-03-09,1.61,1.63,1.61,1.61,17800
44,2012-03-12,1.61,1.61,1.61,1.61,0
45,2012-03-13,1.61,1.61,1.61,1.61,0
46,2012-03-14,1.67,1.67,1.67,1.67,600
47,2012-03-15,1.67,1.67,1.67,1.67,0
48,2012-03-16,1.67,1.67,1.67,1.67,0
49,2012-03-19,1.67,1.67,1.67,1.67,0
50,2012-03-20,1.57,1.57,1.57,1.57,500
51,2012-03-21,1.61,1.61,1.61,1.61,400
52,2012-03-22,1.5,1.55,1.5,1.55,2700
53,2012-03-23,1.55,1.55,1.55,1.55,0
54,2012-03-26,1.55,1.55,1.55,1.55,0
55,2012-03-27,1.61,1.61,1.61,1.61,3500
56,2012-03-28,1.61,1.61,1.61,1.61,1600
57,2012-03-29,1.61,1.61,1.61,1.61,3000
58,2012-03-30,1.61,1.61,1.61,1.61,1500
59,2012-04-03,1.67,1.67,1.67,1.67,1500
60,2012-04-04,1.67,1.67,1.67,1.67,0
61,2012-04-05,1.67,1.67,1.67,1.67,0
62,2012-04-06,1.67,1.67,1.67,1.67,4100
63,2012-04-09,1.67,1.67,1.67,1.67,0
64,2012-04-10,1.67,1.67,1.67,1.67,300
65,2012-04-11,1.74,1.74,1.74,1.74,1100
66,2012-04-12,1.86,1.86,1.86,1.86,10000
67,2012-04-13,1.98,1.98,1.98,1.98,1000
68,2012-04-16,1.98,1.98,1.98,1.98,0
69,2012-04-17,2.11,2.11,2.11,2.11,1300
70,2012-04-18,2.14,2.26,2.14,2.26,5000
71,2012-04-19,2.26,2.26,2.26,2.26,0
72,2012-04-20,2.11,2.11,2.11,2.11,100
73,2012-04-23,2.14,2.14,2.14,2.14,10000
74,2012-04-24,2.14,2.14,2.14,2.14,0
