,time,open,high,low,close,volume
0,2012-01-03,5.51,5.51,5.51,5.51,90
1,2012-01-04,5.51,5.51,5.51,5.51,220
2,2012-01-05,5.51,5.51,5.51,5.51,1000
3,2012-01-06,5.51,5.51,5.51,5.51,500
4,2012-01-09,5.51,5.51,5.51,5.51,500
5,2012-01-10,5.51,5.51,5.51,5.51,300
6,2012-01-11,5.51,5.51,5.51,5.51,300
7,2012-01-12,5.51,5.51,5.44,5.44,400
8,2012-01-13,5.51,5.51,5.51,5.51,100
9,2012-01-16,5.51,5.51,5.44,5.44,160
10,2012-01-17,5.44,5.44,5.44,5.44,0
11,2012-01-18,5.44,5.44,5.44,5.44,100
12,2012-01-19,5.44,5.44,5.44,5.44,0
13,2012-01-20,5.44,5.44,5.44,5.44,5000
14,2012-01-30,5.65,5.65,5.65,5.65,10
15,2012-01-31,5.65,5.65,5.65,5.65,0
16,2012-02-01,5.37,5.37,5.37,5.37,1010
17,2012-02-02,5.17,5.44,5.17,5.44,1520
18,2012-02-03,5.44,5.44,5.44,5.44,20
19,2012-02-06,5.23,5.23,5.23,5.23,2000
20,2012-02-07,5.1,5.1,5.03,5.1,2600
21,2012-02-08,4.89,5.17,4.89,5.03,2210
22,2012-02-09,4.89,4.89,4.82,4.82,2540
23,2012-02-10,4.68,4.68,4.61,4.68,2300
24,2012-02-13,4.82,4.82,4.82,4.82,120
25,2012-02-14,4.61,4.82,4.61,4.82,410
26,2012-02-15,4.61,4.82,4.61,4.82,1220
27,2012-02-16,4.75,4.75,4.61,4.75,540
28,2012-02-17,4.61,4.82,4.61,4.82,460
29,2012-02-20,4.82,4.82,4.82,4.82,20
30,2012-02-21,4.68,4.68,4.68,4.68,3460
31,2012-02-22,4.55,4.82,4.55,4.61,1850
32,2012-02-23,4.41,4.61,4.41,4.61,3980
33,2012-02-24,4.61,4.61,4.41,4.55,3320
34,2012-02-27,4.55,4.55,4.34,4.48,6000
35,2012-02-28,4.27,4.27,4.27,4.27,7100
36,2012-02-29,4.06,4.27,4.06,4.06,7530
37,2012-03-01,4.2,4.2,3.99,4.2,1050
38,2012-03-02,3.99,4.2,3.99,3.99,2220
39,2012-03-05,4.13,4.13,4.13,4.13,15250
40,2012-03-06,4.27,4.27,4.06,4.13,5190
41,2012-03-07,3.93,4.06,3.93,3.93,6590
42,2012-03-08,3.99,4.06,3.93,3.93,2850
43,2012-03-09,4.06,4.06,3.93,3.93,230
44,2012-03-12,3.93,3.93,3.79,3.86,6510
45,2012-03-13,3.86,3.86,3.86,3.86,3900
46,2012-03-14,3.86,3.86,3.72,3.72,7090
47,2012-03-15,3.58,3.58,3.58,3.58,11530
48,2012-03-16,3.58,3.58,3.44,3.44,12500
49,2012-03-19,3.51,3.51,3.31,3.37,10020
50,2012-03-20,3.44,3.44,3.24,3.24,12050
51,2012-03-21,3.24,3.37,3.1,3.1,54460
52,2012-03-22,3.03,3.1,2.96,2.96,43650
53,2012-03-23,3.03,3.1,2.96,3.1,27760
54,2012-03-26,3.24,3.24,3.03,3.24,103040
55,2012-03-27,3.37,3.37,3.37,3.37,13460
56,2012-03-28,3.51,3.51,3.31,3.31,130020
57,2012-03-29,3.37,3.44,3.31,3.44,14890
58,2012-03-30,3.44,3.44,3.31,3.31,55960
59,2012-04-03,3.31,3.31,3.17,3.24,17030
60,2012-04-04,3.24,3.24,3.1,3.1,27020
61,2012-04-05,3.1,3.17,2.96,3.17,9430
62,2012-04-06,3.24,3.24,3.03,3.24,6370
63,2012-04-09,3.31,3.31,3.24,3.31,8600
64,2012-04-10,3.17,3.24,3.17,3.24,16710
65,2012-04-11,3.24,3.24,3.17,3.24,20590
66,2012-04-12,3.24,3.31,3.17,3.31,18000
67,2012-04-13,3.31,3.31,3.17,3.31,17130
68,2012-04-16,3.17,3.44,3.17,3.44,49780
69,2012-04-17,3.51,3.58,3.37,3.58,22890
70,2012-04-18,3.58,3.72,3.51,3.72,18050
71,2012-04-19,3.72,3.79,3.58,3.58,31200
72,2012-04-20,3.44,3.65,3.44,3.58,22070
73,2012-04-23,3.51,3.65,3.44,3.65,13380
74,2012-04-24,3.58,3.72,3.51,3.65,11080
75,2012-04-25,3.58,3.72,3.51,3.72,17670
76,2012-04-26,3.72,3.72,3.58,3.72,17940
77,2012-04-27,3.58,3.79,3.58,3.79,8130
78,2012-05-02,3.72,3.79,3.65,3.65,9550
79,2012-05-03,3.65,3.79,3.51,3.51,9690
80,2012-05-04,3.58,3.58,3.58,3.58,7030
81,2012-05-07,3.65,3.72,3.44,3.72,28520
82,2012-05-08,3.79,3.86,3.79,3.86,10100
83,2012-05-09,3.93,3.99,3.93,3.99,11080
84,2012-05-10,3.99,4.13,3.99,4.13,8430
85,2012-05-11,3.99,4.2,3.99,4.13,13960
86,2012-05-14,4.06,4.2,3.99,4.2,14930
87,2012-05-15,4.06,4.27,3.99,4.13,32910
88,2012-05-16,3.93,4.13,3.93,4.06,6660
89,2012-05-17,4.06,4.13,4.06,4.13,7320
90,2012-05-18,3.93,3.99,3.93,3.99,8030
91,2012-05-21,3.86,4.06,3.86,4.06,20010
92,2012-05-22,3.93,4.06,3.93,4.06,9370
93,2012-05-23,4.06,4.13,3.93,4.06,16900
94,2012-05-24,4.06,4.13,3.93,4.06,17850
95,2012-05-25,4.06,4.13,4.06,4.06,8500
96,2012-05-28,3.93,4.06,3.93,4.06,4010
97,2012-05-29,3.93,4.06,3.93,4.06,18460
98,2012-05-30,3.93,4.06,3.93,4.06,2570
99,2012-05-31,4.06,4.13,4.06,4.13,8240
100,2012-06-01,3.93,4.2,3.93,4.2,6230
101,2012-06-04,4.27,4.27,4.06,4.06,5100
102,2012-06-05,3.93,4.06,3.93,4.06,10000
103,2012-06-06,4.13,4.13,3.99,4.06,3050
104,2012-06-07,4.13,4.13,4.06,4.06,3090
105,2012-06-08,4.13,4.13,3.93,4.06,9850
106,2012-06-11,4.13,4.13,4.06,4.06,1100
107,2012-06-12,3.93,4.06,3.93,4.06,8410
108,2012-06-13,3.93,4.13,3.93,4.13,6110
109,2012-06-14,3.93,4.06,3.93,4.06,8100
110,2012-06-15,3.93,4.13,3.93,4.13,6600
111,2012-06-18,4.13,4.27,4.13,4.2,10240
112,2012-06-19,4.13,4.27,3.99,4.13,8210
113,2012-06-20,4.27,4.27,3.99,3.99,820
114,2012-06-21,3.93,3.93,3.93,3.93,950
115,2012-06-22,3.93,3.93,3.93,3.93,880
116,2012-06-25,3.93,3.93,3.86,3.93,6150
117,2012-06-26,4.06,4.06,3.93,3.93,150
118,2012-06-27,4.06,4.06,3.79,3.93,5690
119,2012-06-28,4.06,4.06,4.06,4.06,7000
120,2012-06-29,4.06,4.2,4.06,4.2,6100
121,2012-07-02,4.27,4.34,4.27,4.34,8900
122,2012-07-03,4.13,4.41,4.13,4.13,9600
123,2012-07-04,4.2,4.27,4.06,4.06,4480
124,2012-07-05,3.99,3.99,3.93,3.99,10190
125,2012-07-06,3.93,3.93,3.93,3.93,10
126,2012-07-09,3.93,4.06,3.93,4.06,1010
127,2012-07-10,4.2,4.2,4.2,4.2,10
128,2012-07-11,4.34,4.34,4.06,4.2,6520
129,2012-07-12,4.34,4.34,3.99,3.99,4970
130,2012-07-13,3.99,3.99,3.99,3.99,0
131,2012-07-16,4.13,4.13,4.13,4.13,10
132,2012-07-17,4.27,4.27,3.93,4.13,6130
133,2012-07-18,4.27,4.27,4.27,4.27,2020
134,2012-07-19,4.13,4.13,4.06,4.06,1400
135,2012-07-20,3.99,4.13,3.99,4.13,1000
136,2012-07-23,4.2,4.2,4.2,4.2,2000
