,time,open,high,low,close,volume
0,2013-01-21,4.52,4.87,4.52,4.83,4000
1,2013-01-22,4.83,4.83,4.83,4.83,100
2,2013-01-23,4.8,4.8,4.8,4.8,100
3,2013-01-24,4.8,4.8,4.8,4.8,100
4,2013-01-25,4.83,4.83,4.83,4.83,100
5,2013-01-28,4.83,4.83,4.83,4.83,0
6,2013-01-29,4.83,4.83,4.83,4.83,100
7,2013-01-30,4.8,4.83,4.8,4.83,600
8,2013-01-31,4.8,4.8,4.35,4.76,3700
9,2013-02-01,4.31,4.76,4.31,4.76,900
10,2013-02-04,4.76,4.76,4.76,4.76,0
11,2013-02-05,4.76,4.76,4.76,4.76,0
12,2013-02-06,4.76,4.76,4.76,4.76,0
13,2013-02-07,4.76,4.76,4.76,4.76,0
14,2013-02-08,4.76,4.76,4.76,4.76,100
15,2013-02-18,4.69,4.69,4.69,4.69,200
16,2013-02-19,4.35,4.35,4.35,4.35,100
17,2013-02-20,4.0,4.0,3.93,3.93,600
18,2013-02-21,3.55,3.55,3.55,3.55,100
19,2013-02-22,3.55,3.55,3.55,3.55,0
20,2013-02-25,3.55,3.55,3.55,3.55,0
21,2013-02-26,3.55,3.55,3.55,3.55,0
22,2013-02-27,3.55,3.55,3.55,3.55,0
23,2013-02-28,3.55,3.55,3.55,3.55,0
24,2013-03-01,3.55,3.55,3.55,3.55,0
25,2013-03-04,3.55,3.55,3.55,3.55,0
26,2013-03-05,3.2,3.2,3.2,3.2,5500
27,2013-03-06,2.89,2.89,2.89,2.89,5000
28,2013-03-07,2.61,2.61,2.61,2.61,4500
29,2013-03-08,2.36,2.36,2.36,2.36,5500
30,2013-03-11,2.16,2.26,2.16,2.16,7400
31,2013-03-12,2.02,2.02,1.95,1.95,8300
32,2013-03-13,1.77,1.98,1.77,1.88,3600
33,2013-03-14,1.74,2.05,1.74,2.05,4000
34,2013-03-15,2.23,2.23,2.09,2.23,13500
35,2013-03-18,2.43,2.43,2.29,2.4,4700
36,2013-03-19,2.57,2.57,2.5,2.54,1400
37,2013-03-20,2.71,2.71,2.61,2.61,8800
38,2013-03-21,2.36,2.36,2.36,2.36,3000
39,2013-03-22,2.29,2.54,2.29,2.54,4600
40,2013-03-25,2.36,2.71,2.36,2.71,7700
41,2013-03-26,2.71,2.71,2.36,2.68,4300
42,2013-03-27,2.43,2.43,2.43,2.43,4200
43,2013-03-28,2.19,2.68,2.19,2.68,1800
44,2013-03-29,2.68,2.68,2.68,2.68,0
45,2013-04-01,2.68,2.89,2.43,2.71,6000
46,2013-04-02,2.47,2.57,2.47,2.57,1600
47,2013-04-03,2.47,2.47,2.33,2.33,500
48,2013-04-04,2.4,2.4,2.36,2.36,300
49,2013-04-05,2.43,2.43,2.43,2.43,100
50,2013-04-08,2.43,2.43,2.43,2.43,100
51,2013-04-09,2.19,2.19,2.19,2.19,2000
52,2013-04-10,2.4,2.4,1.98,2.33,5600
53,2013-04-11,2.43,2.43,2.43,2.43,100
54,2013-04-12,2.5,2.5,2.5,2.5,100
55,2013-04-15,2.5,2.5,2.5,2.5,0
56,2013-04-16,2.5,2.61,2.5,2.61,1600
57,2013-04-17,2.61,2.61,2.61,2.61,0
58,2013-04-18,2.61,2.61,2.61,2.61,0
59,2013-04-22,2.36,2.36,2.36,2.36,100
60,2013-04-23,2.16,2.16,2.16,2.16,100
61,2013-04-24,2.36,2.36,1.95,2.29,3200
62,2013-04-25,2.29,2.29,2.29,2.29,0
63,2013-04-26,2.29,2.29,2.29,2.29,0
64,2013-05-02,2.47,2.47,2.09,2.47,3200
65,2013-05-03,2.57,2.57,2.57,2.57,2900
66,2013-05-06,2.57,2.57,2.57,2.57,100
67,2013-05-07,2.82,2.82,2.82,2.82,100
68,2013-05-08,2.96,2.96,2.96,2.96,100
69,2013-05-09,2.96,2.96,2.96,2.96,0
70,2013-05-10,2.96,2.96,2.96,2.96,0
71,2013-05-13,2.96,2.96,2.96,2.96,0
72,2013-05-14,2.96,2.96,2.96,2.96,0
73,2013-05-15,2.68,2.92,2.68,2.92,3200
74,2013-05-16,2.64,2.64,2.64,2.64,100
75,2013-05-17,2.64,2.64,2.64,2.64,0
76,2013-05-20,2.4,2.4,2.4,2.4,1000
77,2013-05-21,2.4,2.4,2.4,2.4,0
78,2013-05-22,2.19,2.19,2.19,2.19,1000
79,2013-05-23,2.02,2.02,1.98,1.98,1700
80,2013-05-24,1.98,1.98,1.98,1.98,0
81,2013-05-27,1.98,1.98,1.98,1.98,1000
82,2013-05-28,1.98,1.98,1.98,1.98,0
83,2013-05-29,1.98,1.98,1.98,1.98,0
84,2013-05-30,1.98,1.98,1.98,1.98,0
85,2013-05-31,1.98,1.98,1.98,1.98,0
86,2013-06-03,1.98,1.98,1.98,1.98,0
87,2013-06-04,1.98,1.98,1.98,1.98,0
88,2013-06-05,1.81,1.81,1.81,1.81,1000
89,2013-06-06,1.81,1.81,1.81,1.81,0
90,2013-06-07,1.81,1.81,1.81,1.81,0
91,2013-06-10,1.81,1.81,1.81,1.81,0
92,2013-06-11,1.81,1.81,1.81,1.81,0
93,2013-06-12,1.81,1.81,1.81,1.81,0
94,2013-06-13,1.74,1.74,1.74,1.74,100
95,2013-06-14,1.74,1.74,1.74,1.74,0
96,2013-06-17,1.74,1.74,1.74,1.74,700
97,2013-06-18,1.74,1.74,1.74,1.74,0
98,2013-06-19,1.74,1.74,1.74,1.74,0
99,2013-06-20,1.74,1.74,1.74,1.74,0
100,2013-06-21,1.74,1.74,1.74,1.74,0
101,2013-06-24,1.56,1.56,1.56,1.56,100
102,2013-06-25,1.56,1.56,1.56,1.56,0
103,2013-06-26,1.56,1.56,1.56,1.56,0
104,2013-06-27,1.56,1.56,1.56,1.56,0
105,2013-06-28,1.56,1.56,1.56,1.56,0
106,2013-07-01,1.56,1.56,1.56,1.56,0
107,2013-07-02,1.56,1.56,1.56,1.56,0
108,2013-07-03,1.43,1.43,1.43,1.43,1000
109,2013-07-04,1.43,1.43,1.43,1.43,0
110,2013-07-05,1.43,1.43,1.43,1.43,0
111,2013-07-08,1.43,1.43,1.43,1.43,0
112,2013-07-09,1.56,1.56,1.29,1.29,600
113,2013-07-10,1.29,1.29,1.29,1.29,0
114,2013-07-11,1.29,1.29,1.29,1.29,0
115,2013-07-12,1.29,1.29,1.29,1.29,0
116,2013-07-15,1.29,1.29,1.29,1.29,0
117,2013-07-16,1.18,1.18,1.18,1.18,6100
118,2013-07-17,1.18,1.18,1.18,1.18,0
119,2013-07-18,1.08,1.08,1.08,1.08,100
120,2013-07-19,1.18,1.18,1.04,1.18,300
121,2013-07-22,1.29,1.29,1.29,1.29,600
122,2013-07-23,1.18,1.32,1.18,1.18,700
123,2013-07-24,1.29,1.29,1.08,1.08,200
124,2013-07-25,1.15,1.15,1.11,1.11,2000
125,2013-07-26,1.11,1.11,1.11,1.11,0
126,2013-07-29,1.11,1.11,1.11,1.11,0
127,2013-07-30,1.11,1.11,1.11,1.11,0
128,2013-07-31,1.11,1.11,1.11,1.11,0
129,2013-08-01,1.22,1.22,1.22,1.22,100
130,2013-08-02,1.22,1.22,1.22,1.22,0
131,2013-08-05,1.32,1.32,1.22,1.22,200
132,2013-08-06,1.22,1.22,1.22,1.22,0
133,2013-08-07,1.22,1.22,1.22,1.22,0
134,2013-08-08,1.22,1.22,1.22,1.22,0
135,2013-08-09,1.32,1.32,1.32,1.32,100
136,2013-08-12,1.32,1.32,1.32,1.32,0
137,2013-08-13,1.22,1.36,1.22,1.36,300
