,time,open,high,low,close,volume
0,2012-01-03,3.27,3.54,3.27,3.54,885700
1,2012-01-04,3.54,3.72,3.54,3.72,1423400
2,2012-01-05,3.54,3.72,3.45,3.45,753500
3,2012-01-06,3.45,3.54,3.36,3.45,820200
4,2012-01-09,3.36,3.45,3.27,3.27,1126400
5,2012-01-10,3.17,3.45,3.17,3.45,481400
6,2012-01-11,3.45,3.54,3.45,3.54,1151600
7,2012-01-12,3.45,3.54,3.36,3.36,546600
8,2012-01-13,3.36,3.54,3.36,3.45,578400
9,2012-01-16,3.45,3.63,3.45,3.63,998500
10,2012-01-17,3.63,3.63,3.45,3.45,568700
11,2012-01-18,3.54,3.63,3.45,3.54,454500
12,2012-01-19,3.54,3.72,3.54,3.72,731100
13,2012-01-20,3.81,3.9,3.72,3.72,1084200
14,2012-01-30,3.72,3.9,3.63,3.72,813700
15,2012-01-31,3.72,3.9,3.63,3.81,1393600
16,2012-02-01,3.81,3.9,3.63,3.81,908500
17,2012-02-02,3.9,3.9,3.81,3.9,244700
18,2012-02-03,4.17,4.17,4.08,4.17,3262800
19,2012-02-06,4.35,4.44,4.17,4.44,1949200
20,2012-02-07,4.53,4.63,4.35,4.63,1970500
21,2012-02-08,4.9,4.9,4.9,4.9,472600
22,2012-02-09,4.9,5.17,4.9,5.08,3464500
23,2012-02-10,4.99,4.99,4.81,4.81,1830500
24,2012-02-13,4.53,4.63,4.53,4.53,803100
25,2012-02-14,4.26,4.63,4.26,4.53,1816600
26,2012-02-15,4.53,4.53,4.17,4.17,1626300
27,2012-02-16,4.17,4.17,3.9,4.08,1343400
28,2012-02-17,4.08,4.35,4.08,4.35,1325100
29,2012-02-20,4.44,4.53,4.44,4.53,141300
30,2012-02-21,4.81,4.81,4.63,4.63,3767500
31,2012-02-22,4.53,5.08,4.53,4.99,2935800
32,2012-02-23,4.99,5.17,4.99,5.17,1645600
33,2012-02-24,5.26,5.35,5.08,5.26,2563500
34,2012-02-27,5.17,5.62,5.08,5.62,2208400
35,2012-02-28,5.8,5.8,5.17,5.44,4217400
36,2012-02-29,5.35,5.71,5.26,5.62,1850200
37,2012-03-01,5.44,5.44,5.08,5.08,1571100
38,2012-03-02,4.81,5.26,4.81,5.17,6803100
39,2012-03-05,5.17,5.17,4.99,5.17,452100
40,2012-03-06,5.44,5.44,4.99,5.17,3036900
41,2012-03-07,5.17,5.17,4.9,4.99,1544100
42,2012-03-08,4.81,4.99,4.72,4.72,2774800
43,2012-03-09,4.72,4.9,4.53,4.63,1720000
44,2012-03-12,4.72,4.72,4.44,4.44,1245100
45,2012-03-13,4.44,4.72,4.44,4.72,877300
46,2012-03-14,4.9,4.9,4.53,4.63,730200
47,2012-03-15,4.72,4.99,4.44,4.99,1459100
48,2012-03-16,5.08,5.17,4.99,5.17,3176100
49,2012-03-19,4.9,4.9,4.9,4.9,56500
50,2012-03-20,4.63,4.63,4.63,4.63,29800
51,2012-03-21,4.35,4.35,4.35,4.35,69600
52,2012-03-22,4.08,4.08,4.08,4.08,12700
53,2012-03-23,3.81,3.81,3.81,3.81,27400
54,2012-03-26,3.63,3.63,3.63,3.63,199500
55,2012-03-27,3.45,3.45,3.45,3.45,136900
56,2012-03-28,3.27,3.27,3.27,3.27,37200
57,2012-03-29,3.08,3.08,3.08,3.08,46300
58,2012-03-30,2.9,2.9,2.9,2.9,19800
59,2012-04-03,2.72,2.72,2.72,2.72,136400
60,2012-04-04,2.54,2.9,2.54,2.9,10939300
61,2012-04-05,3.08,3.08,2.72,2.72,2859800
62,2012-04-06,2.63,2.72,2.54,2.54,1163500
63,2012-04-09,2.45,2.63,2.45,2.63,875500
64,2012-04-10,2.45,2.63,2.45,2.45,4220500
65,2012-04-11,2.45,2.54,2.36,2.54,3017500
66,2012-04-12,2.63,2.63,2.54,2.63,900700
67,2012-04-13,2.45,2.63,2.45,2.45,1833500
68,2012-04-16,2.36,2.45,2.36,2.36,2000400
69,2012-04-17,2.27,2.36,2.27,2.27,765900
70,2012-04-18,2.18,2.18,2.18,2.18,94600
71,2012-04-19,2.09,2.09,2.09,2.09,28600
72,2012-04-20,2.0,2.0,2.0,2.0,12500
73,2012-04-23,1.9,1.9,1.9,1.9,48500
74,2012-04-24,1.81,1.81,1.81,1.81,79500
75,2012-04-25,1.72,1.9,1.72,1.9,4615400
76,2012-04-26,2.0,2.0,1.9,2.0,742800
77,2012-04-27,2.09,2.09,2.09,2.09,148200
78,2012-05-02,2.18,2.18,2.18,2.18,166400
79,2012-05-03,2.27,2.27,2.09,2.09,2653500
80,2012-05-04,2.09,2.09,2.0,2.0,1513700
81,2012-05-07,2.09,2.09,1.9,2.09,1437500
82,2012-05-08,2.0,2.0,1.9,1.9,1479500
83,2012-05-09,1.9,1.9,1.81,1.9,1097300
84,2012-05-10,1.9,2.0,1.81,2.0,914100
85,2012-05-11,2.0,2.0,1.81,2.0,1333200
86,2012-05-14,2.09,2.09,1.9,2.0,918300
87,2012-05-15,2.0,2.0,1.9,1.9,529600
88,2012-05-16,1.81,1.9,1.81,1.9,682800
89,2012-05-17,1.81,1.9,1.72,1.81,587700
90,2012-05-18,1.81,1.81,1.72,1.72,678700
91,2012-05-21,1.72,1.81,1.63,1.81,442700
92,2012-05-22,1.81,1.9,1.72,1.72,684700
93,2012-05-23,1.81,1.81,1.63,1.63,459200
94,2012-05-24,1.54,1.63,1.54,1.54,452900
95,2012-05-25,1.54,1.63,1.54,1.63,583100
96,2012-05-28,1.63,1.72,1.54,1.54,482900
97,2012-05-29,1.45,1.54,1.45,1.45,542900
98,2012-05-30,1.45,1.54,1.45,1.54,581400
99,2012-05-31,1.63,1.63,1.54,1.63,820300
100,2012-06-01,1.72,1.72,1.72,1.72,167500
101,2012-06-04,1.81,1.81,1.81,1.81,182400
102,2012-06-05,1.9,1.9,1.9,1.9,241400
103,2012-06-06,2.0,2.0,2.0,2.0,156300
104,2012-06-07,2.09,2.09,2.09,2.09,154900
105,2012-06-08,2.18,2.18,2.0,2.0,3006900
106,2012-06-11,1.9,2.09,1.9,2.0,1464700
107,2012-06-12,2.0,2.09,1.9,1.9,814200
108,2012-06-13,1.9,2.0,1.81,2.0,491000
109,2012-06-14,2.0,2.0,2.0,2.0,454900
110,2012-06-15,2.09,2.09,2.09,2.09,569800
111,2012-06-18,2.18,2.18,2.0,2.09,2428500
112,2012-06-19,2.09,2.09,2.0,2.0,758100
113,2012-06-20,2.0,2.09,1.9,2.0,613500
114,2012-06-21,2.0,2.09,2.0,2.09,327800
115,2012-06-22,1.9,2.09,1.9,2.0,1239800
116,2012-06-25,2.0,2.0,1.9,1.9,402500
117,2012-06-26,1.81,1.81,1.81,1.81,160200
118,2012-06-27,1.72,1.81,1.72,1.72,1073300
119,2012-06-28,1.72,1.81,1.63,1.72,835600
120,2012-06-29,1.72,1.81,1.63,1.81,324800
121,2012-07-02,1.81,1.81,1.72,1.72,332100
122,2012-07-03,1.72,1.72,1.63,1.63,802900
123,2012-07-04,1.63,1.72,1.54,1.72,238500
124,2012-07-05,1.63,1.72,1.63,1.72,567700
125,2012-07-06,1.81,1.81,1.81,1.81,772000
126,2012-07-09,1.9,1.9,1.72,1.72,318600
127,2012-07-10,1.63,1.72,1.63,1.72,130200
128,2012-07-11,1.72,1.81,1.63,1.81,160400
129,2012-07-12,1.81,1.9,1.72,1.81,759600
