,time,open,high,low,close,volume
0,2012-01-03,0.67,0.69,0.63,0.65,516900
1,2012-01-04,0.63,0.65,0.61,0.61,458000
2,2012-01-05,0.61,0.63,0.59,0.59,367200
3,2012-01-06,0.59,0.59,0.55,0.57,409800
4,2012-01-09,0.57,0.59,0.57,0.59,397300
5,2012-01-10,0.61,0.63,0.61,0.63,316300
6,2012-01-11,0.67,0.67,0.63,0.63,450100
7,2012-01-12,0.61,0.63,0.61,0.61,214500
8,2012-01-13,0.59,0.65,0.59,0.63,457900
9,2012-01-16,0.61,0.65,0.61,0.65,450500
10,2012-01-17,0.65,0.65,0.61,0.61,194900
11,2012-01-18,0.61,0.65,0.61,0.65,135900
12,2012-01-19,0.63,0.67,0.63,0.67,624000
13,2012-01-20,0.67,0.69,0.63,0.63,1045600
14,2012-01-30,0.67,0.67,0.63,0.65,210600
15,2012-01-31,0.65,0.69,0.65,0.67,567100
16,2012-02-01,0.67,0.67,0.65,0.65,433300
17,2012-02-02,0.65,0.69,0.65,0.69,517000
18,2012-02-03,0.74,0.74,0.67,0.69,879700
19,2012-02-06,0.67,0.69,0.67,0.67,475900
20,2012-02-07,0.67,0.71,0.67,0.69,999300
21,2012-02-08,0.71,0.74,0.69,0.74,643600
22,2012-02-09,0.74,0.76,0.69,0.74,1359700
23,2012-02-10,0.74,0.74,0.71,0.71,514000
24,2012-02-13,0.69,0.69,0.67,0.67,425000
25,2012-02-14,0.67,0.69,0.67,0.69,465800
26,2012-02-15,0.69,0.71,0.65,0.65,465700
27,2012-02-16,0.63,0.67,0.63,0.65,277800
28,2012-02-17,0.65,0.67,0.65,0.67,173300
29,2012-02-20,0.71,0.71,0.69,0.71,850100
30,2012-02-21,0.76,0.76,0.71,0.74,1768500
31,2012-02-22,0.74,0.8,0.71,0.78,845000
32,2012-02-23,0.76,0.8,0.76,0.8,924300
33,2012-02-24,0.82,0.84,0.82,0.82,1430600
34,2012-02-27,0.82,0.88,0.82,0.88,1308900
35,2012-02-28,0.88,0.94,0.86,0.88,2820300
36,2012-02-29,0.94,0.98,0.86,0.98,2002600
37,2012-03-01,1.0,1.0,0.96,1.0,1680600
38,2012-03-02,1.06,1.06,1.04,1.06,1294500
39,2012-03-05,1.12,1.12,1.12,1.12,103300
40,2012-03-06,1.18,1.18,1.06,1.16,4239300
41,2012-03-07,1.23,1.23,1.1,1.21,3024000
42,2012-03-08,1.08,1.21,1.08,1.16,2664600
43,2012-03-09,1.14,1.23,1.1,1.12,851700
44,2012-03-12,1.12,1.12,1.08,1.08,1077400
45,2012-03-13,1.04,1.12,1.02,1.1,1299800
46,2012-03-14,1.06,1.12,1.02,1.02,1649800
47,2012-03-15,1.0,1.1,0.98,1.1,1953200
48,2012-03-16,1.12,1.12,1.12,1.12,1217400
49,2012-03-19,1.12,1.18,1.08,1.18,3807900
50,2012-03-20,1.18,1.23,1.16,1.23,1639200
51,2012-03-21,1.29,1.29,1.27,1.29,596500
52,2012-03-22,1.37,1.37,1.31,1.37,2876000
53,2012-03-23,1.41,1.41,1.29,1.37,3125400
54,2012-03-26,1.37,1.43,1.31,1.39,3122300
55,2012-03-27,1.37,1.39,1.31,1.31,1483000
56,2012-03-28,1.23,1.33,1.23,1.29,2164200
57,2012-03-29,1.27,1.33,1.21,1.21,1705500
58,2012-03-30,1.21,1.21,1.12,1.12,2512100
59,2012-04-03,1.12,1.18,1.1,1.18,1212900
60,2012-04-04,1.25,1.27,1.23,1.27,3290100
61,2012-04-05,1.25,1.33,1.21,1.33,2637600
62,2012-04-06,1.39,1.41,1.33,1.37,2639000
63,2012-04-09,1.39,1.45,1.35,1.45,2487200
64,2012-04-10,1.49,1.53,1.41,1.45,3923200
65,2012-04-11,1.49,1.53,1.41,1.45,2120100
66,2012-04-12,1.47,1.49,1.41,1.43,2499000
67,2012-04-13,1.41,1.51,1.39,1.51,5458700
68,2012-04-16,1.59,1.61,1.53,1.61,1755000
69,2012-04-17,1.7,1.72,1.63,1.65,3418900
70,2012-04-18,1.65,1.7,1.59,1.63,2794700
71,2012-04-19,1.61,1.61,1.51,1.51,2714000
72,2012-04-20,1.45,1.57,1.45,1.51,2832600
73,2012-04-23,1.51,1.59,1.51,1.55,1737100
74,2012-04-24,1.53,1.63,1.51,1.61,1566700
75,2012-04-25,1.59,1.67,1.59,1.63,1616600
76,2012-04-26,1.65,1.65,1.55,1.55,1824300
77,2012-04-27,1.53,1.59,1.53,1.57,1161500
78,2012-05-02,1.57,1.59,1.49,1.49,1526600
79,2012-05-03,1.47,1.59,1.47,1.59,2351000
80,2012-05-04,1.7,1.7,1.63,1.7,2684000
81,2012-05-07,1.78,1.8,1.78,1.8,880300
82,2012-05-08,1.9,1.92,1.76,1.78,4284500
83,2012-05-09,1.76,1.88,1.74,1.82,2044700
84,2012-05-10,1.86,1.88,1.74,1.78,2079900
85,2012-05-11,1.76,1.86,1.76,1.84,2406400
86,2012-05-14,1.84,1.84,1.7,1.7,2106400
