,time,open,high,low,close,volume
0,2016-01-07,2.64,2.64,2.64,2.64,0
1,2016-01-08,2.64,2.64,2.64,2.64,0
2,2016-01-11,2.64,2.64,2.64,2.64,0
3,2016-01-12,2.64,2.64,2.64,2.64,0
4,2016-01-13,2.64,2.64,2.64,2.64,0
5,2016-01-14,2.64,2.64,2.64,2.64,0
6,2016-01-15,2.64,2.64,2.64,2.64,0
7,2016-01-18,2.64,2.64,2.64,2.64,0
8,2016-01-19,2.64,2.64,2.64,2.64,0
9,2016-01-20,2.64,2.64,2.64,2.64,0
10,2016-01-21,2.64,2.64,2.64,2.64,0
11,2016-01-22,2.64,2.64,2.64,2.64,0
12,2016-01-25,2.64,2.64,2.64,2.64,0
13,2016-01-26,2.64,2.64,2.64,2.64,0
14,2016-01-27,2.64,2.64,2.64,2.64,0
15,2016-01-28,2.64,2.64,2.64,2.64,0
16,2016-01-29,2.64,2.64,2.64,2.64,0
17,2016-02-01,2.64,2.64,2.64,2.64,0
18,2016-02-02,2.64,2.64,2.64,2.64,0
19,2016-02-03,2.64,2.64,2.64,2.64,14
20,2016-02-04,2.64,2.64,2.64,2.64,0
21,2016-02-05,2.64,2.64,2.64,2.64,0
22,2016-02-15,2.64,2.64,2.64,2.64,0
23,2016-02-16,2.64,2.64,2.64,2.64,0
24,2016-02-17,2.64,2.64,2.64,2.64,0
25,2016-02-18,2.64,2.64,2.64,2.64,0
26,2016-02-19,2.64,2.64,2.64,2.64,0
27,2016-02-22,2.64,2.64,2.64,2.64,0
28,2016-02-23,2.64,2.64,2.64,2.64,0
29,2016-02-24,2.64,2.64,2.64,2.64,0
30,2016-02-25,2.64,2.64,2.64,2.64,0
31,2016-02-26,2.64,2.64,2.64,2.64,54
32,2016-02-29,2.89,2.89,2.89,2.89,100
33,2016-03-01,2.89,2.89,2.89,2.89,0
34,2016-03-02,2.89,2.89,2.89,2.89,0
35,2016-03-03,2.78,2.78,2.78,2.78,100
36,2016-03-04,2.78,2.78,2.78,2.78,0
37,2016-03-07,2.78,2.78,2.78,2.78,0
38,2016-03-08,2.78,2.78,2.78,2.78,60
39,2016-03-09,2.78,2.78,2.78,2.78,0
40,2016-03-10,2.78,2.78,2.78,2.78,0
41,2016-03-11,2.78,2.78,2.78,2.78,0
42,2016-03-14,2.78,2.78,2.78,2.78,9
43,2016-03-15,2.78,2.78,2.78,2.78,0
44,2016-03-16,2.78,2.78,2.78,2.78,0
45,2016-03-17,2.78,2.78,2.78,2.78,64
46,2016-03-18,2.78,2.78,2.78,2.78,0
47,2016-03-21,2.78,2.78,2.78,2.78,0
48,2016-03-22,2.78,2.78,2.78,2.78,0
49,2016-03-23,2.78,2.78,2.78,2.78,100
50,2016-03-24,2.78,2.78,2.78,2.78,0
51,2016-03-25,2.78,2.78,2.78,2.78,0
52,2016-03-28,2.78,2.78,2.78,2.78,0
53,2016-03-29,2.78,2.78,2.78,2.78,0
54,2016-03-30,2.78,2.78,2.78,2.78,2000
55,2016-03-31,2.5,2.5,2.5,2.5,2000
56,2016-04-01,2.5,2.5,2.5,2.5,0
57,2016-04-04,2.5,2.5,2.5,2.5,0
58,2016-04-05,2.25,2.25,2.25,2.25,1400
59,2016-04-06,2.25,2.36,2.25,2.36,600
60,2016-04-07,2.58,2.58,2.58,2.58,400
61,2016-04-08,2.58,2.58,2.58,2.58,500
62,2016-04-11,2.58,2.58,2.58,2.58,0
63,2016-04-12,2.58,2.58,2.58,2.58,0
64,2016-04-13,2.58,2.58,2.58,2.58,200
65,2016-04-14,2.58,2.58,2.58,2.58,0
66,2016-04-15,2.58,2.58,2.58,2.58,0
67,2016-04-19,2.58,2.58,2.58,2.58,0
68,2016-04-20,2.58,2.58,2.58,2.58,0
69,2016-04-21,2.58,2.58,2.58,2.58,0
70,2016-04-22,2.58,2.58,2.58,2.58,0
71,2016-04-25,2.58,2.58,2.58,2.58,0
72,2016-04-26,2.75,2.75,2.75,2.75,100
73,2016-04-27,2.75,2.75,2.75,2.75,0
74,2016-04-28,2.75,2.75,2.75,2.75,0
75,2016-04-29,2.5,2.5,2.5,2.5,1100
76,2016-05-04,2.5,2.5,2.5,2.5,0
77,2016-05-05,2.5,2.5,2.5,2.5,0
78,2016-05-06,2.5,2.5,2.5,2.5,0
79,2016-05-09,2.5,2.5,2.5,2.5,0
80,2016-05-10,2.5,2.5,2.5,2.5,300
