,time,open,high,low,close,volume
0,2012-01-03,4.5,4.5,4.45,4.5,4300
1,2012-01-04,4.56,4.56,4.56,4.56,100
2,2012-01-05,4.81,4.81,4.81,4.81,100
3,2012-01-06,4.81,4.81,4.81,4.81,5000
4,2012-01-09,5.12,5.12,5.12,5.12,200
5,2012-01-10,4.86,4.86,4.86,4.86,500
6,2012-01-11,4.56,4.86,4.56,4.86,2100
7,2012-01-12,4.81,4.81,4.56,4.56,400
8,2012-01-13,4.86,4.86,4.86,4.86,200
9,2012-01-16,4.81,4.86,4.81,4.81,600
10,2012-01-17,4.86,4.86,4.56,4.56,500
11,2012-01-18,4.81,4.81,4.61,4.61,200
12,2012-01-19,5.02,5.02,4.71,4.81,700
13,2012-01-20,4.81,4.81,4.81,4.81,0
14,2012-01-30,4.5,4.5,4.5,4.5,18000
15,2012-01-31,4.66,4.66,4.66,4.66,2000
16,2012-02-01,4.4,4.61,4.4,4.56,2500
17,2012-02-02,4.76,4.81,4.3,4.76,4400
18,2012-02-03,4.76,4.76,4.5,4.5,7300
19,2012-02-06,4.61,4.66,4.5,4.66,700
20,2012-02-07,4.86,4.86,4.4,4.4,2500
21,2012-02-08,4.71,4.71,4.61,4.71,23400
22,2012-02-09,4.86,4.86,4.61,4.66,16400
23,2012-02-10,4.86,4.86,4.5,4.5,2300
24,2012-02-13,4.45,4.45,4.45,4.45,3000
25,2012-02-14,4.76,4.76,4.5,4.5,1100
26,2012-02-15,4.66,4.66,4.4,4.4,600
27,2012-02-16,4.66,4.66,4.66,4.66,1500
28,2012-02-17,4.96,4.96,4.96,4.96,2700
29,2012-02-20,5.27,5.27,5.27,5.27,27300
30,2012-02-21,5.63,5.63,5.63,5.63,63000
31,2012-02-22,5.99,5.99,5.83,5.99,37400
32,2012-02-23,5.99,6.24,5.99,6.14,21800
33,2012-02-24,6.24,6.24,5.89,5.89,24500
34,2012-02-27,5.63,6.14,5.63,5.94,33100
35,2012-02-28,6.04,6.04,5.53,5.63,49200
36,2012-02-29,5.48,5.78,5.48,5.48,1400
37,2012-03-01,5.6,5.6,5.42,5.42,9000
38,2012-03-02,5.84,5.84,5.24,5.48,1100
39,2012-03-05,5.78,5.96,5.78,5.96,35700
40,2012-03-06,6.26,6.26,5.6,5.6,7800
41,2012-03-07,5.42,5.9,5.42,5.9,23400
42,2012-03-08,5.42,5.42,5.42,5.42,7500
43,2012-03-09,5.3,5.3,5.06,5.06,1100
44,2012-03-12,5.36,5.36,5.12,5.12,5600
45,2012-03-13,5.42,5.42,5.12,5.24,5700
46,2012-03-14,5.54,5.54,5.06,5.3,4100
47,2012-03-15,5.36,5.36,4.94,5.3,2700
48,2012-03-16,5.42,5.42,5.24,5.3,8400
49,2012-03-19,5.3,5.42,5.3,5.42,7200
50,2012-03-20,5.36,5.42,5.36,5.42,10400
51,2012-03-21,5.78,5.78,5.48,5.48,18100
52,2012-03-22,5.42,5.48,5.36,5.36,13100
53,2012-03-23,5.12,5.66,5.12,5.54,15900
54,2012-03-26,5.84,5.84,5.54,5.84,33700
55,2012-03-27,6.02,6.02,5.54,5.84,5600
56,2012-03-28,5.84,5.84,5.84,5.84,0
57,2012-03-29,5.96,5.96,5.48,5.48,19400
58,2012-03-30,5.78,5.78,5.18,5.48,1700
59,2012-04-03,5.72,5.72,5.18,5.18,2400
60,2012-04-04,5.48,5.48,5.18,5.36,3700
61,2012-04-05,5.36,5.36,5.18,5.36,6300
62,2012-04-06,5.3,5.42,5.3,5.42,1000
63,2012-04-09,5.42,5.42,5.42,5.42,0
64,2012-04-10,5.6,5.6,5.42,5.48,8100
65,2012-04-11,5.54,5.66,5.48,5.66,10200
66,2012-04-12,5.84,5.84,5.72,5.84,21800
