,time,open,high,low,close,volume
0,2012-01-03,1.54,1.56,1.52,1.52,40990
1,2012-01-04,1.52,1.52,1.52,1.52,12500
2,2012-01-05,1.54,1.54,1.52,1.54,3110
3,2012-01-06,1.52,1.52,1.52,1.52,20
4,2012-01-09,1.52,1.54,1.52,1.54,9180
5,2012-01-10,1.49,1.56,1.49,1.56,1010
6,2012-01-11,1.56,1.57,1.56,1.57,4820
7,2012-01-12,1.57,1.57,1.54,1.54,15410
8,2012-01-13,1.6,1.6,1.59,1.59,20
9,2012-01-16,1.6,1.6,1.6,1.6,10
10,2012-01-17,1.6,1.6,1.59,1.6,11050
11,2012-01-18,1.59,1.6,1.59,1.6,9120
12,2012-01-19,1.6,1.62,1.6,1.62,1100
13,2012-01-20,1.62,1.67,1.57,1.65,6730
14,2012-01-30,1.65,1.65,1.65,1.65,0
15,2012-01-31,1.67,1.67,1.67,1.67,1450
16,2012-02-01,1.59,1.72,1.59,1.68,130
17,2012-02-02,1.73,1.73,1.62,1.67,7520
18,2012-02-03,1.62,1.64,1.6,1.64,5050
19,2012-02-06,1.65,1.65,1.65,1.65,10
20,2012-02-07,1.62,1.65,1.62,1.65,610
21,2012-02-08,1.65,1.65,1.62,1.65,1440
22,2012-02-09,1.65,1.65,1.65,1.65,100
23,2012-02-10,1.65,1.65,1.62,1.64,4600
24,2012-02-13,1.65,1.65,1.6,1.62,18300
25,2012-02-14,1.6,1.7,1.6,1.7,58270
26,2012-02-15,1.7,1.7,1.68,1.68,12200
27,2012-02-16,1.68,1.72,1.68,1.72,144160
28,2012-02-17,1.7,1.7,1.7,1.7,4880
29,2012-02-20,1.7,1.76,1.7,1.76,40970
30,2012-02-21,1.75,1.83,1.75,1.81,8090
31,2012-02-22,1.81,1.81,1.81,1.81,30
32,2012-02-23,1.76,1.76,1.75,1.75,1530
33,2012-02-24,1.76,1.78,1.76,1.78,8860
34,2012-02-27,1.78,1.8,1.7,1.78,7570
35,2012-02-28,1.78,1.78,1.73,1.75,15840
36,2012-02-29,1.7,1.75,1.7,1.7,23560
37,2012-03-01,1.7,1.72,1.7,1.72,6000
38,2012-03-02,1.8,1.8,1.72,1.78,5310
39,2012-03-05,1.84,1.86,1.84,1.86,30770
