,time,open,high,low,close,volume
0,2012-01-03,1.36,1.36,1.29,1.29,400
1,2012-01-04,1.29,1.29,1.22,1.22,6100
2,2012-01-05,1.25,1.36,1.22,1.36,5300
3,2012-01-06,1.4,1.42,1.4,1.42,7200
4,2012-01-09,1.49,1.49,1.49,1.49,8400
5,2012-01-10,1.53,1.53,1.53,1.53,1000
6,2012-01-11,1.53,1.53,1.53,1.53,0
7,2012-01-12,1.47,1.47,1.47,1.47,500
8,2012-01-13,1.4,1.53,1.4,1.4,2100
9,2012-01-16,1.55,1.55,1.55,1.55,100
10,2012-01-17,1.49,1.55,1.49,1.55,600
11,2012-01-18,1.53,1.55,1.53,1.55,800
12,2012-01-19,1.55,1.6,1.55,1.6,8400
13,2012-01-20,1.6,1.6,1.6,1.6,0
14,2012-01-30,1.64,1.64,1.64,1.64,100
15,2012-01-31,1.68,1.68,1.68,1.68,1500
16,2012-02-01,1.71,1.71,1.71,1.71,100
17,2012-02-02,1.71,1.73,1.71,1.71,6700
18,2012-02-03,1.71,1.71,1.6,1.64,15300
19,2012-02-06,1.53,1.53,1.53,1.53,2000
20,2012-02-07,1.44,1.53,1.44,1.49,35600
21,2012-02-08,1.49,1.55,1.49,1.55,6300
22,2012-02-09,1.53,1.53,1.47,1.51,3100
23,2012-02-10,1.53,1.53,1.53,1.53,300
24,2012-02-13,1.44,1.47,1.44,1.47,10500
25,2012-02-14,1.49,1.49,1.44,1.44,1000
26,2012-02-15,1.44,1.44,1.44,1.44,3000
27,2012-02-16,1.49,1.49,1.49,1.49,3100
28,2012-02-17,1.49,1.51,1.44,1.44,4500
29,2012-02-20,1.57,1.57,1.53,1.57,32300
30,2012-02-21,1.66,1.66,1.53,1.53,6900
31,2012-02-22,1.6,1.64,1.6,1.64,42100
32,2012-02-23,1.73,1.75,1.66,1.75,23900
33,2012-02-24,1.81,1.81,1.77,1.79,27300
34,2012-02-27,1.75,1.86,1.75,1.81,20400
35,2012-02-28,1.92,1.92,1.71,1.71,10700
36,2012-02-29,1.75,1.75,1.68,1.75,18500
37,2012-03-01,1.64,1.77,1.64,1.71,9500
38,2012-03-02,1.64,1.75,1.64,1.71,44200
39,2012-03-05,1.81,1.81,1.81,1.81,10400
40,2012-03-06,1.92,1.92,1.81,1.81,72000
41,2012-03-07,1.88,1.88,1.75,1.79,39400
42,2012-03-08,1.79,1.79,1.71,1.71,14500
43,2012-03-09,1.79,1.79,1.66,1.71,11500
44,2012-03-12,1.75,1.75,1.66,1.68,16000
45,2012-03-13,1.64,1.73,1.64,1.73,14600
46,2012-03-14,1.71,1.71,1.68,1.71,4600
47,2012-03-15,1.66,1.77,1.66,1.77,15600
48,2012-03-16,1.77,1.84,1.77,1.84,63900
49,2012-03-19,1.75,1.79,1.75,1.75,22700
50,2012-03-20,1.75,1.81,1.75,1.81,26000
51,2012-03-21,1.81,1.88,1.79,1.86,33100
52,2012-03-22,1.86,1.86,1.84,1.84,9300
53,2012-03-23,1.84,1.92,1.84,1.92,49100
54,2012-03-26,2.06,2.06,1.86,2.06,81800
