,time,open,high,low,close,volume
0,2014-07-08,6.05,6.05,6.05,6.05,2680
1,2014-07-09,6.46,6.46,6.46,6.46,100
2,2014-07-10,6.92,6.92,6.92,6.92,2640
3,2014-07-11,7.39,7.39,7.39,7.39,21660
4,2014-07-14,7.89,7.89,6.9,6.97,6870
5,2014-07-15,7.45,7.45,7.44,7.45,8860
6,2014-07-16,7.98,7.98,7.89,7.96,17270
7,2014-07-17,7.99,7.99,7.79,7.99,2360
8,2014-07-18,8.51,8.51,7.99,8.34,4950
9,2014-07-21,7.87,8.69,7.87,8.57,13880
10,2014-07-22,8.67,8.67,8.25,8.48,2340
11,2014-07-23,8.51,8.51,8.34,8.48,2380
12,2014-07-24,8.38,8.51,7.96,7.96,10370
13,2014-07-25,8.17,8.17,7.56,7.94,5270
14,2014-07-28,7.87,7.99,7.4,7.94,3280
15,2014-07-29,7.99,7.99,7.47,7.96,5180
16,2014-07-30,7.99,7.99,7.82,7.99,3190
17,2014-07-31,7.99,8.12,7.85,7.94,3910
18,2014-08-01,7.96,7.99,7.82,7.99,2270
19,2014-08-04,7.98,8.2,7.98,8.2,9860
20,2014-08-05,8.12,8.51,8.12,8.48,15420
21,2014-08-06,8.48,8.48,8.17,8.25,3250
22,2014-08-07,8.31,8.31,8.31,8.31,760
23,2014-08-08,8.1,8.34,8.08,8.24,1790
24,2014-08-11,8.32,8.39,8.1,8.39,8400
25,2014-08-12,8.18,8.34,7.99,8.34,3550
26,2014-08-13,8.34,8.34,7.99,8.27,3320
27,2014-08-14,8.25,8.27,8.18,8.27,1140
28,2014-08-15,7.99,8.25,7.99,7.99,860
29,2014-08-18,7.99,8.22,7.99,8.17,4770
30,2014-08-19,8.1,8.1,8.1,8.1,200
31,2014-08-20,7.92,7.94,7.75,7.75,10570
32,2014-08-21,7.89,7.91,7.79,7.91,1550
33,2014-08-22,7.96,7.98,7.73,7.91,12400
34,2014-08-25,7.91,7.91,7.73,7.79,8370
35,2014-08-26,7.94,8.03,7.65,7.8,11220
36,2014-08-27,7.65,7.72,7.47,7.68,12060
37,2014-08-28,7.7,7.8,7.65,7.8,2190
38,2014-08-29,7.68,7.8,7.58,7.8,4600
39,2014-09-03,7.8,7.8,7.77,7.77,7870
40,2014-09-04,8.05,8.25,7.79,7.94,32700
41,2014-09-05,8.06,8.06,7.82,7.92,13480
42,2014-09-08,8.1,8.13,7.96,8.13,10300
43,2014-09-09,7.99,7.99,7.94,7.96,15060
44,2014-09-10,7.82,7.96,7.82,7.96,32290
45,2014-09-11,7.96,8.06,7.96,8.05,3440
46,2014-09-12,8.05,8.43,8.05,8.17,36320
47,2014-09-15,8.34,8.36,8.2,8.34,19740
48,2014-09-16,8.33,8.75,8.33,8.75,20230
49,2014-09-17,8.78,8.94,8.53,8.73,4350
50,2014-09-18,8.71,8.71,8.33,8.51,9910
51,2014-09-19,8.19,8.45,8.19,8.45,2530
52,2014-09-22,8.33,8.59,8.33,8.59,3230
53,2014-09-23,8.45,8.57,8.33,8.33,4140
54,2014-09-24,8.33,8.53,8.33,8.35,2760
55,2014-09-25,8.35,8.43,8.33,8.35,8710
56,2014-09-26,8.51,8.51,8.33,8.51,3100
57,2014-09-29,8.47,8.49,8.45,8.49,1630
58,2014-09-30,8.43,8.53,8.43,8.53,490
59,2014-10-01,8.53,9.06,8.53,8.94,44420
60,2014-10-02,9.04,9.04,8.63,9.04,4070
