,time,open,high,low,close,volume
0,2012-10-16,4.42,5.4,4.42,5.4,8100
1,2012-10-17,5.4,5.4,5.4,5.4,0
2,2012-10-18,5.76,5.76,5.76,5.76,1400
3,2012-10-19,6.16,6.16,6.16,6.16,2400
4,2012-10-22,6.58,6.58,6.42,6.58,6800
5,2012-10-23,6.14,6.14,6.14,6.14,3200
6,2012-10-24,5.76,5.76,5.76,5.76,600
7,2012-10-25,5.42,5.42,5.38,5.38,2300
8,2012-10-26,5.52,5.52,5.38,5.38,200
9,2012-10-29,5.38,5.38,5.38,5.38,0
10,2012-10-30,5.38,5.38,5.38,5.38,0
11,2012-10-31,5.38,5.38,5.38,5.38,0
12,2012-11-01,5.38,5.38,5.38,5.38,0
13,2012-11-02,5.02,5.02,5.02,5.02,100
14,2012-11-05,4.7,4.7,4.7,4.7,100
15,2012-11-06,4.8,4.8,4.8,4.8,100
16,2012-11-07,4.8,4.8,4.8,4.8,0
17,2012-11-08,4.8,4.8,4.8,4.8,0
18,2012-11-09,5.1,5.1,5.1,5.1,100
19,2012-11-12,5.44,5.44,5.44,5.44,100
20,2012-11-13,5.8,5.8,5.8,5.8,100
21,2012-11-14,5.8,6.12,5.8,6.12,200
22,2012-11-15,6.12,6.12,6.12,6.12,0
23,2012-11-16,6.12,6.12,6.12,6.12,0
24,2012-11-19,6.12,6.12,6.12,6.12,0
25,2012-11-20,6.12,6.12,6.12,6.12,0
26,2012-11-21,6.12,6.12,6.12,6.12,0
27,2012-11-22,6.12,6.12,6.12,6.12,0
28,2012-11-23,6.12,6.12,6.12,6.12,0
29,2012-11-26,6.12,6.12,6.12,6.12,0
30,2012-11-27,6.12,6.12,6.12,6.12,0
31,2012-11-28,6.12,6.12,6.12,6.12,0
32,2012-11-29,5.7,5.7,5.7,5.7,100
33,2012-11-30,5.32,5.32,5.32,5.32,300
34,2012-12-03,5.53,5.53,5.53,5.53,0
35,2012-12-04,5.53,5.53,5.53,5.53,0
36,2012-12-05,5.67,5.67,5.67,5.67,100
37,2012-12-06,5.67,5.67,5.67,5.67,0
38,2012-12-07,5.67,5.67,5.67,5.67,0
39,2012-12-10,5.67,5.67,5.67,5.67,0
40,2012-12-11,5.67,5.67,5.67,5.67,0
41,2012-12-12,5.67,5.67,5.67,5.67,0
42,2012-12-13,5.67,5.67,5.67,5.67,0
43,2012-12-14,5.67,5.67,5.67,5.67,0
44,2012-12-17,5.67,5.67,5.67,5.67,0
45,2012-12-18,5.67,5.67,5.67,5.67,0
46,2012-12-19,5.28,5.28,5.28,5.28,200
47,2012-12-20,5.63,5.63,5.63,5.63,100
48,2012-12-21,5.63,5.63,5.63,5.63,0
49,2012-12-24,5.63,5.63,5.63,5.63,0
50,2012-12-25,5.63,5.63,5.63,5.63,0
51,2012-12-26,5.63,5.63,5.63,5.63,0
52,2012-12-27,5.63,5.63,5.63,5.63,0
53,2012-12-28,5.63,5.63,5.63,5.63,0
54,2013-01-02,5.63,5.63,5.63,5.63,0
55,2013-01-03,5.63,5.63,5.63,5.63,0
56,2013-01-04,5.63,5.63,5.63,5.63,0
57,2013-01-07,5.63,5.63,5.63,5.63,0
58,2013-01-08,5.63,5.63,5.63,5.63,0
59,2013-01-09,5.63,5.63,5.63,5.63,0
60,2013-01-10,5.63,5.63,5.63,5.63,0
61,2013-01-11,5.63,5.63,5.63,5.63,0
62,2013-01-14,5.63,5.63,5.63,5.63,0
63,2013-01-15,5.63,5.63,5.63,5.63,0
64,2013-01-16,5.63,5.63,5.63,5.63,0
65,2013-01-17,5.63,5.63,5.63,5.63,0
66,2013-01-18,5.63,5.63,5.63,5.63,0
67,2013-01-21,5.07,5.07,5.07,5.07,1000
68,2013-01-22,5.07,5.07,5.07,5.07,0
69,2013-01-23,5.07,5.07,5.07,5.07,0
70,2013-01-24,5.07,5.07,5.07,5.07,0
71,2013-01-25,5.07,5.07,5.07,5.07,0
72,2013-01-28,5.07,5.07,5.07,5.07,0
73,2013-01-29,5.07,5.07,5.07,5.07,0
74,2013-01-30,4.59,4.59,4.59,4.59,1500
75,2013-01-31,4.59,4.59,4.59,4.59,0
76,2013-02-01,4.59,4.59,4.59,4.59,0
77,2013-02-04,4.59,4.59,4.59,4.59,1000
78,2013-02-05,4.59,4.59,4.59,4.59,0
79,2013-02-06,4.59,4.59,4.59,4.59,0
80,2013-02-07,4.59,4.59,4.59,4.59,0
81,2013-02-08,4.59,4.59,4.59,4.59,0
82,2013-02-18,4.61,4.61,4.61,4.61,100
83,2013-02-19,4.8,4.8,4.8,4.8,300
84,2013-02-20,4.8,4.8,4.8,4.8,0
85,2013-02-21,4.8,4.8,4.8,4.8,0
86,2013-02-22,4.8,4.8,4.8,4.8,100
87,2013-02-25,4.8,4.8,4.8,4.8,0
88,2013-02-26,4.8,4.8,4.8,4.8,0
89,2013-02-27,4.8,4.8,4.8,4.8,0
90,2013-02-28,4.59,4.59,4.59,4.59,500
91,2013-03-01,4.96,5.05,4.96,5.05,900
92,2013-03-04,5.42,5.42,5.42,5.42,500
93,2013-03-05,5.42,5.42,5.42,5.42,0
94,2013-03-06,5.42,5.42,5.42,5.42,0
95,2013-03-07,5.42,5.42,5.42,5.42,0
96,2013-03-08,5.42,5.42,5.42,5.42,0
97,2013-03-11,5.42,5.42,5.42,5.42,0
98,2013-03-12,5.42,5.42,5.42,5.42,0
99,2013-03-13,5.42,5.42,5.42,5.42,0
100,2013-03-14,5.42,5.42,5.42,5.42,0
101,2013-03-15,5.42,5.42,5.42,5.42,0
102,2013-03-18,5.03,5.03,5.01,5.01,3000
103,2013-03-19,5.01,5.01,5.01,5.01,0
104,2013-03-20,4.98,4.98,4.98,4.98,200
105,2013-03-21,4.98,4.98,4.98,4.98,0
106,2013-03-22,4.8,4.8,4.8,4.8,1000
107,2013-03-25,4.8,4.8,4.8,4.8,0
108,2013-03-26,5.21,5.28,5.21,5.26,1900
109,2013-03-27,5.26,5.26,5.26,5.26,0
