,time,open,high,low,close,volume
0,2012-01-03,1.66,1.66,1.52,1.52,2200
1,2012-01-04,1.52,1.52,1.52,1.52,0
2,2012-01-05,1.52,1.52,1.52,1.52,0
3,2012-01-06,1.52,1.52,1.52,1.52,0
4,2012-01-09,1.52,1.52,1.52,1.52,0
5,2012-01-10,1.52,1.52,1.52,1.52,0
6,2012-01-11,1.55,1.55,1.55,1.55,500
7,2012-01-12,1.55,1.55,1.55,1.55,0
8,2012-01-13,1.55,1.55,1.55,1.55,0
9,2012-01-16,1.55,1.55,1.55,1.55,0
10,2012-01-17,1.45,1.45,1.45,1.45,100
11,2012-01-18,1.36,1.36,1.36,1.36,100
12,2012-01-19,1.43,1.43,1.29,1.29,1900
13,2012-01-20,1.29,1.29,1.29,1.29,2000
14,2012-01-30,1.36,1.36,1.36,1.36,100
15,2012-01-31,1.45,1.45,1.26,1.26,6300
16,2012-02-01,1.22,1.22,1.19,1.19,3100
17,2012-02-02,1.26,1.26,1.22,1.22,6000
18,2012-02-03,1.31,1.31,1.17,1.17,4000
19,2012-02-06,1.17,1.17,1.17,1.17,0
20,2012-02-07,1.26,1.26,1.26,1.26,100
21,2012-02-08,1.31,1.33,1.31,1.33,2500
22,2012-02-09,1.38,1.38,1.33,1.33,3900
23,2012-02-10,1.4,1.4,1.26,1.26,9500
24,2012-02-13,1.33,1.33,1.22,1.22,15400
25,2012-02-14,1.24,1.24,1.17,1.17,4800
26,2012-02-15,1.24,1.24,1.24,1.24,400
27,2012-02-16,1.17,1.17,1.17,1.17,2800
28,2012-02-17,1.24,1.24,1.24,1.24,200
29,2012-02-20,1.31,1.31,1.31,1.31,4100
30,2012-02-21,1.38,1.38,1.38,1.38,100
31,2012-02-22,1.29,1.29,1.29,1.29,30000
32,2012-02-23,1.36,1.36,1.31,1.36,10300
33,2012-02-24,1.38,1.4,1.33,1.33,4100
34,2012-02-27,1.45,1.45,1.4,1.4,3400
35,2012-02-28,1.33,1.33,1.33,1.33,5800
36,2012-02-29,1.33,1.33,1.33,1.33,0
37,2012-03-01,1.33,1.33,1.33,1.33,0
38,2012-03-02,1.36,1.36,1.26,1.36,2800
39,2012-03-05,1.4,1.4,1.33,1.4,30700
40,2012-03-06,1.38,1.38,1.29,1.29,15500
41,2012-03-07,1.26,1.26,1.26,1.26,2200
42,2012-03-08,1.31,1.33,1.24,1.24,9200
43,2012-03-09,1.24,1.24,1.22,1.22,21400
