,time,open,high,low,close,volume
0,2012-01-03,3.2,3.3,3.1,3.1,36700
1,2012-01-04,3.1,3.2,3.1,3.1,20500
2,2012-01-05,3.0,3.1,3.0,3.1,12800
3,2012-01-06,3.0,3.1,3.0,3.0,13400
4,2012-01-09,3.0,3.1,3.0,3.0,35600
5,2012-01-10,3.1,3.2,3.0,3.2,79600
6,2012-01-11,3.3,3.3,3.1,3.1,63100
7,2012-01-12,3.2,3.2,3.1,3.1,21500
8,2012-01-13,3.1,3.2,3.1,3.2,16000
9,2012-01-16,3.2,3.4,3.2,3.3,26900
10,2012-01-17,3.3,3.3,3.1,3.1,26100
11,2012-01-18,3.0,3.3,3.0,3.2,21000
12,2012-01-19,3.3,3.4,3.3,3.4,46900
13,2012-01-20,3.5,3.5,3.4,3.4,39200
14,2012-01-30,3.4,3.4,3.2,3.2,40000
15,2012-01-31,3.2,3.5,3.2,3.5,159800
16,2012-02-01,3.6,3.7,3.3,3.4,41400
17,2012-02-02,3.5,3.6,3.5,3.6,105100
18,2012-02-03,3.7,3.8,3.5,3.5,101400
19,2012-02-06,3.4,3.4,3.4,3.4,92300
20,2012-02-07,3.4,3.5,3.3,3.4,34600
21,2012-02-08,3.4,3.6,3.4,3.6,146300
22,2012-02-09,3.5,3.6,3.4,3.6,76100
23,2012-02-10,3.5,3.7,3.4,3.7,320900
24,2012-02-13,3.9,3.9,3.8,3.9,233200
25,2012-02-14,4.0,4.0,3.7,3.7,101300
26,2012-02-15,3.5,3.6,3.5,3.5,93100
27,2012-02-16,3.4,3.5,3.3,3.4,193800
28,2012-02-17,3.4,3.5,3.4,3.5,111600
29,2012-02-20,3.7,3.7,3.7,3.7,63300
30,2012-02-21,3.8,3.8,3.5,3.7,167400
31,2012-02-22,3.5,3.8,3.5,3.8,130700
32,2012-02-23,3.8,3.9,3.7,3.9,221300
33,2012-02-24,3.9,4.1,3.8,3.9,219800
34,2012-02-27,3.9,4.2,3.9,4.2,133900
35,2012-02-28,4.4,4.4,4.0,4.0,234500
36,2012-02-29,4.0,4.2,4.0,4.0,130800
37,2012-03-01,3.9,4.2,3.9,4.1,185800
38,2012-03-02,4.1,4.3,4.0,4.1,230400
39,2012-03-05,4.3,4.3,4.3,4.3,89700
40,2012-03-06,4.6,4.6,4.3,4.3,276800
41,2012-03-07,4.3,4.4,4.2,4.3,178800
42,2012-03-08,4.2,4.3,4.0,4.0,165600
43,2012-03-09,4.0,4.1,3.9,3.9,167700
44,2012-03-12,3.9,3.9,3.7,3.7,47300
45,2012-03-13,3.6,3.9,3.6,3.9,105200
46,2012-03-14,3.9,3.9,3.6,3.7,50800
47,2012-03-15,3.8,3.9,3.8,3.9,138000
48,2012-03-16,4.1,4.1,4.0,4.1,181600
49,2012-03-19,4.2,4.2,4.0,4.0,53400
50,2012-03-20,4.0,4.2,4.0,4.1,107200
51,2012-03-21,4.2,4.3,4.1,4.3,293300
52,2012-03-22,4.2,4.3,4.0,4.1,167900
53,2012-03-23,4.2,4.3,4.2,4.3,189700
54,2012-03-26,4.6,4.6,4.6,4.6,86900
55,2012-03-27,4.8,4.9,4.7,4.8,530300
56,2012-03-28,4.6,4.8,4.5,4.8,278000
57,2012-03-29,4.5,4.7,4.4,4.4,113100
58,2012-03-30,4.4,4.4,4.1,4.1,203400
59,2012-04-03,4.0,4.3,4.0,4.3,201800
60,2012-04-04,4.5,4.5,4.0,4.1,120200
61,2012-04-05,4.2,4.3,4.0,4.3,77200
62,2012-04-06,4.4,4.5,4.3,4.4,107400
63,2012-04-09,4.6,4.7,4.4,4.6,270600
64,2012-04-10,4.7,4.7,4.4,4.5,236900
65,2012-04-11,4.5,4.8,4.5,4.8,255000
66,2012-04-12,4.7,4.9,4.5,4.5,170100
67,2012-04-13,4.4,4.5,4.2,4.3,168100
68,2012-04-16,4.3,4.6,4.3,4.6,160000
69,2012-04-17,4.8,4.9,4.6,4.6,210000
70,2012-04-18,4.6,4.8,4.4,4.5,137200
71,2012-04-19,4.3,4.5,4.2,4.3,191500
72,2012-04-20,4.3,4.5,4.3,4.5,113300
73,2012-04-23,4.5,4.6,4.4,4.5,76500
74,2012-04-24,4.6,4.6,4.3,4.5,94100
75,2012-04-25,4.5,4.7,4.5,4.6,191600
