,time,open,high,low,close,volume
0,2012-01-03,1.77,1.77,1.72,1.75,9380
1,2012-01-04,1.75,1.77,1.72,1.72,4110
2,2012-01-05,1.69,1.72,1.66,1.66,21830
3,2012-01-06,1.69,1.69,1.63,1.63,19690
4,2012-01-09,1.66,1.66,1.63,1.66,11890
5,2012-01-10,1.6,1.72,1.6,1.72,20390
6,2012-01-11,1.72,1.77,1.72,1.75,13620
7,2012-01-12,1.72,1.75,1.69,1.69,34960
8,2012-01-13,1.72,1.75,1.69,1.69,3670
9,2012-01-16,1.72,1.75,1.69,1.75,15990
10,2012-01-17,1.72,1.77,1.72,1.72,36840
11,2012-01-18,1.75,1.77,1.72,1.72,9890
12,2012-01-19,1.75,1.77,1.72,1.72,5700
13,2012-01-20,1.77,1.77,1.72,1.75,13520
14,2012-01-30,1.77,1.83,1.75,1.83,10980
15,2012-01-31,1.92,1.92,1.92,1.92,58760
16,2012-02-01,1.95,2.0,1.92,2.0,52900
17,2012-02-02,2.09,2.09,2.09,2.09,11270
18,2012-02-03,2.18,2.18,2.06,2.09,62020
19,2012-02-06,2.06,2.12,2.0,2.0,41270
20,2012-02-07,2.03,2.06,1.97,2.03,16910
21,2012-02-08,2.06,2.12,2.06,2.12,61790
22,2012-02-09,2.15,2.18,2.12,2.18,49350
23,2012-02-10,2.18,2.18,2.09,2.09,51990
24,2012-02-13,2.12,2.12,2.0,2.0,17910
25,2012-02-14,2.06,2.09,2.03,2.06,10670
26,2012-02-15,2.03,2.09,2.0,2.03,12490
27,2012-02-16,2.0,2.03,2.0,2.0,6010
28,2012-02-17,2.06,2.09,2.03,2.09,29530
29,2012-02-20,2.12,2.18,2.12,2.15,54300
30,2012-02-21,2.23,2.23,2.12,2.15,60080
31,2012-02-22,2.12,2.23,2.09,2.2,67200
32,2012-02-23,2.2,2.29,2.2,2.29,117730
33,2012-02-24,2.29,2.4,2.26,2.26,188900
34,2012-02-27,2.29,2.35,2.26,2.35,128650
35,2012-02-28,2.43,2.43,2.23,2.23,58440
36,2012-02-29,2.26,2.32,2.23,2.32,28400
37,2012-03-01,2.32,2.32,2.26,2.26,23870
38,2012-03-02,2.29,2.35,2.29,2.35,98750
39,2012-03-05,2.46,2.46,2.46,2.46,74690
40,2012-03-06,2.58,2.58,2.38,2.38,184300
41,2012-03-07,2.38,2.49,2.32,2.49,50490
42,2012-03-08,2.52,2.52,2.38,2.46,49010
43,2012-03-09,2.46,2.46,2.38,2.4,65050
44,2012-03-12,2.43,2.43,2.29,2.32,49520
45,2012-03-13,2.32,2.38,2.29,2.35,23700
46,2012-03-14,2.4,2.4,2.32,2.35,9680
47,2012-03-15,2.35,2.43,2.32,2.43,66500
48,2012-03-16,2.49,2.52,2.43,2.43,36780
49,2012-03-19,2.43,2.43,2.4,2.4,7700
50,2012-03-20,2.43,2.43,2.35,2.43,24370
51,2012-03-21,2.46,2.55,2.4,2.55,472950
52,2012-03-22,2.66,2.66,2.66,2.66,107150
53,2012-03-23,2.78,2.78,2.78,2.78,39360
54,2012-03-26,2.89,2.89,2.89,2.89,97930
55,2012-03-27,3.03,3.03,2.89,2.89,704250
56,2012-03-28,2.83,2.98,2.75,2.89,124020
57,2012-03-29,2.89,2.89,2.75,2.75,115490
58,2012-03-30,2.66,2.75,2.63,2.63,147440
59,2012-04-03,2.6,2.75,2.55,2.69,86800
60,2012-04-04,2.75,2.75,2.58,2.58,87650
61,2012-04-05,2.58,2.66,2.49,2.63,67440
62,2012-04-06,2.66,2.75,2.63,2.75,122870
63,2012-04-09,2.83,2.86,2.69,2.86,136720
64,2012-04-10,2.98,3.01,2.86,3.01,327190
65,2012-04-11,3.15,3.15,3.06,3.15,146950
66,2012-04-12,3.29,3.29,3.29,3.29,104360
67,2012-04-13,3.29,3.43,3.29,3.41,635710
68,2012-04-16,3.43,3.55,3.32,3.55,473980
69,2012-04-17,3.72,3.72,3.72,3.72,28240
70,2012-04-18,3.89,3.89,3.89,3.89,27690
71,2012-04-19,4.06,4.06,3.86,4.06,742920
72,2012-04-20,3.95,4.06,3.86,3.86,524940
73,2012-04-23,3.86,4.04,3.86,4.04,401210
74,2012-04-24,4.15,4.24,4.06,4.24,93530
