,time,open,high,low,close,volume
0,2012-01-03,10.06,10.53,10.06,10.53,957240
1,2012-01-04,10.47,10.87,10.33,10.87,2845110
2,2012-01-05,10.87,10.87,10.67,10.74,1813900
3,2012-01-06,10.6,10.87,10.6,10.87,3081380
4,2012-01-09,10.87,11.42,10.81,11.42,3524980
5,2012-01-10,11.15,11.96,11.15,11.83,2776750
6,2012-01-11,11.96,12.3,11.96,12.17,3729860
7,2012-01-12,11.89,12.3,11.89,12.03,4439840
8,2012-01-13,12.03,12.1,11.96,12.03,1793280
9,2012-01-16,11.96,12.1,11.83,12.03,1346180
10,2012-01-17,11.96,12.1,11.96,12.03,1136120
11,2012-01-18,12.03,12.17,11.96,12.17,778150
12,2012-01-19,12.03,12.3,12.03,12.23,901580
13,2012-01-20,12.23,12.37,12.17,12.23,631940
14,2012-01-30,12.23,12.57,12.23,12.57,1186280
15,2012-01-31,12.57,12.91,12.57,12.91,1198700
16,2012-02-01,12.91,12.98,12.84,12.91,858130
17,2012-02-02,12.91,13.05,12.84,12.84,1808830
18,2012-02-03,12.78,12.91,12.71,12.71,1620270
19,2012-02-06,12.71,12.98,12.64,12.98,1557150
20,2012-02-07,12.91,13.05,12.91,13.05,1144320
21,2012-02-08,12.98,13.66,12.98,13.66,2972330
22,2012-02-09,14.27,14.34,14.2,14.34,3770560
23,2012-02-10,14.34,15.02,14.34,14.88,2456780
24,2012-02-13,15.5,15.5,14.2,14.2,1398820
25,2012-02-14,13.59,13.73,13.52,13.52,1813090
26,2012-02-15,12.91,12.91,12.91,12.91,570340
27,2012-02-16,12.3,12.37,12.3,12.3,6224970
28,2012-02-17,12.37,12.71,12.23,12.5,774480
29,2012-02-20,13.05,13.12,12.91,13.12,442830
30,2012-02-21,13.73,13.73,12.5,12.91,1513840
31,2012-02-22,12.44,12.98,12.44,12.91,1635490
32,2012-02-23,12.91,12.91,12.5,12.71,1414530
33,2012-02-24,12.5,13.32,12.5,13.32,2250670
34,2012-02-27,13.8,13.93,13.52,13.93,1210940
35,2012-02-28,14.61,14.61,14.27,14.61,3887940
36,2012-02-29,14.61,15.29,14.41,15.29,5872010
37,2012-03-01,15.29,15.36,14.82,14.95,3154410
38,2012-03-02,14.88,15.22,14.82,15.09,2953510
39,2012-03-05,15.29,15.83,15.29,15.83,2126460
40,2012-03-06,16.58,16.58,15.16,15.36,2067260
41,2012-03-07,14.82,14.95,14.61,14.61,3018920
42,2012-03-08,13.93,13.93,13.93,13.93,398410
43,2012-03-09,13.25,13.59,13.25,13.25,3225410
44,2012-03-12,12.91,13.8,12.78,13.8,7206980
45,2012-03-13,14.34,14.48,14.07,14.48,2508100
46,2012-03-14,15.16,15.16,14.82,15.16,4538060
47,2012-03-15,15.22,15.83,15.02,15.83,6994260
48,2012-03-16,15.83,16.38,15.56,16.38,11121860
