,time,open,high,low,close,volume
0,2012-01-03,1.96,1.96,1.87,1.87,3500
1,2012-01-04,2.03,2.03,2.03,2.03,100
2,2012-01-05,1.93,1.93,1.93,1.93,400
3,2012-01-06,1.9,1.9,1.87,1.87,1400
4,2012-01-09,1.9,1.9,1.9,1.9,200
5,2012-01-10,1.93,1.99,1.93,1.99,4100
6,2012-01-11,1.99,2.03,1.99,2.03,1200
7,2012-01-12,2.03,2.03,2.03,2.03,2000
8,2012-01-13,2.09,2.09,2.03,2.03,1200
9,2012-01-16,2.09,2.12,2.09,2.12,3100
10,2012-01-17,2.15,2.15,2.15,2.15,600
11,2012-01-18,2.15,2.15,2.15,2.15,0
12,2012-01-19,2.27,2.27,2.21,2.21,2300
13,2012-01-20,2.24,2.3,2.21,2.3,2000
14,2012-01-30,2.3,2.3,2.3,2.3,0
15,2012-01-31,2.39,2.39,2.39,2.39,100
16,2012-02-01,2.39,2.39,2.39,2.39,0
17,2012-02-02,2.3,2.39,2.3,2.39,7500
18,2012-02-03,2.52,2.52,2.52,2.52,200
19,2012-02-06,2.64,2.64,2.64,2.64,200
20,2012-02-07,2.76,2.76,2.45,2.45,2400
21,2012-02-08,2.64,2.64,2.64,2.64,3700
22,2012-02-09,2.82,2.82,2.79,2.79,12200
23,2012-02-10,2.61,2.79,2.61,2.76,2800
24,2012-02-13,2.79,2.79,2.64,2.67,9100
25,2012-02-14,2.7,2.7,2.7,2.7,1200
26,2012-02-15,2.73,2.73,2.7,2.73,3900
27,2012-02-16,2.7,2.7,2.7,2.7,10000
28,2012-02-17,2.73,2.76,2.73,2.73,13200
29,2012-02-20,2.79,2.79,2.73,2.73,8700
30,2012-02-21,2.79,2.79,2.7,2.7,21200
31,2012-02-22,2.73,2.73,2.7,2.7,17900
32,2012-02-23,2.73,2.73,2.7,2.73,39100
33,2012-02-24,2.73,2.76,2.7,2.7,23600
34,2012-02-27,2.7,2.76,2.7,2.76,10300
35,2012-02-28,2.7,2.7,2.64,2.64,5400
36,2012-02-29,2.56,2.63,2.56,2.63,3100
37,2012-03-01,2.56,2.56,2.52,2.52,5200
38,2012-03-02,2.52,2.56,2.48,2.52,8100
39,2012-03-05,2.66,2.66,2.63,2.63,21700
40,2012-03-06,2.81,2.81,2.48,2.52,1800
41,2012-03-07,2.52,2.59,2.48,2.59,6300
42,2012-03-08,2.56,2.56,2.52,2.52,2100
43,2012-03-09,2.52,2.52,2.48,2.48,3800
44,2012-03-12,2.45,2.45,2.34,2.34,11800
45,2012-03-13,2.48,2.48,2.48,2.48,100
46,2012-03-14,2.34,2.48,2.34,2.48,6300
47,2012-03-15,2.41,2.45,2.41,2.45,7800
48,2012-03-16,2.48,2.48,2.48,2.48,3400
