,time,open,high,low,close,volume
0,2012-01-03,2.59,2.75,2.59,2.75,2300
1,2012-01-04,2.81,2.81,2.81,2.81,20
2,2012-01-05,2.67,2.95,2.67,2.95,12570
3,2012-01-06,2.9,2.93,2.82,2.82,2550
4,2012-01-09,2.7,2.82,2.69,2.82,700
5,2012-01-10,2.75,2.82,2.75,2.82,2010
6,2012-01-11,2.84,2.84,2.84,2.84,3000
7,2012-01-12,2.84,2.84,2.82,2.82,2010
8,2012-01-13,2.9,2.9,2.9,2.9,6000
9,2012-01-16,2.76,2.78,2.76,2.76,180
10,2012-01-17,2.7,2.7,2.7,2.7,1000
11,2012-01-18,2.75,2.75,2.59,2.64,11230
12,2012-01-19,2.64,2.72,2.64,2.72,1500
13,2012-01-20,2.76,2.76,2.76,2.76,2000
14,2012-01-30,2.9,2.9,2.9,2.9,1000
15,2012-01-31,2.76,2.76,2.76,2.76,550
16,2012-02-01,2.63,2.63,2.63,2.63,10000
17,2012-02-02,2.73,2.73,2.59,2.59,260
18,2012-02-03,2.59,2.59,2.52,2.52,3250
19,2012-02-06,2.44,2.44,2.44,2.44,10
20,2012-02-07,2.52,2.52,2.52,2.52,200
21,2012-02-08,2.55,2.55,2.55,2.55,300
22,2012-02-09,2.67,2.67,2.67,2.67,2010
23,2012-02-10,2.55,2.55,2.55,2.55,170
24,2012-02-13,2.58,2.58,2.43,2.43,1330
25,2012-02-14,2.32,2.44,2.32,2.44,3030
26,2012-02-15,2.32,2.56,2.32,2.32,12270
27,2012-02-16,2.21,2.23,2.21,2.21,16490
28,2012-02-17,2.32,2.32,2.2,2.32,5790
29,2012-02-20,2.37,2.43,2.37,2.37,1550
30,2012-02-21,2.46,2.46,2.26,2.29,7560
31,2012-02-22,2.29,2.34,2.18,2.18,79960
32,2012-02-23,2.29,2.29,2.08,2.08,176070
33,2012-02-24,2.14,2.17,1.98,2.17,220820
34,2012-02-27,2.27,2.27,2.27,2.27,2150
35,2012-02-28,2.38,2.38,2.29,2.38,17170
36,2012-02-29,2.27,2.34,2.27,2.27,27100
37,2012-03-01,2.17,2.2,2.17,2.17,58890
38,2012-03-02,2.17,2.17,2.14,2.14,21550
39,2012-03-05,2.23,2.24,2.23,2.24,85980
40,2012-03-06,2.24,2.24,2.14,2.14,42730
41,2012-03-07,2.14,2.14,2.03,2.14,67810
42,2012-03-08,2.05,2.08,2.03,2.08,32600
43,2012-03-09,2.08,2.09,1.98,2.06,201800
44,2012-03-12,2.11,2.11,2.01,2.03,18220
45,2012-03-13,2.03,2.06,1.97,1.98,33420
46,2012-03-14,2.05,2.05,1.94,1.94,61490
47,2012-03-15,1.91,2.03,1.89,1.94,76980
48,2012-03-16,1.94,2.01,1.94,2.0,163080
49,2012-03-19,1.94,2.05,1.94,2.01,34510
50,2012-03-20,1.98,2.11,1.98,2.11,65860
51,2012-03-21,2.2,2.2,2.2,2.2,18770
52,2012-03-22,2.3,2.3,2.23,2.3,293980
53,2012-03-23,2.32,2.41,2.32,2.41,241160
54,2012-03-26,2.43,2.5,2.34,2.44,119590
55,2012-03-27,2.4,2.49,2.32,2.32,177890
56,2012-03-28,2.24,2.32,2.24,2.32,105690
57,2012-03-29,2.24,2.4,2.21,2.21,87040
58,2012-03-30,2.14,2.29,2.14,2.29,29620
59,2012-04-03,2.34,2.37,2.2,2.3,27500
60,2012-04-04,2.23,2.34,2.23,2.23,75150
61,2012-04-05,2.15,2.26,2.14,2.24,15270
62,2012-04-06,2.18,2.35,2.18,2.32,74020
63,2012-04-09,2.35,2.41,2.29,2.32,106640
64,2012-04-10,2.32,2.35,2.29,2.29,50830
65,2012-04-11,2.29,2.38,2.27,2.38,76040
66,2012-04-12,2.35,2.41,2.35,2.38,33660
67,2012-04-13,2.38,2.38,2.27,2.27,46230
