,time,open,high,low,close,volume
0,2016-12-09,5.6,5.6,5.49,5.49,1300
1,2016-12-12,5.49,5.49,5.49,5.49,0
2,2016-12-13,5.49,5.49,5.49,5.49,0
3,2016-12-14,5.49,5.49,5.49,5.49,0
4,2016-12-15,5.49,5.49,5.49,5.49,0
5,2016-12-16,6.26,6.26,4.72,4.72,1700
6,2016-12-19,6.98,6.98,5.27,5.27,13317
7,2016-12-20,7.63,7.63,5.88,7.52,12160
8,2016-12-21,8.57,8.57,6.48,6.48,2000
9,2016-12-22,6.26,6.26,6.26,6.26,8200
10,2016-12-23,5.38,7.09,5.38,6.98,3000
11,2016-12-26,5.82,6.26,5.71,5.71,22300
12,2016-12-27,5.93,5.93,5.93,5.93,200
13,2016-12-28,5.55,6.04,5.05,5.11,13400
14,2016-12-29,5.93,5.93,5.93,5.93,1200
15,2016-12-30,5.33,5.49,5.33,5.49,2400
16,2017-01-03,5.33,5.33,5.27,5.27,6000
17,2017-01-04,5.22,5.22,5.22,5.22,23300
18,2017-01-05,5.49,5.99,5.22,5.99,3000
19,2017-01-06,5.6,5.66,5.6,5.66,300
20,2017-01-09,5.66,5.66,5.22,5.66,11200
21,2017-01-10,5.22,5.22,5.22,5.22,2900
22,2017-01-11,5.77,5.77,5.27,5.27,12150
23,2017-01-12,5.55,5.55,5.27,5.27,600
24,2017-01-13,5.22,5.22,5.22,5.22,600
25,2017-01-16,5.22,5.22,5.22,5.22,2200
26,2017-01-17,5.22,5.22,5.22,5.22,11100
27,2017-01-18,5.44,5.44,5.44,5.44,300
28,2017-01-19,5.44,5.44,5.44,5.44,0
29,2017-01-20,5.27,5.27,5.22,5.22,1000
30,2017-01-23,5.22,5.22,5.22,5.22,25100
31,2017-01-24,4.5,5.44,4.5,5.44,500
32,2017-01-25,5.22,5.22,5.22,5.22,6100
33,2017-02-02,5.38,5.38,5.38,5.38,200
34,2017-02-03,5.38,5.38,5.38,5.38,0
35,2017-02-06,6.15,6.15,5.27,5.27,500
36,2017-02-07,6.87,6.87,5.33,5.33,500
37,2017-02-08,5.33,5.33,5.33,5.33,0
38,2017-02-09,5.6,5.6,5.6,5.6,5500
39,2017-02-10,5.27,5.27,5.27,5.27,1100
