,time,open,high,low,close,volume
0,2016-01-07,19.3,19.3,19.3,19.3,100
1,2016-01-08,17.46,17.46,17.46,17.46,700
2,2016-01-11,17.46,17.46,17.46,17.46,0
3,2016-01-12,16.15,16.15,16.15,16.15,2000
4,2016-01-13,17.64,17.73,17.64,17.73,2000
5,2016-01-14,19.21,19.47,19.21,19.47,700
6,2016-01-15,20.96,21.39,20.96,21.39,2000
7,2016-01-18,21.39,21.39,21.39,21.39,0
8,2016-01-19,20.96,23.49,20.96,23.49,4200
9,2016-01-20,23.49,23.49,23.49,23.49,0
10,2016-01-21,23.49,23.49,23.49,23.49,0
11,2016-01-22,23.49,23.49,23.49,23.49,0
12,2016-01-25,23.49,23.49,23.49,23.49,0
13,2016-01-26,22.27,22.27,22.27,22.27,700
14,2016-01-27,22.27,22.27,22.27,22.27,0
15,2016-01-28,21.39,23.58,21.39,23.58,2100
16,2016-01-29,23.58,23.58,23.58,23.58,0
17,2016-02-01,23.58,23.58,23.58,23.58,0
18,2016-02-02,23.58,23.58,23.58,23.58,0
19,2016-02-03,23.58,23.58,23.58,23.58,0
20,2016-02-04,21.83,21.83,21.83,21.83,100
21,2016-02-05,23.14,23.14,23.14,23.14,1000
22,2016-02-15,23.14,23.14,23.14,23.14,0
23,2016-02-16,23.14,23.14,23.14,23.14,0
24,2016-02-17,23.14,23.14,23.14,23.14,0
25,2016-02-18,23.58,25.32,23.58,25.32,1500
26,2016-02-19,25.32,25.32,25.32,25.32,0
27,2016-02-22,25.32,25.32,25.32,25.32,0
28,2016-02-23,22.79,22.79,22.79,22.79,100
29,2016-02-24,20.52,20.52,20.52,20.52,200
30,2016-02-25,18.6,18.6,18.6,18.6,1000
31,2016-02-26,18.6,18.6,18.6,18.6,0
32,2016-02-29,20.34,20.43,20.34,20.43,200
33,2016-03-01,22.09,22.44,22.09,22.44,1000
34,2016-03-02,20.26,23.14,20.26,23.14,600
35,2016-03-03,22.7,23.31,22.7,23.31,700
36,2016-03-04,23.31,23.31,23.31,23.31,0
37,2016-03-07,21.04,21.04,21.04,21.04,100
38,2016-03-08,22.7,23.14,22.7,22.88,2007
39,2016-03-09,22.88,22.88,22.88,22.88,0
40,2016-03-10,22.88,22.88,22.88,22.88,0
41,2016-03-11,22.88,22.88,22.88,22.88,0
42,2016-03-14,22.88,23.58,21.83,23.58,2700
43,2016-03-15,23.58,23.58,23.58,23.58,0
44,2016-03-16,23.58,23.58,23.58,23.58,0
45,2016-03-17,23.58,23.58,23.58,23.58,0
46,2016-03-18,21.31,21.31,21.31,21.31,100
47,2016-03-21,22.7,23.4,22.7,23.4,500
48,2016-03-22,23.4,23.4,23.4,23.4,32
